T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
899.0747566	94	1	5	0	0	99.19342213	0.2424085558	0.5641693103	94	1	5	0.001699859024	-0.0002479645794	-0.001451894444	-899.0747566	0	30.542892174871	
899.0547566	94	1	5	0.0006549732486	0.0006543778034	99.19300688	0.242485455	0.5645076693	93.99660029	1.000495938	5.002903772	0	0	0	-899.0547566	0.0006543778034	30.5838755610342	
899.0347566	94	1	5	0.001309069923	0.001307879892	99.19259166	0.2425623044	0.564846035	93.99320073	1.000991822	5.005807451	0	0	0	-899.0347566	0.001307879892	30.6189038598429	
898.9947566	94	1	5	0.002615399875	0.00261302256	99.19176133	0.2427158792	0.56552279	93.9864019	1.001983532	5.011614569	0	0	0	-898.9947566	0.00261302256	30.6801716388657	
898.9147566	94	1	5	0.005219871851	0.005215128179	99.1901011	0.2430225101	0.5668763923	93.97280557	1.003966622	5.023227809	0	0	0	-898.9147566	0.005215128179	30.8313431286561	
898.7547566	94	1	5	0.01038520172	0.01037576798	99.18678252	0.2436333786	0.5695841018	93.94561875	1.007930186	5.046451068	0	0	0	-898.7547566	0.01037576798	31.1457038657657	
898.4347566	94	1	5	0.02057725972	0.02055858398	99.1801523	0.2448465753	0.5750011215	93.89126685	1.015850905	5.092882241	0	0	0	-898.4347566	0.02055858398	31.7263217123934	
897.7947566	94	1	5	0.04040238648	0.04036578321	99.16691961	0.2472385965	0.58584179	93.78265115	1.031665089	5.185683756	0	0	0	-897.7947566	0.04036578321	32.9328171599154	
896.5147566	94	1	5	0.07796184151	0.07789147637	99.140562	0.2518889281	0.6075490755	93.56577127	1.063193737	5.371034996	0	0	0	-896.5147566	0.07789147637	35.444616938475	
893.9547566	94	1	5	0.1456569858	0.1455266017	99.0882545	0.2606812353	0.6510642689	93.1334109	1.125914608	5.740674492	0	0	0	-893.9547566	0.1455266017	40.6964432185716	
891.3947566	94	1	5	0.2049803235	0.2047985085	99.03644911	0.2688436743	0.694707219	92.70289728	1.188304267	6.108798449	0	0	0	-891.3947566	0.2047985085	46.2153361167101	
888.8347566	94	1	5	0.2573897115	0.2571636855	98.98510083	0.2764285264	0.7384706427	92.27419926	1.250494469	6.47530627	0	0	0	-888.8347566	0.2571636855	52.0893606802955	
886.2747566	94	1	5	0.3040252598	0.3037611597	98.93416959	0.283482843	0.7823475673	91.84727681	1.312608449	6.840114746	0	0	0	-886.2747566	0.3037611597	58.3167863301448	
883.7147566	94	1	5	0.3457910865	0.3454941799	98.88361973	0.29004903	0.8263312441	91.42208172	1.3747621	7.203156182	0	0	0	-883.7147566	0.3454941799	64.8954890280745	
881.1547566	94	1	5	0.3834131777	0.3830880253	98.83341955	0.2961653692	0.8704150791	90.99855817	1.437065038	7.564376793	0	0	0	-881.1547566	0.3830880253	71.8229383960655	
878.5947566	94	1	5	0.4174810446	0.4171316254	98.78354096	0.301866475	0.9145925691	90.57664319	1.499621551	7.923735254	0	0	0	-878.5947566	0.4171316254	79.0962294554165	
876.0347566	94	1	5	0.4484782277	0.4481080374	98.73395906	0.3071836958	0.958857244	90.15626715	1.562531435	8.281201415	0	0	0	-876.0347566	0.4481080374	86.7121201519095	
873.4747566	94	1	5	0.4768049819	0.4764171109	98.68465192	0.3121454671	1.003202615	89.73735408	1.625890752	8.636755163	0	0	0	-873.4747566	0.4764171109	94.667072686221	
870.9147566	94	1	5	0.5027953831	0.5023925784	98.63560025	0.3167776246	1.047622128	89.31982208	1.689792498	8.990385425	0	0	0	-870.9147566	0.5023925784	102.957299321758	
868.3547566	94	1	5	0.5267303901	0.5263151066	98.58678721	0.3211036702	1.09210912	88.90358354	1.754327217	9.342089246	0	0	0	-868.3547566	0.5263151066	111.578804080548	
