T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	w(AL@LIQUID#3)	w(MG@LIQUID#3)	w(SI@LIQUID#3)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	dwdT_L(AL@LIQUID#3)	dwdT_L(MG@LIQUID#3)	dwdT_L(SI@LIQUID#3)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI				
899.0747566	94	1	5	0	0	99.19342213	0.2424085558	0.5641693103	94	1	5							0.001699859024	-0.0002479645794	-0.001451894444							-899.0747566	0	15.2034653009614	
899.0647566	94	1	5	0.0003276599788	0.0003273534754	99.19321449	0.2424470248	0.5643384806	93.99830024	1.000247968	5.001451796							0	0	0							-899.0647566	0.0003273534754	45.8925715611596	
899.0447566	94	1	5	0.0009821986306	0.0006541036387	99.19279927	0.2425238818	0.5646768468	93.9949005	1.000743894	5.004355608							0	0	0							-899.0447566	0.0006541036387	61.2374209145237	
899.0047566	94	1	5	0.002288907872	0.001306690808	99.19196891	0.2426774939	0.5653535924	93.98810156	1.001735636	5.010162808							0	0	0							-899.0047566	0.001306690808	61.363358416172	
898.9247566	94	1	5	0.004893046601	0.002607490562	99.19030859	0.2429842279	0.5667071815	93.974505	1.003718796	5.021776205							0	0	0							-898.9247566	0.002607490562	61.6403032197445	
898.7647566	94	1	5	0.01006449018	0.005191562772	99.18698968	0.2435956069	0.5694147169	93.94731719	1.007683832	5.044998977							0	0	0							-898.7647566	0.005191562772	62.2451885339754	
898.4447566	94	1	5	0.02025018704	0.0102798206	99.18035882	0.2448098271	0.574831357	93.89296357	1.015607513	5.091428921							0	0	0							-898.4447566	0.0102798206	63.4876538280256	
897.8047566	94	1	5	0.04003903074	0.02017918543	99.16712416	0.2472051385	0.5856707041	93.78434233	1.031432726	5.184224946							0	0	0							-897.8047566	0.02017918543	65.9176717935363	
896.5247566	94	1	5	0.07743167779	0.03891569147	99.14076061	0.251865873	0.6073735184	93.56744524	1.062999537	5.36955522							0	0	0							-896.5247566	0.03891569147	71.034247946969	
893.9647566	94	1	5	0.144505418	0.07263267394	99.08843701	0.2606880897	0.6508748987	93.13503357	1.125837674	5.739128751							0	0	0							-893.9647566	0.07263267394	-652.506569950899	
891.4047566	94	1	5	0.2027380146	0.06799819875	99.03661524	0.2688828214	0.6945019381	92.70445863	1.188360455	6.107180912							0	0	0							-891.4047566	0.06799819875	-590.653434551785	
888.8447566	94	1	5	0.2537386284	0.06389895269	98.98526102	0.2764807769	0.7382582034	92.27572663	1.250606006	6.473667359							0	0	0							-888.8447566	0.06389895269	-665.063149247846	
886.2847566	94	1	5	0.2987521366	0.06024799476	98.93434234	0.2835100508	0.7821476098	91.84883946	1.312607011	6.838553528							0	0	0							-886.2847566	0.06024799476	-744.044928735228	
883.7247566	94	1	5	0.3387560825	0.0569762311	98.88382914	0.2899965302	0.8261743312	91.42379496	1.374391745	7.201813298							0	0	0							-883.7247566	0.0569762311	-827.63440714851	
881.1647566	94	1	5	0.3745283746	0.05402810077	98.83369305	0.2959642143	0.8703427349	91.00058722	1.435984883	7.563427892							0	0	0							-881.1647566	0.05402810077	-915.875270360565	
878.6047566	94	1	5	0.4066954794	0.05135841576	98.78390719	0.3014354713	0.9146573344	90.57920689	1.497408133	7.923384974							0	0	0							-878.6047566	0.05135841576	-1008.81509967077	
876.0447566	94	1	5	0.435767347	0.04893004564	98.734446	0.3064312476	0.9591227523	90.15964137	1.55868075	8.281677877							0	0	0							-876.0447566	0.04893004564	-1106.50513734114	
873.4847566	94	1	5	0.4621631339	0.04671219604	98.68528507	0.3109712385	1.003743692	89.7418751	1.61981994	8.638304957							0	0	0							-873.4847566	0.04671219604	-1209.00020691762	
870.9247566	94	1	5	0.4862304244	0.04467911048	98.63640105	0.3150740308	1.048524918	89.32588978	1.680841196	8.993269022							0	0	0							-870.9247566	0.04467911048	-1316.35866346479	
868.3647566	94	1	5	0.508259787	0.04280907903	98.58777154	0.3187572218	1.093471234	88.91166459	1.741758568	9.346576844							0	0	0							-868.3647566	0.04280907903	-1428.64231686611	
865.8047566	94	1	5	0.5284959299	0.04108367221	98.539375	0.32203752	1.138587478	88.49917639	1.802584887	9.698238727							0	0	0							-865.8047566	0.04108367221	-1545.91640948497	
863.2447566	94	1	5	0.5471463475	0.03948714284	98.49119066	0.3249308308	1.183878505	88.08839993	1.863331948	10.04826813							0	0	0							-863.2447566	0.03948714284	-1668.24957621275	
860.6847566	94	1	5	0.5643880884	0.03800595416	98.44319848	0.3274523305	1.229349185	87.67930802	1.924010668	10.39668131							0	0	0							-860.6847566	0.03800595416	-1795.71379507641	
858.1247566	94	1	5	0.5803731052	0.03662840432	98.39537907	0.3296165294	1.275004398	87.27187171	1.984631213	10.74349708							0	0	0							-858.1247566	0.03662840432	-1928.38442977561	
855.5647566	94	1	5	0.5952325188	0.03534432503	98.34771365	0.3314373281	1.320849024	86.86606044	2.045203106	11.08873645							0	0	0							-855.5647566	0.03534432503	-2066.34022039602	
853.0047566	94	1	5	0.6090800455	0.03414483773	98.30018398	0.3329280655	1.36688795	86.46184219	2.10573532	11.43242249							0	0	0							-853.0047566	0.03414483773	-2209.66330193572	
850.4447566	94	1	5	0.6220147716	0.03302215495	98.25277238	0.3341015617	1.41312606	86.05918363	2.166236357	11.77458002							0	0	0							-850.4447566	0.03302215495	-2358.4393230577	
847.8847566	94	1	5	0.634123417	0.03196941738	98.2054616	0.3349701562	1.459568241	85.6580502	2.226714315	12.11523548							0	0	0							-847.8847566	0.03196941738	-2512.75748167044	
845.3247566	94	1	5	0.6454821915	0.03098055928	98.15823488	0.3355457412	1.506219379	85.25840631	2.28717694	12.45441675							0	0	0							-845.3247566	0.03098055928	-2672.71062857758	
842.7647566	94	1	5	0.6561583294	0.03005019675	98.11107585	0.3358397921	1.553084363	84.86021535	2.347631681	12.79215297							0	0	0							-842.7647566	0.03005019675	-2838.39538921118	
840.2047566	94	1	5	0.6662113629	0.02917353436	98.06396852	0.3358633942	1.600168081	84.46343987	2.408085729	13.12847441							0	0	0							-840.2047566	0.02917353436	-3009.91240353941	
837.6447566	94	1	5	0.6756941866	0.02834628683	98.01689731	0.3356272672	1.647475427	84.06804161	2.468546056	13.46341234							0	0	0							-837.6447566	0.02834628683	-3187.36642776524	
835.0847566	94	1	5	0.6846539505	0.02756461282	97.96984691	0.3351417874	1.6950113	83.67398162	2.529019444	13.79699894							0	0	0							-835.0847566	0.02756461282	-3370.86658008967	
832.5247566	94	1	5	0.6931328131	0.0268250589	97.92280239	0.3344170072	1.742780605	83.28122032	2.589512513	14.12926716							0	0	0							-832.5247566	0.0268250589	-3560.5266095606	
829.9647566	94	1	5	0.7011685806	0.02612451175	97.87574907	0.3334626733	1.790788259	82.88971757	2.650031749	14.46025068							0	0	0							-829.9647566	0.02612451175	-3756.46512633342	
827.4047566	94	1	5	0.7087952495	0.02546015732	97.82867257	0.3322882437	1.839039187	82.49943272	2.71058352	14.78998376							0	0	0							-827.4047566	0.02546015732	-3958.80599691397	
824.8447566	94	1	5	0.7160434716	0.02482944575	97.78155877	0.3309029019	1.88753833	82.11032466	2.771174101	15.11850124							0	0	0							-824.8447566	0.02482944575	-4169.44854312087	
822.2847566	94	1	5	0.7229410799	0.02423053355	97.73439261	0.3293156459	1.93629174	81.72234502	2.831810957	15.44584402							0	0	0							-822.2847566	0.02423053355	-4382.94647565299	
819.7247566	94	1	5	0.7295129166	0.02365991376	97.68716284	0.3275350214	1.985302142	81.33546585	2.892497844	15.77203631							0	0	0							-819.7247566	0.02365991376	-4603.80514655043	
817.1647566	94	1	5	0.7357819048	0.02311702922	97.63985478	0.3255695219	2.034575693	80.94963793	2.953241938	16.09712013							0	0	0							-817.1647566	0.02311702922	-4834.75682332963	
814.6047566	94	1	5	0.7417687899	0.02259968547	97.59245522	0.3234273618	2.084117418	80.56481879	3.014049286	16.42113192							0	0	0							-814.6047566	0.02259968547	-5071.18362700876	
812.0447566	94	1	5	0.7474924907	0.02210627063	97.5449511	0.32111654	2.133932365	80.18096571	3.074925904	16.74410839							0	0	0							-812.0447566	0.02210627063	-5314.88220084224	
809.4847566	94	1	5	0.7529702948	0.02163530787	97.49732954	0.3186448487	2.184025612	79.79803571	3.135877791	17.06608649							0	0	0							-809.4847566	0.02163530787	-5566.03367167614	
806.9247566	94	1	5	0.7582180292	0.02118543959	97.44957785	0.3160198816	2.234402272	79.41598562	3.196910941	17.38710344							0	0	0							-806.9247566	0.02118543959	-5824.81917965275	
804.3647566	94	1	5	0.7632502108	0.02075541595	97.40168347	0.313249042	2.285067491	79.03477204	3.258031351	17.7071966							0	0	0							-804.3647566	0.02075541595	-6091.43162490559	
801.8047566	94	1	5	0.7680801776	0.02034408453	97.353634	0.3103395496	2.336026454	78.6543514	3.319245026	18.02640358							0	0	0							-801.8047566	0.02034408453	-6366.07499168111	
799.2447566	94	1	5	0.7727202054	0.01995038109	97.30541717	0.307298447	2.387284388	78.27467991	3.380557993	18.3447621							0	0	0							-799.2447566	0.01995038109	-6648.96576511957	
796.6847566	94	1	5	0.777181611	0.01957332148	97.25702083	0.3041326059	2.438846562	77.89571364	3.441976304	18.66231006							0	0	0							-796.6847566	0.01957332148	-6940.33360551831	
794.1247566	94	1	5	0.781474843	0.01921199429	97.20843297	0.3008487326	2.490718295	77.51740845	3.503506044	18.97908551							0	0	0							-794.1247566	0.01921199429	-7240.42253366619	
791.5647566	94	1	5	0.7856095633	0.01886555442	97.15964167	0.2974533732	2.542904954	77.13972005	3.56515334	19.29512661							0	0	0							-791.5647566	0.01886555442	-7549.49289229656	
789.0047566	94	1	5	0.7895947191	0.01853321728	97.11063512	0.2939529183	2.59541196	76.76260394	3.626924367	19.6104717							0	0	0							-789.0047566	0.01853321728	-7867.82183763574	
786.4447566	94	1	5	0.7934386074	0.01821425355	97.0614016	0.2903536073	2.648244788	76.38601545	3.688825355	19.9251592							0	0	0							-786.4447566	0.01821425355	-8195.70588356051	
783.8847566	94	1	5	0.797148933	0.01790798459	97.01192949	0.2866615329	2.701408975	76.0099097	3.750862594	20.23922771							0	0	0							-783.8847566	0.01790798459	-8533.46245024374	
781.3247566	94	1	5	0.8007328596	0.01761377819	96.96220724	0.2828826445	2.75491012	75.6342416	3.813042445	20.55271595							0	0	0							-781.3247566	0.01761377819	-8881.43149626488	
778.7647566	94	1	5	0.8041970566	0.01733104482	96.91222336	0.2790227516	2.808753886	75.25896585	3.875371341	20.86566281							0	0	0							-778.7647566	0.01733104482	-9239.97859534249	
776.2047566	94	1	5	0.8075477409	0.01705923423	96.86196647	0.2750875274	2.862946006	74.8840369	3.937855799	21.1781073							0	0	0							-776.2047566	0.01705923423	-9609.49702538479	
773.6447566	94	1	5	0.8107907143	0.01679783236	96.8114252	0.2710825114	2.917492287	74.50940893	4.000502424	21.49008865							0	0	0							-773.6447566	0.01679783236	-9990.41002545832	
771.0847566	94	1	5	0.8139313973	0.01654635853	96.76058828	0.2670131125	2.97239861	74.13503585	4.063317919	21.80164623							0	0	0							-771.0847566	0.01654635853	-10383.1748491674	
768.5247566	94	1	5	0.8169748604	0.01630436295	96.70944445	0.2628846112	3.027670936	73.76087128	4.126309088	22.11281963							0	0	0							-768.5247566	0.01630436295	-10788.2869186087	
765.9647566	94	1	5	0.8199258511	0.01607142443	96.65798253	0.258702162	3.08331531	73.38686849	4.189482848	22.42364866							0	0	0							-765.9647566	0.01607142443	-11206.2816300274	
763.4047566	94	1	5	0.82278882	0.01584714823	96.60619134	0.2544707959	3.139337864	73.0129804	4.252846231	22.73417337							0	0	0							-763.4047566	0.01584714823	-11637.740966263	
760.8447566	94	1	5	0.8255679429	0.01563116425	96.55405976	0.2501954218	3.195744821	72.63915956	4.316406399	23.04443405							0	0	0							-760.8447566	0.01563116425	-12083.2980981393	
758.2847566	94	1	5	0.8282671421	0.01542312523	96.50157667	0.2458808289	3.252542498	72.26535807	4.380170646	23.35447129							0	0	0							-758.2847566	0.01542312523	-12543.6419918801	
755.7247566	94	1	5	0.8308901054	0.0152227052	96.448731	0.2415316882	3.309737315	71.8915276	4.444146412	23.66432599							0	0	0							-755.7247566	0.0152227052	-13019.5259821703	
753.1647566	94	1	5	0.8334403034	0.01502959805	96.39551165	0.2371525539	3.367335791	71.51761933	4.508341285	23.97403938							0	0	0							-753.1647566	0.01502959805	-13511.7738233112	
750.6047566	94	1	5	0.8359210049	0.01484351619	96.34190758	0.2327478649	3.425344559	71.14358391	4.572763017	24.28365307							0	0	0							-750.6047566	0.01484351619	-14021.2888007332	
748.0447566	94	1	5	0.8383352923	0.01466418937	96.28790769	0.2283219466	3.483770362	70.76937142	4.637419532	24.59320905							0	0	0							-748.0447566	0.01466418937	-14549.0630780751	
