T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
927.6456036	99	1	0	0	99.88713254	0.1128674564	99	1	0.001701469164	-0.001701469164	-927.6456036	0	2.57100089993827	
927.6356036	99	1	0.001915455963	0.001914787128	99.88693813	0.1130618716	98.99829853	1.001701471	0	0	-927.6356036	0.001914787128	7.87402440210241	
927.6156036	99	1	0.005727646817	0.00381786062	99.88654929	0.1134507089	98.99489574	1.005104257	0	0	-927.6156036	0.00381786062	10.544079394513	
927.5756036	99	1	0.01327432285	0.007586848736	99.88577159	0.1142284134	98.9880908	1.011909201	0	0	-927.5756036	0.007586848736	10.69454062846	
927.4956036	99	1	0.0280382842	0.01495730946	99.88421609	0.1157839095	98.97448357	1.025516432	0	0	-927.4956036	0.01495730946	11.0026165477974	
927.3356036	99	1	0.05636303647	0.02913145876	99.88110464	0.1188953604	98.9472793	1.052720701	0	0	-927.3356036	0.02913145876	11.6078998803731	
927.0156036	99	1	0.108623504	0.05536180244	99.87487997	0.1251200323	98.89291183	1.107088169	0	0	-927.0156036	0.05536180244	12.901196468956	
926.3756036	99	1	0.1984253323	0.1007067197	99.86242353	0.1375764742	98.78434173	1.215658268	0	0	-926.3756036	0.1007067197	15.777409258763	
925.0956036	99	1	0.3351565066	0.1705075723	99.83748158	0.1625184184	98.56786172	1.432138281	0	0	-925.0956036	0.1705075723	-92.1942310282905	
923.8156036	99	1	0.4333683239	0.1476494343	99.81250032	0.1874996807	98.35226853	1.647731475	0	0	-923.8156036	0.1476494343	-65.667475311388	
922.5356036	99	1	0.5071478486	0.1301337399	99.78747835	0.212521651	98.13756346	1.86243654	0	0	-922.5356036	0.1301337399	-83.8968868486599	
921.2556036	99	1	0.5644974262	0.1162883138	99.76241472	0.2375852842	97.92375077	2.076249234	0	0	-921.2556036	0.1162883138	-104.400650194831	
919.9756036	99	1	0.6102877406	0.1050686526	99.73730837	0.2626916318	97.71083315	2.289166849	0	0	-919.9756036	0.1050686526	-127.167588869708	
918.6956036	99	1	0.6476485335	0.09579221064	99.71215827	0.2878417317	97.49881275	2.501187252	0	0	-918.6956036	0.09579221064	-152.19732283512	
917.4156036	99	1	0.6786801288	0.08799424529	99.68696339	0.3130366081	97.28769114	2.712308856	0	0	-917.4156036	0.08799424529	-179.490449527535	
916.1356036	99	1	0.7048430595	0.08134732731	99.66172273	0.3382772716	97.07746941	2.922530594	0	0	-916.1356036	0.08134732731	-209.047762338403	
914.8556036	99	1	0.7271835618	0.07561410352	99.63643528	0.3635647195	96.8681481	3.131851899	0	0	-914.8556036	0.07561410352	-240.870357287968	
