T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
866.2420389	89	1	10	0	0	98.59055423	0.1769437779	1.232501996	89	1	10				0.001508112238	-0.0001294270847	-0.001378685153				-866.2420389	0	31.558798958926	
866.2320389	89	1	10	0.0001578176595	0.0001574009076	98.59035414	0.1769500816	1.232695778	88.99849181	1.000129443	10.00137875				0	0	0				-866.2320389	0.0001574009076	95.5052714135743	
866.2120389	89	1	10	0.0004729600878	0.0003143924949	98.58995398	0.1769626529	1.233083367	88.99547576	1.000388288	10.00413595				0	0	0				-866.2120389	0.0003143924949	127.387632388344	
866.1720389	89	1	10	0.001102695994	0.0006284328344	98.58915365	0.1769877746	1.233858578	88.98944394	1.000905984	10.00965008				0	0	0				-866.1720389	0.0006284328344	127.456021753798	
866.0920389	89	1	10	0.002359902034	0.001255277167	98.58755296	0.1770378709	1.235409171	88.97738197	1.00194135	10.02067668				0	0	0				-866.0920389	0.001255277167	127.768719058246	
865.9320389	89	1	10	0.004865341614	0.002504707253	98.58435152	0.1771374966	1.238510988	88.95326471	1.004011968	10.04272332				0	0	0				-865.9320389	0.002504707253	128.358925790072	
865.6120389	89	1	10	0.009840612991	0.004986177212	98.5779483	0.1773343863	1.244717316	88.90505691	1.00815275	10.08679034				0	0	0				-865.6120389	0.004986177212	129.64800675385	
864.9720389	89	1	10	0.01963980249	0.009871275809	98.56514056	0.1777187472	1.257140697	88.80874863	1.016431939	10.17481944				0	0	0				-864.9720389	0.009871275809	132.290838194884	
863.6920389	89	1	10	0.03867665096	0.01936826241	98.5395189	0.1784505507	1.282030553	88.61655631	1.032982892	10.35046079				0	0	0				-863.6920389	0.01936826241	137.487859157697	
861.1320389	89	1	10	0.07464657969	0.03731968481	98.4882453	0.1797703143	1.331984381	88.2338532	1.066059975	10.70008682				0	0	0				-861.1320389	0.03731968481	-2034.2147781328	
858.5720389	89	1	10	0.1080020323	0.03594926056	98.43692234	0.1808977476	1.382179917	87.8533828	1.099067497	11.04754971				0	0	0				-858.5720389	0.03594926056	-1937.85285080834	
856.0120389	89	1	10	0.1390145439	0.03467115703	98.38553716	0.1818406825	1.432622162	87.47510552	1.132011001	11.39288348				0	0	0				-856.0120389	0.03467115703	-2076.341257025	
