T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
892.5195384	92	8	0	0	97.44718719	2.552812808	92	8	0.001896671102	-0.001896671102	-892.5195384	0	14.3048416544701	
892.5095384	92	8	0.0003461649344	0.0003482295214	97.44657359	2.55342641	91.99810317	8.001896832	0	0	-892.5095384	0.0003482295214	43.1285428546177	
892.4895384	92	8	0.001037784728	0.0006959409939	97.44534636	2.554653637	91.99430977	8.00569023	0	0	-892.4895384	0.0006959409939	57.5448469300761	
892.4495384	92	8	0.002418625396	0.001390426865	97.44289158	2.557108425	91.98672417	8.013275827	0	0	-892.4495384	0.001390426865	57.6481159248828	
892.3695384	92	8	0.005171376573	0.002775685608	97.43798234	2.562017657	91.9715543	8.028445704	0	0	-892.3695384	0.002775685608	57.8624324734109	
892.2095384	92	8	0.0106409081	0.005530310643	97.42816395	2.571836051	91.94122254	8.058777457	0	0	-892.2095384	0.005530310643	58.3072547621577	
891.8895384	92	8	0.02143803738	0.0109772622	97.4085274	2.591472602	91.88059114	8.119408857	0	0	-891.8895384	0.0109772622	59.2708913673047	
891.2495384	92	8	0.04244130476	0.02159278686	97.36925548	2.630744516	91.75945914	8.240540858	0	0	-891.2495384	0.02159278686	61.2601402420019	
889.9695384	92	8	0.08229514484	0.04187312054	97.29071198	2.709288018	91.51771984	8.482280159	0	0	-889.9695384	0.04187312054	65.2217825110851	
887.4095384	92	8	0.1542910402	0.07893621656	97.13360514	2.866394863	91.03638747	8.963612531	0	0	-887.4095384	0.07893621656	-669.114160621506	
884.8495384	92	8	0.2169160698	0.07453319753	96.9764322	3.023567803	90.55800145	9.441998551	0	0	-884.8495384	0.07453319753	-614.860663051174	
882.2895384	92	8	0.2717966475	0.0705642382	96.81914369	3.180856307	90.08264571	9.917354287	0	0	-882.2895384	0.0705642382	-680.679549090646	
879.7295384	92	8	0.3202174201	0.0669735427	96.6616919	3.338308096	89.6103955	10.3896045	0	0	-879.7295384	0.0669735427	-750.448062914946	
877.1695384	92	8	0.3632015289	0.06371040884	96.50402936	3.495970638	89.14131396	10.85868604	0	0	-877.1695384	0.06371040884	-823.859098271012	
874.6095384	92	8	0.4015728166	0.06073281332	96.3461091	3.653890902	88.67545352	11.32454648	0	0	-874.6095384	0.06073281332	-900.970380812602	
872.0495384	92	8	0.4360013187	0.05800569415	96.18788461	3.812115393	88.21285652	11.78714348	0	0	-872.0495384	0.05800569415	-981.853749745359	
869.4895384	92	8	0.4670369677	0.05549955789	96.02930981	3.97069019	87.75355587	12.24644413	0	0	-869.4895384	0.05549955789	-1066.58640482724	
866.9295384	92	8	0.4951348986	0.05318940885	95.87033901	4.129660992	87.29757568	12.70242432	0	0	-866.9295384	0.05318940885	-1155.25068340374	
864.3695384	92	8	0.5206746846	0.05105391692	95.71092684	4.289073158	86.84493193	13.15506807	0	0	-864.3695384	0.05105391692	-1247.933879667	
861.8095384	92	8	0.5439751214	0.04907476406	95.55102824	4.448971756	86.39563309	13.60436691	0	0	-861.8095384	0.04907476406	-1344.72809937919	
859.2495384	92	8	0.5653057106	0.04723612634	95.39059839	4.609401609	85.94968073	14.05031927	0	0	-859.2495384	0.04723612634	-1445.73019557872	
856.6895384	92	8	0.5848956625	0.04552425982	95.22959265	4.770407347	85.5070701	14.4929299	0	0	-856.6895384	0.04552425982	-1551.04175739474	
854.1295384	92	8	0.602941019	0.04392716673	95.06796654	4.932033456	85.06779072	14.93220928	0	0	-854.1295384	0.04392716673	-1660.76916236674	
851.5695384	92	8	0.6196103337	0.04243432435	94.90567567	5.094324331	84.63182689	15.36817311	0	0	-851.5695384	0.04243432435	-1775.02373486793	
849.0095384	92	8	0.6350492381	0.04103646329	94.74267567	5.257324327	84.19915823	15.80084177	0	0	-849.0095384	0.04103646329	-1893.92190722593	
846.4495384	92	8	0.6493841369	0.03972538482	94.57892218	5.421077815	83.76976011	16.23023989	0	0	-846.4495384	0.03972538482	-2017.58362460081	
843.8895384	92	8	0.6627252195	0.03849380751	94.41437138	5.58562862	83.34360414	16.65639586	0	0	-843.8895384	0.03849380751	-2146.14074519225	
