T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
871.0326213	87	8	5	0	0	97.76408837	1.869952809	0.3659588235	87	8	5	0.002313187288	-0.001317327043	-0.0009958602448	-871.0326213	0	23.151450749238	
871.0226213	87	8	5	0.0002139704669	0.0002150063516	97.76385085	1.870141067	0.3660080839	86.99768676	8.001317443	5.000995801	0	0	0	-871.0226213	0.0002150063516	69.8690570225046	
871.0026213	87	8	5	0.00064140403	0.0004296301725	97.76337591	1.870517477	0.3661066123	86.99306015	8.003952178	5.002987672	0	0	0	-871.0026213	0.0004296301725	93.2031554082414	
870.9626213	87	8	5	0.001495372184	0.0008586451149	97.76242615	1.87127021	0.3663036367	86.98380584	8.009222149	5.006972015	0	0	0	-870.9626213	0.0008586451149	93.2920727942936	
870.8826213	87	8	5	0.0031997418	0.001715154786	97.76052845	1.872774085	0.3666974616	86.96529311	8.019763786	5.014943104	0	0	0	-870.8826213	0.001715154786	93.5189755699886	
870.7226213	87	8	5	0.006594276002	0.003421796046	97.7567393	1.875776402	0.3674842957	86.92825127	8.040853847	5.030894879	0	0	0	-870.7226213	0.003421796046	93.9860387473832	
870.4026213	87	8	5	0.01332701808	0.006809765872	97.74918596	1.881759342	0.3690546978	86.85410203	8.083061194	5.062836772	0	0	0	-870.4026213	0.006809765872	95.0044621373579	
869.7626213	87	8	5	0.02655198113	0.01347012981	97.73418203	1.893634424	0.3721835489	86.70554422	8.167572276	5.126883503	0	0	0	-869.7626213	0.01347012981	97.0985126265789	
868.4826213	87	8	5	0.05211557926	0.02639243057	97.7045766	1.917032389	0.3783910163	86.40737912	8.337013551	5.255607331	0	0	0	-868.4826213	0.02639243057	101.199960528327	
865.9226213	87	8	5	0.09994599063	0.05071769357	97.64695915	1.96243753	0.3906033191	85.8068424	8.677608647	5.515548951	0	0	0	-865.9226213	0.05071769357	-1549.14500229138	
863.3626213	87	8	5	0.1437468044	0.04892390588	97.59137846	2.006101657	0.4025198818	85.2006391	9.020794802	5.778566099	0	0	0	-863.3626213	0.04892390588	-1481.80841427394	
860.8026213	87	8	5	0.1839841928	0.04725365584	97.53780331	2.048056773	0.414139917	84.588749	9.366623822	6.044627178	0	0	0	-860.8026213	0.04725365584	-1590.00015516047	
858.2426213	87	8	5	0.2210579503	0.0456959431	97.48620233	2.088335115	0.4254625592	83.97116675	9.715137736	6.31369551	0	0	0	-858.2426213	0.0456959431	-1702.13555371414	
855.6826213	87	8	5	0.2553108292	0.04423894764	97.43654399	2.126968926	0.4364870815	83.34790002	10.06636839	6.585731594	0	0	0	-855.6826213	0.04423894764	-1816.9653099677	
853.1226213	87	8	5	0.2870382001	0.042872284	97.38879666	2.163990494	0.4472128472	82.71897113	10.42033679	6.860692076	0	0	0	-853.1226213	0.042872284	-1934.15164189126	
850.5626213	87	8	5	0.3164958607	0.04158682421	97.34292849	2.199432231	0.4576392826	82.08441818	10.77705277	7.138529045	0	0	0	-850.5626213	0.04158682421	-2053.34535864051	
848.0026213	87	8	5	0.3439063638	0.04037451156	97.29890739	2.233326752	0.4677658539	81.44429603	11.13651462	7.419189355	0	0	0	-848.0026213	0.04037451156	-2174.16727080009	
845.4426213	87	8	5	0.3694641802	0.03922820781	97.25670102	2.265706929	0.4775920475	80.79867728	11.49870872	7.702614002	0	0	0	-845.4426213	0.03922820781	-2296.21279978689	
842.8826213	87	8	5	0.3933399387	0.03814156702	97.21627671	2.296605937	0.487117354	80.14765327	11.8636092	7.988737535	0	0	0	-842.8826213	0.03814156702	-2419.05825351762	
840.3226213	87	8	5	0.415683929	0.03710893109	97.17760145	2.326057291	0.4963412553	79.49133484	12.23117761	8.277487542	0	0	0	-840.3226213	0.03710893109	-2542.26873418066	
