T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
886.8558494	82	17	1	0	0	98.2916931	1.210306284	0.4980006161	82	17	1							0.003188654571	-0.003090400364	-9.825420733E-05	-886.8558494	0	51.0552989510299	
886.8358494	82	17	1	0.0004235348018	0.0003914334475	98.29119802	1.210802051	0.4979999262	81.99362296	17.00618049	1.000196543							0	0	0	-886.8358494	0.0003914334475	51.1332090965958	
886.8158494	82	17	1	0.0008464228493	0.0007822713862	98.29070295	1.211297833	0.4979992179	81.98724737	17.01235963	1.000392997							0	0	0	-886.8158494	0.0007822713862	51.1876863905736	
886.7758494	82	17	1	0.001691420255	0.001563234307	98.28971278	1.212289335	0.4979978858	81.97449989	17.02471418	1.000785929							0	0	0	-886.7758494	0.001563234307	51.2617792667463	
886.6958494	82	17	1	0.003377151418	0.003121246482	98.28773238	1.214272199	0.4979954196	81.94902036	17.04940805	1.001571598							0	0	0	-886.6958494	0.003121246482	51.4337512988364	
886.5358494	82	17	1	0.006731644827	0.006221695398	98.28377135	1.218237368	0.4979912766	81.89812308	17.09873476	1.003142152							0	0	0	-886.5358494	0.006221695398	51.8284209438388	
886.2158494	82	17	1	0.01335504296	0.01234390119	98.27584827	1.226168402	0.4979833327	81.79658048	17.19714521	1.006274311							0	0	0	-886.2158494	0.01234390119	52.6469257132303	
885.5758494	82	17	1	0.02632246794	0.024331739	98.25999802	1.242024764	0.497977219	81.59449139	17.39298877	1.01251984							0	0	0	-885.5758494	0.024331739	54.1946848379742	
884.2958494	82	17	1	0.05115536836	0.04729508684	98.22827963	1.273722267	0.4979981047	81.19432001	17.78075819	1.024921799							0	0	0	-884.2958494	0.04729508684	57.4464754003382	
881.7358494	82	17	1	0.0968245384	0.08954996556	98.16476045	1.337066967	0.4981725787	80.41006685	18.54057441	1.049358735							0	0	0	-881.7358494	0.08954996556	64.2132798740082	
879.1758494	82	17	1	0.1378001878	0.1274919251	98.10110921	1.400373665	0.4985171221	79.64728577	19.27943692	1.07327731							0	0	0	-879.1758494	0.1274919251	71.3071528989865	
876.6158494	82	17	1	0.1747468604	0.1617309483	98.03729905	1.463675497	0.4990254518	78.90585242	19.99749233	1.096655255							0	0	0	-876.6158494	0.1617309483	78.8111569815829	
874.0558494	82	17	1	0.2082127126	0.1927702694	97.97330218	1.527007746	0.499690079	78.18549951	20.69502411	1.119476389							0	0	0	-874.0558494	0.1927702694	86.7216163766286	
871.4958494	82	17	1	0.2386556518	0.2210303767	97.90908988	1.590407049	0.5005030731	77.48584134	21.37242784	1.141730822							0	0	0	-871.4958494	0.2210303767	95.0302864790934	
868.9358494	82	17	1	0.2664606869	0.2468649152	97.84463254	1.653911139	0.5014563177	76.80639766	22.03018816	1.16341418							0	0	0	-868.9358494	0.2468649152	103.742227814909	
866.3758494	82	17	1	0.2919468514	0.2705667683	97.77989889	1.717560681	0.5025404268	76.14661533	22.66886062	1.184524047							0	0	0	-866.3758494	0.2705667683	112.808193941321	
863.8158494	82	17	1	0.3154053623	0.2924041109	97.71485916	1.781390658	0.5037501833	75.50588866	23.28904073	1.205070609							0	0	0	-863.8158494	0.2924041109	122.224690434319	
