T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(LI@ALCU_THETA)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
880.2506947	80	19	1	0	0	98.12096517	1.410725401	0.4683094279	80	19	1										0.002988371663	-0.002900688049	-8.768361407E-05	-880.2506947	0	60.5832534757298	
880.2306947	80	19	1	0.0003606575026	0.0003298603255	98.12045164	1.411239138	0.4683092232	79.9940235	19.0058011	1.000175403										0	0	0	-880.2306947	0.0003298603255	60.6801932257165	
880.2106947	80	19	1	0.0007207376381	0.0006591945219	98.1199381	1.411752906	0.4683089978	79.98804842	19.01160087	1.000350709										0	0	0	-880.2106947	0.0006591945219	60.742536960244	
880.1706947	80	19	1	0.001440395761	0.001317409488	98.11891097	1.412780401	0.4683086247	79.97610193	19.02319672	1.000701341										0	0	0	-880.1706947	0.001317409488	60.815686158637	
880.0906947	80	19	1	0.002876482063	0.002630908618	98.11685658	1.414835366	0.4683080494	79.95222425	19.04637338	1.00140237										0	0	0	-880.0906947	0.002630908618	60.9968735802403	
879.9306947	80	19	1	0.005735793519	0.005246237253	98.11274723	1.41894519	0.4683075805	79.90453001	19.09266651	1.002803485										0	0	0	-879.9306947	0.005246237253	61.4091535051949	
879.6106947	80	19	1	0.01139033497	0.01041864432	98.10452576	1.427166804	0.4683074391	79.80938874	19.18501341	1.005597849										0	0	0	-879.6106947	0.01041864432	62.2621687119496	
878.9706947	80	19	1	0.02248765421	0.0205712001	98.08807288	1.443611062	0.4683160628	79.62008597	19.36874685	1.011167184										0	0	0	-878.9706947	0.0205712001	63.8771356818207	
877.6906947	80	19	1	0.04384465386	0.0401155937	98.05512499	1.476510388	0.4683646199	79.24539729	19.7323839	1.022218806										0	0	0	-877.6906947	0.0401155937	67.2520414616256	
875.1306947	80	19	1	0.08348928037	0.07641672329	97.98904955	1.542365282	0.468585163	78.51159623	20.4444348	1.043968965										0	0	0	-875.1306947	0.07641672329	74.2336709163951	
872.5706947	80	19	1	0.1194850674	0.1094033727	97.92271095	1.608326349	0.4689626986	77.79832366	21.13644221	1.065234121										0	0	0	-872.5706947	0.1094033727	81.500099203529	
870.0106947	80	19	1	0.1523024931	0.1395025099	97.85608051	1.674429874	0.4694896193	77.10519965	21.80879482	1.08600553										0	0	0	-870.0106947	0.1395025099	89.1235585176111	
867.4506947	80	19	1	0.1823369376	0.167073025	97.78912828	1.740713764	0.4701579541	76.43175948	22.46196191	1.106278613										0	0	0	-867.4506947	0.167073025	97.1109610446284	
864.8906947	80	19	1	0.2099173302	0.1924133713	97.72182244	1.807218832	0.4709587263	75.7774728	23.09647668	1.126050527										0	0	0	-864.8906947	0.1924133713	105.419462121755	
862.3306947	80	19	1	0.2353450543	0.2157977002	97.65413239	1.87398114	0.4718864751	75.1417614	23.71290943	1.145329166										0	0	0	-862.3306947	0.2157977002	114.04649302923	
859.7706947	80	19	1	0.2588577136	0.2374416726	97.58602409	1.941043376	0.4729325332	74.52401384	24.31186849	1.16411767										0	0	0	-859.7706947	0.2374416726	123.001683901626	
857.2106947	80	19	1	0.2806671119	0.257537788	97.5174633	2.008446914	0.4740897876	73.92359838	24.89397745	1.182424163										0	0	0	-857.2106947	0.257537788	132.256058333323	
854.6506947	80	19	1	0.3009564886	0.2762526466	97.44841474	2.076233761	0.475351502	73.33987362	25.45986775	1.200258623										0	0	0	-854.6506947	0.2762526466	141.793569885962	
852.0906947	80	19	1	0.3198849984	0.2937310071	97.37884213	2.14444653	0.4767113386	72.7721972	26.01017033	1.21763247										0	0	0	-852.0906947	0.2937310071	151.597131560457	
849.5306947	80	19	1	0.3375914018	0.3100991307	97.3087082	2.213128432	0.4781633675	72.21993266	26.54550913	1.234558218										0	0	0	-849.5306947	0.3100991307	161.648709922085	
846.9706947	80	19	1	0.3541971177	0.3254675477	97.23797463	2.282323301	0.4797020658	71.68245488	27.06649594	1.251049178										0	0	0	-846.9706947	0.3254675477	171.929418989133	
844.4106947	80	19	1	0.3698087616	0.3399333579	97.16660206	2.352075632	0.4813223097	71.15915417	27.57372661	1.267119215										0	0	0	-844.4106947	0.3399333579	182.419595994369	
841.8506947	80	19	1	0.3845202656	0.3535821529	97.09455	2.422430642	0.4830193607	70.64943923	28.06777822	1.282782547										0	0	0	-841.8506947	0.3535821529	193.098866008735	
