T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
848.4132998	76	20	4	0	0	97.30204406	0.5942397185	2.103716219	76	20	4							0.001577503133	-0.001437081511	-0.0001404216219	-848.4132998	0	134.841993490926	
848.3932998	76	20	4	0.0001566260501	0.0001481954005	97.30177096	0.5943285403	2.103900501	75.9968456	20.0028734	4.000281003							0	0	0	-848.3932998	0.0001481954005	135.071916556259	
848.3732998	76	20	4	0.0003129873654	0.0002961389671	97.301498	0.594417489	2.104084515	75.99369075	20.00574772	4.000561533							0	0	0	-848.3732998	0.0002961389671	135.185500315798	
848.3332998	76	20	4	0.0006257224601	0.0005920338646	97.300952	0.5945952355	2.104452765	75.98738363	20.01149365	4.001122716							0	0	0	-848.3332998	0.0005920338646	135.248901489258	
848.2532998	76	20	4	0.00125029903	0.001182962044	97.29986018	0.5949506251	2.105189198	75.97477604	20.02297983	4.002244128							0	0	0	-848.2532998	0.001182962044	135.486999248446	
848.0932998	76	20	4	0.002496576539	0.002362033435	97.2976774	0.59566115	2.106661455	75.94958628	20.04593107	4.004482654							0	0	0	-848.0932998	0.002362033435	135.923998480623	
847.7732998	76	20	4	0.004977159846	0.004708594476	97.29331513	0.5970810659	2.109603803	75.89930875	20.09174828	4.008942973							0	0	0	-847.7732998	0.004708594476	136.890632521923	
847.1332998	76	20	4	0.009883615624	0.009348944344	97.28460817	0.5999203845	2.115471449	75.79913301	20.18308236	4.017784627							0	0	0	-847.1332998	0.009348944344	138.866469810906	
845.8532998	76	20	4	0.01950549235	0.01844498923	97.26725021	0.6055854231	2.127164362	75.60035083	20.36445555	4.035193621							0	0	0	-845.8532998	0.01844498923	142.689515883407	
843.2932998	76	20	4	0.03800974284	0.03592262655	97.23276094	0.6168720777	2.150366979	75.20881726	20.72226304	4.0689197							0	0	0	-843.2932998	0.03592262655	150.471257857357	
