T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
444.7391053	72	18	10	0	0	92.8153474	0.05891633744	7.125736265	72	18	10	0.0008106645983	-0.0006987319099	-0.0001119326884	-717.8891053	0	256.502122825827	
444.7191053	72	18	10	7.926400594E-05	7.793214948E-05	92.81493553	0.05891087858	7.126153596	71.99837926	18.00139667	10.00022407	0	0	0	-717.8691053	7.793214948E-05	256.764869896207	
444.6991053	72	18	10	0.0001584485729	0.0001557846326	92.81452385	0.0589054351	7.12657071	71.99675731	18.00279507	10.00044762	0	0	0	-717.8491053	0.0001557846326	256.872074959829	
444.6591053	72	18	10	0.0003168669359	0.0003115333207	92.81370036	0.05889453184	7.127405111	71.99351469	18.00559028	10.00089503	0	0	0	-717.8091053	0.0003115333207	256.876259551072	
444.5791053	72	18	10	0.0006335294571	0.000622840711	92.81205343	0.05887271871	7.12907385	71.98702994	18.01118074	10.00178932	0	0	0	-717.7291053	0.000622840711	257.02903313133	
444.4191053	72	18	10	0.001266573784	0.001245104724	92.80876018	0.05882908545	7.13241073	71.97406105	18.02236375	10.0035752	0	0	0	-717.5691053	0.001245104724	257.244712250791	
444.0991053	72	18	10	0.002531210694	0.002487907	92.80217584	0.05874177589	7.139082379	71.9481268	18.04473655	10.00713665	0	0	0	-717.2491053	0.002487907	257.720964362972	
443.4591053	72	18	10	0.005054705274	0.004966641076	92.78901581	0.05856698587	7.152417207	71.89627214	18.08950954	10.01421832	0	0	0	-716.6091053	0.004966641076	258.751413105906	
442.1791053	72	18	10	0.01007431394	0.009892474036	92.76274734	0.05821772631	7.17903493	71.79255254	18.17926231	10.02818515	0	0	0	-715.3291053	0.009892474036	260.854175026549	
439.6191053	72	18	10	0.02001891412	0.01963257954	92.71036606	0.05751761372	7.23211633	71.58525722	18.35931389	10.05542889	0	0	0	-712.7691053	0.01963257954	264.875090812179	
437.0591053	72	18	10	0.02983743451	0.02922460828	92.6582038	0.05681621145	7.284979989	71.37809477	18.54017122	10.08173401	0	0	0	-710.2091053	0.02922460828	268.940369044533	
434.4991053	72	18	10	0.03953311516	0.03867244097	92.60626138	0.05611374892	7.337624875	71.17104553	18.72185205	10.10710242	0	0	0	-707.6491053	0.03867244097	273.020707470099	
431.9391053	72	18	10	0.04910912601	0.04797986671	92.55453951	0.05541044536	7.390050049	70.96409082	18.90437309	10.13153609	0	0	0	-705.0891053	0.04797986671	277.115584694825	
429.3791053	72	18	10	0.0585684921	0.05715051083	92.50303898	0.054706517	7.442254501	70.7572126	19.08775055	10.15503684	0	0	0	-702.5291053	0.05715051083	281.225588608013	
426.8191053	72	18	10	0.06791410101	0.06618784337	92.45176067	0.05400217707	7.49423715	70.55039345	19.2720002	10.17760636	0	0	0	-699.9691053	0.06618784337	285.351334915454	
424.2591053	72	18	10	0.07714871001	0.0750951872	92.40070551	0.05329763582	7.545996852	70.3436165	19.45713732	10.19924619	0	0	0	-697.4091053	0.0750951872	289.493464517427	
421.6991053	72	18	10	0.08627495271	0.08387572563	92.34987451	0.05259310049	7.597532394	70.13686549	19.64317675	10.21995775	0	0	0	-694.8491053	0.08387572563	293.652644359828	
419.1391053	72	18	10	0.0952953453	0.0925325095	92.29926872	0.05188877529	7.648842503	69.93012473	19.83013289	10.23974238	0	0	0	-692.2891053	0.0925325095	297.829567199426	
416.5791053	72	18	10	0.1042122925	0.1010684639	92.24888929	0.05118486141	7.69992585	69.72337905	20.01801964	10.25860131	0	0	0	-689.7291053	0.1010684639	302.024948451723	
414.0191053	72	18	10	0.113028093	0.1094863946	92.1987374	0.05048155697	7.750781047	69.51661385	20.20685048	10.27653567	0	0	0	-687.1691053	0.1094863946	306.239533306364	
411.4591053	72	18	10	0.1217449449	0.1177889936	92.14881429	0.04977905702	7.801406653	69.30981506	20.3966384	10.29354655	0	0	0	-684.6091053	0.1177889936	310.474085970453	
408.8991053	72	18	10	0.1303649505	0.1259788454	92.09912127	0.0490775535	7.851801179	69.1029691	20.58739595	10.30963495	0	0	0	-682.0491053	0.1259788454	314.72939548054	
406.3391053	72	18	10	0.1388901208	0.1340584316	92.04965968	0.04837723525	7.901963084	68.89606294	20.77913521	10.32480185	0	0	0	-679.4891053	0.1340584316	319.006279250988	
403.7791053	72	18	10	0.1473223804	0.1420301363	92.00043093	0.04767828795	7.951890787	68.68908404	20.9718678	10.33904816	0	0	0	-676.9291053	0.1420301363	323.305570516579	
401.2191053	72	18	10	0.155663571	0.1498962508	91.95143644	0.04698089409	8.001582662	68.48202034	21.16560487	10.3523748	0	0	0	-674.3691053	0.1498962508	327.628135113318	
398.6591053	72	18	10	0.163915456	0.1576589776	91.90267772	0.04628523302	8.051037044	68.27486028	21.36035709	10.36478263	0	0	0	-671.8091053	0.1576589776	331.974854316589	
396.0991053	72	18	10	0.172079724	0.1653204354	91.85415628	0.04559148082	8.100252235	68.06759279	21.55613468	10.37627252	0	0	0	-669.2491053	0.1653204354	336.346627998686	
393.5391053	72	18	10	0.180157992	0.1728826625	91.80587369	0.04489981037	8.1492265	67.86020726	21.75294738	10.38684536	0	0	0	-666.6891053	0.1728826625	340.744387635687	
390.9791053	72	18	10	0.1881518094	0.1803476207	91.75783153	0.04421039126	8.197958075	67.65269355	21.95080444	10.39650202	0	0	0	-664.1291053	0.1803476207	345.169078865351	
388.4191053	72	18	10	0.1960626608	0.1877171991	91.71003144	0.04352338983	8.246445172	67.44504197	22.14971463	10.4052434	0	0	0	-661.5691053	0.1877171991	349.621670503375	
385.8591053	72	18	10	0.2038919691	0.1949932172	91.66247506	0.0428389691	8.294685975	67.23724331	22.34968625	10.41307044	0	0	0	-659.0091053	0.1949932172	354.10314986028	
383.2991053	72	18	10	0.2116410986	0.2021774285	91.61516406	0.04215728878	8.342678649	67.02928879	22.5507271	10.41998411	0	0	0	-656.4491053	0.2021774285	358.61452462046	
380.7391053	72	18	10	0.2193113575	0.2092715232	91.56810015	0.04147850526	8.390421341	66.82117007	22.7528445	10.42598542	0	0	0	-653.8891053	0.2092715232	363.156821132796	
378.1791053	72	18	10	0.2269040008	0.2162771315	91.52128505	0.04080277158	8.437912183	66.61287927	22.95604527	10.43107546	0	0	0	-651.3291053	0.2162771315	367.731076885189	
375.6191053	72	18	10	0.2344202328	0.2231958263	91.47472047	0.04013023741	8.485149296	66.40440892	23.16033573	10.43525535	0	0	0	-648.7691053	0.2231958263	372.338361270973	
373.0591053	72	18	10	0.2418612093	0.2300291254	91.42840816	0.03946104908	8.532130792	66.19575199	23.36572171	10.4385263	0	0	0	-646.2091053	0.2300291254	376.979754711998	
370.4991053	72	18	10	0.2492280401	0.2367784947	91.38234987	0.03879534954	8.57885478	65.98690186	23.57220853	10.44088961	0	0	0	-643.6491053	0.2367784947	381.656338781558	
367.9391053	72	18	10	0.2565217911	0.2434453505	91.33654736	0.03813327838	8.625319364	65.77785234	23.77980102	10.44234664	0	0	0	-641.0891053	0.2434453505	386.369230450853	
