T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
924.2650902	97	0	3	0	0	98.00145034	0	1.998549661	97	0	3				0.001562515225		-0.001562515225	-924.2650902	0	6.40942499367027	
924.2450902	97	0	3	0.003031940031	0.003114701476	97.99998159	0	2.000018406	96.9968756	0	3.003124399				0		0	-924.2450902	0.003114701476	6.43289723469715	
924.2250902	97	0	3	0.006053099966	0.006218079327	97.99851432	0	2.001485676	96.99375363	0	3.006246365				0		0	-924.2250902	0.006218079327	6.45740697656477	
924.1850902	97	0	3	0.01206044914	0.01238816883	97.99558426	0	2.004415743	96.98751712	0	3.012482884				0		0	-924.1850902	0.01238816883	6.50821200503591	
924.1050902	97	0	3	0.02393990315	0.02458649369	97.9897418	0	2.010258201	96.97507341	0	3.024926587				0		0	-924.1050902	0.02458649369	6.61738880601309	
923.9450902	97	0	3	0.0470949468	0.04835163075	97.97812676	0	2.021873236	96.9503026	0	3.049697398				0		0	-923.9450902	0.04835163075	6.84257374374388	
923.6250902	97	0	3	0.0913459791	0.09372476027	97.95516693	0	2.044833067	96.90121585	0	3.098784152				0		0	-923.6250902	0.09372476027	7.29068843919717	
922.9850902	97	0	3	0.1722981755	0.1765689929	97.910266	0	2.089734005	96.80478839	0	3.195211613				0		0	-922.9850902	0.1765689929	8.25413825253259	
921.7050902	97	0	3	0.309569931	0.316500613	97.82410302	0	2.175896976	96.61839075	0	3.381609249				0		0	-921.7050902	0.316500613	10.4188082141068	
