T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
915.4530741	92	7	1	0	0	98.88480868	0.4213580138	0.6938333017	92	7	1										0.00391288743	-0.003738884182	-0.0001740032487	-915.4530741	0	17.5956870265665	
915.4330741	92	7	1	0.001168887665	0.001135563309	98.88435342	0.4217846204	0.6938619582	91.99217426	7.007477715	1.000348029										0	0	0	-915.4330741	0.001135563309	17.6291213860868	
915.4130741	92	7	1	0.002335558904	0.002268977048	98.88389821	0.4222111604	0.6938906325	91.98434904	7.014954853	1.000696107										0	0	0	-915.4130741	0.002268977048	17.6631088360109	
915.3730741	92	7	1	0.00466205978	0.004529169068	98.88298795	0.4230640798	0.6939479716	91.96869981	7.029907835	1.001392357										0	0	0	-915.3730741	0.004529169068	17.7445129917473	
915.2930741	92	7	1	0.009278506389	0.009014082338	98.88116906	0.424769765	0.6940611731	91.9374082	7.059808955	1.002782846										0	0	0	-915.2930741	0.009014082338	17.9134140004235	
915.1330741	92	7	1	0.01839590314	0.01787187675	98.87753489	0.4281789449	0.6942861641	91.87484761	7.119589267	1.005563126										0	0	0	-915.1330741	0.01787187675	18.2242123025573	
914.8130741	92	7	1	0.03616293214	0.03513370488	98.87028263	0.4349896214	0.694727749	91.74982272	7.23906123	1.011116055										0	0	0	-914.8130741	0.03513370488	18.8702440107705	
914.1730741	92	7	1	0.06993799074	0.06795107849	98.85583965	0.4485800558	0.6955802973	91.50017456	7.477631697	1.022193741										0	0	0	-914.1730741	0.06795107849	20.2144679868533	
912.8930741	92	7	1	0.131180158	0.1274671098	98.82718449	0.4756391243	0.6971763902	91.00262497	7.953135871	1.044239161										0	0	0	-912.8930741	0.1274671098	23.1208793146901	
910.3330741	92	7	1	0.2332010714	0.2266506746	98.77068538	0.5292786548	0.7000359643	90.01564593	8.896440203	1.087913866										0	0	0	-910.3330741	0.2266506746	29.4395445093988	
907.7730741	92	7	1	0.3145861739	0.3058192213	98.71510079	0.5822992492	0.702599957	89.04166606	9.827314177	1.131019759										0	0	0	-907.7730741	0.3058192213	36.3924396018596	
905.2130741	92	7	1	0.3808368303	0.3703082582	98.66027751	0.6347269461	0.7049955397	88.0832221	10.74329145	1.17348645										0	0	0	-905.2130741	0.3703082582	44.1977300402832	
902.6530741	92	7	1	0.4356720361	0.4237240262	98.60609833	0.6865919405	0.707309732	87.14266256	11.64212784	1.215209593										0	0	0	-902.6530741	0.4237240262	52.8876292715932	
900.0930741	92	7	1	0.4816972431	0.4685926911	98.55246966	0.7379285696	0.7096017662	86.22205516	12.52187268	1.256072155										0	0	0	-900.0930741	0.4685926911	62.4907204501058	
897.5330741	92	7	1	0.5207936459	0.5067381139	98.49931361	0.7887750524	0.7119113334	85.32311741	13.38092301	1.295959581										0	0	0	-897.5330741	0.5067381139	73.0294061099908	
894.9730741	92	7	1	0.5543542224	0.5395108491	98.44656296	0.8391729883	0.71426405	84.44717962	14.21805095	1.334769428										0	0	0	-894.9730741	0.5395108491	84.5181019514756	
892.4130741	92	7	1	0.5834325578	0.5679324903	98.39415795	0.8891666914	0.7166753548	83.5951772	15.03240577	1.372417031										0	0	0	-892.4130741	0.5679324903	96.9619935599172	
889.8530741	92	7	1	0.6088399413	0.5927898177	98.34204418	0.9388024416	0.7191533821	82.76766758	15.82349433	1.40883809										0	0	0	-889.8530741	0.5927898177	110.356393303167	
887.2930741	92	7	1	0.6312106598	0.6146980909	98.29017116	0.9881277298	0.7217011124	81.96486521	16.5911458	1.443988993										0	0	0	-887.2930741	0.6146980909	124.686678575896	
884.7330741	92	7	1	0.6510471015	0.6341447587	98.23849145	1.037190546	0.7243179991	81.18668782	17.33546662	1.477845564										0	0	0	-884.7330741	0.6341447587	139.928700185967	
882.1730741	92	7	1	0.6687516776	0.6515203873	98.18696005	1.08603877	0.7270011749	80.43280736	18.05679175	1.510400894										0	0	0	-882.1730741	0.6515203873	156.049556776692	
879.6130741	92	7	1	0.6846498963	0.6671410122	98.13553399	1.134719662	0.7297463486	79.70270098	18.75563632	1.541662702										0	0	0	-879.6130741	0.6671410122	173.00859782527	
877.0530741	92	7	1	0.6990073623	0.6812646036	98.08417207	1.183279476	0.7325484507	78.99569853	19.43265088	1.571650588										0	0	0	-877.0530741	0.6812646036	190.758538656941	
874.4930741	92	7	1	0.712042505	0.6941033944	98.03283472	1.231763188	0.7354020889	78.31102449	20.08858208	1.600393425										0	0	0	-874.4930741	0.6941033944	209.246596412431	
871.9330741	92	7	1	0.723936246	0.7058332446	97.98148382	1.280214316	0.7383018594	77.64783369	20.72423931	1.627927005										0	0	0	-871.9330741	0.7058332446	228.415587720707	
869.3730741	92	7	1	0.7348394322	0.7166008413	97.93008262	1.328674829	0.741242551	77.00524045	21.34046753	1.654292017										0	0	0	-869.3730741	0.7166008413	248.240794339287	
866.8130741	92	7	1	0.7448761823	0.7265267385	97.87859525	1.377187229	0.7442175219	76.3823398	21.93813127	1.67952893										0	0	0	-866.8130741	0.7265267385	268.575537166141	
864.2530741	92	7	1	0.7541585347	0.7357203855	97.82698807	1.425785947	0.7472259813	75.77823371	22.51807549	1.703690801										0	0	0	-864.2530741	0.7357203855	289.378783611576	
861.6930741	92	7	1	0.7627741869	0.7442669537	97.77522748	1.474510674	0.7502618471	75.19203189	23.08114788	1.726820234										0	0	0	-861.6930741	0.7442669537	310.645383024237	
859.1330741	92	7	1	0.7708004276	0.7522417323	97.72328116	1.523397369	0.753321467	74.62286997	23.6281663	1.748963734										0	0	0	-859.1330741	0.7522417323	332.272282624294	
856.5730741	92	7	1	0.7783035066	0.7597092879	97.67111769	1.572480704	0.7564016041	74.06991406	24.1599188	1.770167148										0	0	0	-856.5730741	0.7597092879	354.193107774348	
854.0130741	92	7	1	0.7853404826	0.7667252567	97.6187064	1.621794182	0.7594994153	73.53236513	24.67715964	1.790475222										0	0	0	-854.0130741	0.7667252567	376.341885920264	
851.4530741	92	7	1	0.7919607252	0.7733378018	97.56601732	1.671370261	0.7626124242	73.00946162	25.1806071	1.809931282										0	0	0	-851.4530741	0.7733378018	398.653317987791	
848.8930741	92	7	1	0.7982071401	0.7795888032	97.51302103	1.721240479	0.7657384923	72.50048054	25.67094242	1.82857704										0	0	0	-848.8930741	0.7795888032	421.063008019662	
846.3330741	92	7	1	0.8041171752	0.7855148348	97.45968863	1.771435583	0.7688757896	72.00473777	26.14880977	1.846452464										0	0	0	-846.3330741	0.7855148348	443.507701330068	
