T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
905.0399585	89	8	3	0	0	98.04581109	0.2288748827	1.725314029	89	8	3										0.003043158618	-0.002614372202	-0.0004287864164	-905.0399585	0	29.7179146366311	
905.0199585	89	8	3	0.0006775808487	0.0006724641184	98.04540812	0.2289905227	1.725601362	88.99391419	8.005228307	3.000857508										0	0	0	-905.0199585	0.0006724641184	29.7648129996567	
904.9999585	89	8	3	0.001354105603	0.001343870347	98.04500532	0.229106143	1.725888541	88.98782997	8.010455552	3.001714478										0	0	0	-904.9999585	0.001343870347	29.8082634618616	
904.9599585	89	8	3	0.002704463152	0.002683982001	98.04420012	0.22933728	1.7264626	88.97566676	8.020906157	3.003427087										0	0	0	-904.9599585	0.002683982001	29.8901895498898	
904.8799585	89	8	3	0.0053939928	0.005352988559	98.04259146	0.2297991858	1.727609357	88.95136076	8.041792538	3.006846699										0	0	0	-904.8799585	0.005352988559	30.077289848259	
904.7199585	89	8	3	0.01071869042	0.01063659275	98.03938466	0.2307229082	1.729892429	88.90281781	8.083527324	3.013654866										0	0	0	-904.7199585	0.01063659275	30.4628827505269	
904.3999585	89	8	3	0.02118492675	0.0210202499	98.03300181	0.2325659323	1.734432257	88.8060452	8.166780977	3.027173822										0	0	0	-904.3999585	0.0210202499	31.198065798979	
903.7599585	89	8	3	0.04139371553	0.04106263793	98.02036357	0.2362375636	1.743398869	88.61372474	8.332465766	3.053809496										0	0	0	-903.7599585	0.04106263793	32.7279695275491	
902.4799585	89	8	3	0.0791427937	0.07847512244	97.99557175	0.2435257811	1.760902469	88.23395589	8.660525153	3.10551896										0	0	0	-902.4799585	0.07847512244	35.9547029791895	
