T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
882.4425177	86	9	5	0	0	97.07375491	0.1474139152	2.778831176	86	9	5							0.001852650848	-0.00148107349	-0.0003715773587	-882.4425177	0	59.7490303387053	
882.4225177	86	9	5	0.0003305188648	0.000334555848	97.07331985	0.147444523	2.779235626	85.99629519	9.002961652	5.000743157							0	0	0	-882.4225177	0.000334555848	59.8124725891736	
882.4025177	86	9	5	0.0006606945627	0.0006687572131	97.07288494	0.1474751494	2.779639908	85.99259041	9.005923732	5.001485854							0	0	0	-882.4025177	0.0006687572131	59.8618706978959	
882.3625177	86	9	5	0.001320481622	0.001336567388	97.07201531	0.1475363687	2.780448322	85.98518347	9.011846069	5.002970466							0	0	0	-882.3625177	0.001336567388	59.9397631128097	
882.2825177	86	9	5	0.00263734072	0.002669354544	97.07027705	0.1476587627	2.782064188	85.97037747	9.023686568	5.005935963							0	0	0	-882.2825177	0.002669354544	60.1098158453529	
882.1225177	86	9	5	0.005260254124	0.005323654365	97.06680453	0.1479033736	2.785292094	85.94079699	9.047350923	5.01185209							0	0	0	-882.1225177	0.005323654365	60.4796825448173	
881.8025177	86	9	5	0.01045601033	0.01058023938	97.059881	0.1483931749	2.791725827	85.88173227	9.094653806	5.023613922							0	0	0	-881.8025177	0.01058023938	61.2367761391787	
881.1625177	86	9	5	0.02067327619	0.02091184877	97.04610261	0.1493713254	2.804526061	85.76407012	9.189037771	5.046892108							0	0	0	-881.1625177	0.02091184877	62.6977314264646	
879.8825177	86	9	5	0.04042583619	0.04086511801	97.01882686	0.151324924	2.829848217	85.53051627	9.377021104	5.092462622							0	0	0	-879.8825177	0.04086511801	65.7117303200353	
877.3225177	86	9	5	0.07742634405	0.07816580658	96.96535812	0.1552242739	2.879417605	85.0702057	9.749982068	5.179812229							0	0	0	-877.3225177	0.07816580658	71.8773377804083	
874.7625177	86	9	5	0.1114437926	0.1123659769	96.91327468	0.1591211095	2.92760421	84.6183961	10.11925514	5.262348761							0	0	0	-874.7625177	0.1123659769	78.1917734002976	
872.2025177	86	9	5	0.1428617753	0.1438672063	96.86249436	0.1630199585	2.974485683	84.1745532	10.48507064	5.340376156							0	0	0	-872.2025177	0.1438672063	84.7166394151128	
869.6425177	86	9	5	0.1719852875	0.1729892098	96.81295774	0.1669276028	3.020114658	83.73813699	10.84772054	5.414142464							0	0	0	-869.6425177	0.1729892098	91.4595275861363	
867.0825177	86	9	5	0.1990759208	0.2000059323	96.76460662	0.1708489987	3.064544386	83.30868184	11.20743506	5.483883105							0	0	0	-867.0825177	0.2000059323	98.4122969073097	
864.5225177	86	9	5	0.2243554862	0.2251495793	96.71738806	0.1747884416	3.107823495	82.88576908	11.56441721	5.54981371							0	0	0	-864.5225177	0.2251495793	105.57326276404	
861.9625177	86	9	5	0.2480133644	0.2486183363	96.67125367	0.1787496623	3.149996667	82.46902182	11.91884572	5.612132457							0	0	0	-861.9625177	0.2486183363	112.941232922208	
859.4025177	86	9	5	0.2702122922	0.2705824431	96.62615889	0.1827359071	3.191105201	82.05810029	12.2708776	5.671022104							0	0	0	-859.4025177	0.2705824431	120.515441246323	
856.8425177	86	9	5	0.2910929524	0.291189012	96.58206252	0.1867500024	3.231187478	81.65269774	12.62065054	5.726651723							0	0	0	-856.8425177	0.291189012	128.295492006341	
854.2825177	86	9	5	0.3107776485	0.3105658823	96.53892625	0.1907944101	3.270279345	81.25253675	12.96828504	5.779178208							0	0	0	-854.2825177	0.3105658823	136.281307103595	
851.7225177	86	9	5	0.3293732657	0.3288247277	96.49671429	0.194871273	3.308414439	80.85736605	13.31388639	5.828747568							0	0	0	-851.7225177	0.3288247277	144.473076329431	
849.1625177	86	9	5	0.3469736775	0.3460635801	96.45539309	0.1989824534	3.345624454	80.4669576	13.65754634	5.875496055							0	0	0	-849.1625177	0.3460635801	152.871214184005	
846.6025177	86	9	5	0.3636617132	0.3623688926	96.41493106	0.2031295659	3.381939371	80.08110413	13.99934474	5.919551133							0	0	0	-846.6025177	0.3623688926	161.476318836331	
844.0425177	86	9	5	0.3795107768	0.3778172378	96.37529835	0.2073140055	3.417387644	79.69961682	14.33935085	5.961032331							0	0	0	-844.0425177	0.3778172378	170.289135361971	
841.4825177	86	9	5	0.3945861884	0.3924767134	96.33646667	0.2115369714	3.451996362	79.32232335	14.67762467	6.000051981							0	0	0	-841.4825177	0.3924767134	179.310522608889	
838.9225177	86	9	5	0.4089463002	0.406408113	96.29840912	0.215799488	3.485791389	78.94906612	15.01421802	6.036715862							0	0	0	-838.9225177	0.406408113	188.541424137994	
836.3625177	86	9	5	0.4226434316	0.4196659059	96.2611001	0.2201024228	3.518797472	78.5797007	15.34917553	6.071123772							0	0	0	-836.3625177	0.4196659059	197.982838821089	
833.8025177	86	9	5	0.4357246556	0.4322990623	96.22451515	0.2244465022	3.551038348	78.21409439	15.68253559	6.10337002							0	0	0	-833.8025177	0.4322990623	207.635799624293	
831.2425177	86	9	5	0.448232464	0.4443517502	96.18863085	0.2288323251	3.582536822	77.85212502	16.0143311	6.133543875							0	0	0	-831.2425177	0.4443517502	217.501351808212	
828.6825177	86	9	5	0.4602053326	0.4558639283	96.15342479	0.2332603754	3.613314839	77.49367983	16.34459022	6.161729945							0	0	0	-828.6825177	0.4558639283	227.580533502638	
826.1225177	86	9	5	0.471678203	0.4668718513	96.11887542	0.2377310324	3.643393551	77.13865449	16.67333698	6.188008533							0	0	0	-826.1225177	0.4668718513	237.874365331182	
823.5625177	86	9	5	0.4826828956	0.4774085029	96.08496205	0.2422445806	3.672793365	76.7869522	17.00059187	6.212455935							0	0	0	-823.5625177	0.4774085029	248.383825046735	
821.0025177	86	9	5	0.4932484651	0.4875039693	96.05166479	0.2468012181	3.701533991	76.43848295	17.32637232	6.235144726							0	0	0	-821.0025177	0.4875039693	259.10984706288	
818.4425177	86	9	5	0.5034015073	0.49718576	96.01896446	0.2514010639	3.72963448	76.09316281	17.65069319	6.256143999							0	0	0	-818.4425177	0.49718576	269.9795491973	
817.1625177	86	9	5	0.5083314759	0.5018799408	96.00283127	0.2537169436	3.743451786	75.92166289	17.81230443	6.266032672							0	0	0	-817.1625177	0.5018799408	275.496441733782	
816.5225177	86	9	5	0.5107608117	0.5041913761	95.99481861	0.2548790404	3.750302351	75.83619627	17.89297717	6.270826558							0	0	0	-816.5225177	0.5041913761	278.204333237588	
816.4825177	86	9	5	0.5109119165	0.5043351129	95.99431894	0.2549517516	3.750729304	75.83086101	17.89801602	6.271122971							0	0	0	-816.4825177	0.5043351129	280.131130018915	
816.4807328	86	9	5	0.5109186155	0.5043414827	95.99429668	0.2549550047	3.750748311	75.83062283	17.89824104	6.271136129	81.85099285	0	18.14900715				0	0	0	-816.4807328	0.5043414827	277.64226217879	
816.4525177	86	9	5	0.5111460774	0.5044654413	95.99448836	0.2551558868	3.750355752	75.82444543	17.90523812	6.270316449	81.85097748	0	18.14902252				0	0	0	-816.4525177	0.5044654413	227.725411758749	
816.4325177	86	9	5	0.5113071988	0.5045532368	95.99462416	0.255298333	3.750077509	75.82006743	17.91019706	6.269735512	81.85096657	0	18.14903343				0	0	0	-816.4325177	0.5045532368	227.886505225608	
816.3925177	86	9	5	0.511629128	0.504728633	95.99489562	0.2555833423	3.749521035	75.81131393	17.92011221	6.268573859	81.85094476	0	18.14905524				0	0	0	-816.3925177	0.504728633	228.199698657144	
816.3125177	86	9	5	0.5122717306	0.5050787603	95.99543798	0.2561538488	3.748408174	75.79381621	17.93993237	6.266251421	81.85090107	0	18.14909893				0	0	0	-816.3125177	0.5050787603	228.826152185081	
816.1525177	86	9	5	0.5135521137	0.5057759316	95.99652038	0.2572968152	3.746182806	75.75885782	17.97953217	6.261610012	81.85081353	0	18.14918647				0	0	0	-816.1525177	0.5057759316	230.446101412721	
815.8325177	86	9	5	0.5160870002	0.507153356	95.99867595	0.2595905659	3.741733485	75.68908882	18.05857011	6.252341065	81.8506377	0	18.1493623				0	0	0	-815.8325177	0.507153356	233.7842575202	
815.1925177	86	9	5	0.5210757741	0.5098576163	96.00295002	0.2642094958	3.732840485	75.55013678	18.216005	6.233858216	81.85028317	0	18.14971683				0	0	0	-815.1925177	0.5098576163	239.792837118066	
814.5525177	86	9	5	0.52595535	0.5124930699	96.00717444	0.2688705647	3.723954993	75.41195722	18.37259457	6.215448209	81.84992478	0	18.15007522				0	0	0	-814.5525177	0.5124930699	245.99259430095	
814.2325177	86	9	5	0.528355435	0.5137858018	96.00926795	0.2712169921	3.719515057	75.34315385	18.45057585	6.206270307	81.84974415	0	18.15025585				0	0	0	-814.2325177	0.5137858018	248.810183451718	
814.0725177	86	9	5	0.529547274	0.5144272347	96.01031001	0.2723942001	3.717295788	75.30882308	18.48948884	6.201688076	81.84965347	0	18.15034653				0	0	0	-814.0725177	0.5144272347	251.03182999623	
813.9925177	86	9	5	0.5301388241	0.5147449226	96.01082987	0.2729837971	3.716186331	75.29167553	18.50892581	6.199398662	81.84960805	0	18.15039195				0	0	0	-813.9925177	0.5147449226	252.001786213623	
813.9525177	86	9	5	0.5304342707	0.5149035943	96.01108951	0.2732788467	3.715631646	75.28310614	18.51863949	6.198254371	81.84958531	0	18.15041469				0	0	0	-813.9525177	0.5149035943	251.149026531508	
813.9522477	86	9	5	0.6293339118	0.5571249563	96.01109126	0.2732808382	3.715627902	75.28304832	18.51870503	6.198246651	81.84958516	0	18.15041484	62.54235303	28.42537001	9.032276954	0	0	0	-813.9522477	0.5571249563	6.50781375931002	
813.9225177	86	9	5	0.6396678438	0.56128402	96.01599916	0.2748838101	3.709117032	75.25591327	18.55561849	6.188468235				62.54235303	28.42537001	9.032276954	0	0	0	-813.9225177	0.56128402	7.31825970964533	
813.9025177	86	9	5	0.6463697407	0.5639764185	96.01925512	0.2759539086	3.704790969	75.23786125	18.5801648	6.181973948				62.54235303	28.42537001	9.032276954	0	0	0	-813.9025177	0.5639764185	7.54609849496371	
813.8625177	86	9	5	0.659210383	0.5691235897	96.02566125	0.2780750156	3.696263735	75.20222605	18.62859439	6.169179559				62.54235303	28.42537001	9.032276954	0	0	0	-813.8625177	0.5691235897	8.01936004668376	
813.7825177	86	9	5	0.6828736115	0.5785637953	96.03807523	0.2822455147	3.679679259	75.13272147	18.72295703	6.144321499				62.54235303	28.42537001	9.032276954	0	0	0	-813.7825177	0.5785637953	9.01870157593271	
813.6225177	86	9	5	0.7235552193	0.5946502955	96.06148727	0.2903345268	3.648178204	74.99997287	18.90282989	6.097197244				62.54235303	28.42537001	9.032276954	0	0	0	-813.6225177	0.5946502955	11.2317132373402	
813.3025177	86	9	5	0.786107789	0.618942544	96.10369739	0.3057062161	3.590596395	74.7548231	19.23381093	6.011365969				62.54235303	28.42537001	9.032276954	0	0	0	-813.3025177	0.618942544	16.5326779041924	
812.6625177	86	9	5	0.8683462094	0.6497262323	96.17490379	0.3342271579	3.490869053	74.32246076	19.81389913	5.863640113				62.54235303	28.42537001	9.032276954	0	0	0	-812.6625177	0.6497262323	30.8915865765637	
811.3825177	86	9	5	0.9582496779	0.6808630936	96.28494618	0.3862544446	3.328799377	73.59799716	20.7760131	5.625989743				62.54235303	28.42537001	9.032276954	0	0	0	-811.3825177	0.6808630936	66.0313552959146	
810.7425177	86	9	5	0.986100367	0.6896248814	96.32952679	0.4108316915	3.259641519	73.28029874	21.19424486	5.525456397				62.54235303	28.42537001	9.032276954	0	0	0	-810.7425177	0.6896248814	87.3492228144807	
