T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
896.4325869	85	13	2	0	0	98.33541115	0.5853602645	1.079228586	85	13	2										0.0032175906	-0.002995432238	-0.0002221583621	-896.4325869	0	41.422662497955	
896.4125869	85	13	2	0.0005044621883	0.0004824497788	98.33507177	0.5856188332	1.079309396	84.99356525	13.0059904	2.000444347										0	0	0	-896.4125869	0.0004824497788	41.4875216453214	
896.3925869	85	13	2	0.00100813779	0.0009641465004	98.33473245	0.5858773927	1.079390155	84.98713228	13.01197929	2.000888433										0	0	0	-896.3925869	0.0009641465004	41.5391204899795	
896.3525869	85	13	2	0.002014095734	0.001926205144	98.3340539	0.5863943576	1.079551742	84.97427159	13.02395212	2.001776291										0	0	0	-896.3525869	0.001926205144	41.6226872633421	
896.2725869	85	13	2	0.00401949791	0.00384408375	98.33269727	0.5874277911	1.079874941	84.94857132	13.04787841	2.003550277										0	0	0	-896.2725869	0.00384408375	41.8035871004788	
896.1125869	85	13	2	0.008004419766	0.007655052305	98.32998588	0.5894926798	1.080521438	84.89725514	13.09565353	2.007091327										0	0	0	-896.1125869	0.007655052305	42.2135148196207	
895.7925869	85	13	2	0.01584721801	0.01515533389	98.32457465	0.5936192694	1.081806078	84.79495267	13.19091762	2.014129709										0	0	0	-895.7925869	0.01515533389	43.0625491180155	
895.1525869	85	13	2	0.03111432741	0.02975511361	98.31378525	0.6018460954	1.08436865	84.59168715	13.38023234	2.028080514										0	0	0	-895.1525869	0.02975511361	44.6881787644251	
893.8725869	85	13	2	0.06002527221	0.05740014166	98.29234147	0.6182070492	1.089451482	84.19047702	13.75407263	2.055450355										0	0	0	-893.8725869	0.05740014166	48.1246005737246	
