T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
927.5006084	97	1	2	0	0	98.50401189	0.03544621377	1.460541892	97	1	2							0.003207686439	-0.002057838778	-0.001149847661	-927.5006084	0	4.69178971650866	
927.4806084	97	1	2	0.004210568995	0.004250961363	98.50283458	0.03556115124	1.461604264	96.99358422	1.004117303	2.002298479							0	0	0	-927.4806084	0.004250961363	4.71784650087035	
927.4606084	97	1	2	0.008398251498	0.008478573166	98.50165969	0.03567604058	1.462664273	96.98716844	1.008237786	2.004593773							0	0	0	-927.4606084	0.008478573166	4.74970835527003	
927.4206084	97	1	2	0.01667588001	0.01683440814	98.4993225	0.03590653455	1.464770967	96.9743275	1.016507934	2.009164563							0	0	0	-927.4206084	0.01683440814	4.81860267691139	
927.3406084	97	1	2	0.03291716129	0.03322632708	98.49468545	0.03636838344	1.468946164	96.94862943	1.033119033	2.018251538							0	0	0	-927.3406084	0.03322632708	4.94754573764541	
927.1806084	97	1	2	0.06415561191	0.06474381442	98.48556499	0.03729668378	1.477138322	96.89715418	1.066649253	2.036196566							0	0	0	-927.1806084	0.06474381442	5.21831028642274	
926.8606084	97	1	2	0.122061612	0.1231281826	98.46791233	0.03917122066	1.492916449	96.7938793	1.134917248	2.071203453							0	0	0	-926.8606084	0.1231281826	5.79876007081863	
926.2206084	97	1	2	0.2221884635	0.2239529896	98.43479143	0.04299211296	1.522216462	96.58594431	1.276175741	2.137879947							0	0	0	-926.2206084	0.2239529896	7.12723965150724	
924.9406084	97	1	2	0.3753839836	0.3778508367	98.37609662	0.05090942713	1.572993955	96.16425322	1.576412667	2.259334109							0	0	0	-924.9406084	0.3778508367	10.5319623224432	
922.3806084	97	1	2	0.567746645	0.5703083788	98.28173154	0.06771607518	1.650552382	95.29882531	2.237373351	2.463801344							0	0	0	-922.3806084	0.5703083788	19.4314129589745	
919.8206084	97	1	2	0.6796181369	0.6817115091	98.20858826	0.08553123778	1.705880502	94.41144052	2.958613242	2.629946239							0	0	0	-919.8206084	0.6817115091	31.1890865103059	
917.2606084	97	1	2	0.7505453624	0.7520889094	98.14928921	0.1040368363	1.746673957	93.5133964	3.718087382	2.768516217							0	0	0	-917.2606084	0.7520889094	46.8574675667752	
914.7006084	97	1	2	0.7985177598	0.799559727	98.09925866	0.1229937863	1.777747555	92.61503807	4.498393087	2.886568841							0	0	0	-914.7006084	0.799559727	66.80762490615	
912.1406084	97	1	2	0.8326494477	0.8332649945	98.05560942	0.1422422587	1.802148325	91.72450419	5.286721742	2.988774067							0	0	0	-912.1406084	0.8332649945	91.2890925176586	
909.5806084	97	1	2	0.8579456127	0.8582069765	98.01647652	0.1616818484	1.821841627	90.84771613	6.073973451	3.078310423							0	0	0	-909.5806084	0.8582069765	120.459861587096	
907.0206084	97	1	2	0.8773279948	0.877297168	97.98062758	0.1812538706	1.838118545	89.98872138	6.853862812	3.157415804							0	0	0	-907.0206084	0.877297168	154.37974327453	
