T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(LI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
891.8113174	85	15	0	0	0	98.36025339	1.639746609	0	85	15	0				0.003264756035	-0.003264756035		-891.8113174	0	40.9026700517052	
891.7913174	85	15	0	0.0005297532671	0.0004886434718	98.35940391	1.64059609	0	84.99347064	15.00652936	0				0	0		-891.7913174	0.0004886434718	40.9566042625856	
891.7713174	85	15	0	0.001058804616	0.0009766443131	98.35855436	1.641445644	0	84.98694213	15.01305787	0				0	0		-891.7713174	0.0009766443131	40.9979908173236	
891.7313174	85	15	0	0.002115773982	0.001951615104	98.35685499	1.643145011	0	84.97388735	15.02611265	0				0	0		-891.7313174	0.001951615104	41.0621133837626	
891.6513174	85	15	0	0.004224225211	0.003896552986	98.35345525	1.646544748	0	84.94778705	15.05221295	0				0	0		-891.6513174	0.003896552986	41.2031732312326	
891.4913174	85	15	0	0.008419298885	0.007766526	98.34665176	1.653348238	0	84.89562352	15.10437648	0				0	0		-891.4913174	0.007766526	41.5362988237855	
891.1713174	85	15	0	0.01669401691	0.01540089072	98.33302879	1.666971207	0	84.79144602	15.20855398	0				0	0		-891.1713174	0.01540089072	42.2303545543848	
890.5313174	85	15	0	0.0328802369	0.03033813045	98.30571778	1.694282216	0	84.5836876	15.4163124	0				0	0		-890.5313174	0.03033813045	43.5215569978156	
889.2513174	85	15	0	0.06381609583	0.05890096797	98.2508308	1.749169202	0	84.17057232	15.82942768	0				0	0		-889.2513174	0.05890096797	46.2329507423863	
886.6913174	85	15	0	0.1205307083	0.1113192107	98.1399554	1.860044601	0	83.35404283	16.64595717	0				0	0		-886.6913174	0.1113192107	51.8436422451242	
884.1313174	85	15	0	0.171245099	0.1582612671	98.02752801	1.972471991	0	82.55060107	17.44939893	0				0	0		-884.1313174	0.1582612671	57.6868920245519	
881.5713174	85	15	0	0.2168664715	0.2005567847	97.91344281	2.086557187	0	81.76039625	18.23960375	0				0	0		-881.5713174	0.2005567847	63.8223214353913	
879.0113174	85	15	0	0.2581269621	0.2388754105	97.79758656	2.202413445	0	80.98353633	19.01646367	0				0	0		-879.0113174	0.2388754105	70.2422890779433	
876.4513174	85	15	0	0.2956279921	0.2737674128	97.67983793	2.32016207	0	80.22008941	19.77991059	0				0	0		-876.4513174	0.2737674128	76.9341880586959	
873.8913174	85	15	0	0.329868341	0.3056893349	97.56006681	2.439933186	0	79.47008523	20.52991477	0				0	0		-873.8913174	0.3056893349	83.8826820403957	
871.3313174	85	15	0	0.361265293	0.3350233217	97.43813339	2.561866608	0	78.73351703	21.26648297	0				0	0		-871.3313174	0.3350233217	91.0694281933	
868.7713174	85	15	0	0.3901707734	0.3620918697	97.31388715	2.686112854	0	78.01034362	21.98965638	0				0	0		-868.7713174	0.3620918697	98.4727984859912	
866.2113174	85	15	0	0.4168838125	0.3871692222	97.1871657	2.812834299	0	77.30049173	22.69950827	0				0	0		-866.2113174	0.3871692222	106.067596663765	
863.6513174	85	15	0	0.4416602811	0.410490273	97.05779347	2.942206527	0	76.6038585	23.3961415	0				0	0		-863.6513174	0.410490273	113.824773013749	
861.0913174	85	15	0	0.464720575	0.4322575974	96.92558012	3.074419881	0	75.92031402	24.07968598	0				0	0		-861.0913174	0.4322575974	121.711135841949	
858.5313174	85	15	0	0.4862557414	0.4526470617	96.79031872	3.209681276	0	75.24970388	24.75029612	0				0	0		-858.5313174	0.4526470617	129.708816041603	
855.9713174	85	15	0	0.5064270536	0.4718070014	96.65178353	3.348216472	0	74.59185117	25.40814883	0				0	0		-855.9713174	0.4718070014	137.73119284177	
853.4113174	85	15	0	0.5253920787	0.4898838721	96.5097281	3.490271905	0	73.94656135	26.05343865	0				0	0		-853.4113174	0.4898838721	145.740569491594	
