T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
933.4727259	100	0	0	0	0	100	0	0	100	0	0	0			-933.4727259	0	0.0199999999999818	
933.4527259	100	0	0	1	1	100	0	0							-933.4527259	1	0.0199999999999818	
933.4427259	100	0	0	1	1	100	0	0							-933.4427259	1	NaN	
933.4227259	100	0	0	1	1	100	0	0							-933.4227259	1	NaN	
933.3827259	100	0	0	1	1	100	0	0							-933.3827259	1	NaN	
933.3027259	100	0	0	1	1	100	0	0							-933.3027259	1	NaN	
933.1427259	100	0	0	1	1	100	0	0							-933.1427259	1	NaN	
932.8227259	100	0	0	1	1	100	0	0							-932.8227259	1	NaN	
932.1827259	100	0	0	1	1	100	0	0							-932.1827259	1	NaN	
930.9027259	100	0	0	1	1	100	0	0							-930.9027259	1	NaN	
928.3427259	100	0	0	1	1	100	0	0							-928.3427259	1	NaN	
925.7827259	100	0	0	1	1	100	0	0							-925.7827259	1	NaN	
923.2227259	100	0	0	1	1	100	0	0							-923.2227259	1	NaN	
920.6627259	100	0	0	1	1	100	0	0							-920.6627259	1	NaN	
918.1027259	100	0	0	1	1	100	0	0							-918.1027259	1	NaN	
915.5427259	100	0	0	1	1	100	0	0							-915.5427259	1	NaN	
912.9827259	100	0	0	1	1	100	0	0							-912.9827259	1	NaN	
910.4227259	100	0	0	1	1	100	0	0							-910.4227259	1	NaN	
907.8627259	100	0	0	1	1	100	0	0							-907.8627259	1	NaN	
905.3027259	100	0	0	1	1	100	0	0							-905.3027259	1	NaN	
902.7427259	100	0	0	1	1	100	0	0							-902.7427259	1	NaN	
900.1827259	100	0	0	1	1	100	0	0							-900.1827259	1	NaN	
897.6227259	100	0	0	1	1	100	0	0							-897.6227259	1	NaN	
895.0627259	100	0	0	1	1	100	0	0							-895.0627259	1	NaN	
892.5027259	100	0	0	1	1	100	0	0							-892.5027259	1	NaN	
889.9427259	100	0	0	1	1	100	0	0							-889.9427259	1	NaN	
887.3827259	100	0	0	1	1	100	0	0							-887.3827259	1	NaN	
884.8227259	100	0	0	1	1	100	0	0							-884.8227259	1	NaN	
882.2627259	100	0	0	1	1	100	0	0							-882.2627259	1	NaN	
879.7027259	100	0	0	1	1	100	0	0							-879.7027259	1	NaN	
877.1427259	100	0	0	1	1	100	0	0							-877.1427259	1	NaN	
874.5827259	100	0	0	1	1	100	0	0							-874.5827259	1	NaN	
872.0227259	100	0	0	1	1	100	0	0							-872.0227259	1	NaN	
869.4627259	100	0	0	1	1	100	0	0							-869.4627259	1	NaN	
866.9027259	100	0	0	1	1	100	0	0							-866.9027259	1	NaN	
864.3427259	100	0	0	1	1	100	0	0							-864.3427259	1	NaN	
861.7827259	100	0	0	1	1	100	0	0							-861.7827259	1	NaN	
859.2227259	100	0	0	1	1	100	0	0							-859.2227259	1	NaN	
856.6627259	100	0	0	1	1	100	0	0							-856.6627259	1	NaN	
854.1027259	100	0	0	1	1	100	0	0							-854.1027259	1	NaN	
851.5427259	100	0	0	1	1	100	0	0							-851.5427259	1	NaN	
848.9827259	100	0	0	1	1	100	0	0							-848.9827259	1	NaN	
846.4227259	100	0	0	1	1	100	0	0							-846.4227259	1	NaN	
843.8627259	100	0	0	1	1	100	0	0							-843.8627259	1	NaN	
841.3027259	100	0	0	1	1	100	0	0							-841.3027259	1	NaN	
838.7427259	100	0	0	1	1	100	0	0							-838.7427259	1	NaN	
836.1827259	100	0	0	1	1	100	0	0							-836.1827259	1	NaN	
833.6227259	100	0	0	1	1	100	0	0							-833.6227259	1	NaN	
831.0627259	100	0	0	1	1	100	0	0							-831.0627259	1	NaN	
828.5027259	100	0	0	1	1	100	0	0							-828.5027259	1	NaN	
825.9427259	100	0	0	1	1	100	0	0							-825.9427259	1	NaN	
823.3827259	100	0	0	1	1	100	0	0							-823.3827259	1	NaN	
820.8227259	100	0	0	1	1	100	0	0							-820.8227259	1	NaN	
818.2627259	100	0	0	1	1	100	0	0							-818.2627259	1	NaN	
815.7027259	100	0	0	1	1	100	0	0							-815.7027259	1	NaN	
813.1427259	100	0	0	1	1	100	0	0							-813.1427259	1	NaN	
810.5827259	100	0	0	1	1	100	0	0							-810.5827259	1	NaN	
808.0227259	100	0	0	1	1	100	0	0							-808.0227259	1	NaN	
805.4627259	100	0	0	1	1	100	0	0							-805.4627259	1	NaN	
802.9027259	100	0	0	1	1	100	0	0							-802.9027259	1	NaN	
800.3427259	100	0	0	1	1	100	0	0							-800.3427259	1	NaN	
797.7827259	100	0	0	1	1	100	0	0							-797.7827259	1	NaN	
795.2227259	100	0	0	1	1	100	0	0							-795.2227259	1	NaN	
792.6627259	100	0	0	1	1	100	0	0							-792.6627259	1	NaN	
790.1027259	100	0	0	1	1	100	0	0							-790.1027259	1	NaN	
787.5427259	100	0	0	1	1	100	0	0							-787.5427259	1	NaN	
784.9827259	100	0	0	1	1	100	0	0							-784.9827259	1	NaN	
782.4227259	100	0	0	1	1	100	0	0							-782.4227259	1	NaN	
779.8627259	100	0	0	1	1	100	0	0							-779.8627259	1	NaN	
777.3027259	100	0	0	1	1	100	0	0							-777.3027259	1	NaN	
774.7427259	100	0	0	1	1	100	0	0							-774.7427259	1	NaN	
772.1827259	100	0	0	1	1	100	0	0							-772.1827259	1	NaN	
769.6227259	100	0	0	1	1	100	0	0							-769.6227259	1	NaN	
767.0627259	100	0	0	1	1	100	0	0							-767.0627259	1	NaN	
764.5027259	100	0	0	1	1	100	0	0							-764.5027259	1	NaN	
761.9427259	100	0	0	1	1	100	0	0							-761.9427259	1	NaN	
759.3827259	100	0	0	1	1	100	0	0							-759.3827259	1	NaN	
756.8227259	100	0	0	1	1	100	0	0							-756.8227259	1	NaN	
754.2627259	100	0	0	1	1	100	0	0							-754.2627259	1	NaN	
751.7027259	100	0	0	1	1	100	0	0							-751.7027259	1	NaN	
749.1427259	100	0	0	1	1	100	0	0							-749.1427259	1	NaN	
746.5827259	100	0	0	1	1	100	0	0							-746.5827259	1	NaN	
744.0227259	100	0	0	1	1	100	0	0							-744.0227259	1	NaN	
741.4627259	100	0	0	1	1	100	0	0							-741.4627259	1	NaN	
738.9027259	100	0	0	1	1	100	0	0							-738.9027259	1	NaN	
736.3427259	100	0	0	1	1	100	0	0							-736.3427259	1	NaN	
733.7827259	100	0	0	1	1	100	0	0							-733.7827259	1	NaN	
731.2227259	100	0	0	1	1	100	0	0							-731.2227259	1	NaN	
728.6627259	100	0	0	1	1	100	0	0							-728.6627259	1	NaN	
726.1027259	100	0	0	1	1	100	0	0							-726.1027259	1	NaN	
723.5427259	100	0	0	1	1	100	0	0							-723.5427259	1	NaN	
720.9827259	100	0	0	1	1	100	0	0							-720.9827259	1	NaN	
718.4227259	100	0	0	1	1	100	0	0							-718.4227259	1	NaN	
715.8627259	100	0	0	1	1	100	0	0							-715.8627259	1	NaN	
713.3027259	100	0	0	1	1	100	0	0							-713.3027259	1	NaN	
710.7427259	100	0	0	1	1	100	0	0							-710.7427259	1	NaN	
708.1827259	100	0	0	1	1	100	0	0							-708.1827259	1	NaN	
705.6227259	100	0	0	1	1	100	0	0							-705.6227259	1	NaN	
703.0627259	100	0	0	1	1	100	0	0							-703.0627259	1	NaN	
700.5027259	100	0	0	1	1	100	0	0							-700.5027259	1	NaN	
697.9427259	100	0	0	1	1	100	0	0							-697.9427259	1	NaN	
695.3827259	100	0	0	1	1	100	0	0							-695.3827259	1	NaN	
692.8227259	100	0	0	1	1	100	0	0							-692.8227259	1	NaN	
690.2627259	100	0	0	1	1	100	0	0							-690.2627259	1	NaN	
687.7027259	100	0	0	1	1	100	0	0							-687.7027259	1	NaN	
685.1427259	100	0	0	1	1	100	0	0							-685.1427259	1	NaN	
682.5827259	100	0	0	1	1	100	0	0							-682.5827259	1	NaN	
680.0227259	100	0	0	1	1	100	0	0							-680.0227259	1	NaN	
677.4627259	100	0	0	1	1	100	0	0							-677.4627259	1	NaN	
674.9027259	100	0	0	1	1	100	0	0							-674.9027259	1	NaN	
672.3427259	100	0	0	1	1	100	0	0							-672.3427259	1	NaN	
669.7827259	100	0	0	1	1	100	0	0							-669.7827259	1	NaN	
667.2227259	100	0	0	1	1	100	0	0							-667.2227259	1	NaN	
664.6627259	100	0	0	1	1	100	0	0							-664.6627259	1	NaN	
662.1027259	100	0	0	1	1	100	0	0							-662.1027259	1	NaN	
659.5427259	100	0	0	1	1	100	0	0							-659.5427259	1	NaN	
656.9827259	100	0	0	1	1	100	0	0							-656.9827259	1	NaN	
654.4227259	100	0	0	1	1	100	0	0							-654.4227259	1	NaN	
651.8627259	100	0	0	1	1	100	0	0							-651.8627259	1	NaN	
649.3027259	100	0	0	1	1	100	0	0							-649.3027259	1	NaN	
646.7427259	100	0	0	1	1	100	0	0							-646.7427259	1	NaN	
644.1827259	100	0	0	1	1	100	0	0							-644.1827259	1	NaN	
641.6227259	100	0	0	1	1	100	0	0							-641.6227259	1	NaN	
639.0627259	100	0	0	1	1	100	0	0							-639.0627259	1	NaN	
636.5027259	100	0	0	1	1	100	0	0							-636.5027259	1	NaN	
633.9427259	100	0	0	1	1	100	0	0							-633.9427259	1	NaN	
631.3827259	100	0	0	1	1	100	0	0							-631.3827259	1	NaN	
628.8227259	100	0	0	1	1	100	0	0							-628.8227259	1	NaN	
626.2627259	100	0	0	1	1	100	0	0							-626.2627259	1	NaN	
623.7027259	100	0	0	1	1	100	0	0							-623.7027259	1	NaN	
621.1427259	100	0	0	1	1	100	0	0							-621.1427259	1	NaN	
618.5827259	100	0	0	1	1	100	0	0							-618.5827259	1	NaN	
616.0227259	100	0	0	1	1	100	0	0							-616.0227259	1	NaN	
613.4627259	100	0	0	1	1	100	0	0							-613.4627259	1	NaN	
610.9027259	100	0	0	1	1	100	0	0							-610.9027259	1	NaN	
608.3427259	100	0	0	1	1	100	0	0							-608.3427259	1	NaN	
605.7827259	100	0	0	1	1	100	0	0							-605.7827259	1	NaN	
603.2227259	100	0	0	1	1	100	0	0							-603.2227259	1	NaN	
600.6627259	100	0	0	1	1	100	0	0							-600.6627259	1	NaN	
598.1027259	100	0	0	1	1	100	0	0							-598.1027259	1	NaN	
595.5427259	100	0	0	1	1	100	0	0							-595.5427259	1	NaN	
592.9827259	100	0	0	1	1	100	0	0							-592.9827259	1	NaN	
590.4227259	100	0	0	1	1	100	0	0							-590.4227259	1	NaN	
587.8627259	100	0	0	1	1	100	0	0							-587.8627259	1	NaN	
585.3027259	100	0	0	1	1	100	0	0							-585.3027259	1	NaN	
582.7427259	100	0	0	1	1	100	0	0							-582.7427259	1	NaN	
580.1827259	100	0	0	1	1	100	0	0							-580.1827259	1	NaN	
577.6227259	100	0	0	1	1	100	0	0							-577.6227259	1	NaN	
575.0627259	100	0	0	1	1	100	0	0							-575.0627259	1	NaN	
572.5027259	100	0	0	1	1	100	0	0							-572.5027259	1	NaN	
569.9427259	100	0	0	1	1	100	0	0							-569.9427259	1	NaN	
567.3827259	100	0	0	1	1	100	0	0							-567.3827259	1	NaN	
564.8227259	100	0	0	1	1	100	0	0							-564.8227259	1	NaN	
562.2627259	100	0	0	1	1	100	0	0							-562.2627259	1	NaN	
559.7027259	100	0	0	1	1	100	0	0							-559.7027259	1	NaN	
557.1427259	100	0	0	1	1	100	0	0							-557.1427259	1	NaN	
554.5827259	100	0	0	1	1	100	0	0							-554.5827259	1	NaN	
552.0227259	100	0	0	1	1	100	0	0							-552.0227259	1	NaN	
549.4627259	100	0	0	1	1	100	0	0							-549.4627259	1	NaN	
546.9027259	100	0	0	1	1	100	0	0							-546.9027259	1	NaN	
544.3427259	100	0	0	1	1	100	0	0							-544.3427259	1	NaN	
541.7827259	100	0	0	1	1	100	0	0							-541.7827259	1	NaN	
539.2227259	100	0	0	1	1	100	0	0							-539.2227259	1	NaN	
536.6627259	100	0	0	1	1	100	0	0							-536.6627259	1	NaN	
534.1027259	100	0	0	1	1	100	0	0							-534.1027259	1	NaN	
531.5427259	100	0	0	1	1	100	0	0							-531.5427259	1	NaN	
528.9827259	100	0	0	1	1	100	0	0							-528.9827259	1	NaN	
526.4227259	100	0	0	1	1	100	0	0							-526.4227259	1	NaN	
523.8627259	100	0	0	1	1	100	0	0							-523.8627259	1	NaN	
521.3027259	100	0	0	1	1	100	0	0							-521.3027259	1	NaN	
518.7427259	100	0	0	1	1	100	0	0							-518.7427259	1	NaN	
516.1827259	100	0	0	1	1	100	0	0							-516.1827259	1	NaN	
513.6227259	100	0	0	1	1	100	0	0							-513.6227259	1	NaN	
511.0627259	100	0	0	1	1	100	0	0							-511.0627259	1	NaN	
508.5027259	100	0	0	1	1	100	0	0							-508.5027259	1	NaN	
505.9427259	100	0	0	1	1	100	0	0							-505.9427259	1	NaN	
