T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(LI@ALCU_THETA)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
883.6037007	81	18	1	0	0	98.20905042	1.308137132	0.482812445	81	18	1										0.003089511527	-0.002996660325	-9.285120216E-05	-883.6037007	0	27.6486157383603	
883.5937007	81	18	1	0.0001954305131	0.0001796659504	98.2087985	1.308389297	0.482812204	80.99691044	18.00299666	1.000092896										0	0	0	-883.5937007	0.0001796659504	83.6690822197377	
883.5737007	81	18	1	0.0005856819857	0.0003588665538	98.20829454	1.308893792	0.4828116651	80.99073246	18.00898897	1.00027857										0	0	0	-883.5737007	0.0003588665538	111.634522354572	
883.5337007	81	18	1	0.001365175233	0.000717000702	98.20728667	1.309902694	0.4828106393	80.9783803	18.02096985	1.000649851										0	0	0	-883.5337007	0.000717000702	111.791261500594	
883.4537007	81	18	1	0.002920137481	0.001431329449	98.20527081	1.311920479	0.4828087139	80.95369149	18.04491644	1.001392072										0	0	0	-883.4537007	0.001431329449	112.203474953625	
883.2937007	81	18	1	0.006014050454	0.002852016402	98.20123865	1.315955981	0.4828053677	80.90437596	18.09274889	1.002875152										0	0	0	-883.2937007	0.002852016402	113.046448021437	
882.9737007	81	18	1	0.0121385106	0.005661825091	98.19317257	1.32402674	0.4828006893	80.80599341	18.18817076	1.005835837										0	0	0	-882.9737007	0.005661825091	114.853839945219	
882.3337007	81	18	1	0.0241219557	0.01114405953	98.17703304	1.34016988	0.4827970795	80.61022703	18.37804265	1.011730314										0	0	0	-882.3337007	0.01114405953	118.595427201843	
881.0537007	81	18	1	0.04711107691	0.02162376488	98.14472272	1.372459863	0.4828174177	80.22267917	18.75390055	1.023420277										0	0	0	-881.0537007	0.02162376488	126.211473434804	
878.4937007	81	18	1	0.08951088171	0.04077804699	98.07996411	1.437068363	0.4829675265	79.46349837	19.49010521	1.046396416										0	0	0	-878.4937007	0.04077804699	-1192.16540474982	
875.9337007	81	18	1	0.1276601986	0.03826361323	98.01499337	1.501755356	0.4832512707	78.72540936	20.20578895	1.068801685										0	0	0	-875.9337007	0.03826361323	-1069.20048303437	
873.3737007	81	18	1	0.1621374825	0.03596931031	97.9497791	1.566553108	0.483667791	78.00812184	20.90124433	1.090633831										0	0	0	-873.3737007	0.03596931031	-1171.05123814447	
870.8137007	81	18	1	0.1934269263	0.03387355126	97.88429055	1.63149429	0.4842151572	77.31123965	21.57686476	1.111895593										0	0	0	-870.8137007	0.03387355126	-1280.73346066918	
868.2537007	81	18	1	0.2219349876	0.03195583558	97.81849696	1.696612612	0.4848904317	76.63428039	22.23312612	1.132593482										0	0	0	-868.2537007	0.03195583558	-1398.31761064683	
865.6937007	81	18	1	0.2480049128	0.03019810666	97.75236739	1.761942676	0.4856899364	75.97669643	22.87056653	1.15273704										0	0	0	-865.6937007	0.03019810666	-1524.19710360927	
863.1337007	81	18	1	0.2719281804	0.02858440647	97.68587062	1.827519909	0.4866094759	75.3378928	23.48976902	1.172338186										0	0	0	-863.1337007	0.02858440647	-1658.75228335571	
860.5737007	81	18	1	0.2939535827	0.02710057798	97.61897498	1.893380506	0.4876445188	74.71724266	24.09134669	1.191410654										0	0	0	-860.5737007	0.02710057798	-1802.3436168643	
858.0137007	81	18	1	0.314294495	0.02573402645	97.55164827	1.959561388	0.4887903416	74.11410021	24.6759303	1.209969496										0	0	0	-858.0137007	0.02573402645	-1955.31301550456	
855.4537007	81	18	1	0.3331347397	0.02447352343	97.48385768	2.026100181	0.4900421408	73.52781137	25.24415795	1.228030675										0	0	0	-855.4537007	0.02447352343	-2117.98529401405	
852.8937007	81	18	1	0.350633351	0.02330904234	97.41556967	2.093035208	0.4913951185	72.9577224	25.79666688	1.245610718										0	0	0	-852.8937007	0.02330904234	-2290.66973036718	
850.3337007	81	18	1	0.3669284691	0.02223161829	97.34674995	2.16040551	0.4928445449	72.40318664	26.33408693	1.262726438										0	0	0	-850.3337007	0.02223161829	-2473.6616815384	
847.7737007	81	18	1	0.3821405442	0.02123322693	97.27736332	2.228250877	0.4943858037	71.86356981	26.85703548	1.279394709										0	0	0	-847.7737007	0.02123322693	-2667.24417783187	
845.2137007	81	18	1	0.3963749833	0.02030667876	97.20737367	2.296611904	0.4960144225	71.33825391	27.3661138	1.295632292										0	0	0	-845.2137007	0.02030667876	-2871.68947376219	
842.6537007	81	18	1	0.409724351	0.01944552628	97.13674385	2.365530058	0.4977260915	70.82664011	27.8619042	1.311455692										0	0	0	-842.6537007	0.01944552628	-3087.2605804659	
840.0937007	81	18	1	0.4222702048	0.01864398209	97.06543556	2.435047765	0.4995166741	70.32815066	28.34496829	1.326881058										0	0	0	-840.0937007	0.01864398209	-3314.2128586927	
837.5337007	81	18	1	0.4340846341	0.01789684646	96.99340927	2.505208516	0.50138221	69.84223018	28.81584571	1.341924108										0	0	0	-837.5337007	0.01789684646	-3552.79556011315	
834.9737007	81	18	1	0.4452315558	0.01719944313	96.92062411	2.576056979	0.5033189129	69.36834635	29.27505358	1.356600068										0	0	0	-834.9737007	0.01719944313	-3803.25316808598	
832.4137007	81	18	1	0.4557678083	0.01654756232	96.8470377	2.64763914	0.505323165	68.90599013	29.72308623	1.370923646										0	0	0	-832.4137007	0.01654756232	-4065.82716615287	
829.8537007	81	18	1	0.4657440793	0.01593741029	96.77260605	2.720002444	0.5073915079	68.45467566	30.16041534	1.384909002										0	0	0	-829.8537007	0.01593741029	-4340.75753507126	
827.2937007	81	18	1	0.4752056956	0.01536556445	96.6972834	2.793195969	0.5095206319	68.0139399	30.58749036	1.398569743										0	0	0	-827.2937007	0.01536556445	-4631.06638043884	
824.7337007	81	18	1	0.4841936402	0.01482952174	96.62102019	2.867272417	0.5117073889	67.58333535	31.00474562	1.411919026										0	0	0	-824.7337007	0.01482952174	-4929.60878306889	
