T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
914.8608159	95	1	4	0	0	97.55612174	0.01757244458	2.426305819	95	1	4										0.001708869707	-0.0006569099863	-0.00105195972	-914.8608159	0	7.44036109212552	
914.8508159	95	1	4	0.0006442927298	0.0006682391445	97.55564746	0.01757865877	2.426773876	94.99829116	1.000656871	4.001051965										0	0	0	-914.8508159	0.0006682391445	22.4890439189301	
914.8308159	95	1	4	0.00193071057	0.001334982617	97.55469927	0.01759108117	2.427709649	94.99487414	1.001970805	4.003155058										0	0	0	-914.8308159	0.001334982617	30.0303517878974	
914.7908159	95	1	4	0.004494496698	0.002663986068	97.55280429	0.01761590056	2.429579807	94.98804282	1.004599333	4.007357842										0	0	0	-914.7908159	0.002663986068	30.1655461743749	
914.7108159	95	1	4	0.009586170637	0.00530422808	97.54901995	0.01766543837	2.433314613	94.97439107	1.00985905	4.015749883										0	0	0	-914.7108159	0.00530422808	30.4476327985942	
914.5508159	95	1	4	0.01962204713	0.01050947867	97.54147459	0.01776425211	2.440761156	94.94712579	1.020396206	4.032478008										0	0	0	-914.5508159	0.01050947867	31.0228479095511	
914.2308159	95	1	4	0.03913578487	0.02064342632	97.52647347	0.01796056576	2.45556596	94.89275666	1.041526222	4.065717116										0	0	0	-914.2308159	0.02064342632	32.1738315551539	
913.5908159	95	1	4	0.07606522464	0.03985948063	97.49681838	0.01834805708	2.484833561	94.78464978	1.08400348	4.131346738										0	0	0	-913.5908159	0.03985948063	34.5919991463578	
912.3108159	95	1	4	0.1424707141	0.07453511108	97.43881153	0.01910331488	2.542085155	94.57088032	1.16977394	4.259345739										0	0	0	-912.3108159	0.07453511108	39.8579807977972	
909.7508159	95	1	4	0.2514483458	0.1317814696	97.32742575	0.02054077969	2.652033469	94.15248141	1.344208906	4.503309687										0	0	0	-909.7508159	0.1317814696	-245.277514418295	
907.1908159	95	1	4	0.3353699543	0.1165576011	97.22089922	0.02183742074	2.757263357	93.7476501	1.518675301	4.733674595										0	0	0	-907.1908159	0.1165576011	-190.571354569868	
904.6308159	95	1	4	0.4018843756	0.104287478	97.11843911	0.02301370681	2.858547179	93.35519178	1.692813728	4.951994494										0	0	0	-904.6308159	0.104287478	-233.662298139596	
902.0708159	95	1	4	0.4558492203	0.09421674611	97.01943855	0.02408609315	2.95647536	92.97404906	1.866389042	5.159561895										0	0	0	-902.0708159	0.09421674611	-281.915653223315	
899.5108159	95	1	4	0.5004876149	0.0858236511	96.92342174	0.0250679207	3.051510343	92.60327908	2.039253511	5.35746741										0	0	0	-899.5108159	0.0858236511	-335.472636505724	
896.9508159	95	1	4	0.5380167128	0.07873606161	96.83000872	0.02597008169	3.144021193	92.24204083	2.2113191	5.546640074										0	0	0	-896.9508159	0.07873606161	-394.453415024282	
894.3908159	95	1	4	0.570008666	0.07268207549	96.73889107	0.02680153779	3.234307394	91.88958324	2.382538856	5.727877903										0	0	0	-894.3908159	0.07268207549	-458.963470007624	
891.8308159	95	1	4	0.5976074857	0.06745877376	96.64981478	0.02756971963	3.322615501	91.54523464	2.552894057	5.901871304										0	0	0	-891.8308159	0.06745877376	-529.093166310309	
889.2708159	95	1	4	0.6216644356	0.06291191875	96.56256807	0.02828083557	3.40915109	91.20839331	2.72238528	6.06922141										0	0	0	-889.2708159	0.06291191875	-604.919605556531	
886.7108159	95	1	4	0.6428254019	0.05892237754	96.47697238	0.02894011121	3.494087506	90.87851919	2.891026155	6.230454655										0	0	0	-886.7108159	0.05892237754	-686.508318744335	
884.1508159	95	1	4	0.6615889132	0.05539681433	96.39287563	0.02955197634	3.57757239	90.55512653	3.058838975	6.386034499										0	0	0	-884.1508159	0.05539681433	-773.914781964777	
881.5908159	95	1	4	0.6783456522	0.05226116963	96.31014716	0.0301202118	3.659732632	90.23777741	3.225851615	6.536370978										0	0	0	-881.5908159	0.05226116963	-867.185758462278	
879.0308159	95	1	4	0.6934059678	0.04945600365	96.22867375	0.0306480656	3.74067818	89.92607614	3.392095349	6.681828515										0	0	0	-879.0308159	0.04945600365	-966.360475943922	
876.4708159	95	1	4	0.7070194167	0.04693311387	96.14835664	0.03113834541	3.82050501	89.61966429	3.55760332	6.822732392										0	0	0	-876.4708159	0.04693311387	-1071.47166932169	
873.9108159	95	1	4	0.7193888921	0.04465304038	96.06910903	0.03159349269	3.899297477	89.31821642	3.722409466	6.959374115										0	0	0	-873.9108159	0.04465304038	-1182.54647409134	
871.3508159	95	1	4	0.7306810048	0.0425832003	95.99085418	0.03201564261	3.97713018	89.02143631	3.886547773	7.092015917										0	0	0	-871.3508159	0.0425832003	-1299.60723247817	
868.7908159	95	1	4	0.7410338223	0.04069647519	95.91352385	0.03240667267	4.054069473	88.72905371	4.050051761	7.220894533										0	0	0	-868.7908159	0.04069647519	-1422.67217221668	
866.2308159	95	1	4	0.7505627156	0.03897012892	95.83705707	0.03276824253	4.130174692	88.44082146	4.21295414	7.346224404										0	0	0	-866.2308159	0.03897012892	-1551.75603316533	
863.6708159	95	1	4	0.7593648303	0.03738497012	95.76139901	0.03310182672	4.20549916	88.15651302	4.375286585	7.468200392										0	0	0	-863.6708159	0.03738497012	-1686.87058049974	
861.1108159	95	1	4	0.7675225442	0.03592469737	95.68650024	0.03340874178	4.280091017	87.87592031	4.537079595	7.5870001										0	0	0	-861.1108159	0.03592469737	-1629.27666575582	
859.8308159	95	1	4	0.7713640042	0.01753055404	95.64928191	0.0335490493	4.317169038	87.73722047	4.617435247	7.645344285										0	0	0	-859.8308159	0.01753055404	-71.3215260531232	
859.1908159	95	1	4	0.7732295145	0.00866109409	95.63072844	0.03361603622	4.335655528	87.66825704	4.657482755	7.674260204										0	0	0	-859.1908159	0.00866109409	-73.0676512632476	
858.8708159	95	1	4	0.7741496337	0.004308194875	95.62146287	0.03364853371	4.3448886	87.63388604	4.67745323	7.688660726										0	0	0	-858.8708159	0.004308194875	-73.859664933281	
858.7108159	95	1	4	0.774606208	0.002146943365	95.61683415	0.03366464425	4.349501201	87.61672033	4.68743579	7.69584388										0	0	0	-858.7108159	0.002146943365	-74.2788938801457	
858.6308159	95	1	4	0.7748336348	0.001071705377	95.61452079	0.03367266491	4.351806547	87.60814234	4.692426421	7.699431237										0	0	0	-858.6308159	0.001071705377	-74.5249079859662	
858.5908159	95	1	4	0.7749471343	0.0005354127375	95.61336435	0.03367666654	4.352958981	87.60385457	4.69492157	7.701223864										0	0	0	-858.5908159	0.0005354127375	-74.6474776925253	
858.5708159	95	1	4	0.7750038307	0.0002675966284	95.6127862	0.03367866518	4.353535139	87.60171098	4.696169101	7.702119915										0	0	0	-858.5708159	0.0002675966284	-115.371561144765	
858.5508159	95	1	4	0.7753775267	0.001172371678	95.61292542	0.03374384195	4.353330736	87.59481396	4.703698919	7.701487121	81.86493726	0	18.13506274							0	0	0	-858.5508159	0.001172371678	176.998841374694	
858.5308159	95	1	4	0.7757866052	0.001275149749	95.61314785	0.03381642375	4.353035727	87.58736306	4.711960289	7.700676655	81.86493518	0	18.13506482							0	0	0	-858.5308159	0.001275149749	182.384335385924	
858.4908159	95	1	4	0.7766018124	0.002545323791	95.61359284	0.03396187727	4.352445281	87.57244895	4.728497081	7.699053972	81.86493113	0	18.13506887							0	0	0	-858.4908159	0.002545323791	31.6535190295236	
858.4108159	95	1	4	0.7782129006	0.005047497518	95.61448218	0.03425286949	4.351264955	87.54267861	4.761508224	7.695813162	81.86492285	0	18.13507715							0	0	0	-858.4108159	0.005047497518	32.2543106755458	
858.2508159	95	1	4	0.7813591084	0.009924918679	95.61625912	0.03483615449	4.348904722	87.48327282	4.827387502	7.689339676	81.86490607	0	18.13509393							0	0	0	-858.2508159	0.009924918679	33.3435659019408	
857.9308159	95	1	4	0.7873754267	0.01923454464	95.6198061	0.0360079839	4.344185919	87.36499051	4.958584784	7.676424707	81.86487162	0	18.13512838							0	0	0	-857.9308159	0.01923454464	35.5496820301261	
857.2908159	95	1	4	0.7984105748	0.03621266593	95.62687232	0.03837271262	4.334754965	87.13051313	5.218765288	7.650721578	81.86479923	0	18.13520077							0	0	0	-857.2908159	0.03621266593	40.3504302583855	
856.0108159	95	1	4	0.8171925706	0.06477358628	95.64089359	0.04318691217	4.315919501	86.66964265	5.730544277	7.599813076	81.86464004	0	18.13535996							0	0	0	-856.0108159	0.06477358628	51.4487175148201	
853.4508159	95	1	4	0.8454327681	0.1066259425	95.66848759	0.05315845449	4.278353957	85.77826035	6.72182822	7.499911429	81.86426496	0	18.13573504							0	0	0	-853.4508159	0.1066259425	-295.347629754417	
850.8908159	95	1	4	0.8656710184	0.08936937575	95.69547679	0.06359535909	4.240927846	84.92402402	7.673543824	7.402432156	81.86381514	0	18.13618486							0	0	0	-850.8908159	0.08936937575	-177.890402381407	
848.3308159	95	1	4	0.8809053179	0.0765579688	95.72185214	0.07450803914	4.203639825	84.10340736	8.589365022	7.307227617	81.8632916	0	18.1367084							0	0	0	-848.3308159	0.0765579688	-233.664577953085	
845.7708159	95	1	4	0.8928017658	0.06670058766	95.74760436	0.08590702348	4.166488614	83.31340919	9.472423927	7.214166885	81.86269534	0	18.13730466							0	0	0	-845.7708159	0.06670058766	-297.92470211411	
843.2108159	95	1	4	0.9023597439	0.05889978584	95.77272358	0.09780351469	4.129472908	82.55141717	10.32545263	7.123130205	81.86202735	0	18.13797265							0	0	0	-843.2108159	0.05889978584	-370.878144377335	
840.6508159	95	1	4	0.9102151253	0.05258574205	95.79719937	0.1102092316	4.0925914	81.81515165	11.15083972	7.034008631	81.86128858	0	18.13871142							0	0	0	-840.6508159	0.05258574205	-452.755366793737	
838.0908159	95	1	4	0.9167918593	0.04737996438	95.82102079	0.1231364145	4.05584279	81.10261042	11.95068684	6.946702738	81.86047997	0	18.13952003							0	0	0	-838.0908159	0.04737996438	-543.788093429708	
835.5308159	95	1	4	0.9223835261	0.04302138919	95.84417639	0.1365978318	4.019225779	80.41202468	12.7268538	6.861121525	81.85960243	0	18.14039757							0	0	0	-835.5308159	0.04302138919	-644.202185878495	
832.9708159	95	1	4	0.9271999123	0.03932425634	95.86665414	0.1506067892	3.982739069	79.74182349	13.48099504	6.777181473	81.85865687	0	18.14134313							0	0	0	-832.9708159	0.03932425634	-754.218392960717	
830.4108159	95	1	4	0.9313949448	0.03615288329	95.88844149	0.1651771415	3.946381371	79.09060487	14.21458941	6.694805724	81.85764415	0	18.14235585							0	0	0	-830.4108159	0.03615288329	-874.052905126588	
827.8508159	95	1	4	0.9350841454	0.03340592702	95.9095253	0.1803233076	3.910151394	78.45711199	14.92896463	6.613923372	81.85656513	0	18.14343487							0	0	0	-827.8508159	0.03340592702	-1003.91782406141	
825.2908159	95	1	4	0.9383559219	0.03100621865	95.92989186	0.1960602874	3.874047856	77.84021349	15.62531767	6.534468845	81.85542065	0	18.14457935							0	0	0	-825.2908159	0.03100621865	-1144.02157995549	
822.7308159	95	1	4	0.9412790956	0.02889399899	95.94952684	0.2124036816	3.838069474	77.238887	16.30473163	6.456381366	81.85421152	0	18.14578848							0	0	0	-822.7308159	0.02889399899	-1294.56934617201	
820.1708159	95	1	4	0.9439080506	0.02702229926	95.96841531	0.2293697139	3.802214973	76.65220541	16.96819011	6.37960448	81.85293855	0	18.14706145							0	0	0	-820.1708159	0.02702229926	-1455.76339694398	
817.6108159	95	1	4	0.9462863394	0.02535371408	95.98654167	0.2469752562	3.766483077	76.07932516	17.6165892	6.304085637	81.8516025	0	18.1483975							0	0	0	-817.6108159	0.02535371408	-1627.80346414799	
815.0508159	95	1	4	0.9484492579	0.02385810147	96.00388963	0.2652378557	3.730872512	75.51947635	18.25074782	6.22977583	81.85020415	0	18.14979585							0	0	0	-815.0508159	0.02385810147	-1583.26406011823	
814.4108159	95	1	4	0.9489600971	0.005830936446	96.00810302	0.2699082937	3.721988684	75.38146649	18.40715166	6.211381855	81.84984482	0	18.15015518							0	0	0	-814.4108159	0.005830936446	-98.4615972892949	
814.0908159	95	1	4	0.9492110882	0.002888119369	96.010191	0.2722594307	3.71754957	75.31274717	18.48504094	6.202211896	81.84966379	0	18.15033621							0	0	0	-814.0908159	0.002888119369	-67.3811439872058	
814.0108159	95	1	4	0.9492737162	0.0007240606273	96.01071103	0.2728488811	3.716440084	75.2955966	18.50448118	6.199922216	81.84961842	0	18.15038158							0	0	0	-814.0108159	0.0007240606273	-99.2893087515059	
813.9708159	95	1	4	0.9493048125	0.0003597030829	96.01097076	0.2731438535	3.715885386	75.28702589	18.51419631	6.1987778	81.8495957	0	18.1504043							0	0	0	-813.9708159	0.0003597030829	-110.688621848737	
813.9508159	95	1	4	0.9493203421	0.0001797438381	96.01110055	0.273291403	3.715608048	75.28274163	18.51905268	6.198205694	81.84958434	0	18.15041566							0	0	0	-813.9508159	0.0001797438381	-115.362056012598	
813.9308159	95	1	4	0.9499614703	0.00526020167	96.01463756	0.2744378932	3.710924545	75.26345041	18.54536725	6.191182345				62.54235303	28.42537001	9.032276954				0	0	0	-813.9308159	0.00526020167	-54.3434148303485	
813.9108159	95	1	4	0.9505459324	0.004858029353	96.01790845	0.2755106692	3.706580877	75.24533238	18.57000694	6.18466068				62.54235303	28.42537001	9.032276954				0	0	0	-813.9108159	0.004858029353	-55.4194206516943	
813.8708159	95	1	4	0.9516642168	0.009398218605	96.02434363	0.2776370381	3.698019333	75.20956828	18.61861877	6.171812951				62.54235303	28.42537001	9.032276954				0	0	0	-813.8708159	0.009398218605	9.13069831474331	
813.7908159	95	1	4	0.9537178273	0.01763531788	96.03681187	0.2818175128	3.68137062	75.13982041	18.71332468	6.146854907				62.54235303	28.42537001	9.032276954				0	0	0	-813.7908159	0.01763531788	10.4283373620427	
813.6308159	95	1	4	0.9572275693	0.03139874839	96.06031536	0.2899224767	3.649762168	75.00667074	18.89376533	6.099563921				62.54235303	28.42537001	9.032276954				0	0	0	-813.6308159	0.03139874839	13.3748842801933	
813.3108159	95	1	4	0.9625708585	0.05148788527	96.10266899	0.3053189943	3.592012012	74.76088889	19.22563978	6.013471325				62.54235303	28.42537001	9.032276954				0	0	0	-813.3108159	0.05148788527	20.7388239320653	
812.6708159	95	1	4	0.9694927898	0.07562302644	96.17406933	0.3338721574	3.492058508	74.32767584	19.80692906	5.8653951				62.54235303	28.42537001	9.032276954				0	0	0	-812.6708159	0.07562302644	-217.956810746744	
812.0308159	95	1	4	0.9738305682	0.05761415991	96.23338953	0.3605112094	3.406099265	73.94697699	20.31405082	5.738972186				62.54235303	28.42537001	9.032276954				0	0	0	-812.0308159	0.05761415991	-49.0726969874583	
811.3908159	95	1	4	0.976855058	0.04647320991	96.28433078	0.3859311455	3.329738073	73.60227344	20.77036874	5.627357821				62.54235303	28.42537001	9.032276954				0	0	0	-811.3908159	0.04647320991	-73.6181898896364	
810.7508159	95	1	4	0.9791093198	0.03890817718	96.32898279	0.4105172587	3.260499947	73.28427432	21.18902453	5.526701149				62.54235303	28.42537001	9.032276954				0	0	0	-810.7508159	0.03890817718	-103.428579027026	
810.1108159	95	1	4	0.9808681529	0.03343990127	96.36866734	0.4345105319	3.196822132	72.98711093	21.57831668	5.434572395				62.54235303	28.42537001	9.032276954				0	0	0	-810.1108159	0.03343990127	-138.539659750944	
809.4708159	95	1	4	0.9822869933	0.02930543161	96.40428326	0.4580727945	3.137643942	72.70680074	21.94387561	5.349323653				62.54235303	28.42537001	9.032276954				0	0	0	-809.4708159	0.02930543161	-178.991101179878	
808.8308159	95	1	4	0.9834610398	0.02607171726	96.43647511	0.481318751	3.082206138	72.44049364	22.28973007	5.26977629				62.54235303	28.42537001	9.032276954				0	0	0	-808.8308159	0.02607171726	-224.82286306428	
808.1908159	95	1	4	0.9844521837	0.02347466442	96.46572391	0.5043331095	3.029942977	72.18606644	22.61888078	5.195052777				62.54235303	28.42537001	9.032276954				0	0	0	-808.1908159	0.02347466442	-276.071677404968	
807.5508159	95	1	4	0.985302579	0.02134407739	96.4924001	0.5271804865	2.980419411	71.9418869	22.93363421	5.124478894				62.54235303	28.42537001	9.032276954				0	0	0	-807.5508159	0.02134407739	-332.771699013733	
806.9108159	95	1	4	0.9860420299	0.01956535283	96.51679621	0.5499114906	2.933292304	71.70666806	23.2358086	5.057523339				62.54235303	28.42537001	9.032276954				0	0	0	-806.9108159	0.01956535283	-394.954859378074	
806.2708159	95	1	4	0.9866922645	0.01805851009	96.53914806	0.5725666414	2.8882853	71.47937383	23.52686756	4.993758614				62.54235303	28.42537001	9.032276954				0	0	0	-806.2708159	0.01805851009	-462.651119327252	
805.6308159	95	1	4	0.9872695351	0.01676604546	96.55964911	0.5951789944	2.845171898	71.25915539	23.80800993	4.932834679				62.54235303	28.42537001	9.032276954				0	0	0	-805.6308159	0.01676604546	-560.468325248631	
804.3508159	95	1	4	0.9882548034	0.02980427034	96.59571758	0.6403806217	2.763901797	70.83723366	24.34437479	4.818391547				62.54235303	28.42537001	9.032276954				0	0	0	-804.3508159	0.02980427034	113.123213260125	
801.7908159	95	1	4	0.9897518226	0.04878331354	96.65129349	0.7312313606	2.617475154	70.05355644	25.33303916	4.613404399				62.54235303	28.42537001	9.032276954				0	0	0	-801.7908159	0.04878331354	-654.08363536796	
799.2308159	95	1	4	0.9908402906	0.04035937011	96.68893972	0.8233907963	2.487669481	69.33193591	26.2352518	4.432812291				62.54235303	28.42537001	9.032276954				0	0	0	-799.2308159	0.04035937011	-379.362926897069	
796.6708159	95	1	4	0.9916750749	0.0344389526	96.71191997	0.917444275	2.370635758	68.65802068	27.0712498	4.27072952				62.54235303	28.42537001	9.032276954				0	0	0	-796.6708159	0.0344389526	-519.665283070761	
794.1108159	95	1	4	0.99234013	0.03005725765	96.72236382	1.013805857	2.263830326	68.02236453	27.85434731	4.123288159				62.54235303	28.42537001	9.032276954				0	0	0	-794.1108159	0.03005725765	-683.30861790702	
791.5508159	95	1	4	0.9928852806	0.02668666276	96.72173494	1.112801654	2.165463402	67.41834225	28.59387441	3.987783338				62.54235303	28.42537001	9.032276954				0	0	0	-791.5508159	0.02668666276	-870.429444899912	
788.9908159	95	1	4	0.993342151	0.02401536721	96.71107238	1.214710128	2.074217494	66.8410961	29.29666648	3.862237418				62.54235303	28.42537001	9.032276954				0	0	0	-788.9908159	0.02401536721	-809.335328747349	
787.7108159	95	1	4	0.9935440005	0.01131203264	96.7022219	1.266836392	2.030941709	66.56132664	29.63595639	3.802716968				62.54235303	28.42537001	9.032276954				0	0	0	-787.7108159	0.01131203264	-107.143508433434	
787.0708159	95	1	4	0.9936392206	0.005497288013	96.69695089	1.293205964	2.009843149	66.42348144	29.80281909	3.77369947				62.54235303	28.42537001	9.032276954				0	0	0	-787.0708159	0.005497288013	-68.3537263514777	
786.9108159	95	1	4	0.9936624647	0.001361270326	96.69554645	1.299830921	2.004622632	66.3892251	29.84425547	3.766519423				62.54235303	28.42537001	9.032276954				0	0	0	-786.9108159	0.001361270326	-106.064123433697	
786.8308159	95	1	4	0.9936740069	0.0006785924725	96.69483131	1.303148328	2.002020365	66.37212715	29.86493249	3.76294036				62.54235303	28.42537001	9.032276954				0	0	0	-786.8308159	0.0006785924725	-117.503535073686	
786.7908159	95	1	4	0.9936797572	0.0003386352692	96.69447052	1.304808257	2.000721223	66.36358577	29.87526067	3.761153562				62.54235303	28.42537001	9.032276954				0	0	0	-786.7908159	0.0003386352692	-72.8508583234576	
786.7808159	95	1	4	0.9936811925	8.46397622E-05	96.69437992	1.305223378	2.000396702	66.36145098	29.87784185	3.76070717				62.54235303	28.42537001	9.032276954				0	0	0	-786.7808159	8.46397622E-05	-40.0349357486703	
786.7608159	95	1	4	0.9939111245	0.01587948275	96.69480251	1.311513638	1.99368385	66.3407631	29.90725361	3.751983287							43.36164434	51.06106018	5.577295482	0	0	0	-786.7608159	0.01587948275	5.61383922039813	
786.7408159	95	1	4	0.9941761287	0.0189729107	96.69534035	1.319285502	1.985374151	66.31574672	29.94306149	3.741191795							43.36164434	51.06106018	5.577295482	0	0	0	-786.7408159	0.0189729107	5.81715077527764	
786.7008159	95	1	4	0.9946332763	0.0341920896	96.6962044	1.334248752	1.969546849	66.2678465	30.01153774	3.72061576							43.36164434	51.06106018	5.577295482	0	0	0	-786.7008159	0.0341920896	2.97420969795176	
786.6208159	95	1	4	0.9953376087	0.0570846774	96.69723011	1.362256605	1.940513284	66.17910156	30.13810324	3.682795193							43.36164434	51.06106018	5.577295482	0	0	0	-786.6208159	0.0570846774	4.42031871223634	
786.4608159	95	1	4	0.9962592435	0.0857591913	96.69721565	1.412695477	1.890088873	66.02217984	30.36095554	3.616864626							43.36164434	51.06106018	5.577295482	0	0	0	-786.4608159	0.0857591913	-37.5123079867365	
786.3008159	95	1	4	0.9968326942	0.06625688036	96.69527473	1.458019455	1.846705814	65.88420313	30.55591988	3.559876994							43.36164434	51.06106018	5.577295482	0	0	0	-786.3008159	0.06625688036	-11.1046583088187	
786.1408159	95	1	4	0.9972289221	0.05389514855	96.69196742	1.49979401	1.808238565	65.75944838	30.73142209	3.50912953							43.36164434	51.06106018	5.577295482	0	0	0	-786.1408159	0.05389514855	-16.3840473007325	
785.9808159	95	1	4	0.9975215469	0.04536556757	96.68761998	1.538924808	1.773455212	65.64460045	30.89234308	3.463056469							43.36164434	51.06106018	5.577295482	0	0	0	-785.9808159	0.04536556757	-22.7409760626257	
785.8208159	95	1	4	0.9977478615	0.03912853853	96.68244236	1.575992517	1.74156512	65.53753205	31.04181472	3.420653232							43.36164434	51.06106018	5.577295482	0	0	0	-785.8208159	0.03912853853	-30.1808219921712	
785.6608159	95	1	4	0.9979289251	0.03437145881	96.67657929	1.611395511	1.712025204	65.43678251	31.18198735	3.38123014							43.36164434	51.06106018	5.577295482	0	0	0	-785.6608159	0.03437145881	-38.8228924630957	
785.5008159	95	1	4	0.9980776706	0.03064113866	96.67013394	1.645426369	1.684439689	65.34128192	31.31443413	3.344283951							43.36164434	51.06106018	5.577295482	0	0	0	-785.5008159	0.03064113866	-55.5446711813002	
