T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
903.3849788	93	2	5	0	0	97.09719735	0.02705600425	2.875746647	93	2	5													0.001540574441	-0.0007419077836	-0.0007986666575	-903.3849788	0	13.2503492345247	
903.3749788	93	2	5	0.0003593544056	0.0003759331095	97.09681649	0.02706064979	2.876122864	92.99845951	2.000741811	5.000798675													0	0	0	-903.3749788	0.0003759331095	39.9506045909638	
903.3549788	93	2	5	0.001077320802	0.0007513032664	97.09605491	0.02706993969	2.87687515	92.99537882	2.002225631	5.002395545													0	0	0	-903.3549788	0.0007513032664	53.316690265619	
903.3149788	93	2	5	0.002510253358	0.001500529068	97.09453239	0.02708850481	2.878379104	92.98921933	2.005193351	5.005587322													0	0	0	-903.3149788	0.001500529068	53.462020817642	
903.2349788	93	2	5	0.005364218539	0.002992827793	97.09148982	0.02712557721	2.881384598	92.97690765	2.011129207	5.011963139													0	0	0	-903.2349788	0.002992827793	53.7569092075791	
903.0749788	93	2	5	0.0110249882	0.005952986324	97.08541452	0.02719949195	2.887385983	92.9523135	2.023002571	5.024683933													0	0	0	-903.0749788	0.005952986324	54.372538942388	
902.7549788	93	2	5	0.02215362432	0.0117707279	97.07330506	0.02734668245	2.899348258	92.90322859	2.046772733	5.049998674													0	0	0	-902.7549788	0.0117707279	55.6281080393136	
902.1149788	93	2	5	0.04368579883	0.02303123924	97.04924297	0.02763802108	2.923119013	92.80548922	2.094372518	5.100138257													0	0	0	-902.1149788	0.02303123924	58.1541977379374	
900.8349788	93	2	5	0.08405650179	0.04414423467	97.00172161	0.02820895125	2.970069437	92.61169162	2.18979638	5.198512004													0	0	0	-900.8349788	0.04414423467	63.4937183003773	
898.2749788	93	2	5	0.1554562476	0.08148118084	96.90891401	0.02930697142	3.061779018	92.23046713	2.381467315	5.388065554													0	0	0	-898.2749788	0.08148118084	-489.012393984893	
895.7149788	93	2	5	0.2159156358	0.07493915328	96.81853452	0.0303200968	3.151145379	91.85878818	2.571933499	5.569278321													0	0	0	-895.7149788	0.07493915328	-425.916928827736	
893.1549788	93	2	5	0.2677702908	0.06932060329	96.73030715	0.03125766211	3.238435184	91.49593876	2.761172744	5.742888492													0	0	0	-893.1549788	0.06932060329	-493.260409397827	
890.5949788	93	2	5	0.3127422135	0.0644524078	96.64400138	0.03212734906	3.323871275	91.1412749	2.94918399	5.909541112													0	0	0	-890.5949788	0.0644524078	-566.405634358059	
888.0349788	93	2	5	0.3521254304	0.06019872391	96.55942413	0.03293559164	3.407640274	90.79421685	3.135983457	6.069799694													0	0	0	-888.0349788	0.06019872391	-645.333062589283	
885.4749788	93	2	5	0.3869103694	0.05645400669	96.47641183	0.03368782017	3.489900355	90.45424124	3.321599189	6.22415957													0	0	0	-885.4749788	0.05645400669	-730.116361296073	
882.9149788	93	2	5	0.4178674053	0.05313501288	96.39482448	0.03438864933	3.570786871	90.12087488	3.506066825	6.37305829													0	0	0	-882.9149788	0.05313501288	-820.811814924365	
880.3549788	93	2	5	0.4456044079	0.05017529698	96.31454133	0.03504202648	3.650416644	89.79368922	3.689426638	6.516884142													0	0	0	-880.3549788	0.05017529698	-917.467259863224	
877.7949788	93	2	5	0.470607224	0.04752124458	96.23545736	0.03565134936	3.728891294	89.47229536	3.871721448	6.655983188													0	0	0	-877.7949788	0.04752124458	-1020.12322226315	
875.2349788	93	2	5	0.4932686928	0.04512916718	96.15748059	0.0362195602	3.806299845	89.15633972	4.052995175	6.790665104													0	0	0	-875.2349788	0.04512916718	-1128.81392524308	
872.6749788	93	2	5	0.5139097969	0.04296314357	96.08052998	0.03674922131	3.8827208	88.8455001	4.233291829	6.921208067													0	0	0	-872.6749788	0.04296314357	-1243.5681701332	
870.1149788	93	2	5	0.532795318	0.04099339468	96.00453363	0.03724257651	3.958223796	88.53948232	4.412654823	7.047862859													0	0	0	-870.1149788	0.04099339468	-1364.41009768386	
867.5549788	93	2	5	0.5501455873	0.03919504539	95.92942745	0.03770160102	4.032870951	88.23801715	4.591126514	7.170856337													0	0	0	-867.5549788	0.03919504539	-1491.35986913903	
864.9949788	93	2	5	0.5661454164	0.0375471708	95.855154	0.03812804248	4.106717959	87.94085772	4.768747901	7.290394379													0	0	0	-864.9949788	0.0375471708	-1624.43426692494	
862.4349788	93	2	5	0.5809509663	0.03603205415	95.78166155	0.03852345482	4.179814995	87.64777716	4.945558449	7.406664391													0	0	0	-862.4349788	0.03603205415	-1763.64719928945	
859.8749788	93	2	5	0.5946950866	0.03463460399	95.70890331	0.03888922632	4.252207462	87.35856656	5.121595982	7.519837461													0	0	0	-859.8749788	0.03463460399	-1909.0101719234	
857.3149788	93	2	5	0.6074915058	0.03334189252	95.63683678	0.03922660303	4.323936618	87.07303314	5.29689665	7.630070212													0	0	0	-857.3149788	0.03334189252	-1901.94492248379	
857.1549788	93	2	5	0.6082563716	0.002061190776	95.63234475	0.03924582729	4.32840942	87.05537192	5.307741408	7.636886668													0	0	0	-857.1549788	0.002061190776	-75.1708393350976	
857.0749788	93	2	5	0.6086372533	0.001028708543	95.63009942	0.03925541296	4.330645172	87.04654449	5.313164449	7.640291066													0	0	0	-857.0749788	0.001028708543	-47.9733989422302	
857.0549788	93	2	5	0.608732314	0.0002570755339	95.62953817	0.03925779777	4.331204034	87.04433886	5.314519321	7.641141823													0	0	0	-857.0549788	0.0002570755339	4744.50251344201	
857.0349788	93	2	5	0.6093017809	0.001020277224	95.62968665	0.03932579453	4.33098756	87.03755541	5.321950055	7.640494533	81.8647689	0	18.1352311										0	0	0	-857.0349788	0.001020277224	245.345258613863	
857.0149788	93	2	5	0.6099170174	0.001095221698	95.62990634	0.03940044912	4.330693206	87.03031059	5.329992799	7.63969661	81.86476647	0	18.13523353										0	0	0	-857.0149788	0.001095221698	252.081044525945	
856.9749788	93	2	5	0.6111441068	0.002187516272	95.63034586	0.03955007275	4.33010407	87.01580702	5.346094082	7.638098898	81.86476171	0	18.13523829										0	0	0	-856.9749788	0.002187516272	36.7930526154619	
856.8949788	93	2	5	0.6135725832	0.004341872894	95.63122425	0.03984938905	4.328926364	86.98685614	5.378235857	7.634908006	81.86475201	0	18.13524799										0	0	0	-856.8949788	0.004341872894	37.4183327459877	
856.7349788	93	2	5	0.6183295372	0.008555248175	95.6329793	0.04044933874	4.326571366	86.92908049	5.442385486	7.628534026	81.8647324	0	18.1352676										0	0	0	-856.7349788	0.008555248175	38.5200211697795	
856.4149788	93	2	5	0.6274776767	0.01664269252	95.63648241	0.04165455904	4.321863028	86.81402468	5.570158496	7.615816827	81.8646923	0	18.1353077										0	0	0	-856.4149788	0.01664269252	40.748931132319	
855.7749788	93	2	5	0.6444359261	0.03155176914	95.64346072	0.04408632054	4.312452964	86.58586799	5.823627686	7.590504322	81.86460859	0	18.13539141										0	0	0	-855.7749788	0.03155176914	45.559761744064	
854.4949788	93	2	5	0.6738416367	0.05711395954	95.65730524	0.04903561671	4.29365914	86.13713436	6.322507723	7.540357915	81.86442703	0	18.13557297										0	0	0	-854.4949788	0.05711395954	56.5176649734656	
851.9349788	93	2	5	0.7193893568	0.0957511957	95.68454211	0.05928158257	4.256176305	85.26819617	7.289895178	7.441908651	81.86400757	0	18.13599243										0	0	0	-851.9349788	0.0957511957	-322.794432043015	
849.3749788	93	2	5	0.7530578937	0.08135910137	95.71116897	0.06999891036	4.218832124	84.43425901	8.219947782	7.345793209	81.86351398	0	18.13648602										0	0	0	-849.3749788	0.08135910137	-209.929242059918	
846.8149788	93	2	5	0.7789897734	0.07043140855	95.73717651	0.08119821907	4.181625269	83.6321088	9.116018006	7.251873191	81.86294726	0	18.13705274										0	0	0	-846.8149788	0.07043140855	-270.682467236416	
844.2549788	93	2	5	0.7996006418	0.06187512416	95.76255515	0.09289040335	4.144554451	82.85898649	9.980988826	7.160024686	81.86230841	0	18.13769159										0	0	0	-844.2549788	0.06187512416	-340.057929319627	
841.6949788	93	2	5	0.8163937118	0.05500906434	95.78729466	0.1050869709	4.107618365	82.11248415	10.81738135	7.070134505	81.86159839	0	18.13840161										0	0	0	-841.6949788	0.05500906434	-418.267004715598	
839.1349788	93	2	5	0.8303534887	0.0493882305	95.81138435	0.1177999485	4.070815706	81.39049228	11.62740823	6.982099483	81.86081816	0	18.13918184										0	0	0	-839.1349788	0.0493882305	-505.537832475881	
836.5749788	93	2	5	0.8421518702	0.04471009437	95.83481294	0.1310418883	4.034145176	80.69115162	12.41302308	6.895825304	81.85996862	0	18.14003138										0	0	0	-836.5749788	0.04471009437	-602.098557086821	
834.0149788	93	2	5	0.8522631899	0.04076196327	95.85756865	0.1448258754	3.997605475	80.01281434	13.17596015	6.811225503	81.8590507	0	18.1409493										0	0	0	-834.0149788	0.04076196327	-708.171939043763	
831.4549788	93	2	5	0.8610319262	0.03739005242	95.87963915	0.1591655393	3.961195312	79.3540127	13.9177667	6.728220597	81.85806527	0	18.14193473										0	0	0	-831.4549788	0.03739005242	-823.975964285129	
828.8949788	93	2	5	0.8687143427	0.03448049318	95.90101154	0.1740750667	3.924913396	78.71343325	14.63982942	6.646737331	81.85701319	0	18.14298681										0	0	0	-828.8949788	0.03448049318	-949.724350064875	
826.3349788	93	2	5	0.8755050643	0.0319472305	95.92167234	0.1895692184	3.888758441	78.08989559	15.34339639	6.566708028	81.85589531	0	18.14410469										0	0	0	-826.3349788	0.0319472305	-1085.62697602555	
823.7749788	93	2	5	0.8815545876	0.02972406245	95.94160749	0.2056633473	3.852729166	77.48233471	16.02959527	6.488070015	81.85471245	0	18.14528755										0	0	0	-823.7749788	0.02972406245	-1231.89029908411	
