T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
929.8364768	98	2	0	0	98.49875898	1.501241019	98	2			0.002123547691	-0.002123547691	-929.8364768	0	1.14741811542448	
929.8264768	98	2	0.004191485214	0.00424920472	98.49761973	1.502380267	97.99787647	2.002123526			0	0	-929.8264768	0.00424920472	3.55934498917402	
929.8064768	98	2	0.01249903866	0.008456665299	98.49534548	1.504654516	97.99363464	2.006365364			0	0	-929.8064768	0.008456665299	4.77815253234367	
929.7664768	98	2	0.02881054583	0.01674375442	98.49081406	1.509185942	97.98517203	2.014827972			0	0	-929.7664768	0.01674375442	4.88004054530304	
929.6864768	98	2	0.0602316444	0.03279767095	98.48181856	1.51818144	97.96833077	2.031669228			0	0	-929.6864768	0.03279767095	5.08935395479716	
929.5264768	98	2	0.1186801778	0.06304708358	98.46408722	1.535912778	97.93497125	2.065028748			0	0	-929.5264768	0.06304708358	5.52306504545322	
929.2064768	98	2	0.2203398001	0.1169252483	98.42959953	1.570400469	97.86947711	2.130522891			0	0	-929.2064768	0.1169252483	-45.2637247055063	
928.8864768	98	2	0.3035593088	0.1082899429	98.39630283	1.603697173	97.80549906	2.194500942			0	0	-928.8864768	0.1082899429	-39.9406035781225	
928.5664768	98	2	0.3726635108	0.1007529574	98.36408344	1.635916557	97.74291449	2.25708551			0	0	-928.5664768	0.1007529574	-45.5502848549521	
928.2464768	98	2	0.4307665033	0.09412368715	98.33284417	1.66715583	97.68161879	2.318381212			0	0	-928.2464768	0.09412368715	-51.5709071114715	
927.9264768	98	2	0.4801581406	0.08825149792	98.30250094	1.69749906	97.62152134	2.378478657			0	0	-927.9264768	0.08825149792	-58.0029322568915	
927.6064768	98	2	0.5225541732	0.08301681908	98.27298052	1.727019477	97.56254311	2.437456892			0	0	-927.6064768	0.08301681908	-64.8503355190687	
927.2864768	98	2	0.5592618707	0.0783237098	98.24421869	1.755781314	97.50461459	2.495385413			0	0	-927.2864768	0.0783237098	-72.1175137913698	
926.9664768	98	2	0.5912922508	0.07409433937	98.21615873	1.783841267	97.44767425	2.552325751			0	0	-926.9664768	0.07409433937	-79.808786209203	
926.6464768	98	2	0.6194377659	0.07026493802	98.18875034	1.811249664	97.39166727	2.608332733			0	0	-926.6464768	0.07026493802	-87.9284028498884	
926.3264768	98	2	0.6443271131	0.06678278131	98.16194859	1.838051412	97.33654449	2.663455505			0	0	-926.3264768	0.06678278131	-96.4805793307643	
926.0064768	98	2	0.6664645784	0.06360391662	98.13571323	1.864286771	97.28226164	2.717738362			0	0	-926.0064768	0.06360391662	-105.469490860133	
925.6864768	98	2	0.6862587217	0.06069142367	98.11000801	1.889991992	97.22877858	2.771221425			0	0	-925.6864768	0.06069142367	-114.899279253099	
925.3664768	98	2	0.7040435903	0.05801407276	98.08480016	1.915199844	97.17605879	2.823941207			0	0	-925.3664768	0.05801407276	-127.14206871798	
924.7264768	98	2	0.7350557615	0.1072478087	98.03576018	1.964239823	97.07277785	2.927222153			0	0	-924.7264768	0.1072478087	14.2543188267849	
923.4464768	98	2	0.7831848676	0.1859637422	97.94250189	2.057498113	96.87407279	3.125927213			0	0	-923.4464768	0.1859637422	-83.7899495152927	
922.1664768	98	2	0.8173783704	0.1619127118	97.85464143	2.14535857	96.68463562	3.315364382			0	0	-922.1664768	0.1619127118	-61.3466543190259	
920.8864768	98	2	0.8427481341	0.1430147039	97.77122782	2.228772184	96.50330486	3.496695141			0	0	-920.8864768	0.1430147039	-76.8774512512076	
919.6064768	98	2	0.8622214757	0.1278184823	97.6915475	2.308452502	96.32916807	3.670831926			0	0	-919.6064768	0.1278184823	-94.4182126943416	
918.3264768	98	2	0.8775824715	0.1153631929	97.61504766	2.384952336	96.16148017	3.838519827			0	0	-918.3264768	0.1153631929	-114.021105746299	
917.0464768	98	2	0.8899741164	0.104989878	97.54129144	2.458708564	95.99962051	4.000379494			0	0	-917.0464768	0.104989878	-135.742086642005	
915.7664768	98	2	0.9001592597	0.09623275345	97.46992732	2.530072683	95.84306298	4.156937018			0	0	-915.7664768	0.09623275345	-159.636957408541	
914.4864768	98	2	0.908664669	0.08875356186	97.40066816	2.599331841	95.69135546	4.308644536			0	0	-914.4864768	0.08875356186	-185.758459857309	
913.2064768	98	2	0.915864718	0.0823009453	97.33327627	2.666723728	95.54410503	4.455894972			0	0	-913.2064768	0.0823009453	-214.156135556008	
911.9264768	98	2	0.9220321223	0.07668438829	97.26755263	2.732447368	95.40096709	4.59903291			0	0	-911.9264768	0.07668438829	-244.876289238596	
910.6464768	98	2	0.9273698403	0.07175698412	97.20332889	2.796671113	95.26163717	4.738362829			0	0	-910.6464768	0.07175698412	-277.962031672979	
909.3664768	98	2	0.9320317716	0.06740372868	97.14046134	2.859538658	95.1258445	4.8741555			0	0	-909.3664768	0.06740372868	-313.453382119935	
908.0864768	98	2	0.9361365616	0.06353338065	97.07882635	2.921173652	94.99334696	5.006653044			0	0	-908.0864768	0.06353338065	-361.500839685334	
905.5264768	98	2	0.943129782	0.1152157076	96.9588388	3.0411612	94.73738806	5.262611936			0	0	-905.5264768	0.1152157076	-310.440234147581	
902.9664768	98	2	0.9487479269	0.1042921818	96.8426602	3.157339805	94.49225987	5.507740128			0	0	-902.9664768	0.1042921818	-260.906542644363	
