T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
910.2825594	91	6	3	0	0	98.05137498	0.1635692672	1.785055754	91	6	3										0.003115273409	-0.002578579721	-0.0005366936874	-910.2825594	0	11.2535175449065	
910.2725594	91	6	3	0.0004410974274	0.0004417172018	98.05113637	0.1636206832	1.785242942	90.99688486	6.002578389	3.000536752										0	0	0	-910.2725594	0.0004417172018	34.0243206703175	
910.2525594	91	6	3	0.00132194765	0.0008824082137	98.05065937	0.1637234987	1.785617136	90.9906556	6.007734679	3.001609725										0	0	0	-910.2525594	0.0008824082137	45.4244520554764	
910.2125594	91	6	3	0.003078730677	0.001761401798	98.04970598	0.1639290057	1.786365019	90.97820199	6.018044082	3.003753925										0	0	0	-910.2125594	0.001761401798	45.5951084936802	
910.1325594	91	6	3	0.006572761939	0.003509228668	98.04780169	0.1643395276	1.787858781	90.95331437	6.038650265	3.008035364										0	0	0	-910.1325594	0.003509228668	45.9500168187369	
909.9725594	91	6	3	0.0134836102	0.006964676982	98.04400304	0.1651586126	1.790838351	90.90361756	6.079811948	3.01657049										0	0	0	-909.9725594	0.006964676982	46.7064354125185	
909.6525594	91	6	3	0.02698615408	0.01370268516	98.03645061	0.1667906976	1.796758697	90.80452033	6.161962252	3.033517421										0	0	0	-909.6525594	0.01370268516	48.2677803830378	
909.0125594	91	6	3	0.05281440097	0.02656717393	98.02150827	0.1700276609	1.808464064	90.60754977	6.325498205	3.066952021										0	0	0	-909.0125594	0.02656717393	51.4435390466155	
907.7325594	91	6	3	0.1001968472	0.05003851517	97.99223661	0.1763964011	1.831366991	90.2185488	6.649414735	3.13203646										0	0	0	-907.7325594	0.05003851517	58.4264608426358	
905.1725594	91	6	3	0.180749511	0.08944683627	97.93587855	0.18873979	1.875381663	89.4604482	7.284069683	3.255482112										0	0	0	-905.1725594	0.08944683627	-372.328549385541	
902.6125594	91	6	3	0.2462540332	0.07979461337	97.88167034	0.2004880959	1.917841568	88.73021482	7.898311421	3.371473756										0	0	0	-902.6125594	0.07979461337	-293.60795088476	
900.0525594	91	6	3	0.3004953019	0.07172733273	97.82929448	0.2117081293	1.958997388	88.02713413	8.492250755	3.480615115										0	0	0	-900.0525594	0.07172733273	-349.074646618581	
897.4925594	91	6	3	0.3461122484	0.06491653977	97.77849998	0.2224569226	1.999043099	87.35016398	9.066365495	3.583470525										0	0	0	-897.4925594	0.06491653977	-411.183073108296	
894.9325594	91	6	3	0.384995093	0.05911497202	97.72908473	0.2327832238	2.038132049	86.69806651	9.621370806	3.680562681										0	0	0	-894.9325594	0.05911497202	-480.315054189427	
892.3725594	91	6	3	0.4185293814	0.05413299971	97.6808836	0.2427286986	2.076387706	86.06950852	10.15812017	3.772371306										0	0	0	-892.3725594	0.05413299971	-556.814715752343	
889.8125594	91	6	3	0.4477513477	0.04982309839	97.63375984	0.2523289979	2.113911165	85.46313045	10.67753593	3.859333625										0	0	0	-889.8125594	0.04982309839	-640.991965808541	
887.2525594	91	6	3	0.4734498127	0.04606909828	97.58759886	0.2616146774	2.150786459	84.87759217	11.18056173	3.941846103										0	0	0	-887.2525594	0.04606909828	-733.124356292067	
884.6925594	91	6	3	0.4962347793	0.04277856814	97.54230364	0.2706119794	2.187084379	84.31160189	11.6681311	4.020267015										0	0	0	-884.6925594	0.04277856814	-833.460886206892	
882.1325594	91	6	3	0.5165846711	0.03987729005	97.49779123	0.2793434929	2.222865279	83.76393297	12.14114758	4.09491945										0	0	0	-882.1325594	0.03987729005	-942.225550420377	
879.5725594	91	6	3	0.5348795248	0.03730517647	97.45399013	0.2878287089	2.258181156	83.23343267	12.60047285	4.166094485										0	0	0	-879.5725594	0.03730517647	-1059.62050764854	
877.0125594	91	6	3	0.5514247334	0.03501320837	97.41083828	0.296084485	2.293077234	82.71902523	13.04692046	4.234054314										0	0	0	-877.0125594	0.03501320837	-1185.82886031249	
874.4525594	91	6	3	0.5664683096	0.03296111144	97.3682814	0.3041254337	2.32759317	82.21971159	13.48125318	4.299035231										0	0	0	-874.4525594	0.03296111144	-1321.01710185557	
871.8925594	91	6	3	0.580213622	0.03111557444	97.32627175	0.3119642479	2.361764007	81.73456677	13.90418283	4.361250396										0	0	0	-871.8925594	0.03111557444	-1465.33719256463	
869.3325594	91	6	3	0.592828918	0.02944887082	97.28476711	0.3196119735	2.395620913	81.26273608	14.31637156	4.42089235										0	0	0	-869.3325594	0.02944887082	-1618.928409189	
866.7725594	91	6	3	0.6044545329	0.02793778396	97.24372998	0.3270782379	2.429191783	80.80343058	14.71843413	4.478135289										0	0	0	-866.7725594	0.02793778396	-1781.91889553038	
