T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
907.4327086	89	10	1	0	0	98.74502851	0.6291154802	0.6258560053	89	10	1							0.003765069965	-0.003620514713	-0.000144555252	-907.4327086	0	12.8657040953004	
907.4227086	89	10	1	0.0004035409465	0.0003863818183	98.74480141	0.629338316	0.6258602762	88.99623487	10.00362053	1.000144597							0	0	0	-907.4227086	0.0003863818183	38.8965658996431	
907.4027086	89	10	1	0.001209429209	0.0007718722031	98.74434725	0.6297839821	0.625868771	88.98870541	10.01086088	1.000433708							0	0	0	-907.4027086	0.0007718722031	51.9149622436525	
907.3627086	89	10	1	0.002817502223	0.001541386742	98.74343901	0.6306752724	0.6258857202	88.97364897	10.02533913	1.001011902							0	0	0	-907.3627086	0.001541386742	52.0609910422084	
907.2827086	89	10	1	0.006018875181	0.003073349562	98.74162292	0.6324574126	0.6259196669	88.94354633	10.0542855	1.002168163							0	0	0	-907.2827086	0.003073349562	52.382027423354	
907.1227086	89	10	1	0.01236309793	0.00610929	98.73799228	0.6360201255	0.6259875938	88.88338228	10.11213755	1.00448017							0	0	0	-907.1227086	0.00610929	53.0810873735481	
906.8027086	89	10	1	0.02480289833	0.01205464305	98.73073856	0.6431407119	0.6261207304	88.76322692	10.22767626	1.00909682							0	0	0	-906.8027086	0.01205464305	54.5247580624491	
906.1627086	89	10	1	0.04876845982	0.02350864429	98.71625739	0.6573600046	0.6263826031	88.52360749	10.45808192	1.018310587							0	0	0	-906.1627086	0.02350864429	57.394362241059	
904.8827086	89	10	1	0.09332564695	0.0447665279	98.68739532	0.6857124418	0.626892242	88.04725795	10.91608733	1.036654721							0	0	0	-904.8827086	0.0447665279	63.6149897431092	
902.3227086	89	10	1	0.1708821671	0.08159624659	98.63003232	0.7420829131	0.6278847622	87.10702329	11.82000449	1.07297222							0	0	0	-902.3227086	0.08159624659	-460.186218275434	
899.7627086	89	10	1	0.2358331455	0.07442686885	98.57309097	0.7980418913	0.6288671401	86.18502076	12.70629591	1.108683324							0	0	0	-899.7627086	0.07442686885	-384.813422904615	
897.2027086	89	10	1	0.2908788919	0.06816814672	98.51649831	0.8536144633	0.6298872248	85.28291375	13.57337668	1.143709563							0	0	0	-897.2027086	0.06816814672	-438.583503732389	
894.6427086	89	10	1	0.3380128783	0.06265806229	98.46019218	0.9088249972	0.6309828178	84.4020598	14.41995669	1.177983511							0	0	0	-894.6427086	0.06265806229	-496.209224967838	
892.0827086	89	10	1	0.3787388908	0.05777462782	98.40411911	0.963697963	0.632182927	83.5434937	15.24505587	1.211450436							0	0	0	-892.0827086	0.05777462782	-558.153429172342	
889.5227086	89	10	1	0.4142125155	0.05342373726	98.34823265	1.018258394	0.6335089609	82.70793107	16.04800013	1.244068796							0	0	0	-889.5227086	0.05342373726	-624.930743109711	
