T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
930.8705348	99	1	0	0	99.90302268	0.09697731773	99	1			0.003831909622	-0.003831909622	-930.8705348	0	1.14286889189592	
930.8605348	99	1	0.004249278772	0.004227196277	99.90264903	0.09735097396	98.99616815	1.003831846			0	0	-930.8605348	0.004227196277	3.58839946883788	
930.8405348	99	1	0.01265637636	0.008398268453	99.90190168	0.09809831765	98.98850441	1.011495587			0	0	-930.8405348	0.008398268453	4.83726771503068	
930.8005348	99	1	0.02906200347	0.0165286907	99.90040693	0.09959306742	98.97317843	1.026821575			0	0	-930.8005348	0.0165286907	4.99509518470646	
930.7205348	99	1	0.06039107289	0.03209511391	99.89741704	0.1025829571	98.94253041	1.057469595			0	0	-930.7205348	0.03209511391	5.30252273769217	
930.5605348	99	1	0.1176970859	0.06065602992	99.89143577	0.1085642258	98.881251	1.118748997			0	0	-930.5605348	0.06065602992	5.96337136233219	
930.2405348	99	1	0.2146882878	0.1092977555	99.87946735	0.1205326465	98.7587602	1.241239801			0	0	-930.2405348	0.1092977555	7.447015564292	
929.6005348	99	1	0.358856261	0.1824210804	99.85550634	0.1444936554	98.51404995	1.485950052			0	0	-929.6005348	0.1824210804	-43.0345030565279	
928.9605348	99	1	0.4599265679	0.1564444647	99.83151343	0.1684865736	98.26971528	1.730284718			0	0	-928.9605348	0.1564444647	-29.292448634166	
928.3205348	99	1	0.5345377467	0.1369263307	99.8074874	0.1925126012	98.02575729	1.974242708			0	0	-928.3205348	0.1369263307	-38.0017048203495	
927.6805348	99	1	0.5917694071	0.1217115367	99.78342809	0.2165719105	97.78218731	2.217812688			0	0	-927.6805348	0.1217115367	-47.8634997404694	
927.0405348	99	1	0.6369953408	0.109523182	99.75933488	0.2406651191	97.53901294	2.46098706			0	0	-927.0405348	0.109523182	-58.8812730064155	
926.4005348	99	1	0.6735916076	0.09953895095	99.73520726	0.2647927405	97.29624237	2.703757631			0	0	-926.4005348	0.09953895095	-71.0461439836558	
925.7605348	99	1	0.7037835001	0.09120993749	99.71104468	0.2889553203	97.05388382	2.946116184			0	0	-925.7605348	0.09120993749	-84.3570202690496	
925.1205348	99	1	0.7290959388	0.08415556005	99.68684658	0.3131534152	96.81194553	3.188054474			0	0	-925.1205348	0.08415556005	-98.8121753908461	
924.4805348	99	1	0.7506080665	0.07810361781	99.66261241	0.3373875931	96.57043577	3.429564225			0	0	-924.4805348	0.07810361781	-114.409653080654	
923.8405348	99	1	0.7691045237	0.07285426825	99.63834157	0.3616584334	96.32936286	3.670637139			0	0	-923.8405348	0.07285426825	-131.14729676332	
923.2005348	99	1	0.7851691612	0.06825747983	99.61403347	0.3859665267	96.08873511	3.911264893			0	0	-923.2005348	0.06825747983	-149.02276647035	
922.5605348	99	1	0.7992451844	0.06419842214	99.58968753	0.4103124748	95.84856085	4.151439151			0	0	-922.5605348	0.06419842214	-168.033545369113	
921.9205348	99	1	0.8116749481	0.06058771371	99.56530311	0.4346968916	95.60884844	4.391151562			0	0	-921.9205348	0.06058771371	-193.668632859349	
920.6405348	99	1	0.8326749255	0.1089950449	99.51641631	0.483583686	95.13084247	4.869157534			0	0	-920.6405348	0.1089950449	30.0124191220995	
918.0805348	99	1	0.863799363	0.1814075763	99.41815201	0.5818479935	94.18073296	5.819267041			0	0	-918.0805348	0.1814075763	-172.745982826833	
915.5205348	99	1	0.8855408409	0.154890111	99.3191997	0.6808003043	93.23896469	6.761035313			0	0	-915.5205348	0.154890111	-114.707567489955	
912.9605348	99	1	0.9015398862	0.1349477995	99.21950958	0.7804904174	92.30603807	7.693961929			0	0	-912.9605348	0.1349477995	-148.615186752452	
910.4005348	99	1	0.9137759767	0.1193780318	99.11903263	0.8809673743	91.38248	8.617520003			0	0	-910.4005348	0.1193780318	-186.825284413791	
907.8405348	99	1	0.9234174729	0.1068787122	99.01771486	0.9822851364	90.46879136	9.531208643			0	0	-907.8405348	0.1068787122	-229.291138861744	
905.2805348	99	1	0.931196874	0.09661386709	98.91549864	1.084501357	89.56545291	10.43454709			0	0	-905.2805348	0.09661386709	-275.919773600914	
902.7205348	99	1	0.9375961923	0.08802643654	98.81232231	1.187677687	88.67292115	11.32707885			0	0	-902.7205348	0.08802643654	-326.654091883307	
900.1605348	99	1	0.9429452937	0.08073098591	98.70812	1.291879998	87.79162406	12.20837594			0	0	-900.1605348	0.08073098591	-381.447428821259	
897.6005348	99	1	0.9474773637	0.07445238291	98.60282139	1.397178613	86.92195756	13.07804244			0	0	-897.6005348	0.07445238291	-440.267182857716	
895.0405348	99	1	0.9513618042	0.06898902269	98.49635141	1.503648586	86.06428244	13.93571756			0	0	-895.0405348	0.06898902269	-503.098443436604	
892.4805348	99	1	0.9547245803	0.06418983803	98.38863001	1.611369993	85.21892185	14.78107815			0	0	-892.4805348	0.06418983803	-569.94682585053	
889.9205348	99	1	0.9576612613	0.05993941847	98.27957173	1.720428274	84.38615942	15.61384058			0	0	-889.9205348	0.05993941847	-640.840666490887	
887.3605348	99	1	0.9602456398	0.05614808614	98.16908539	1.830914613	83.56623796	16.43376204			0	0	-887.3605348	0.05614808614	-715.832578606882	
884.8005348	99	1	0.9625355802	0.05274510353	98.05707363	1.942926369	82.75935877	17.24064123			0	0	-884.8005348	0.05274510353	-795.00039075212	
882.2405348	99	1	0.9645770832	0.04967391803	97.94343243	2.056567573	81.96568157	18.03431843			0	0	-882.2405348	0.04967391803	-878.447576346395	
879.6805348	99	1	0.9664071678	0.04688876549	97.82805052	2.171949483	81.18532493	18.81467507			0	0	-879.6805348	0.04688876549	-966.303266568811	
877.1205348	99	1	0.9680559541	0.04435220091	97.71080877	2.28919123	80.41836726	19.58163274			0	0	-877.1205348	0.04435220091	-1058.72201125158	
874.5605348	99	1	0.9695481926	0.04203327488	97.59157945	2.408420554	79.66484818	20.33515182			0	0	-874.5605348	0.04203327488	-1155.88340814912	
872.0005348	99	1	0.9709044054	0.03990616759	97.47022535	2.529774645	78.92477025	21.07522975			0	0	-872.0005348	0.03990616759	-1257.99179900391	
869.4405348	99	1	0.9721417481	0.0379491528	97.34659888	2.653401118	78.19810107	21.80189893			0	0	-869.4405348	0.0379491528	-1365.27617541525	
866.8805348	99	1	0.9732746694	0.03614380289	97.22054087	2.779459126	77.48477553	22.51522447			0	0	-866.8805348	0.03614380289	-1477.99046991545	
864.3205348	99	1	0.9743154224	0.03447437269	97.09187934	2.908120659	76.78469826	23.21530174			0	0	-864.3205348	0.03447437269	-1596.41442157358	
861.7605348	99	1	0.9752744636	0.03292731731	96.96042796	3.039572038	76.09774616	23.90225384			0	0	-861.7605348	0.03292731731	-1720.85517130649	
859.2005348	99	1	0.9761607685	0.03149091158	96.82598434	3.174015655	75.42377099	24.57622901			0	0	-859.2005348	0.03149091158	-1851.64990701456	
856.6405348	99	1	0.9769820834	0.03015494742	96.68832799	3.311672006	74.7626019	25.2373981			0	0	-856.6405348	0.03015494742	-1989.16966989584	
854.0805348	99	1	0.9777451269	0.02891049124	96.54721794	3.452782059	74.11404797	25.88595203			0	0	-854.0805348	0.02891049124	-2133.82484594267	
851.5205348	99	1	0.9784557541	0.02774968845	96.40238995	3.597610055	73.47790055	26.52209945			0	0	-851.5205348	0.02774968845	-2286.0726804729	
848.9605348	99	1	0.9791190896	0.02666560477	96.2535532	3.746446799	72.85393561	27.14606439			0	0	-848.9605348	0.02666560477	-2446.42742775742	
846.4005348	99	1	0.9797396377	0.02565209692	96.10038641	3.899613586	72.24191582	27.75808418			0	0	-846.4005348	0.02565209692	-2615.47395008822	
