T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
914.8671715	93	7	0	0		99.29382863	0.7061713736			93	7	0.003652950883	-0.003652950883			0.003652950883	-0.003652950883	-914.8671715	0			
914.8571715	93	7	0.000602149374	0.0005802504432		99.29343999	0.7065600081			92.99634703	7.003652972	0.007305724113	-0.007305724113			0	0	-914.8571715	0.0005802504432			
914.8371715	93	7	0.001804361682	0.001159081912		99.29266251	0.7073374851			92.98904158	7.010958425	0.01095788751	-0.01095788751			0	0	-914.8371715	0.001159081912			
914.7971715	93	7	0.004201080486	0.002313428353		99.29110755	0.7088924541			92.97443223	7.025567774	0.01826105695	-0.01826105695			0	0	-914.7971715	0.002313428353			
914.7171715	93	7	0.008963777883	0.00460789464		99.28799705	0.7120029498			92.94522057	7.054779432	0.03286235792	-0.03286235792			0	0	-914.7171715	0.00460789464			
914.5571715	93	7	0.01836833416	0.009141198658		99.28177382	0.7182261779			92.88682292	7.113177084	0.06204556499	-0.06204556499			0	0	-914.5571715	0.009141198658			
914.2371715	93	7	0.03666737624	0.01795397001		99.26931872	0.7306812755			92.7701357	7.229864297	0.1203314551	-0.1203314551			0	0	-914.2371715	0.01795397001			
913.5971715	93	7	0.0714242726	0.03472994865		99.24437258	0.7556274169			92.53718782	7.462812181	0.2365830399	-0.2365830399			0	0	-913.5971715	0.03472994865			
912.3171715	93	7	0.1343626573	0.06517128116		99.19433419	0.8056658114			92.07303174	7.926968257	0.4677714936	-0.4677714936			0	0	-912.3171715	0.06517128116			
909.7571715	93	7	0.2390131957	0.1159849212		99.09365127	0.9063487287			91.15190886	8.848091137	0.9247013626	-0.9247013626			0	0	-909.7571715	0.1159849212			
907.1971715	93	7	0.3220087344	0.1041142956		98.99211339	1.007886606			90.24077788	9.759222121	0.9146703585	-0.9146703585			0	0	-907.1971715	0.1041142956			
904.6371715	93	7	0.3893253085	0.0943153995		98.88966185	1.110338154			89.34011341	10.65988659	0.9041620641	-0.9041620641			0	0	-904.6371715	0.0943153995			
902.0771715	93	7	0.4449384629	0.08608378366		98.78623404	1.21376596			88.45036601	11.54963399	0.893201525	-0.893201525			0	0	-902.0771715	0.08608378366			
899.5171715	93	7	0.4915927384	0.07906638191		98.68176301	1.31823699			87.57195593	12.42804407	0.8818191716	-0.8818191716			0	0	-899.5171715	0.07906638191			
896.9571715	93	7	0.5312424751	0.07300932695		98.57617727	1.423822732			86.70527053	13.29472947	0.870048023	-0.870048023			0	0	-896.9571715	0.07300932695			
894.3971715	93	7	0.5653162581	0.06772548742		98.46940053	1.53059947			85.85066134	14.14933866	0.8579240357	-0.8579240357			0	0	-894.3971715	0.06772548742			
891.8371715	93	7	0.5948820401	0.06307392165		98.36135141	1.638648595			85.00844174	14.99155826	0.8454855274	-0.8454855274			0	0	-891.8371715	0.06307392165			
889.2771715	93	7	0.6207538371	0.05894647271		98.25194305	1.748056954			84.17888521	15.82111479	0.8327725697	-0.8327725697			0	0	-889.2771715	0.05894647271			
886.7171715	93	7	0.6435627378	0.05525876703		98.14108276	1.858917239			83.36222414	16.63777586	0.8198263707	-0.8198263707			0	0	-886.7171715	0.05525876703			
884.1571715	93	7	0.6638053954	0.05194401671		98.02867156	1.971328437			82.55864939	17.44135061	0.8066886673	-0.8066886673			0	0	-884.1571715	0.05194401671			
881.5971715	93	7	0.6818779006	0.04894865761		97.91460366	2.08539634			81.76831027	18.23168973	0.7934011283	-0.7934011283			0	0	-881.5971715	0.04894865761			
879.0371715	93	7	0.6980999236	0.04622921929		97.79876588	2.201234121			80.99131515	19.00868485	0.780004885	-0.780004885			0	0	-879.0371715	0.04622921929			
876.4771715	93	7	0.7127322323	0.04375004013		97.681037	2.318963001			80.22773255	19.77226745	0.7665399405	-0.7665399405			0	0	-876.4771715	0.04375004013			
873.9171715	93	7	0.7259896107	0.04148157357		97.56128699	2.43871301			79.47759258	20.52240742	0.7530448234	-0.7530448234			0	0	-873.9171715	0.04148157357			
871.3571715	93	7	0.7380505263	0.03939911531		97.43937614	2.560623862			78.74088883	21.25911117	0.7395562173	-0.7395562173			0	0	-871.3571715	0.03939911531			
