T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(LI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(LI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(LI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(LI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
907.7064956	90	7	3	0	0		98.05005047	0.195456105	1.754493424				90	7	3	0.003090983885	-0.002612795396	-0.000478188489				0.003090983885	-0.002612795396	-0.000478188489	-907.7064956	0			
907.6964956	90	7	3	0.0003851248849	0.0003839448495		98.04983266	0.1955109454	1.754656399				89.99690915	7.002612595	3.000478258	0.006181588672	-0.005225369642	-0.0009562190306				0	0	0	-907.6964956	0.0003839448495			
907.6764956	90	7	3	0.001154260653	0.0007670178083		98.04939741	0.1956205753	1.754982014				89.99072848	7.007837236	3.001434288	0.009270513209	-0.007836771068	-0.001433742141				0	0	0	-907.6764956	0.0007670178083			
907.6364956	90	7	3	0.002688667757	0.00153132337		98.04852727	0.1958397435	1.755632991				89.97837234	7.018282806	3.003344853	0.01544451191	-0.01305691185	-0.002387600056				0	0	0	-907.6364956	0.00153132337			
907.5564956	90	7	3	0.005742129133	0.003051867012		98.04678891	0.1962776093	1.756933479				89.95368072	7.03915924	3.007160043	0.02777741225	-0.02348679176	-0.004290620489				0	0	0	-907.5564956	0.003051867012			
907.3964956	90	7	3	0.01178829764	0.006060990513		98.0433199	0.1971514679	1.759528631				89.90438009	7.080853179	3.014766726	0.05238261837	-0.04430468746	-0.00807793091				0	0	0	-907.3964956	0.006060990513			
907.0764956	90	7	3	0.02362881268	0.01194176326		98.03641685	0.1988932522	1.764689896				89.80609525	7.164029474	3.029875281	0.1013504394	-0.08577218835	-0.01557825108				0	0	0	-907.0764956	0.01194176326			
906.4364956	90	7	3	0.04637726184	0.02321418259		98.0227376	0.2023505653	1.774911833				89.61081728	7.329482022	3.059700694	0.1983165404	-0.1680298348	-0.03028670556				0	0	0	-906.4364956	0.02321418259			
905.1564956	90	7	3	0.08845686584	0.0439390839		97.99585984	0.2091635699	1.794976594				89.22543912	7.65673478	3.117826104	0.3883626931	-0.3297912906	-0.05857140247				0	0	0	-905.1564956	0.0439390839			
