T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(LI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
855.163654	91	9	0	0	95.01138523	4.988614775	91	9	0.0006031302339	-0.0006031302339	0.0006031302339	-0.0006031302339	-855.163654	0	15.7276431443747	
855.153654	91	9	0.0001494559611	0.0001630755462	95.01103834	4.988961663	90.99939679	9.000603206	0.001206504157	-0.001206504157	0	0	-855.153654	0.0001630755462	106.914901774367	
855.133654	91	9	0.0004224263086	0.000300647787	95.01034425	4.989655751	90.99819071	9.00180929	0.001809390118	-0.001809390118	0	0	-855.133654	0.000300647787	141.533230661814	
855.093654	91	9	0.0009680381309	0.0006010918203	95.00895702	4.991042983	90.9957788	9.004221203	0.003015083331	-0.003015083331	0	0	-855.093654	0.0006010918203	133.207490878656	
855.013654	91	9	0.002057720146	0.00120101822	95.00618243	4.993817568	90.9909566	9.009043403	0.005425099839	-0.005425099839	0	0	-855.013654	0.00120101822	133.454372749366	
854.853654	91	9	0.004231180743	0.002398056342	95.00063496	4.999365039	90.98131869	9.018681314	0.01024027348	-0.01024027348	0	0	-854.853654	0.002398056342	133.885594142598	
854.533654	91	9	0.008554640129	0.004780283302	94.98954679	5.01045321	90.96206872	9.037931277	0.01985127039	-0.01985127039	0	0	-854.533654	0.004780283302	134.774880742833	
853.893654	91	9	0.01710891388	0.009497970662	94.96739728	5.032602718	90.92367147	9.076328527	0.03899658218	-0.03899658218	0	0	-853.893654	0.009497970662	136.559744120022	
852.613654	91	9	0.03385654687	0.01875152899	94.92320372	5.076796284	90.84728026	9.152719741	0.07698610714	-0.07698610714	0	0	-852.613654	0.01875152899	140.258160240384	
850.053654	91	9	0.06593774273	0.03653270208	94.83522234	5.164777663	90.69606463	9.303935374	0.1518025879	-0.1518025879	0	0	-850.053654	0.03653270208	-2689.32158067154	
847.493654	91	9	0.09605619292	0.03552002769	94.74775557	5.252244431	90.54684828	9.453151718	0.1497956796	-0.1497956796	0	0	-847.493654	0.03552002769	-2615.92663953106	
844.933654	91	9	0.1243906089	0.03457129596	94.66077271	5.339227289	90.39953166	9.600468344	0.1478887175	-0.1478887175	0	0	-844.933654	0.03457129596	-2790.31687611226	
842.373654	91	9	0.1510989091	0.03368135488	94.57424521	5.425754793	90.25402207	9.745977933	0.1460744983	-0.1460744983	0	0	-842.373654	0.03368135488	-2970.05909007996	
839.813654	91	9	0.1763202539	0.03284420078	94.4881471	5.511852903	90.11023428	9.889765717	0.1443461641	-0.1443461641	0	0	-839.813654	0.03284420078	-3155.49587107506	
837.253654	91	9	0.2001785558	0.03205585992	94.40245348	5.597546523	89.96808805	10.03191195	0.1426983853	-0.1426983853	0	0	-837.253654	0.03205585992	-3347.74950745624	
834.693654	91	9	0.2227841615	0.03131220994	94.31714124	5.682858756	89.8275088	10.1724912	0.1411254382	-0.1411254382	0	0	-834.693654	0.03131220994	-3545.98230528416	
832.133654	91	9	0.2442357126	0.03060964036	94.2321887	5.767811301	89.68842687	10.31157313	0.1396224258	-0.1396224258	0	0	-832.133654	0.03060964036	-3750.37528241087	
829.573654	91	9	0.2646216636	0.02994491942	94.14757541	5.852424587	89.55077702	10.44922298	0.1381848883	-0.1381848883	0	0	-829.573654	0.02994491942	-3960.9817601336	
827.013654	91	9	0.2840215691	0.02931514595	94.0632821	5.936717895	89.41449809	10.58550191	0.1368087547	-0.1368087547	0	0	-827.013654	0.02931514595	-4177.8592224563	
824.453654	91	9	0.3025071807	0.02871770852	93.97929053	6.020709468	89.27953259	10.72046741	0.1354903019	-0.1354903019	0	0	-824.453654	0.02871770852	-4401.06984184183	
821.893654	91	9	0.3201433847	0.0281502504	93.8955834	6.104416602	89.14582648	10.85417352	0.1342261176	-0.1342261176	0	0	-821.893654	0.0281502504	-4630.68083851139	
819.333654	91	9	0.3369890086	0.02761063952	93.81214427	6.187855732	89.0133288	10.9866712	0.1330130691	-0.1330130691	0	0	-819.333654	0.02761063952	-4866.76487313295	
816.773654	91	9	0.3530975152	0.02709694252	93.72895749	6.271042508	88.88199148	11.11800852	0.1318482752	-0.1318482752	0	0	-816.773654	0.02709694252	-5109.40029844666	
814.213654	91	9	0.3685176043	0.02660740231	93.64600814	6.353991862	88.75176909	11.24823091	0.130729081	-0.130729081	0	0	-814.213654	0.02660740231	-5358.67147077239	
811.653654	91	9	0.3832937337	0.02614041857	93.56328193	6.436718066	88.62261865	11.37738135	0.1296530367	-0.1296530367	0	0	-811.653654	0.02614041857	-5614.66941869462	
809.093654	91	9	0.3974665746	0.02569453083	93.48076521	6.51923479	88.49449942	11.50550058	0.128617878	-0.128617878	0	0	-809.093654	0.02569453083	-5877.49181119068	
806.533654	91	9	0.4110734083	0.02526840357	93.39844485	6.601555149	88.36737276	11.63262724	0.1276215089	-0.1276215089	0	0	-806.533654	0.02526840357	-6147.2436414808	
803.973654	91	9	0.4241484746	0.02486081331	93.31630825	6.683691748	88.24120196	11.75879804	0.1266619864	-0.1266619864	0	0	-803.973654	0.02486081331	-6424.03759909351	
801.413654	91	9	0.4367232775	0.02447063714	93.23434328	6.765656723	88.11595212	11.88404788	0.1257375069	-0.1257375069	0	0	-801.413654	0.02447063714	-6707.99457456302	
798.853654	91	9	0.4488268548	0.02409684273	93.15253823	6.847461774	87.99158998	12.00841002	0.1248463941	-0.1248463941	0	0	-798.853654	0.02409684273	-6999.24432609927	
796.293654	91	9	0.4604860168	0.02373847943	93.0708818	6.929118203	87.86808387	12.13191613	0.1239870878	-0.1239870878	0	0	-796.293654	0.02373847943	-7297.92541140363	
793.733654	91	9	0.4717255569	0.0233946704	92.98936306	7.010636939	87.74540354	12.25459646	0.1231581345	-0.1231581345	0	0	-793.733654	0.0233946704	-7604.18671231193	
791.173654	91	9	0.4825684391	0.02306460571	92.90797143	7.092028571	87.62352011	12.37647989	0.1223581779	-0.1223581779	0	0	-791.173654	0.02306460571	-7918.18723361432	
788.613654	91	9	0.4930359652	0.02274753606	92.82669663	7.17330337	87.50240596	12.49759404	0.1215859519	-0.1215859519	0	0	-788.613654	0.02274753606	-8240.09715292164	
786.053654	91	9	0.5031479233	0.02244276734	92.74552869	7.254471314	87.38203464	12.61796536	0.1208402726	-0.1208402726	0	0	-786.053654	0.02244276734	-8570.09858172194	
783.493654	91	9	0.512922721	0.02214965564	92.66445789	7.335542106	87.2623808	12.7376192	0.120120032	-0.120120032	0	0	-783.493654	0.02214965564	-8908.38625040275	
780.933654	91	9	0.5223775047	0.02186760289	92.5834748	7.416525198	87.14342014	12.85657986	0.1194241925	-0.1194241925	0	0	-780.933654	0.02186760289	-9255.16814993452	
778.373654	91	9	0.5315282665	0.02159605285	92.50257019	7.497429809	87.02512932	12.97487068	0.1187517811	-0.1187517811	0	0	-778.373654	0.02159605285	-9610.66688012891	
775.813654	91	9	0.5403899404	0.02133448762	92.42173506	7.578264937	86.90748591	13.09251409	0.1181018849	-0.1181018849	0	0	-775.813654	0.02133448762	-9975.12085102993	
773.253654	91	9	0.5489764895	0.02108242441	92.34096062	7.65903938	86.79046833	13.20953167	0.1174736464	-0.1174736464	0	0	-773.253654	0.02108242441	-10348.7840120282	
770.693654	91	9	0.5573009837	0.02083941264	92.26023825	7.739761748	86.67405582	13.32594418	0.1168662596	-0.1168662596	0	0	-770.693654	0.02083941264	-10731.9284166523	
768.133654	91	9	0.5653756711	0.02060503138	92.17955952	7.820440477	86.55822835	13.44177165	0.1162789666	-0.1162789666	0	0	-768.133654	0.02060503138	-11124.8455412608	
765.573654	91	9	0.5732120416	0.02037888698	92.09891616	7.901083841	86.44296662	13.55703338	0.1157110536	-0.1157110536	0	0	-765.573654	0.02037888698	-11527.8464169213	
763.013654	91	9	0.5808208857	0.02016061092	92.01830003	7.981699965	86.32825199	13.67174801	0.1151618487	-0.1151618487	0	0	-763.013654	0.02016061092	-11941.2646654409	
760.453654	91	9	0.588212347	0.01994985792	91.93770316	8.062296836	86.21406646	13.78593354	0.1146307183	-0.1146307183	0	0	-760.453654	0.01994985792	-12365.4567721946	
757.893654	91	9	0.5953959705	0.01974630412	91.85711769	8.14288231	86.10039262	13.89960738	0.114117065	-0.114117065	0	0	-757.893654	0.01974630412	-12800.8046470045	
755.333654	91	9	0.6023807465	0.01954964554	91.77653587	8.223464127	85.98721361	14.01278639	0.1136203251	-0.1136203251	0	0	-755.333654	0.01954964554	-13247.7185427592	
752.773654	91	9	0.6091751506	0.0193595966	91.69595008	8.304049917	85.87451312	14.12548688	0.1131399663	-0.1131399663	0	0	-752.773654	0.0193595966	-13706.6373019755	
750.213654	91	9	0.6157871805	0.01917588878	91.61535279	8.384647209	85.76227534	14.23772466	0.112675486	-0.112675486	0	0	-750.213654	0.01917588878	-14178.0314819213	
747.653654	91	9	0.6222243895	0.01899826941	91.53473656	8.465263439	85.65048491	14.34951509	0.1122264091	-0.1122264091	0	0	-747.653654	0.01899826941	-14662.4072717285	
745.093654	91	9	0.6284939169	0.01882650058	91.45409404	8.545905959	85.53912695	14.46087305	0.1117922868	-0.1117922868	0	0	-745.093654	0.01882650058	-15160.3084060778	
742.533654	91	9	0.6346025166	0.0186603581	91.37341796	8.626582042	85.42818697	14.57181303	0.1113726943	-0.1113726943	0	0	-742.533654	0.0186603581	-15672.318221247	
739.973654	91	9	0.6405565831	0.01849963056	91.29270111	8.707298892	85.3176509	14.6823491	0.1109672301	-0.1109672301	0	0	-739.973654	0.01849963056	-16199.0653776924	
737.413654	91	9	0.6463621749	0.0183441185	91.21193635	8.788063648	85.20750505	14.79249495	0.1105755142	-0.1105755142	0	0	-737.413654	0.0183441185	-16741.2276044633	
734.853654	91	9	0.6520250368	0.01819363361	91.13111661	8.868883393	85.09773607	14.90226393	0.1101971869	-0.1101971869	0	0	-734.853654	0.01819363361	-17299.5352521233	
