T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI	SI				
933.473	100	0	0	100	100	0	0	-933.473	0	1.02027409999994	
932.4527259	100	1	1	100		0		-932.4527259	1	1.02027409999994	
932.4327259	100	1	1	100		0		-932.4327259	1	NaN	
932.3927259	100	1	1	100		0		-932.3927259	1	NaN	
932.3127259	100	1	1	100		0		-932.3127259	1	NaN	
932.1527259	100	1	1	100		0		-932.1527259	1	NaN	
931.8327259	100	1	1	100		0		-931.8327259	1	NaN	
931.1927259	100	1	1	100		0		-931.1927259	1	NaN	
929.9127259	100	1	1	100		0		-929.9127259	1	NaN	
927.3527259	100	1	1	100		0		-927.3527259	1	NaN	
922.2327259	100	1	1	100		0		-922.2327259	1	NaN	
917.1127259	100	1	1	100		0		-917.1127259	1	NaN	
911.9927259	100	1	1	100		0		-911.9927259	1	NaN	
906.8727259	100	1	1	100		0		-906.8727259	1	NaN	
901.7527259	100	1	1	100		0		-901.7527259	1	NaN	
896.6327259	100	1	1	100		0		-896.6327259	1	NaN	
891.5127259	100	1	1	100		0		-891.5127259	1	NaN	
886.3927259	100	1	1	100		0		-886.3927259	1	NaN	
881.2727259	100	1	1	100		0		-881.2727259	1	NaN	
876.1527259	100	1	1	100		0		-876.1527259	1	NaN	
871.0327259	100	1	1	100		0		-871.0327259	1	NaN	
865.9127259	100	1	1	100		0		-865.9127259	1	NaN	
860.7927259	100	1	1	100		0		-860.7927259	1	NaN	
855.6727259	100	1	1	100		0		-855.6727259	1	NaN	
850.5527259	100	1	1	100		0		-850.5527259	1	NaN	
845.4327259	100	1	1	100		0		-845.4327259	1	NaN	
840.3127259	100	1	1	100		0		-840.3127259	1	NaN	
835.1927259	100	1	1	100		0		-835.1927259	1	NaN	
830.0727259	100	1	1	100		0		-830.0727259	1	NaN	
824.9527259	100	1	1	100		0		-824.9527259	1	NaN	
819.8327259	100	1	1	100		0		-819.8327259	1	NaN	
814.7127259	100	1	1	100		0		-814.7127259	1	NaN	
809.5927259	100	1	1	100		0		-809.5927259	1	NaN	
804.4727259	100	1	1	100		0		-804.4727259	1	NaN	
799.3527259	100	1	1	100		0		-799.3527259	1	NaN	
794.2327259	100	1	1	100		0		-794.2327259	1	NaN	
789.1127259	100	1	1	100		0		-789.1127259	1	NaN	
783.9927259	100	1	1	100		0		-783.9927259	1	NaN	
778.8727259	100	1	1	100		0		-778.8727259	1	NaN	
773.7527259	100	1	1	100		0		-773.7527259	1	NaN	
768.6327259	100	1	1	100		0		-768.6327259	1	NaN	
763.5127259	100	1	1	100		0		-763.5127259	1	NaN	
758.3927259	100	1	1	100		0		-758.3927259	1	NaN	
753.2727259	100	1	1	100		0		-753.2727259	1	NaN	
748.1527259	100	1	1	100		0		-748.1527259	1	NaN	
743.0327259	100	1	1	100		0		-743.0327259	1	NaN	
737.9127259	100	1	1	100		0		-737.9127259	1	NaN	
732.7927259	100	1	1	100		0		-732.7927259	1	NaN	
727.6727259	100	1	1	100		0		-727.6727259	1	NaN	
722.5527259	100	1	1	100		0		-722.5527259	1	NaN	
717.4327259	100	1	1	100		0		-717.4327259	1	NaN	
712.3127259	100	1	1	100		0		-712.3127259	1	NaN	
707.1927259	100	1	1	100		0		-707.1927259	1	NaN	
702.0727259	100	1	1	100		0		-702.0727259	1	NaN	
696.9527259	100	1	1	100		0		-696.9527259	1	NaN	
691.8327259	100	1	1	100		0		-691.8327259	1	NaN	
686.7127259	100	1	1	100		0		-686.7127259	1	NaN	
681.5927259	100	1	1	100		0		-681.5927259	1	NaN	
676.4727259	100	1	1	100		0		-676.4727259	1	NaN	
671.3527259	100	1	1	100		0		-671.3527259	1	NaN	
666.2327259	100	1	1	100		0		-666.2327259	1	NaN	
661.1127259	100	1	1	100		0		-661.1127259	1	NaN	
655.9927259	100	1	1	100		0		-655.9927259	1	NaN	
650.8727259	100	1	1	100		0		-650.8727259	1	NaN	
645.7527259	100	1	1	100		0		-645.7527259	1	NaN	
640.6327259	100	1	1	100		0		-640.6327259	1	NaN	
635.5127259	100	1	1	100		0		-635.5127259	1	NaN	
630.3927259	100	1	1	100		0		-630.3927259	1	NaN	
625.2727259	100	1	1	100		0		-625.2727259	1	NaN	
620.1527259	100	1	1	100		0		-620.1527259	1	NaN	
615.0327259	100	1	1	100		0		-615.0327259	1	NaN	
609.9127259	100	1	1	100		0		-609.9127259	1	NaN	
604.7927259	100	1	1	100		0		-604.7927259	1	NaN	
599.6727259	100	1	1	100		0		-599.6727259	1	NaN	
594.5527259	100	1	1	100		0		-594.5527259	1	NaN	
589.4327259	100	1	1	100		0		-589.4327259	1	NaN	
584.3127259	100	1	1	100		0		-584.3127259	1	NaN	
579.1927259	100	1	1	100		0		-579.1927259	1	NaN	
574.0727259	100	1	1	100		0		-574.0727259	1	NaN	
568.9527259	100	1	1	100		0		-568.9527259	1	NaN	
563.8327259	100	1	1	100		0		-563.8327259	1	NaN	
558.7127259	100	1	1	100		0		-558.7127259	1	NaN	
553.5927259	100	1	1	100		0		-553.5927259	1	NaN	
548.4727259	100	1	1	100		0		-548.4727259	1	NaN	
543.3527259	100	1	1	100		0		-543.3527259	1	NaN	
538.2327259	100	1	1	100		0		-538.2327259	1	NaN	
533.1127259	100	1	1	100		0		-533.1127259	1	NaN	
527.9927259	100	1	1	100		0		-527.9927259	1	NaN	
522.8727259	100	1	1	100		0		-522.8727259	1	NaN	
517.7527259	100	1	1	100		0		-517.7527259	1	NaN	
512.6327259	100	1	1	100		0		-512.6327259	1	NaN	
507.5127259	100	1	1	100		0		-507.5127259	1	NaN	
502.3927259	100	1	1	100		0		-502.3927259	1	NaN	
497.2727259	100	1	1	100		0		-497.2727259	1	NaN	
492.1527259	100	1	1	100		0		-492.1527259	1	NaN	
487.0327259	100	1	1	100		0		-487.0327259	1	NaN	
481.9127259	100	1	1	100		0		-481.9127259	1	NaN	
