T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
890.533781	92	2	6	0	0	99.12541361	0.2020974564	0.672488938	92	2	6							0.001734500874	-0.0004376550688	-0.001296845805	-890.533781	0	41.0586378217341	
890.513781	92	2	6	0.0004929224783	0.0004867825026	99.12499356	0.2021916542	0.6728147815	91.99653105	2.000875299	6.002593655							0	0	0	-890.513781	0.0004867825026	41.1135844465599	
890.493781	92	2	6	0.000985186404	0.000972915308	99.12457351	0.2022858532	0.6731406361	91.99306235	2.001750546	6.005187102							0	0	0	-890.493781	0.000972915308	41.1544041231214	
890.453781	92	2	6	0.001968753035	0.001944233635	99.12373336	0.2024742553	0.6737923887	91.98612565	2.003500895	6.010373452							0	0	0	-890.453781	0.001944233635	41.21503150302	
890.373781	92	2	6	0.003931042029	0.003882094214	99.12205287	0.2028510757	0.6750960584	91.9722551	2.007001001	6.020743898							0	0	0	-890.373781	0.003882094214	41.3506562443819	
890.213781	92	2	6	0.007836348026	0.007738814871	99.11869116	0.2036047821	0.6777040551	91.94452538	2.013998849	6.041475772							0	0	0	-890.213781	0.007738814871	41.66902248905	
889.893781	92	2	6	0.01554569489	0.01535237293	99.11196486	0.2051125105	0.6829226307	91.88911136	2.027985607	6.082903038							0	0	0	-889.893781	0.01535237293	42.3313555601706	
889.253781	92	2	6	0.03064391609	0.03026348711	99.09850059	0.2081291101	0.6933702996	91.77846491	2.055922004	6.165613091							0	0	0	-889.253781	0.03026348711	43.5653297190268	
887.973781	92	2	6	0.05957198625	0.05883495813	99.0715249	0.2141672183	0.7143078846	91.55789664	2.111648253	6.330455112							0	0	0	-887.973781	0.05883495813	46.15009837772	
885.413781	92	2	6	0.1128560152	0.1114693778	99.01738092	0.2262648696	0.7563542093	91.11964374	2.2225216	6.657834662							0	0	0	-885.413781	0.1114693778	51.4853062630614	
882.853781	92	2	6	0.1607964918	0.1588345676	98.96297237	0.2383947606	0.7986328701	90.68520388	2.332638363	6.982157754							0	0	0	-882.853781	0.1588345676	57.0263676674091	
880.293781	92	2	6	0.2041737405	0.2017000785	98.90829001	0.2505612166	0.8411487722	90.25453709	2.442016838	7.30344607							0	0	0	-880.293781	0.2017000785	62.830599671891	
877.733781	92	2	6	0.2436203329	0.2406897455	98.85332461	0.2627686066	0.8839067792	89.82760057	2.55067587	7.621723562							0	0	0	-877.733781	0.2406897455	68.8955939427225	
875.173781	92	2	6	0.2796576114	0.2763177166	98.79806695	0.2750213293	0.9269117173	89.40434919	2.658634626	7.937016185							0	0	0	-875.173781	0.2763177166	75.2164403133607	
872.613781	92	2	6	0.3127190881	0.3090115282	98.7425078	0.2873238141	0.9701683821	88.98473584	2.765912518	8.249351645							0	0	0	-872.613781	0.3090115282	81.7878562510137	
870.053781	92	2	6	0.3431681788	0.3391295917	98.68663793	0.2996805213	1.013681545	88.5687117	2.872529125	8.55875918							0	0	0	-870.053781	0.3391295917	88.6041873503207	
867.493781	92	2	6	0.3713118076	0.3669746105	98.6304481	0.312095944	1.057455958	88.15622653	2.978504128	8.865269344							0	0	0	-867.493781	0.3669746105	95.6594095238467	
864.933781	92	2	6	0.3974109625	0.3928039895	98.57392903	0.3245746094	1.101496363	87.74722893	3.083857248	9.168913817							0	0	0	-864.933781	0.3928039895	102.947134724346	
862.373781	92	2	6	0.4216889715	0.4168379952	98.51707143	0.3371210806	1.145807492	87.34166659	3.188608184	9.469725228							0	0	0	-862.373781	0.4168379952	110.460615495403	
859.813781	92	2	6	0.444338051	0.4392662148	98.45986596	0.3497399591	1.19039408	86.93948644	3.292776562	9.767736994							0	0	0	-859.813781	0.4392662148	118.192751603424	
857.253781	92	2	6	0.4655245362	0.4602527128	98.40230325	0.3624358867	1.235260862	86.54063493	3.39638189	10.06298318							0	0	0	-857.253781	0.4602527128	126.136096916893	
854.693781	92	2	6	0.48539309	0.4799401827	98.34437386	0.3752135487	1.280412587	86.14505815	3.499443507	10.35549834							0	0	0	-854.693781	0.4799401827	134.282867283366	
852.133781	92	2	6	0.5040701183	0.4984533141	98.28606831	0.388077676	1.325854019	85.75270199	3.601980545	10.64531746							0	0	0	-852.133781	0.4984533141	142.641198450007	
849.573781	92	2	6	0.5216629126	0.515897893	98.22737695	0.4010331281	1.371589925	85.36351182	3.704012603	10.93247557							0	0	0	-849.573781	0.515897893	151.1663671635	
847.013781	92	2	6	0.5382769349	0.5323780692	98.16829027	0.4140845763	1.417625151	84.97743462	3.805556848	11.21700853							0	0	0	-847.013781	0.5323780692	159.857278081505	
844.453781	92	2	6	0.5539945652	0.5479750598	98.10879849	0.4272369885	1.463964524	84.59441603	3.906632296	11.49895167							0	0	0	-844.453781	0.5479750598	168.552960221098	
843.813781	92	2	6	0.557795874	0.5517481574	98.09386115	0.4305413688	1.475597482	84.49913346	3.931829347	11.5690372							0	0	0	-843.813781	0.5517481574	170.640805070173	
843.493781	92	2	6	0.5596794449	0.5536179091	98.0863827	0.4321960216	1.48142128	84.45156245	3.944416962	11.60402059							0	0	0	-843.493781	0.5536179091	172.19294783733	
843.333781	92	2	6	0.5606126958	0.5545443078	98.082641	0.4330240812	1.484334923	84.42779403	3.950709116	11.62149686							0	0	0	-843.333781	0.5545443078	174.57174115745	
843.3216635	92	2	6	0.5606825724	0.5546136652	98.08235755	0.4330868268	1.484555624	84.42599435	3.951185724	11.62281992	7.557109461E-05	0	99.99992443				0	0	0	-843.3216635	0.5546136652	166.454137277382	
843.303781	92	2	6	0.5621292368	0.5558946096	98.08138349	0.4342260882	1.484390417	84.41809601	3.961322623	11.62058137	7.554501292E-05	0	99.99992445				0	0	0	-843.303781	0.5558946096	13.9870311839597	
843.283781	92	2	6	0.563740585	0.5573214797	98.08029297	0.4355013273	1.4842057	84.40925585	3.972667389	11.61807676	7.551585217E-05	0	99.99992448				0	0	0	-843.283781	0.5573214797	14.0682897917236	
843.243781	92	2	6	0.5669273563	0.5601442723	98.07811277	0.4380509553	1.483836277	84.39158571	3.995344124	11.61307016	7.545756038E-05	0	99.99992454				0	0	0	-843.243781	0.5601442723	14.2498845667009	
843.163781	92	2	6	0.5731967522	0.5656973907	98.07375163	0.4431507505	1.483097617	84.35625756	4.040680306	11.60306214	7.534109534E-05	0	99.99992466				0	0	0	-843.163781	0.5656973907	14.5764953077421	
843.003781	92	2	6	0.5853132778	0.5764317201	98.06502647	0.453352492	1.48162104	84.28565003	4.131283144	11.58306683	7.51086388E-05	0	99.99992489				0	0	0	-843.003781	0.5764317201	15.2587857197522	
