T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI					
922.9616433	96	4	0	0	0		96	4	0	99.60504928	0.394950717	0				0.003753620165	-0.003753620165		-922.9616433	0			
922.9416433	96	4	0	0.002122624784	0.00207850349		95.99249287	4.00750713	0	99.60428861	0.3957113909	0				0	0		-922.9416433	0.00207850349			
922.9216433	96	4	0	0.004237190757	0.004149133883		95.98498619	4.015013814	0	99.6035279	0.396472102	0				0	0		-922.9216433	0.004149133883			
922.8816433	96	4	0	0.00844232928	0.008266954179		95.96997416	4.030025844	0	99.60200636	0.3979936361	0				0	0		-922.8816433	0.008266954179			
922.8016433	96	4	0	0.01675789313	0.0164100643		95.93995545	4.060044547	0	99.59896285	0.4010371522	0				0	0		-922.8016433	0.0164100643			
922.6416433	96	4	0	0.03301994415	0.03233571375		95.87993962	4.120060384	0	99.59287403	0.4071259722	0				0	0		-922.6416433	0.03233571375			
922.3216433	96	4	0	0.06414198516	0.06281726671		95.7599944	4.240005603	0	99.58068918	0.4193108243	0				0	0		-922.3216433	0.06281726671			
921.6816433	96	4	0	0.1213107192	0.1188220219		95.52045373	4.479546269	0	99.55629036	0.4437096355	0				0	0		-921.6816433	0.1188220219			
920.4016433	96	4	0	0.2188276048	0.2143988417		95.04280061	4.95719939	0	99.50737412	0.4926258773	0				0	0		-920.4016433	0.2143988417			
917.8416433	96	4	0	0.3658730848	0.3586718263		94.09344141	5.906558593	0	99.40904875	0.5909512512	0				0	0		-917.8416433	0.3586718263			
915.2816433	96	4	0	0.4714609695	0.4624458669		93.15245538	6.84754462	0	99.31002932	0.689970678	0				0	0		-915.2816433	0.4624458669			
912.7216433	96	4	0	0.5509509487	0.5407274919		92.22036912	7.779630878	0	99.21026872	0.7897312809	0				0	0		-912.7216433	0.5407274919			
910.1616433	96	4	0	0.6129559363	0.6019317646		91.29769801	8.702301992	0	99.10971636	0.8902836394	0				0	0		-910.1616433	0.6019317646			
907.6016433	96	4	0	0.6626804598	0.6511438392		90.38494147	9.615058527	0	99.00831804	0.9916819566	0				0	0		-907.6016433	0.6511438392			
905.0416433	96	4	0	0.7034553063	0.6916182869		89.48257841	10.51742159	0	98.90601575	1.09398425	0				0	0		-905.0416433	0.6916182869			
902.4816433	96	4	0	0.7375114888	0.725535251		88.59106285	11.40893715	0	98.80274745	1.197252551	0				0	0		-902.4816433	0.725535251			
899.9216433	96	4	0	0.7663998586	0.7544104029		87.71081996	12.28918004	0	98.69844687	1.301553135	0				0	0		-899.9216433	0.7544104029			
897.3616433	96	4	0	0.791232216	0.7793305059		86.84224253	13.15775747	0	98.59304325	1.406956751	0				0	0		-897.3616433	0.7793305059			
894.8016433	96	4	0	0.8128266511	0.8010954132		85.98568804	14.01431196	0	98.4864611	1.513538898	0				0	0		-894.8016433	0.8010954132			
892.2416433	96	4	0	0.8317987408	0.8203071679		85.14147603	14.85852397	0	98.37861986	1.621380137	0				0	0		-892.2416433	0.8203071679			
889.6816433	96	4	0	0.8486207556	0.837427851		84.30988644	15.69011356	0	98.26943358	1.730566422	0				0	0		-889.6816433	0.837427851			
887.1216433	96	4	0	0.863661252	0.8528182648		83.49115824	16.50884176	0	98.15881051	1.841189488	0				0	0		-887.1216433	0.8528182648			
884.5616433	96	4	0	0.8772122358	0.8667644758		82.68548892	17.31451108	0	98.04665271	1.95334729	0				0	0		-884.5616433	0.8667644758			
882.0016433	96	4	0	0.8895082255	0.8794964431		81.89303436	18.10696564	0	97.9328555	2.067144502	0				0	0		-882.0016433	0.8794964431			
879.4416433	96	4	0	0.900739904	0.8912013609		81.1139094	18.8860906	0	97.81730692	2.182693081	0				0	0		-879.4416433	0.8912013609			
876.8816433	96	4	0	0.9110640723	0.9020333889		80.3481888	19.6518112	0	97.69988708	2.300112924	0				0	0		-876.8816433	0.9020333889			
874.3216433	96	4	0	0.9206110286	0.9121208688		79.59590866	20.40409134	0	97.5804674	2.419532604	0				0	0		-874.3216433	0.9121208688			
871.7616433	96	4	0	0.9294901209	0.921571756		78.85706825	21.14293175	0	97.45890977	2.541090234	0				0	0		-871.7616433	0.921571756			
869.2016433	96	4	0	0.9377939843	0.9304777683		78.13163204	21.86836796	0	97.33506555	2.664934445	0				0	0		-869.2016433	0.9304777683			
866.6416433	96	4	0	0.9456018165	0.9389175972		77.41953202	22.58046798	0	97.20877448	2.791225521	0				0	0		-866.6416433	0.9389175972			
864.0816433	96	4	0	0.9529819436	0.9469594261		76.72067015	23.27932985	0	97.07986329	2.920136711	0				0	0		-864.0816433	0.9469594261			
861.5216433	96	4	0	0.9599938536	0.9546629307		76.0349209	23.9650791	0	96.94814426	3.051855743	0				0	0		-861.5216433	0.9546629307			
858.9616433	96	4	0	0.9666898288	0.9620808911		75.36213384	24.63786616	0	96.81341341	3.186586594	0				0	0		-858.9616433	0.9620808911			
856.4016433	96	4	0	0.973116274	0.9692605081		74.70213615	25.29786385	0	96.67544846	3.324551545	0				0	0		-856.4016433	0.9692605081			
853.8416433	96	4	0	0.9793148119	0.9762444965		74.05473516	25.94526484	0	96.53400641	3.465993594	0				0	0		-853.8416433	0.9762444965			
851.2816433	96	4	0	0.9853232019	0.9830720093		73.41972073	26.58027927	0	96.38882071	3.611179289	0				0	0		-851.2816433	0.9830720093			
848.7216433	96	4	0	0.9911761243	0.9897794363		72.79686749	27.20313251	0	96.23959792	3.76040208	0				0	0		-848.7216433	0.9897794363			
846.1616433	96	4	0	0.996905866	0.9964011121		72.185937	27.814063	0	96.0860137	3.913986302	0				0	0		-846.1616433	0.9964011121			
844.8816433	96	4	0	0.9997341316	0.9996901207		71.88486515	28.11513485	0	96.0074751	3.992524904	0				0	0		-844.8816433	0.9996901207			
844.8016433	96	4	0	0.9999102141	0.9998953378		71.86614433	28.13385567	0	96.00252617	3.997473834	0				0	0		-844.8016433	0.9998953378			
844.7616433	96	4	0	0.9999982271	0.9999979333		71.85678815	28.14321185	0	96.0000499	3.999950102	0				0	0		-844.7616433	0.9999979333			
844.7416433	96	4	0	1	1					96	4	0							-844.7416433	1			
844.7316433	96	4	0	1	1					96	4	0							-844.7316433	1			
844.7116433	96	4	0	1	1					96	4	0							-844.7116433	1			
844.6716433	96	4	0	1	1					96	4	0							-844.6716433	1			
844.5916433	96	4	0	1	1					96	4	0							-844.5916433	1			
844.4316433	96	4	0	1	1					96	4	0							-844.4316433	1			
844.1116433	96	4	0	1	1					96	4	0							-844.1116433	1			
843.4716433	96	4	0	1	1					96	4	0							-843.4716433	1			
842.1916433	96	4	0	1	1					96	4	0							-842.1916433	1			
839.6316433	96	4	0	1	1					96	4	0							-839.6316433	1			
837.0716433	96	4	0	1	1					96	4	0							-837.0716433	1			
834.5116433	96	4	0	1	1					96	4	0							-834.5116433	1			
831.9516433	96	4	0	1	1					96	4	0							-831.9516433	1			
829.3916433	96	4	0	1	1					96	4	0							-829.3916433	1			
826.8316433	96	4	0	1	1					96	4	0							-826.8316433	1			
824.2716433	96	4	0	1	1					96	4	0							-824.2716433	1			
821.7116433	96	4	0	1	1					96	4	0							-821.7116433	1			
819.1516433	96	4	0	1	1					96	4	0							-819.1516433	1			
816.5916433	96	4	0	1	1					96	4	0							-816.5916433	1			
814.0316433	96	4	0	1	1					96	4	0							-814.0316433	1			
811.4716433	96	4	0	1	1					96	4	0							-811.4716433	1			
808.9116433	96	4	0	1	1					96	4	0							-808.9116433	1			
806.3516433	96	4	0	1	1					96	4	0							-806.3516433	1			
803.7916433	96	4	0	1	1					96	4	0							-803.7916433	1			
801.2316433	96	4	0	1	1					96	4	0							-801.2316433	1			
798.6716433	96	4	0	1	1					96	4	0							-798.6716433	1			
796.1116433	96	4	0	1	1					96	4	0							-796.1116433	1			
793.5516433	96	4	0	1	1					96	4	0							-793.5516433	1			
790.9916433	96	4	0	1	1					96	4	0							-790.9916433	1			
788.4316433	96	4	0	1	1					96	4	0							-788.4316433	1			
785.8716433	96	4	0	1	1					96	4	0							-785.8716433	1			
783.3116433	96	4	0	1	1					96	4	0							-783.3116433	1			
780.7516433	96	4	0	1	1					96	4	0							-780.7516433	1			
778.1916433	96	4	0	1	1					96	4	0							-778.1916433	1			
775.6316433	96	4	0	1	1					96	4	0							-775.6316433	1			
773.0716433	96	4	0	1	1					96	4	0							-773.0716433	1			
770.5116433	96	4	0	1	1					96	4	0							-770.5116433	1			
767.9516433	96	4	0	1	1					96	4	0							-767.9516433	1			
765.3916433	96	4	0	1	1					96	4	0							-765.3916433	1			
762.8316433	96	4	0	1	1					96	4	0							-762.8316433	1			
760.2716433	96	4	0	1	1					96	4	0							-760.2716433	1			
757.7116433	96	4	0	1	1					96	4	0							-757.7116433	1			
755.1516433	96	4	0	1	1					96	4	0							-755.1516433	1			
752.5916433	96	4	0	1	1					96	4	0							-752.5916433	1			
750.0316433	96	4	0	1	1					96	4	0							-750.0316433	1			
747.4716433	96	4	0	1	1					96	4	0							-747.4716433	1			
744.9116433	96	4	0	1	1					96	4	0							-744.9116433	1			
742.3516433	96	4	0	1	1					96	4	0							-742.3516433	1			
739.7916433	96	4	0	1	1					96	4	0							-739.7916433	1			
737.2316433	96	4	0	1	1					96	4	0							-737.2316433	1			
734.6716433	96	4	0	1	1					96	4	0							-734.6716433	1			
732.1116433	96	4	0	1	1					96	4	0							-732.1116433	1			
729.5516433	96	4	0	1	1					96	4	0							-729.5516433	1			
726.9916433	96	4	0	1	1					96	4	0							-726.9916433	1			
724.4316433	96	4	0	1	1					96	4	0							-724.4316433	1			
721.8716433	96	4	0	1	1					96	4	0							-721.8716433	1			
719.3116433	96	4	0	1	1					96	4	0							-719.3116433	1			
716.7516433	96	4	0	1	1					96	4	0							-716.7516433	1			
714.1916433	96	4	0	1	1					96	4	0							-714.1916433	1			
711.6316433	96	4	0	1	1					96	4	0							-711.6316433	1			
709.0716433	96	4	0	1	1					96	4	0							-709.0716433	1			
706.5116433	96	4	0	1	1					96	4	0							-706.5116433	1			
703.9516433	96	4	0	1	1					96	4	0							-703.9516433	1			
701.3916433	96	4	0	1	1					96	4	0							-701.3916433	1			
698.8316433	96	4	0	1	1					96	4	0							-698.8316433	1			
696.2716433	96	4	0	1	1					96	4	0							-696.2716433	1			
693.7116433	96	4	0	1	1					96	4	0							-693.7116433	1			
691.1516433	96	4	0	1	1					96	4	0							-691.1516433	1			
688.5916433	96	4	0	1	1					96	4	0							-688.5916433	1			
686.0316433	96	4	0	1	1					96	4	0							-686.0316433	1			
683.4716433	96	4	0	1	1					96	4	0							-683.4716433	1			
680.9116433	96	4	0	1	1					96	4	0							-680.9116433	1			
678.3516433	96	4	0	1	1					96	4	0							-678.3516433	1			
675.7916433	96	4	0	1	1					96	4	0							-675.7916433	1			
673.2316433	96	4	0	1	1					96	4	0							-673.2316433	1			
670.6716433	96	4	0	1	1					96	4	0							-670.6716433	1			
668.1116433	96	4	0	1	1					96	4	0							-668.1116433	1			
665.5516433	96	4	0	1	1					96	4	0							-665.5516433	1			
662.9916433	96	4	0	1	1					96	4	0							-662.9916433	1			
660.4316433	96	4	0	1	1					96	4	0							-660.4316433	1			
657.8716433	96	4	0	1	1					96	4	0							-657.8716433	1			
655.3116433	96	4	0	1	1					96	4	0							-655.3116433	1			
652.7516433	96	4	0	1	1					96	4	0							-652.7516433	1			
650.1916433	96	4	0	1	1					96	4	0							-650.1916433	1			
647.6316433	96	4	0	1	1					96	4	0							-647.6316433	1			
645.0716433	96	4	0	1	1					96	4	0							-645.0716433	1			
642.5116433	96	4	0	1	1					96	4	0							-642.5116433	1			
639.9516433	96	4	0	1	1					96	4	0							-639.9516433	1			
637.3916433	96	4	0	1	1					96	4	0							-637.3916433	1			
634.8316433	96	4	0	1	1					96	4	0							-634.8316433	1			
632.2716433	96	4	0	1	1					96	4	0							-632.2716433	1			
629.7116433	96	4	0	1	1					96	4	0							-629.7116433	1			
627.1516433	96	4	0	1	1					96	4	0							-627.1516433	1			
624.5916433	96	4	0	1	1					96	4	0							-624.5916433	1			
622.0316433	96	4	0	1	1					96	4	0							-622.0316433	1			
619.4716433	96	4	0	1	1					96	4	0							-619.4716433	1			
616.9116433	96	4	0	1	1					96	4	0							-616.9116433	1			
614.3516433	96	4	0	1	1					96	4	0							-614.3516433	1			
611.7916433	96	4	0	1	1					96	4	0							-611.7916433	1			
