T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
909.2216565	96	0	4	0	0	99.57244992	0	0.4275500804	96	0	4				0.001585197162		-0.001585197162	-909.2216565	0	22.5333247258043	
909.2016565	96	0	4	0.0008881261319	0.0008868788938	99.5720912	0	0.427908798	95.99682965	0	4.003170346				0		0	-909.2016565	0.0008868788938	22.5686618922063	
909.1816565	96	0	4	0.001774863591	0.001772371315	99.57173248	0	0.428267522	95.99365953	0	4.006340467				0		0	-909.1816565	0.001772371315	22.6022644900187	
909.1416565	96	0	4	0.003544591062	0.003539614726	99.571015	0	0.4289850023	95.98731992	0	4.012680081				0		0	-909.1416565	0.003539614726	22.6670126788022	
909.0616565	96	0	4	0.007068723278	0.007058803352	99.56957989	0	0.4304201071	95.97464324	0	4.025356764				0		0	-909.0616565	0.007058803352	22.8222418661781	
908.9016565	96	0	4	0.01403512173	0.01401544119	99.56670914	0	0.4332908562	95.94930015	0	4.050699851				0		0	-908.9016565	0.01401544119	23.1455741059478	
908.5816565	96	0	4	0.02771071421	0.02767191974	99.56096545	0	0.4390345493	95.89865482	0	4.101345176				0		0	-908.5816565	0.02767191974	23.7441943800773	
907.9416565	96	0	4	0.0540361198	0.05396071386	99.54946926	0	0.4505307403	95.79752752	0	4.202472483				0		0	-907.9416565	0.05396071386	24.9961740185856	
906.6616565	96	0	4	0.1029470682	0.1028043397	99.52644132	0	0.4735586798	95.59592585	0	4.404074151				0		0	-906.6616565	0.1028043397	27.6352784692136	
904.1016565	96	0	4	0.188049161	0.1877918557	99.48024036	0	0.5197596383	95.19532596	0	4.804674038				0		0	-904.1016565	0.1877918557	33.2187278002711	
901.5416565	96	0	4	0.259605595	0.2592551094	99.43384072	0	0.5661592795	94.79817988	0	5.201820122				0		0	-901.5416565	0.2592551094	39.1552751692009	
898.9816565	96	0	4	0.3206375339	0.3202105183	99.38723621	0	0.6127637948	94.40446257	0	5.595537433				0		0	-898.9816565	0.3202105183	45.5628605330531	
896.4216565	96	0	4	0.3733314164	0.3728410874	99.34042074	0	0.6595792599	94.01414491	0	5.985855091				0		0	-896.4216565	0.3728410874	52.434173877336	
893.8616565	96	0	4	0.4193082297	0.4187652592	99.29338838	0	0.7066116174	93.62719435	0	6.372805645				0		0	-893.8616565	0.4187652592	59.7612173498786	
891.3016565	96	0	4	0.4597951561	0.4592082905	99.24613331	0	0.7538666943	93.24357528	0	6.756424724				0		0	-891.3016565	0.4592082905	67.5352023758298	
888.7416565	96	0	4	0.4957382799	0.4951147818	99.19864979	0	0.8013502088	92.86324938	0	7.136750623				0		0	-888.7416565	0.4951147818	75.7465555772829	
886.1816565	96	0	4	0.5278786844	0.5272246549	99.15093222	0	0.849067777	92.48617606	0	7.51382394				0		0	-886.1816565	0.5272246549	84.3849323135004	
883.6216565	96	0	4	0.5568051	0.5561257182	99.10297508	0	0.8970249186	92.11231277	0	7.887687229				0		0	-883.6216565	0.5561257182	93.439235197464	
881.0616565	96	0	4	0.5829911214	0.5822908257	99.05477294	0	0.945227064	91.7416153	0	8.258384697				0		0	-881.0616565	0.5822908257	102.897637939254	
878.5016565	96	0	4	0.6068220254	0.6061046517	99.00632044	0	0.9936795592	91.37403808	0	8.625961921				0		0	-878.5016565	0.6061046517	112.747610869843	
