T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
914.2293753	94	5	1	0	0	99.39542145	0.499059775	0.1055187756	94	5	1							0.003041483423	-0.002537251901	-0.0005042315216	-914.2293753	0	17.7398417978439	
914.2093753	94	5	1	0.00115685131	0.00112639901	99.39478343	0.4995865662	0.1056300025	93.99391709	5.005074457	1.001008451							0	0	0	-914.2093753	0.00112639901	17.7715530496743	
914.1893753	94	5	1	0.00231163487	0.00225079167	99.3941454	0.5001133684	0.1057412317	93.98783459	5.010148587	1.002016824							0	0	0	-914.1893753	0.00225079167	17.8037376132572	
914.1493753	94	5	1	0.004614837991	0.004493401441	99.39286926	0.5011670353	0.1059637017	93.97567059	5.020296038	1.00403337							0	0	0	-914.1493753	0.004493401441	17.8811473078017	
914.0693753	94	5	1	0.009186890367	0.008945252952	99.39031672	0.5032745979	0.1064086783	93.95134692	5.040587509	1.008065568							0	0	0	-914.0693753	0.008945252952	18.0419160052261	
913.9093753	94	5	1	0.01822309248	0.017744219	99.38521054	0.5074906577	0.1072987989	93.90271656	5.081156862	1.016126583							0	0	0	-913.9093753	0.017744219	18.3364735619119	
913.5893753	94	5	1	0.03585755332	0.03491699805	99.3749938	0.5159265071	0.109079694	93.80552428	5.162240828	1.03223489							0	0	0	-913.5893753	0.03491699805	18.9477289916483	
912.9493753	94	5	1	0.06947654921	0.06766084822	99.35454262	0.5328132632	0.1126441119	93.61141509	5.324188537	1.064396369							0	0	0	-912.9493753	0.06766084822	20.2133642597446	
911.6693753	94	5	1	0.1307791641	0.1273866156	99.3135684	0.5666480813	0.1197835194	93.22430943	5.647193942	1.128496628							0	0	0	-911.6693753	0.1273866156	22.9219361873364	
909.1093753	94	5	1	0.2340191086	0.2280391052	99.23132311	0.6345717023	0.1341051869	92.45464205	6.289568486	1.255789468							0	0	0	-909.1093753	0.2280391052	28.7240092423862	
906.5493753	94	5	1	0.3175859596	0.3095943784	99.1486639	0.7028510746	0.1484850243	91.6912073	6.926951603	1.381841099							0	0	0	-906.5493753	0.3095943784	34.9864249278041	
903.9893753	94	5	1	0.3866095934	0.3770328468	99.06556788	0.7715077817	0.1629243338	90.93420557	7.55917762	1.506616814							0	0	0	-903.9893753	0.3770328468	41.8604342380232	
901.4293753	94	5	1	0.4445824065	0.4337452234	98.98201095	0.8405645477	0.1774244995	90.18382755	8.186087538	1.63008491							0	0	0	-901.4293753	0.4337452234	49.3393608638572	
898.8693753	94	5	1	0.4939634367	0.4821190073	98.89796796	0.9100450652	0.1919869731	89.44025537	8.807527984	1.752216646							0	0	0	-898.8693753	0.4821190073	57.4152179313096	
