T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
914.864625	93	7	0	0	0	99.29383037	0.7061696265	0	93	7	0				0.003652965541	-0.003652965541		-914.864625	0	17.2302919326416	
914.844625	93	7	0	0.001203442252	0.001159687797	99.29305297	0.7069470282	0	92.99269425	7.00730575	0				0	0		-914.844625	0.001159687797	17.2617498941907	
914.824625	93	7	0	0.002404684479	0.00231726601	99.29227554	0.7077244634	0	92.98538911	7.014610893	0				0	0		-914.824625	0.00231726601	17.2939448424604	
914.784625	93	7	0	0.004800288083	0.004625823143	99.29072052	0.7092794792	0	92.97078039	7.029219605	0				0	0		-914.784625	0.004625823143	17.3719471719759	
914.704625	93	7	0	0.009554427968	0.009207339943	99.28760995	0.7123900457	0	92.9415697	7.058430302	0				0	0		-914.704625	0.009207339943	17.533735926538	
914.544625	93	7	0	0.01894651911	0.01825889675	99.2813866	0.7186134014	0	92.88317458	7.116825424	0				0	0		-914.544625	0.01825889675	17.8300517782842	
914.224625	93	7	0	0.03725940186	0.03590973629	99.26893103	0.731068969	0	92.76649054	7.233509458	0				0	0		-914.224625	0.03590973629	18.4473072183275	
913.584625	93	7	0	0.07210344257	0.06950159995	99.24398408	0.7560159216	0	92.53355058	7.466449422	0				0	0		-913.584625	0.06950159995	19.7231905288152	
912.304625	93	7	0	0.1354677502	0.130617237	99.19394433	0.8060556724	0	92.06941271	7.930587295	0				0	0		-912.304625	0.130617237	22.4553888362477	
909.744625	93	7	0	0.2415764236	0.2330622533	99.09325784	0.9067421578	0	91.14832204	8.851677963	0				0	0		-909.744625	0.2330622533	28.3307872138158	
907.184625	93	7	0	0.3269193468	0.315582693	98.99171629	1.00828371	0	90.23722624	9.76277376	0				0	0		-907.184625	0.315582693	34.6832520368139	
904.624625	93	7	0	0.3970353533	0.3834946764	98.88926104	1.110738959	0	89.33660054	10.66339946	0				0	0		-904.624625	0.3834946764	41.6702294079669	
902.064625	93	7	0	0.4556604152	0.4403841433	98.78582925	1.214170749	0	88.44689339	11.55310661	0				0	0		-902.064625	0.4403841433	49.2814039307811	
899.504625	93	7	0	0.5054050982	0.4887569917	98.68135395	1.318646047	0	87.56852506	12.43147494	0				0	0		-899.504625	0.4887569917	57.5034122866889	
896.944625	93	7	0	0.5481489977	0.5304176286	98.57576365	1.424236352	0	86.70188286	13.29811714	0				0	0		-896.944625	0.5304176286	66.3189594725074	
894.384625	93	7	0	0.5852801323	0.5666987225	98.46898204	1.531017965	0	85.84731823	14.15268177	0				0	0		-894.384625	0.5666987225	75.7062279436052	
891.824625	93	7	0	0.6178460364	0.5986062131	98.3609277	1.639072296	0	85.00514441	14.99485559	0				0	0		-891.824625	0.5986062131	85.6382839298954	
889.264625	93	7	0	0.6466523529	0.6269139355	98.25151379	1.748486212	0	84.17563473	15.82436527	0				0	0		-889.264625	0.6269139355	96.082502569215	
886.704625	93	7	0	0.6723290451	0.6522271687	98.14064757	1.859352431	0	83.35902145	16.64097855	0				0	0		-886.704625	0.6522271687	107.000033165089	
884.144625	93	7	0	0.6953759941	0.6750263991	98.02823003	1.971769967	0	82.55549526	17.44450474	0				0	0		-884.144625	0.6750263991	118.345318514049	
881.584625	93	7	0	0.7161951028	0.6956981363	97.91415536	2.085844636	0	81.76520532	18.23479468	0				0	0		-881.584625	0.6956981363	130.065692590989	
879.024625	93	7	0	0.7351133497	0.7145570423	97.79831035	2.201689645	0	80.98825984	19.01174016	0				0	0		-879.024625	0.7145570423	142.101074646658	
876.464625	93	7	0	0.7523996384	0.7318621081	97.68057375	2.319426249	0	80.2247272	19.7752728	0				0	0		-876.464625	0.7318621081	154.38377768112	
873.904625	93	7	0	0.7682773115	0.7478286695	97.56081549	2.439184514	0	79.47463737	20.52536263	0				0	0		-873.904625	0.7478286695	166.83845203462	
871.344625	93	7	0	0.7829335807	0.7626374643	97.4388958	2.561104196	0	78.73798378	21.26201622	0				0	0		-871.344625	0.7626374643	179.382171821591	
868.784625	93	7	0	0.796526729	0.7764415534	97.31466426	2.685335741	0	78.01472547	21.98527453	0				0	0		-868.784625	0.7764415534	191.924688680048	
866.224625	93	7	0	0.809191681	0.7893716756	97.18795855	2.812041452	0	77.30478936	22.69521064	0				0	0		-866.224625	0.7893716756	204.368856336938	
863.664625	93	7	0	0.821044361	0.8015404421	97.05860317	2.941396827	0	76.60807275	23.39192725	0				0	0		-863.664625	0.8015404421	216.611225435369	
861.104625	93	7	0	0.8321851435	0.8130456605	96.92640789	3.073592113	0	75.9244459	24.0755541	0				0	0		-861.104625	0.8130456605	228.542820553722	
858.544625	93	7	0	0.8427016126	0.8239729995	96.79116588	3.20883412	0	75.25375453	24.74624547	0				0	0		-858.544625	0.8239729995	240.050092060247	
855.984625	93	7	0	0.852670797	0.8343981509	96.65265167	3.347348329	0	74.59582245	25.40417755	0				0	0		-855.984625	0.8343981509	251.016025037176	
853.424625	93	7	0	0.862160998	0.8443886066	96.51061863	3.489381369	0	73.95045396	26.04954604	0				0	0		-853.424625	0.8443886066	261.321411821642	
850.864625	93	7	0	0.8712333058	0.8540051384	96.36479607	3.635203926	0	73.3174363	26.6825637	0				0	0		-850.864625	0.8540051384	270.846239083312	
848.304625	93	7	0	0.8799428746	0.8633030525	96.21488581	3.785114191	0	72.69654183	27.30345817	0				0	0		-848.304625	0.8633030525	279.471189793802	
845.744625	93	7	0	0.8883400113	0.8723332707	96.06055804	3.939441959	0	72.08753014	27.91246986	0				0	0		-845.744625	0.8723332707	287.079222989369	
843.184625	93	7	0	0.8964711255	0.8811432858	95.90144647	4.098553532	0	71.49014998	28.50985002	0				0	0		-843.184625	0.8811432858	293.55718506329	
840.624625	93	7	0	0.9043795764	0.8897780279	95.73714237	4.262857627	0	70.90414092	29.09585908	0				0	0		-840.624625	0.8897780279	298.797447556158	
838.064625	93	7	0	0.912106451	0.8982806759	95.56718745	4.432812546	0	70.32923492	29.67076508	0				0	0		-838.064625	0.8982806759	302.699500423155	
835.504625	93	7	0	0.9196913036	0.9066934476	95.39106506	4.608934943	0	69.76515761	30.23484239	0				0	0		-835.504625	0.9066934476	305.171478896165	
832.944625	93	7	0	0.9271728865	0.915058401	95.20818935	4.79181065	0	69.21162939	30.78837061	0				0	0		-832.944625	0.915058401	306.13159352356	
830.384625	93	7	0	0.9345899058	0.9234182844	95.01789185	4.982108149	0	68.66836629	31.33163371	0				0	0		-830.384625	0.9234182844	305.509423103244	
827.824625	93	7	0	0.9419818374	0.9318174793	94.81940444	5.180595559	0	68.13508056	31.86491944	0				0	0		-827.824625	0.9318174793	303.247030537977	
825.264625	93	7	0	0.9493898532	0.9403030936	94.61183774	5.388162258	0	67.61148101	32.38851899	0				0	0		-825.264625	0.9403030936	299.299895147794	
822.704625	93	7	0	0.9568579166	0.9489262796	94.39415319	5.60584681	0	67.09727311	32.90272689	0				0	0		-822.704625	0.9489262796	293.786978386745	
821.424625	93	7	0	0.9606289605	0.9533065581	94.28114258	5.71885742	0	66.84359795	33.15640205	0				0	0		-821.424625	0.9533065581	290.363118726265	
820.784625	93	7	0	0.9625270672	0.9555178292	94.22352168	5.776478319	0	66.71760118	33.28239882	0				0	0		-820.784625	0.9555178292	288.320495489759	
820.744625	93	7	0	0.962646058	0.9556565971	94.2198949	5.780105095	0	66.70974482	33.29025518	0				0	0		-820.744625	0.9556565971	286.062830296458	
820.7395073	93	7	0	1	0.973779193	94.21943068	5.780569324	0	66.70873983	33.29126017	0	47.71320848	52.28679152	0	0	0		-820.7395073	0.973779193	-906.429964785866	
820.714625	93	7	0	1	0.9737517004	94.22074947	5.779250531	0				47.71296117	52.28703883	0				-820.714625	0.9737517004	-906.065928539802	
820.694625	93	7	0	1	0.9737296467	94.22180913	5.778190874	0				47.71276237	52.28723763	0				-820.694625	0.9737296467	-906.736914950427	
820.654625	93	7	0	1	0.9736855188	94.22392787	5.77607213	0				47.71236483	52.28763517	0				-820.654625	0.9736855188	-906.736145954707	
820.574625	93	7	0	1	0.9735973447	94.2281626	5.771837402	0				47.71156991	52.28843009	0				-820.574625	0.9735973447	-907.855850819044	
820.414625	93	7	0	1	0.973421322	94.23662104	5.763378963	0				47.7099805	52.2900195	0				-820.414625	0.973421322	-910.096224023503	
820.094625	93	7	0	1	0.9730705729	94.25349398	5.746506022	0				47.70680358	52.29319642	0				-820.094625	0.9730705729	-913.891545668621	
819.454625	93	7	0	1	0.9723726393	94.28706524	5.712934762	0				47.70045734	52.29954266	0				-819.454625	0.9723726393	-921.181280906057	
818.174625	93	7	0	1	0.9709954752	94.35351879	5.646481215	0				47.68779542	52.31220458	0				-818.174625	0.9709954752	-937.614731701732	
815.614625	93	7	0	1	0.9683107395	94.48373981	5.516260193	0				47.66259506	52.33740494	0				-815.614625	0.9683107395	-970.040396618596	
813.054625	93	7	0	1	0.965714387	94.61050749	5.389492509	0				47.63756169	52.36243831	0				-813.054625	0.965714387	-1002.80126168325	
810.494625	93	7	0	1	0.963202265	94.73396619	5.266033814	0				47.61269794	52.38730206	0				-810.494625	0.963202265	-1036.12183920599	
807.934625	93	7	0	1	0.9607702857	94.85425061	5.145749395	0				47.58800634	52.41199366	0				-807.934625	0.9607702857	-1069.97005505213	
805.374625	93	7	0	1	0.9584146502	94.97148669	5.028513311	0				47.56348928	52.43651072	0				-805.374625	0.9584146502	-1104.35801997441	
802.814625	93	7	0	1	0.9561318229	95.08579238	4.914207621	0				47.53914902	52.46085098	0				-802.814625	0.9561318229	-1139.29818181557	
800.254625	93	7	0	1	0.9539185067	95.1972783	4.802721696	0				47.51498771	52.48501229	0				-800.254625	0.9539185067	-1174.80331179374	
797.694625	93	7	0	1	0.9517716227	95.30604839	4.693951608	0				47.49100738	52.50899262	0				-797.694625	0.9517716227	-1210.8866812531	
795.134625	93	7	0	1	0.9496882911	95.41220042	4.58779958	0				47.46720997	52.53279003	0				-795.134625	0.9496882911	-1247.56177858453	
792.574625	93	7	0	1	0.947665814	95.51582651	4.484173487	0				47.44359731	52.55640269	0				-792.574625	0.947665814	-1284.84256628738	
790.014625	93	7	0	1	0.9457016609	95.61701358	4.382986421	0				47.42017114	52.57982886	0				-790.014625	0.9457016609	-1322.74345504531	
787.454625	93	7	0	1	0.9437934547	95.71584372	4.284156277	0				47.3969331	52.6030669	0				-787.454625	0.9437934547	-1361.27915073167	
784.894625	93	7	0	1	0.9419389595	95.8123946	4.187605402	0				47.37388473	52.62611527	0				-784.894625	0.9419389595	-1400.46491722928	
782.334625	93	7	0	1	0.9401360699	95.90673974	4.093260257	0				47.35102751	52.64897249	0				-782.334625	0.9401360699	-1440.31642473581	
779.774625	93	7	0	1	0.9383828006	95.99894888	4.001051123	0				47.32836282	52.67163718	0				-779.774625	0.9383828006	-1480.84983691435	
777.214625	93	7	0	1	0.9366772778	96.08908817	3.910911826	0				47.30589197	52.69410803	0				-777.214625	0.9366772778	-1522.08175822994	
774.654625	93	7	0	1	0.9350177305	96.17722051	3.822779491	0				47.28361618	52.71638382	0				-774.654625	0.9350177305	-1564.02930038249	
772.094625	93	7	0	1	0.9334024835	96.26340568	3.736594316	0				47.26153662	52.73846338	0				-772.094625	0.9334024835	-1606.71020625043	
769.534625	93	7	0	1	0.9318299504	96.34770064	3.652299362	0				47.23965436	52.76034564	0				-769.534625	0.9318299504	-1650.14257020612	
766.974625	93	7	0	1	0.9302986272	96.43015963	3.569840366	0				47.21797042	52.78202958	0				-766.974625	0.9302986272	-1694.34520100345	
764.414625	93	7	0	1	0.9288070871	96.51083444	3.489165565	0				47.19648576	52.80351424	0				-764.414625	0.9288070871	-1739.33751419925	
