T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
903.1103824	90	9	1	0	0	98.96426286	0.9275710168	0.1081661221	90	9	1							0.003136828684	-0.002824753224	-0.0003120754601	-903.1103824	0	14.2057775733474	
903.1003824	90	9	1	0.0003673072397	0.0003500173834	98.96391019	0.9278873073	0.1082024988	89.99686278	9.002825108	1.000312115							0	0	0	-903.1003824	0.0003500173834	42.9342416049378	
903.0803824	90	9	1	0.001100893706	0.000699260495	98.96320484	0.9285199084	0.1082752535	89.99058907	9.008474658	1.000936269							0	0	0	-903.0803824	0.000699260495	57.2992937785643	
903.0403824	90	9	1	0.002564976917	0.001396557402	98.96179401	0.9297852121	0.1084207738	89.97804471	9.019771021	1.002184267							0	0	0	-903.0403824	0.001396557402	57.4329613239275	
902.9603824	90	9	1	0.00548177143	0.002786178533	98.95897191	0.932316254	0.1087118373	89.95296016	9.042360014	1.004679822							0	0	0	-902.9603824	0.002786178533	57.7187737780247	
902.8003824	90	9	1	0.01126952182	0.005544098509	98.95332588	0.937380047	0.1092940701	89.90281417	9.087517304	1.009668526							0	0	0	-902.8003824	0.005544098509	58.3638377859775	
902.4803824	90	9	1	0.0226492036	0.01096325298	98.9420267	0.94751436	0.1104589355	89.80261614	9.177747763	1.019636101							0	0	0	-902.4803824	0.01096325298	59.6864385212587	
901.8403824	90	9	1	0.04468647759	0.02146872885	98.91939911	0.9678105563	0.1127903345	89.60259352	9.357874142	1.039532335							0	0	0	-901.8403824	0.02146872885	62.2793764445915	
900.5603824	90	9	1	0.08607157717	0.04121178505	98.87402517	1.008515024	0.1174598064	89.20405837	9.71677375	1.079167878							0	0	0	-900.5603824	0.04121178505	67.7804700362379	
898.0003824	90	9	1	0.1594739437	0.07627309076	98.78278688	1.090387532	0.1268255869	88.41313266	10.42906356	1.157803785							0	0	0	-898.0003824	0.07627309076	-563.989763724282	
895.4403824	90	9	1	0.2223394228	0.07075206645	98.69086352	1.172908232	0.1362282484	87.63059703	11.1338175	1.235585473							0	0	0	-895.4403824	0.07075206645	-498.588235682769	
892.8803824	90	9	1	0.2767362526	0.065914341	98.59821475	1.256117237	0.1456680129	86.85666104	11.83084286	1.312496099							0	0	0	-892.8803824	0.065914341	-566.142800584905	
890.3203824	90	9	1	0.324228691	0.06163921036	98.50479795	1.340056963	0.1551450901	86.09151677	12.51996292	1.388520316							0	0	0	-890.3203824	0.06163921036	-637.837777117853	
887.7603824	90	9	1	0.3660211424	0.05783298864	98.41056805	1.424772257	0.1646596926	85.33533755	13.20101801	1.463644442							0	0	0	-887.7603824	0.05783298864	-713.670889743273	
885.2003824	90	9	1	0.4030556493	0.05442189917	98.31547746	1.51031049	0.1742120489	84.5882776	13.87386587	1.537856531							0	0	0	-885.2003824	0.05442189917	-793.656322646787	
882.6403824	90	9	1	0.4360793949	0.05134706211	98.21947591	1.596721673	0.1838024178	83.85047171	14.53838186	1.611146425							0	0	0	-882.6403824	0.05134706211	-877.822656525161	
880.0803824	90	9	1	0.4656924317	0.04856091522	98.1225103	1.684058601	0.1934311031	83.12203512	15.19445909	1.683505795							0	0	0	-880.0803824	0.04856091522	-966.212902748326	
877.5203824	90	9	1	0.4923820682	0.04602461743	98.02452452	1.772377009	0.2030984673	82.40306352	15.84200834	1.754928145							0	0	0	-877.5203824	0.04602461743	-1058.88491916641	
874.9603824	90	9	1	0.5165480633	0.04370613432	97.9254593	1.86173575	0.2128049465	81.69363328	16.48095791	1.825408812							0	0	0	-874.9603824	0.04370613432	-1155.91163592203	
872.4003824	90	9	1	0.5385213692	0.04157880551	97.82525194	1.952196997	0.2225510643	80.9938018	17.11125326	1.89494494							0	0	0	-872.4003824	0.04157880551	-1257.38112641416	
869.8403824	90	9	1	0.5585782669	0.03962025832	97.72383608	2.043826472	0.2323374464	80.30360795	17.73285661	1.963535443							0	0	0	-869.8403824	0.03962025832	-1363.3965710636	
867.2803824	90	9	1	0.5769511618	0.03781157403	97.62114146	2.136693709	0.2421648355	79.62307271	18.34574634	2.03118095							0	0	0	-867.2803824	0.03781157403	-1474.07616005092	
864.7203824	90	9	1	0.5938369242	0.03613664094	97.51709355	2.230872339	0.2520341062	78.95219988	18.94991637	2.097883749							0	0	0	-864.7203824	0.03613664094	-1589.55300460392	
862.1603824	90	9	1	0.6094034006	0.03458164736	97.41161329	2.326440429	0.2619462801	78.29097682	19.54537547	2.163647712							0	0	0	-862.1603824	0.03458164736	-1709.97501450953	
859.6003824	90	9	1	0.6237945463	0.03313468044	97.30461661	2.42348085	0.2719025422	77.63937538	20.13214641	2.228478217							0	0	0	-859.6003824	0.03313468044	-1835.50495778161	
857.0403824	90	9	1	0.6371345093	0.03178540632	97.19601404	2.522081705	0.2819042574	76.99735276	20.71026518	2.292382067							0	0	0	-857.0403824	0.03178540632	-1966.32066175811	
854.4803824	90	9	1	0.6495309049	0.03052481289	97.08571021	2.622336802	0.291952988	76.36485248	21.27978012	2.355367402							0	0	0	-854.4803824	0.03052481289	-2102.61530459842	
851.9203824	90	9	1	0.6610774639	0.02934500145	96.97360328	2.724346203	0.3020505128	75.74180536	21.84075102	2.417443613							0	0	0	-851.9203824	0.02934500145	-2244.59811576359	
849.3603824	90	9	1	0.6718561876	0.02823901697	96.85958432	2.828216835	0.312198847	75.12813049	22.39324826	2.478621249							0	0	0	-849.3603824	0.02823901697	-2392.49536866243	
846.8003824	90	9	1	0.681939116	0.02720070878	96.74353655	2.93406319	0.3224002644	74.52373619	22.93735188	2.538911935							0	0	0	-846.8003824	0.02720070878	-2546.55170678581	
844.2403824	90	9	1	0.6913897851	0.02622461563	96.62533455	3.042008124	0.3326573212	73.92852099	23.47315073	2.598328284							0	0	0	-844.2403824	0.02622461563	-2707.03211264025	
841.6803824	90	9	1	0.7002644375	0.0253058704	96.50484335	3.152183764	0.342972883	73.34237457	24.00074162	2.656883812							0	0	0	-841.6803824	0.0253058704	-2874.22437998506	
839.1203824	90	9	1	0.7086130323	0.02444012058	96.3819173	3.264732549	0.3533501547	72.76517864	24.5202285	2.714592867							0	0	0	-839.1203824	0.02444012058	-3048.44238442298	
836.5603824	90	9	1	0.7164800927	0.02362346173	96.25639886	3.379808425	0.3637927133	72.19680782	25.03172163	2.771470551							0	0	0	-836.5603824	0.02362346173	-3230.03031683582	
834.0003824	90	9	1	0.7239054205	0.02285238148	96.12811723	3.497578222	0.3743045465	71.63713045	25.5353369	2.827532654							0	0	0	-834.0003824	0.02285238148	-3419.36808039576	
831.4403824	90	9	1	0.7309247023	0.02212371229	95.99688666	3.618223244	0.384890096	71.08600937	26.03119503	2.882795596							0	0	0	-831.4403824	0.02212371229	-3616.87812198621	
828.8803824	90	9	1	0.7375700244	0.02143459141	95.86250457	3.74194112	0.3955543068	70.54330263	26.519421	2.937276369							0	0	0	-828.8803824	0.02143459141	-3823.03420661965	
826.3203824	90	9	1	0.7438703144	0.02078242694	95.72474936	3.868947956	0.4063026849	70.00886412	27.00014338	2.990992495							0	0	0	-826.3203824	0.02078242694	-4038.37251258993	
823.7603824	90	9	1	0.7498517191	0.02016486893	95.58337777	3.999480861	0.4171413642	69.48254424	27.47349377	3.043961988							0	0	0	-823.7603824	0.02016486893	-4263.50582228621	
821.2003824	90	9	1	0.755537931	0.01957978484	95.43812189	4.133800925	0.4280771842	68.96419036	27.93960632	3.096203323							0	0	0	-821.2003824	0.01957978484	-4499.14207427382	
818.6403824	90	9	1	0.7609504707	0.01902523875	95.28868548	4.272196737	0.4391177823	68.45364735	28.39861723	3.14773542							0	0	0	-818.6403824	0.01902523875	-4746.10803124872	
816.0803824	90	9	1	0.7661089323	0.01849947374	95.1347397	4.414988595	0.4502717024	67.950758	28.85066437	3.198577633							0	0	0	-816.0803824	0.01849947374	-5005.38048480243	
813.5203824	90	9	1	0.7710311973	0.01800089721	94.97591794	4.56253354	0.4615485247	67.45536332	29.29588692	3.248749755							0	0	0	-813.5203824	0.01800089721	-5278.12794965649	
810.9603824	90	9	1	0.7757336223	0.01752806883	94.81180953	4.715231453	0.4729590212	66.96730289	29.73442507	3.298272035							0	0	0	-810.9603824	0.01752806883	-5565.76565862478	
808.4003824	90	9	1	0.780231204	0.01707969084	94.64195217	4.873532481	0.4845153444	66.48641502	30.16641977	3.34716521							0	0	0	-808.4003824	0.01707969084	-5870.03104009035	
805.8403824	90	9	1	0.7845377247	0.01665460085	94.46582259	5.037946154	0.4962312572	66.0125369	30.59201255	3.395450549							0	0	0	-805.8403824	0.01665460085	-6193.08783701585	
803.2803824	90	9	1	0.788665882	0.01625176699	94.28282488	5.209052701	0.5081224156	65.54550467	31.0113454	3.443149932							0	0	0	-803.2803824	0.01625176699	-6154.06722119414	
802.6403824	90	9	1	0.7896695384	0.004017464244	94.23592051	5.252956521	0.5111229727	65.42978983	31.11523474	3.454975422							0	0	0	-802.6403824	0.004017464244	-143.740764620096	
802.3203824	90	9	1	0.7901677223	0.002002351101	94.21228647	5.275085777	0.5126277516	65.37208615	31.16703972	3.460874131							0	0	0	-802.3203824	0.002002351101	-159.227985760474	
802.1603824	90	9	1	0.7904156924	0.0009988457947	94.20042387	5.28619487	0.5133812643	65.34327334	31.19290667	3.463819996							0	0	0	-802.1603824	0.0009988457947	-98.7221264196411	
802.1203824	90	9	1	0.7904775966	0.000249653474	94.19745339	5.28897685	0.5135697563	65.33607413	31.1993698	3.464556069							0	0	0	-802.1203824	0.000249653474	-144.774911547606	
802.1003824	90	9	1	0.79050851	0.0001246691725	94.19596744	5.290368537	0.5136640215	65.33247514	31.2026008	3.46492406							0	0	0	-802.1003824	0.0001246691725	-450.247494969448	
802.0803824	90	9	1	0.7906816376	0.0003558249142	94.19552382	5.29035201	0.5141241703	65.3306813	31.2016948	3.467623902	47.50492859	52.49507141	0				0	0	0	-802.0803824	0.0003558249142	218.292206906877	
802.0603824	90	9	1	0.7909016153	0.0004322089123	94.19542584	5.289868041	0.5147061188	65.32948649	31.19941442	3.471099082	47.50471259	52.49528741	0				0	0	0	-802.0603824	0.0004322089123	236.391910577148	
802.0203824	90	9	1	0.7913405622	0.0008633876424	94.19522869	5.288900371	0.5158709438	65.32709714	31.1948505	3.478052364	47.50428072	52.49571928	0				0	0	0	-802.0203824	0.0008633876424	93.009292437448	
801.9403824	90	9	1	0.7922127294	0.001719128185	94.19483367	5.286965876	0.5182004516	65.32232571	31.18572505	3.491949243	47.5034171	52.4965829	0				0	0	0	-801.9403824	0.001719128185	93.8602171478924	
801.7803824	90	9	1	0.7939357259	0.003410472763	94.19403677	5.283100705	0.5228625206	65.31280558	31.16747003	3.519724392	47.50169061	52.49830939	0				0	0	0	-801.7803824	0.003410472763	95.5141612817024	
801.4603824	90	9	1	0.7972920917	0.006699498942	94.19241562	5.275385579	0.5321988036	65.29385592	31.13094361	3.57520047	47.49824092	52.50175908	0				0	0	0	-801.4603824	0.006699498942	98.9798547556028	
800.8203824	90	9	1	0.8036802819	0.01296225634	94.18906394	5.260016028	0.5509200292	65.25631276	31.05782527	3.685861971	47.49135372	52.50864628	0				0	0	0	-800.8203824	0.01296225634	105.867691391671	
799.5403824	90	9	1	0.8152958097	0.02433559388	94.1819289	5.229515087	0.5885560152	65.18262199	30.91132465	3.906053361	47.47762896	52.52237104	0				0	0	0	-799.5403824	0.02433559388	120.789004998271	
796.9803824	90	9	1	0.8347669799	0.04335785489	94.16595934	5.169445663	0.6645949933	65.04056298	30.6172717	4.34216532	47.45037905	52.54962095	0				0	0	0	-796.9803824	0.04335785489	-795.121055397799	
794.4203824	90	9	1	0.8504045878	0.03893677133	94.14777819	5.110577978	0.7416438331	64.90514889	30.32181626	4.773034855	47.42339731	52.57660269	0				0	0	0	-794.4203824	0.03893677133	-649.599732470509	
791.8603824	90	9	1	0.8632429959	0.03531766585	94.12744717	5.052865116	0.8196877145	64.77588791	30.02495882	5.199153276	47.39668596	52.60331404	0				0	0	0	-791.8603824	0.03531766585	-784.805107336207	
789.3003824	90	9	1	0.8739755387	0.03230344942	94.10502503	4.996262673	0.8987122932	64.65233872	29.7266999	5.620961376	47.37024703	52.62975297	0				0	0	0	-789.3003824	0.03230344942	-933.723996651923	
786.7403824	90	9	1	0.8830841546	0.02975633249	94.08056748	4.940728672	0.9787038462	64.53410256	29.42704036	6.038857084	47.34408235	52.65591765	0				0	0	0	-786.7403824	0.02975633249	-874.766579844955	
785.4603824	90	9	1	0.8871352819	0.01427111556	94.06759211	4.913349804	1.019058088	64.47686254	29.27668563	6.246451827	47.33110338	52.66889662	0				0	0	0	-785.4603824	0.01427111556	-44.0016689479755	
785.3003824	90	9	1	0.8876211773	0.00177366155	94.0659357	4.909945252	1.024119048	64.46979246	29.25786671	6.272340839	47.32948578	52.67051422	0				0	0	0	-785.3003824	0.00177366155	-84.8213948248765	
785.2203824	90	9	1	0.8878623201	0.0008842469539	94.06510459	4.908244487	1.02665092	64.46626432	29.24845523	6.285280453	47.32867748	52.67132252	0				0	0	0	-785.2203824	0.0008842469539	-90.1355236220566	
785.2003824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-785.2003824	0.4259038344	0.0470566547771593	
785.1803824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-785.1803824	0.4259038344	NaN	
785.1403824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-785.1403824	0.4259038344	NaN	
785.0603824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-785.0603824	0.4259038344	NaN	
784.9003824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-784.9003824	0.4259038344	NaN	
784.5803824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-784.5803824	0.4259038344	NaN	
783.9403824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-783.9403824	0.4259038344	NaN	
782.6603824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-782.6603824	0.4259038344	NaN	
780.1003824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-780.1003824	0.4259038344	NaN	
774.9803824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-774.9803824	0.4259038344	NaN	
769.8603824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-769.8603824	0.4259038344	NaN	
764.7403824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-764.7403824	0.4259038344	NaN	
759.6203824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-759.6203824	0.4259038344	NaN	
754.5003824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-754.5003824	0.4259038344	NaN	
749.3803824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-749.3803824	0.4259038344	NaN	
744.2603824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-744.2603824	0.4259038344	NaN	
739.1403824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-739.1403824	0.4259038344	NaN	
734.0203824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-734.0203824	0.4259038344	NaN	
728.9003824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-728.9003824	0.4259038344	NaN	
723.7803824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-723.7803824	0.4259038344	NaN	
718.6603824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-718.6603824	0.4259038344	NaN	
713.5403824	90	9	1	1	0.4259038344	94.06558019	4.907781048	1.026638761				47.32859177	52.67140823	0	2.264224782E-05	0	99.99997736				-713.5403824	0.4259038344	NaN	
