T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
915.4643155	97	3	0	0	99.68387775	0.3161222498	97	3	0.001618534777	-0.001618534777	0.001618534777	-0.001618534777	-915.4643155	0	8.23193237949746	
915.4543155	97	3	0.0006036118185	0.0006029705811	99.68370009	0.3162999131	96.99838124	3.001618759	0.00323723547	-0.00323723547	0	0	-915.4543155	0.0006029705811	24.937181714752	
915.4343155	97	3	0.001808448362	0.001204192555	99.68334475	0.316655246	96.99514455	3.004855446	0.004855279407	-0.004855279407	0	0	-915.4343155	0.001204192555	33.2948698646498	
915.3943155	97	3	0.004210319742	0.002403474623	99.68263406	0.3173659448	96.98867137	3.011328629	0.008091555406	-0.008091555406	0	0	-915.3943155	0.002403474623	33.4248602471985	
915.3143155	97	3	0.008982418864	0.004786761112	99.68121253	0.3187874707	96.97572756	3.024272442	0.01456173328	-0.01456173328	0	0	-915.3143155	0.004786761112	33.7100006499072	
915.1543155	97	3	0.01840186363	0.009493717681	99.67836901	0.3216309907	96.94985015	3.050149854	0.02749437848	-0.02749437848	0	0	-915.1543155	0.009493717681	34.3323624296412	
914.8343155	97	3	0.03671684849	0.01863836478	99.67267998	0.3273200209	96.89813673	3.101863269	0.053328824	-0.053328824	0	0	-914.8343155	0.01863836478	35.6201989535459	
914.1943155	97	3	0.07145572168	0.03602384688	99.66129385	0.3387061509	96.79487395	3.205126046	0.1048748845	-0.1048748845	0	0	-914.1943155	0.03602384688	38.1822306514977	
912.9143155	97	3	0.1342046642	0.0675023933	99.63848903	0.3615109707	96.58900454	3.410995458	0.207474121	-0.207474121	0	0	-912.9143155	0.0675023933	43.7482288075266	
910.3543155	97	3	0.2381133981	0.1198736218	99.59274647	0.4072535285	96.17989329	3.82010671	0.4107025859	-0.4107025859	0	0	-910.3543155	0.1198736218	-286.27336927735	
907.7943155	97	3	0.3201391712	0.1075188811	99.54682096	0.4531790431	95.77427699	4.225723012	0.4071943314	-0.4071943314	0	0	-907.7943155	0.1075188811	-232.430689219948	
905.2343155	97	3	0.3864572006	0.09740356561	99.50070589	0.4992941066	95.37214216	4.627857842	0.4036992485	-0.4036992485	0	0	-905.2343155	0.09740356561	-280.625583097455	
902.6743155	97	3	0.4411325102	0.08897106486	99.45439493	0.5456050686	94.9734708	5.0265292	0.4002222693	-0.4002222693	0	0	-902.6743155	0.08897106486	-333.448919474614	
900.1143155	97	3	0.4869470837	0.08183459879	99.40788181	0.5921181861	94.57823977	5.421760226	0.3967685397	-0.3967685397	0	0	-900.1143155	0.08183459879	-390.911054412892	
897.5543155	97	3	0.5258673877	0.0757175561	99.36116042	0.6388395824	94.18642173	5.813578266	0.3933422763	-0.3933422763	0	0	-897.5543155	0.0757175561	-453.035508334974	
894.9943155	97	3	0.5593217878	0.07041690304	99.31422475	0.6857752546	93.79798562	6.20201438	0.3899472065	-0.3899472065	0	0	-894.9943155	0.07041690304	-519.850223665609	
892.4343155	97	3	0.5883721718	0.06578022985	99.26706892	0.7329310807	93.41289711	6.587102894	0.3865866025	-0.3865866025	0	0	-892.4343155	0.06578022985	-591.386352562057	
