T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
870.5347698	88	4	8	0	0	98.63313044	0.4185318302	0.9483377343	88	4	8	0.001709004728	-0.0005756312165	-0.001133373512	0.001709004728	-0.0005756312165	-0.001133373512	-870.5347698	0	30.8682237744077	
870.5247698	88	4	8	0.0001647799709	0.0001609020383	98.63290166	0.4185993209	0.948499018	87.99829063	4.000575747	8.001133619	0.003418309273	-0.0011513666	-0.002266942673	0	0	0	-870.5247698	0.0001609020383	93.4310095449329	
870.5047698	88	4	8	0.0004938186658	0.0003213776808	98.63244402	0.4187343566	0.9488216267	87.99487239	4.001727094	8.003400513	0.005126647678	-0.001726784192	-0.003399863487	0	0	0	-870.5047698	0.0003213776808	124.654067026992	
870.4647698	88	4	8	0.001151111406	0.0006421393983	98.63152874	0.4190043739	0.9494668877	87.98803823	4.004029027	8.007932738	0.008543101147	-0.002877562587	-0.00566553856	0	0	0	-870.4647698	0.0006421393983	124.758547107469	
870.3847698	88	4	8	0.002463354295	0.001282809936	98.62969793	0.419544474	0.9507575938	87.97437126	4.008632537	8.016996204	0.01537543609	-0.005179000457	-0.01019643563	0	0	0	-870.3847698	0.001282809936	125.031610097541	
870.2247698	88	4	8	0.005077913091	0.002559182737	98.62603538	0.4206248322	0.9533397925	87.94704887	4.017836039	8.035115087	0.02902987463	-0.009778724823	-0.0192511498	0	0	0	-870.2247698	0.002559182737	125.672387192357	
869.9047698	88	4	8	0.01026765374	0.005092793533	98.61870648	0.4227861853	0.9585073394	87.89245035	4.03622898	8.071320674	0.056304069	-0.01896766968	-0.03733639932	0	0	0	-869.9047698	0.005092793533	127.033126425242	
869.2647698	88	4	8	0.02047995261	0.01007447109	98.60403352	0.4271115016	0.9688549738	87.78343826	4.072959072	8.143602667	0.1107139965	-0.03730362601	-0.07341037054	0	0	0	-869.2647698	0.01007447109	129.826165556485	
867.9847698	88	4	8	0.04028535509	0.01973810199	98.57462626	0.4357727897	0.9896009524	87.56614961	4.146196549	8.287653842	0.2189827593	-0.07380867041	-0.1451740889	0	0	0	-867.9847698	0.01973810199	135.334879840654	
865.4247698	88	4	8	0.07758493199	0.03792582237	98.51556202	0.4531399264	1.03129805	87.13449794	4.291785614	8.573716448	0.4333305022	-0.1461556462	-0.287174856	0	0	0	-865.4247698	0.03792582237	-1852.26843608738	
862.8647698	88	4	8	0.1120291659	0.03640731833	98.45615909	0.4705656225	1.073275285	86.70673286	4.436162348	8.857104792	0.4294289967	-0.1449387228	-0.2844902739	0	0	0	-862.8647698	0.03640731833	-1752.12092376271	
860.3047698	88	4	8	0.1439288724	0.03499584107	98.39640741	0.4880543594	1.115538227	86.28280725	4.579340336	9.137852413	0.4255746223	-0.1437353172	-0.2818393051	0	0	0	-860.3047698	0.03499584107	-1883.34598265821	
857.7447698	88	4	8	0.1735528497	0.03368179546	98.33629695	0.505610664	1.158092385	85.86267322	4.721333443	9.415993333	0.4217683286	-0.1425458337	-0.2792224949	0	0	0	-857.7447698	0.03368179546	-2020.47625800215	
855.1847698	88	4	8	0.2011337064	0.03245570172	98.27581755	0.5232391574	1.200943292	85.44628165	4.86215603	9.691562324	0.4180113585	-0.1413707679	-0.2766405906	0	0	0	-855.1847698	0.03245570172	-2162.90160872903	
852.6247698	88	4	8	0.2268737128	0.03130926247	98.21495895	0.540944551	1.244096496	85.03358248	5.001822835	9.964594683	0.4143046223	-0.1402104979	-0.2740941243	0	0	0	-852.6247698	0.03130926247	-2310.67977525986	
850.0647698	88	4	8	0.2509495626	0.03023519148	98.15371078	0.5587316498	1.287557568	84.62452497	5.140348907	10.23512613	0.4106488477	-0.1390653359	-0.2715835118	0	0	0	-850.0647698	0.03023519148	-2463.87662706493	
847.5047698	88	4	8	0.2735162686	0.02922706369	98.09206254	0.5766053557	1.3313321	84.21905778	5.277749545	10.50319267	0.4070445959	-0.1379355335	-0.2691090624	0	0	0	-847.5047698	0.02922706369	-2622.55938657598	
844.9447698	88	4	8	0.2947103699	0.02827919127	98.03000361	0.5945706717	1.37542572	83.81712919	5.414040244	10.76883056	0.4034922765	-0.1368212875	-0.2666709891	0	0	0	-844.9447698	0.02827919127	-2786.79663111962	
842.3847698	88	4	8	0.3146525875	0.02738652055	97.9675232	0.6126327064	1.41984409	83.4186872	5.549236647	11.03207615	0.3999921619	-0.1357227449	-0.264269417	0	0	0	-842.3847698	0.02738652055	-2956.65816822292	
839.8247698	88	4	8	0.333450037	0.02654454577	97.90461041	0.6307966789	1.464592914	83.02367966	5.683354497	11.29296584	0.3965443998	-0.1346400074	-0.2619043924	0	0	0	-839.8247698	0.02654454577	-3132.2150863183	
837.2647698	88	4	8	0.3511980805	0.02574923666	97.84125413	0.6490679238	1.509677942	82.63205438	5.816409599	11.55153602	0.3931490264	-0.1335731361	-0.2595758903	0	0	0	-837.2647698	0.02574923666	-3313.53965304842	
834.7047698	88	4	8	0.3679818862	0.02499697714	97.77744312	0.6674518977	1.555104979	82.24375925	5.948417782	11.80782297	0.3898059766	-0.1325221549	-0.2572838216	0	0	0	-834.7047698	0.02499697714	-3500.70545989686	
832.1447698	88	4	8	0.3838777459	0.02428451344	97.71316593	0.6859541845	1.600879885	81.85874229	6.079394863	12.06186285	0.3865150952	-0.1314870548	-0.2550280404	0	0	0	-832.1447698	0.02428451344	-3693.78731924208	
829.5847698	88	4	8	0.3989541953	0.02360890969	97.64841091	0.7045805025	1.647008584	81.47695177	6.209356624	12.31369161	0.3832761461	-0.1304677966	-0.2528083495	0	0	0	-829.5847698	0.02360890969	-3892.86128738123	
827.0247698	88	4	8	0.413272968	0.02296751004	97.58316622	0.7233367116	1.693497066	81.09833628	6.33831878	12.56334494	0.3800888214	-0.1294643146	-0.2506245068	0	0	0	-827.0247698	0.02296751004	-4100.27747907767	
824.4647698	88	4	8	0.4268901803	0.02235853335	97.51741831	0.7422292757	1.740352411	80.72283836	6.466299263	12.81086237	0.3769527475	-0.1284765185	-0.248476229	0	0	0	-824.4647698	0.02235853335	-4309.70126049398	
821.9047698	88	4	8	0.439855674	0.02177812141	97.45115786	0.7612634534	1.787578688	80.35042043	6.593309013	13.05627055	0.3738612063	-0.1275021546	-0.2463590516	0	0	0	-821.9047698	0.02177812141	-4525.24407328897	
819.3447698	88	4	8	0.4522154926	0.02122571846	97.38437079	0.7804460257	1.835183184	79.98102568	6.719365681	13.29960864	0.37082665	-0.1265454986	-0.2442811514	0	0	0	-819.3447698	0.02122571846	-4750.51216043521	
816.7847698	88	4	8	0.4640112857	0.02069911029	97.31704428	0.7997834989	1.883172219	79.61460445	6.844484514	13.54091103	0.3678419103	-0.1256041378	-0.2422377725	0	0	0	-816.7847698	0.02069911029	-4980.74574496351	
814.2247698	88	4	8	0.4752810088	0.02019662924	97.24916524	0.8192825606	1.931552201	79.25110767	6.968680591	13.78021173	0.3649064084	-0.1246779038	-0.2402285046	0	0	0	-814.2247698	0.02019662924	-5217.45282721373	
811.6647698	88	4	8	0.4860593229	0.01971674913	97.18072026	0.8389500921	1.980329645	78.89048686	7.091968815	14.01754432	0.3620195629	-0.1237666249	-0.2382529379	0	0	0	-811.6647698	0.01971674913	-5460.72952089299	
809.1047698	88	4	8	0.4963779411	0.0192580684	97.11169565	0.8587931789	2.029511169	78.53269414	7.214363905	14.25294196	0.3591807586	-0.1228701163	-0.2363106422	0	0	0	-809.1047698	0.0192580684	-5710.66412951731	
806.5447698	88	4	8	0.5062659344	0.01881929791	97.04207737	0.8788191218	2.079103504	78.17768227	7.335880389	14.48643735	0.356389357	-0.1219881829	-0.2344011741	0	0	0	-806.5447698	0.01881929791	-5967.34879897045	
803.9847698	88	4	8	0.5157499985	0.01839925	96.97185105	0.8990354481	2.129113501	77.82540467	7.456532586	14.71806275	0.3536447003	-0.1211206212	-0.2325240791	0	0	0	-803.9847698	0.01839925	-6230.87862439426	
801.4247698	88	4	8	0.5248546907	0.01799682876	96.90100194	0.9194499248	2.179548137	77.47581543	7.576334609	14.94784996	0.3509461149	-0.1202672204	-0.2306788945	0	0	0	-801.4247698	0.01799682876	-6501.35130628284	
798.8647698	88	4	8	0.5336026379	0.01761102137	96.82951491	0.9400705712	2.23041452	77.12886933	7.695300352	15.17583031	0.3482929146	-0.1194277631	-0.2288651515	0	0	0	-798.8647698	0.01761102137	-6778.86761655506	
796.3047698	88	4	8	0.5420147218	0.01724089046	96.75737443	0.9609056731	2.281719896	76.78452185	7.813443487	15.40203466	0.3456844036	-0.1186020271	-0.2270823765	0	0	0	-796.3047698	0.01724089046	-7063.53183212906	
793.7447698	88	4	8	0.5501102428	0.01688556727	96.68456454	0.9819637974	2.333471659	76.44272916	7.93077746	15.62649338	0.3431198792	-0.1177897854	-0.2253300938	0	0	0	-793.7447698	0.01688556727	-7355.45195888691	
791.1847698	88	4	8	0.5579070659	0.01654424556	96.61106884	1.003253808	2.385677355	76.10344812	8.04731549	15.84923639	0.3405986341	-0.1169908077	-0.2236078264	0	0	0	-791.1847698	0.01654424556	-7654.74012760843	
788.6247698	88	4	8	0.5654217511	0.01621617615	96.53687043	1.024784882	2.43834469	75.76663634	8.163070558	16.07029311	0.3381199587	-0.1162048608	-0.2219150979	0	0	0	-788.6247698	0.01621617615	-7961.51267313197	
786.0647698	88	4	8	0.5726696695	0.01590066201	96.46195193	1.046566527	2.491481541	75.43225209	8.278055414	16.28969249	0.3356831426	-0.1154317091	-0.2202514336	0	0	0	-786.0647698	0.01590066201	-8275.89103265428	
783.5047698	88	4	8	0.5796651079	0.0155970539	96.38629544	1.068608602	2.54509596	75.10025439	8.39228257	16.50746304	0.333287477	-0.1146711153	-0.2186163617	0	0	0	-783.5047698	0.0155970539	-8598.0017780707	
780.9447698	88	4	8	0.5864213617	0.01530474637	96.30988248	1.090921332	2.599196187	74.77060293	8.505764302	16.72363276	0.3309322612	-0.1139228431	-0.2170094181	0	0	0	-780.9447698	0.01530474637	-8927.97759391086	
778.3847698	88	4	8	0.5929508196	0.01502317425	96.23269401	1.113515336	2.653790656	74.44325813	8.618512646	16.93822922	0.3286167808	-0.113186649	-0.2154301318	0	0	0	-778.3847698	0.01502317425	-9265.95725517966	
775.8247698	88	4	8	0.5992650385	0.01475180936	96.15471035	1.136401643	2.708888006	74.11818108	8.730539398	17.15127953	0.3263403456	-0.1124622957	-0.2138780499	0	0	0	-775.8247698	0.01475180936	-9612.08660622967	
773.2647698	88	4	8	0.6053748127	0.01449015766	96.07591119	1.159591722	2.76449709	73.79533356	8.841856118	17.36281032	0.3241022654	-0.1117495434	-0.212352722	0	0	0	-773.2647698	0.01449015766	-9966.51929314324	
770.7047698	88	4	8	0.6112902347	0.01423775656	95.99627551	1.183097499	2.820626988	73.47467805	8.952474124	17.57284782	0.3219018573	-0.1110481527	-0.2108537046	0	0	0	-770.7047698	0.01423775656	-10329.4168394033	
768.1447698	88	4	8	0.6170207516	0.01399417254	95.91578159	1.206931396	2.877287016	73.15617769	9.062404499	17.78141781	0.319738446	-0.1103578842	-0.2093805617	0	0	0	-768.1447698	0.01399417254	-10700.9509030036	
765.5847698	88	4	8	0.6225752157	0.013758999	95.83440692	1.231106346	2.934486736	72.83979628	9.171658086	17.98854564	0.3176113655	-0.1096784992	-0.2079328663	0	0	0	-765.5847698	0.013758999	-11081.3025918577	
763.0247698	88	4	8	0.6279619301	0.01353185422	95.75212819	1.255635838	2.992235975	72.52549828	9.28024549	18.19425623	0.3155199595	-0.1090097597	-0.2065101998	0	0	0	-763.0247698	0.01353185422	-11470.6637327855	
760.4647698	88	4	8	0.6331886909	0.01331237959	95.66892123	1.280533939	3.050544831	72.21324879	9.388177082	18.39857413	0.3134635818	-0.1083514285	-0.2051121533	0	0	0	-760.4647698	0.01331237959	-11869.2394270381	
757.9047698	88	4	8	0.6382628251	0.01310023797	95.58476097	1.305815334	3.109423691	71.90301355	9.495462996	18.60152345	0.3114415968	-0.1077032692	-0.2037383276	0	0	0	-757.9047698	0.01310023797	-12277.2475703264	
755.3447698	88	4	8	0.6431912252	0.01289511215	95.49962139	1.331495367	3.168883245	71.59475892	9.60211313	18.80312795	0.3094533799	-0.1070650462	-0.2023883337	0	0	0	-755.3447698	0.01289511215	-12694.9207740844	
752.7847698	88	4	8	0.6479803813	0.0126967035	95.41347542	1.357590077	3.228934503	71.28845187	9.708137152	19.00341098	0.307498318	-0.1064365247	-0.2010617933	0	0	0	-752.7847698	0.0126967035	-13122.5077580881	
750.2247698	88	4	8	0.6526364095	0.01250473068	95.32629495	1.384116242	3.289588808	70.98405997	9.813544493	19.20239554	0.3055758097	-0.105817471	-0.1997583387	0	0	0	-750.2247698	0.01250473068	-13560.2755653918	
747.6647698	88	4	8	0.6571650791	0.01231892852	95.23805071	1.411091431	3.350857859	70.68155136	9.918344354	19.40010428	0.3036852658	-0.1052076518	-0.1984776139	0	0	0	-747.6647698	0.01231892852	-14008.5112033169	
745.1047698	88	4	8	0.6615718363	0.01213904693	95.14871222	1.43853405	3.412753726	70.38089479	10.0225457	19.5965595	0.3018261088	-0.1046068347	-0.1972192741	0	0	0	-745.1047698	0.01213904693	-14467.5240164915	
742.5447698	88	4	8	0.6658618272	0.01196484996	95.05824773	1.466463398	3.475288872	70.08205955	10.12615728	19.79178317	0.2999977742	-0.1040147876	-0.1959829866	0	0	0	-742.5447698	0.01196484996	-14937.6465879573	
739.9847698	88	4	8	0.6700399178	0.01179611485	94.96662409	1.494899729	3.538476177	69.78501548	10.22918758	19.98579693	0.2981997097	-0.1034312789	-0.1947684308	0	0	0	-739.9847698	0.01179611485	-15419.2389479009	
737.4247698	88	4	8	0.674110713	0.01163263127	94.87380673	1.523864313	3.602328956	69.48973297	10.3316449	20.17862214	0.2964313758	-0.1028560772	-0.1935752987	0	0	0	-737.4247698	0.01163263127	-15912.6921289481	
734.8647698	88	4	8	0.6780785744	0.01147420053	94.77975951	1.553379503	3.666860991	69.19618291	10.43353727	20.37027982	0.2946922459	-0.1022889509	-0.192403295	0	0	0	-734.8647698	0.01147420053	-16418.4293414763	
732.3047698	88	4	8	0.6819476358	0.01132063489	94.68444463	1.583468818	3.732086551	68.90433673	10.5348725	20.56079076	0.2929818062	-0.1017296684	-0.1912521379	0	0	0	-732.3047698	0.01132063489	-16936.9110986647	
729.7447698	88	4	8	0.6857218184	0.01117175692	94.58782256	1.614157014	3.798020427	68.61416635	10.63565819	20.75017546	0.291299556	-0.1011779972	-0.1901215588	0	0	0	-729.7447698	0.01117175692	-17468.6411031068	
727.1847698	88	4	8	0.6894048443	0.01102739894	94.48985186	1.645470181	3.86467796	68.32564417	10.73590168	20.93845415	0.2896450076	-0.1006337042	-0.1890113034	0	0	0	-727.1847698	0.01102739894	-18014.1682146415	
724.6247698	88	4	8	0.6930002494	0.01088740243	94.39048909	1.677435836	3.932075075	68.03874306	10.83561009	21.12564685	0.2880176864	-0.1000965549	-0.1879211316	0	0	0	-724.6247698	0.01088740243	-18574.0928725295	
722.0647698	88	4	8	0.6965113948	0.01075161757	94.28968866	1.710083023	4.000228317	67.75343637	10.9347903	21.31177334	0.2864171364	-0.09956631504	-0.1868508214	0	0	0	-722.0647698	0.01075161757	-19149.0783386936	
