T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
917.5884698	94	6	0	0		99.3992878	0.6007121955			94	6	0.003689112271	-0.003689112271			0.003689112271	-0.003689112271	-917.5884698	0			
917.5784698	94	6	0.0007049663026	0.0006829864683		99.39890217	0.6010978275			93.99631087	6.003689132	0.007378100612	-0.007378100612			0	0	-917.5784698	0.0006829864683			
917.5584698	94	6	0.002112161103	0.001364153708		99.39813072	0.6018692822			93.98893303	6.011066969	0.01106655888	-0.01106655888			0	0	-917.5584698	0.001364153708			
917.5184698	94	6	0.004915994913	0.002721802131		99.39658779	0.6034122136			93.97417885	6.025821151	0.01844235875	-0.01844235875			0	0	-917.5184698	0.002721802131			
917.4384698	94	6	0.01048176065	0.005417733044		99.3935014	0.6064985985			93.94467658	6.055323416	0.03318926474	-0.03318926474			0	0	-917.4384698	0.005417733044			
917.2784698	94	6	0.02143386592	0.01072027633		99.38732664	0.6126733601			93.8856974	6.114302604	0.06266437653	-0.06266437653			0	0	-917.2784698	0.01072027633			
916.9584698	94	6	0.0426760315	0.02101934247		99.37496881	0.6250311932			93.76783772	6.232162277	0.1215402923	-0.1215402923			0	0	-916.9584698	0.02101934247			
916.3184698	94	6	0.08268645298	0.04044657068		99.35021978	0.649780218			93.53252142	6.467478576	0.2389886139	-0.2389886139			0	0	-916.3184698	0.04044657068			
915.0384698	94	6	0.154041567	0.07519493407		99.30058572	0.6994142801			93.06352609	6.936473914	0.47265066	-0.47265066			0	0	-915.0384698	0.07519493407			
