T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
905.2454711	92	6	2	0	0		99.17769127	0.606430029	0.215878699				92	6	2	0.002721935399	-0.002045359859	-0.0006765755404				0.002721935399	-0.002045359859	-0.0006765755404	-905.2454711	0			
905.2354711	92	6	2	0.00039176584	0.0003792814522		99.17739409	0.6066486958	0.2159572146				91.99727785	6.002045522	2.000676631	0.005443987716	-0.004090811121	-0.001353176595				0	0	0	-905.2354711	0.0003792814522			
905.2154711	92	6	2	0.001174192987	0.0007577349775		99.17679972	0.6070860287	0.2161142529				91.991834	6.006136228	2.002029769	0.008165258108	-0.006135683625	-0.002029574483				0	0	0	-905.2154711	0.0007577349775			
905.1754711	92	6	2	0.002735595525	0.001513276077		99.17561094	0.6079606922	0.2164283709				91.98094831	6.014316165	2.004735521	0.01360719315	-0.01022499461	-0.003382198538				0	0	0	-905.1754711	0.001513276077			
905.0954711	92	6	2	0.005845320255	0.003018452007		99.17323311	0.6097102158	0.2170566704				91.95918029	6.030673624	2.010146085	0.02448876912	-0.01840197725	-0.006086791873				0	0	0	-905.0954711	0.003018452007			
904.9354711	92	6	2	0.01201241122	0.006004243144		99.16847651	0.6132098861	0.2183135999				91.91566133	6.063376134	2.020962535	0.04623810019	-0.03474589458	-0.0114922056				0	0	0	-904.9354711	0.006004243144			
904.6154711	92	6	2	0.02412344845	0.01186425103		99.15895961	0.6202116594	0.2208287348				91.82869285	6.128730856	2.042576294	0.08968501196	-0.06739618786	-0.02228882411				0	0	0	-904.6154711	0.01186425103			
903.9754711	92	6	2	0.04752438972	0.02320127701		99.13991048	0.634225251	0.225864272				91.65503153	6.259240325	2.085728146	0.1763721472	-0.1325468115	-0.04382533571				0	0	0	-903.9754711	0.02320127701			
902.6954711	92	6	2	0.0912837651	0.04442396543		99.10175025	0.6622931745	0.2359565719				91.30882073	6.519452081	2.171727186	0.3489096575	-0.2622404128	-0.08666924476				0	0	0	-902.6954711	0.04442396543			
