T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
889.6646727	93	7	0	0	99.21579681	0.7842031867	93	7			0.001483835029	-0.001483835029	-889.6646727	0	20.7853524147096	
889.6546727	93	7	0.0002394892306	0.0002388932359	99.2156112	0.7843887977	92.99851582	7.001484182			0	0	-889.6546727	0.0002388932359	62.9340543932494	
889.6346727	93	7	0.0007176724195	0.0004771291049	99.21523997	0.7847600297	92.99554864	7.004451356			0	0	-889.6346727	0.0004771291049	83.9600913983877	
889.5946727	93	7	0.001672841637	0.0009534361737	99.21449746	0.7855025383	92.9896142	7.0103858			0	0	-889.5946727	0.0009534361737	84.0547015463103	
889.5146727	93	7	0.003577995277	0.00190350049	99.21301227	0.7869877288	92.9777477	7.022252299			0	0	-889.5146727	0.00190350049	84.3545906068257	
889.3546727	93	7	0.007367687426	0.003793579706	99.2100412	0.7899588046	92.95402426	7.045975742			0	0	-889.3546727	0.003793579706	84.9544534427142	
889.0346727	93	7	0.01486559119	0.007533997556	99.20409647	0.7959035327	92.90661556	7.093384443			0	0	-889.0346727	0.007533997556	86.2574539457282	
888.3946727	93	7	0.02951826013	0.01483702036	99.19219596	0.8078040383	92.8119512	7.188048803			0	0	-888.3946727	0.01483702036	88.9440269688968	
887.1146727	93	7	0.05757053038	0.0288332977	99.1683508	0.8316492031	92.62322994	7.376770058			0	0	-887.1146727	0.0288332977	94.2802814973653	
884.5546727	93	7	0.109127989	0.05456741404	99.12048157	0.8795184346	92.2482015	7.751798504			0	0	-884.5546727	0.05456741404	-1009.41079312195	
881.9946727	93	7	0.1552866529	0.05167386637	99.07236938	0.9276306197	91.87635572	8.123644279			0	0	-881.9946727	0.05167386637	-933.272904075908	
879.4346727	93	7	0.1968401836	0.04905420017	99.02400874	0.9759912587	91.50764665	8.492353354			0	0	-879.4346727	0.04905420017	-1028.85930634257	
876.8746727	93	7	0.2344376736	0.04667449828	98.9753944	1.024605604	91.14202825	8.857971746			0	0	-876.8746727	0.04667449828	-1129.91669363824	
874.3146727	93	7	0.2686126803	0.04450374412	98.92652112	1.073478878	90.77945326	9.220546735			0	0	-874.3146727	0.04450374412	-1235.99827576574	
871.7546727	93	7	0.2998076979	0.0425160176	98.87738377	1.122616232	90.41987364	9.580126358			0	0	-871.7546727	0.0425160176	-1347.14712697223	
869.1946727	93	7	0.3283927011	0.04068951469	98.82797724	1.172022755	90.06324079	9.936759209			0	0	-869.1946727	0.04068951469	-1463.41476935511	
866.6346727	93	7	0.3546793479	0.03900576036	98.77829652	1.221703477	89.70950573	10.29049427			0	0	-866.6346727	0.03900576036	-1584.8540865741	
864.0746727	93	7	0.3789319794	0.03744899568	98.72833663	1.271663372	89.35861923	10.64138077			0	0	-864.0746727	0.03744899568	-1711.51918899656	
861.5146727	93	7	0.4013762279	0.03600569563	98.67809263	1.321907366	89.010532	10.989468			0	0	-861.5146727	0.03600569563	-1843.46529124801	
858.9546727	93	7	0.4222058173	0.03466418625	98.62755966	1.372440341	88.66519474	11.33480526			0	0	-858.9546727	0.03466418625	-1980.74863204567	
856.3946727	93	7	0.4415879828	0.03341433803	98.57673286	1.423267136	88.32255829	11.67744171			0	0	-856.3946727	0.03341433803	-2123.42634935056	
853.8346727	93	7	0.4596678259	0.03224731832	98.52560744	1.474392556	87.98257373	12.01742627			0	0	-853.8346727	0.03224731832	-2271.55644872096	
851.2746727	93	7	0.47657184	0.03115539004	98.47417863	1.52582137	87.64519245	12.35480755			0	0	-851.2746727	0.03115539004	-2241.38642106821	
850.6346727	93	7	0.48062152	0.007703681448	98.46127346	1.538726537	87.56124834	12.43875166			0	0	-850.6346727	0.007703681448	-74.9361665989292	
850.3146727	93	7	0.4826237971	0.003838436207	98.45481362	1.545186379	87.51933571	12.48066429			0	0	-850.3146727	0.003838436207	-83.004070529577	
850.1546727	93	7	0.4836179149	0.00191330369	98.45158179	1.548418212	87.49839439	12.50160561			0	0	-850.1546727	0.00191330369	-83.2920207116451	
850.1346727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-850.1346727	0.888745712	0.0225521753744825	
850.1146727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-850.1146727	0.888745712	NaN	
850.0746727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-850.0746727	0.888745712	NaN	
849.9946727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-849.9946727	0.888745712	NaN	
849.8346727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-849.8346727	0.888745712	NaN	
849.5146727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-849.5146727	0.888745712	NaN	
848.8746727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-848.8746727	0.888745712	NaN	
847.5946727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-847.5946727	0.888745712	NaN	
845.0346727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-845.0346727	0.888745712	NaN	
839.9146727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-839.9146727	0.888745712	NaN	
834.7946727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-834.7946727	0.888745712	NaN	
829.6746727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-829.6746727	0.888745712	NaN	
824.5546727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-824.5546727	0.888745712	NaN	
819.4346727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-819.4346727	0.888745712	NaN	
814.3146727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-814.3146727	0.888745712	NaN	
809.1946727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-809.1946727	0.888745712	NaN	
804.0746727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-804.0746727	0.888745712	NaN	
798.9546727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-798.9546727	0.888745712	NaN	
793.8346727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-793.8346727	0.888745712	NaN	
788.7146727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-788.7146727	0.888745712	NaN	
783.5946727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-783.5946727	0.888745712	NaN	
778.4746727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-778.4746727	0.888745712	NaN	
773.3546727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-773.3546727	0.888745712	NaN	
768.2346727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-768.2346727	0.888745712	NaN	
763.1146727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-763.1146727	0.888745712	NaN	
757.9946727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-757.9946727	0.888745712	NaN	
752.8746727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-752.8746727	0.888745712	NaN	
747.7546727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-747.7546727	0.888745712	NaN	
742.6346727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-742.6346727	0.888745712	NaN	
737.5146727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-737.5146727	0.888745712	NaN	
732.3946727	93	7	1	0.888745712	98.45154087	1.548459131			8.61191626E-05	99.99991388			-732.3946727	0.888745712	NaN	
