T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
886.3625675	88	8	4	0	0	98.71110691	0.8338224275	0.4550706639	88	8	4							0.002353547235	-0.001574623072	-0.0007789241635	-886.3625675	0	22.6107388990491	
886.3525675	88	8	4	0.000229743409	0.0002198894595	98.71082352	0.83400389	0.4551725917	87.99764602	8.001574906	4.00077907							0	0	0	-886.3525675	0.0002198894595	68.3440528652274	
886.3325675	88	8	4	0.0006885872069	0.0004392854029	98.71025647	0.8343670324	0.4553765001	87.99293872	8.004724298	4.002336979							0	0	0	-886.3325675	0.0004392854029	91.1938917817134	
886.2925675	88	8	4	0.001604913704	0.0008775799875	98.70912249	0.8350931637	0.4557843421	87.98352704	8.011021152	4.005451805							0	0	0	-886.2925675	0.0008775799875	91.3247923673764	
886.2125675	88	8	4	0.003433065623	0.001752389455	98.70685426	0.8365456015	0.4566001396	87.96470616	8.023613312	4.011680526							0	0	0	-886.2125675	0.001752389455	91.6054598925528	
886.0525675	88	8	4	0.007070763435	0.003493075008	98.70231672	0.8394510142	0.4582322645	87.92708154	8.048786599	4.024131857							0	0	0	-886.0525675	0.003493075008	92.2282494863795	
885.7325675	88	8	4	0.01427255789	0.006939755809	98.69323736	0.8452639977	0.4614986388	87.85190092	8.09908902	4.04901006							0	0	0	-885.7325675	0.006939755809	93.5696330295946	
885.0925675	88	8	4	0.02836483839	0.01367729621	98.67506162	0.8568986075	0.4680397747	87.70181578	8.199516726	4.098667496							0	0	0	-885.0925675	0.01367729621	96.3363036416564	
883.8125675	88	8	4	0.05541035764	0.02661683585	98.63864041	0.8802033576	0.4811562312	87.40274602	8.399664895	4.197589083							0	0	0	-883.8125675	0.02661683585	101.829631941915	
881.2525675	88	8	4	0.1053419173	0.05049816439	98.56551181	0.9269602406	0.5075279475	86.80902542	8.797120153	4.393854424							0	0	0	-881.2525675	0.05049816439	-1118.83688871672	
878.6925675	88	8	4	0.1503006491	0.04790042624	98.4919918	0.9739162335	0.5340919673	86.22125188	9.190707888	4.588040231							0	0	0	-878.6925675	0.04790042624	-1034.9462829888	
876.1325675	88	8	4	0.1909762391	0.0455302448	98.41806244	1.021084074	0.5608534841	85.63943809	9.58041631	4.7801456							0	0	0	-876.1325675	0.0455302448	-1132.48463484794	
873.5725675	88	8	4	0.2279400685	0.04336154176	98.34370574	1.068476707	0.5878175583	85.06359197	9.966236851	4.970171182							0	0	0	-873.5725675	0.04336154176	-1235.1404280312	
871.0125675	88	8	4	0.261667268	0.04136991978	98.268903	1.11610769	0.6149893087	84.49371355	10.34816633	5.158120116							0	0	0	-871.0125675	0.04136991978	-1342.42092104598	
868.4525675	88	8	4	0.292556038	0.03953476337	98.19363498	1.163991138	0.6423738856	83.92979612	10.7262062	5.343997681							0	0	0	-868.4525675	0.03953476337	-1454.36688606102	
865.8925675	88	8	4	0.3209425405	0.03783856807	98.11788179	1.212141732	0.6699764801	83.37182655	11.10036227	5.527811174							0	0	0	-865.8925675	0.03783856807	-1571.03618988309	
863.3325675	88	8	4	0.3471124692	0.03626637245	98.04162293	1.260574736	0.6978023333	82.81978578	11.47064444	5.709569786							0	0	0	-863.3325675	0.03626637245	-1692.49184416541	
860.7725675	88	8	4	0.3713101309	0.03480531016	97.96483724	1.309306013	0.7258567458	82.27364914	11.83706638	5.889284478							0	0	0	-860.7725675	0.03480531016	-1818.80182990773	
858.2125675	88	8	4	0.393745639	0.0334442536	97.88750287	1.358352042	0.7541450872	81.73338682	12.19964532	6.066967861							0	0	0	-858.2125675	0.0334442536	-1950.03892789497	
855.6525675	88	8	4	0.4146006618	0.03217352797	97.80959725	1.407729942	0.7826728056	81.19896417	12.55840176	6.242634069							0	0	0	-855.6525675	0.03217352797	-2086.28052216738	
853.0925675	88	8	4	0.4340330511	0.03098468005	97.73109706	1.4574575	0.8114454378	80.67034216	12.91335919	6.416298646							0	0	0	-853.0925675	0.03098468005	-2227.60845037781	
850.5325675	88	8	4	0.4521805996	0.02987028988	97.65197819	1.507553195	0.840468619	80.14747768	13.2645439	6.587978423							0	0	0	-850.5325675	0.02987028988	-2374.10887494124	
847.9725675	88	8	4	0.4691641097	0.02882381633	97.57221568	1.558036231	0.8697480935	79.6303239	13.61198469	6.757691415							0	0	0	-847.9725675	0.02882381633	-2525.87219549096	
845.4125675	88	8	4	0.4850899177	0.02783946967	97.4917837	1.608926576	0.8992897253	79.11883064	13.95571266	6.925456703							0	0	0	-845.4125675	0.02783946967	-2682.99289025444	
842.8525675	88	8	4	0.5000519828	0.02691210571	97.41065549	1.660244998	0.929099509	78.61294467	14.29576099	7.091294338							0	0	0	-842.8525675	0.02691210571	-2845.5695409243	
840.2925675	88	8	4	0.5141336249	0.02603713753	97.32880331	1.71201311	0.9591835814	78.11261001	14.63216475	7.255225237							0	0	0	-840.2925675	0.02603713753	-3013.70485243539	
