T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI				
933.471	100	0	0	100	100	0	-933.471	0	0.0201672000000599	
933.4508328	100	1	1	100			-933.4508328	1	0.0201672000000599	
933.4308328	100	1	1	100			-933.4308328	1	NaN	
933.3908328	100	1	1	100			-933.3908328	1	NaN	
933.3108328	100	1	1	100			-933.3108328	1	NaN	
933.1508328	100	1	1	100			-933.1508328	1	NaN	
932.8308328	100	1	1	100			-932.8308328	1	NaN	
932.1908328	100	1	1	100			-932.1908328	1	NaN	
930.9108328	100	1	1	100			-930.9108328	1	NaN	
928.3508328	100	1	1	100			-928.3508328	1	NaN	
923.2308328	100	1	1	100			-923.2308328	1	NaN	
918.1108328	100	1	1	100			-918.1108328	1	NaN	
912.9908328	100	1	1	100			-912.9908328	1	NaN	
907.8708328	100	1	1	100			-907.8708328	1	NaN	
902.7508328	100	1	1	100			-902.7508328	1	NaN	
897.6308328	100	1	1	100			-897.6308328	1	NaN	
892.5108328	100	1	1	100			-892.5108328	1	NaN	
887.3908328	100	1	1	100			-887.3908328	1	NaN	
882.2708328	100	1	1	100			-882.2708328	1	NaN	
877.1508328	100	1	1	100			-877.1508328	1	NaN	
872.0308328	100	1	1	100			-872.0308328	1	NaN	
866.9108328	100	1	1	100			-866.9108328	1	NaN	
861.7908328	100	1	1	100			-861.7908328	1	NaN	
856.6708328	100	1	1	100			-856.6708328	1	NaN	
851.5508328	100	1	1	100			-851.5508328	1	NaN	
846.4308328	100	1	1	100			-846.4308328	1	NaN	
841.3108328	100	1	1	100			-841.3108328	1	NaN	
836.1908328	100	1	1	100			-836.1908328	1	NaN	
831.0708328	100	1	1	100			-831.0708328	1	NaN	
825.9508328	100	1	1	100			-825.9508328	1	NaN	
820.8308328	100	1	1	100			-820.8308328	1	NaN	
815.7108328	100	1	1	100			-815.7108328	1	NaN	
810.5908328	100	1	1	100			-810.5908328	1	NaN	
