T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
880.0353542	91	1	8	0	0	98.99105246	0.09407015519	0.9148773821	91	1	8	0.00154191063	-0.0001748042852	-0.001367106345	0.00154191063	-0.0001748042852	-0.001367106345	-880.0353542	0	51.7874405729722	
880.0153542	91	1	8	0.0003890412578	0.0003859271586	98.99065859	0.09410506871	0.9152363403	90.99691622	1.000349603	8.002734175	0.001541802334	-0.0001747985905	-0.001367003744	0	0	0	-880.0153542	0.0003859271586	51.8590613862802	
879.9953542	91	1	8	0.0007775456985	0.0007713220607	98.99026471	0.09413998424	0.9155953107	90.99383266	1.000699193	8.005468146	0.001541708573	-0.0001747902362	-0.001366918337	0	0	0	-879.9953542	0.0007713220607	51.9057149767701	
879.9553542	91	1	8	0.001554065017	0.001541627014	98.98947688	0.09420982018	0.9163132985	90.98766613	1.001398321	8.010935545	0.00154150791	-0.0001747789817	-0.001366728928	0	0	0	-879.9553542	0.001541627014	51.961797127815	
879.8753542	91	1	8	0.003104032099	0.003079193128	98.98790104	0.09434951282	0.9177494512	90.97533552	1.002796383	8.021868102	0.001541109707	-0.0001747647643	-0.001366344943	0	0	0	-879.8753542	0.003079193128	52.0990975861359	
879.7153542	91	1	8	0.006191734286	0.006142203991	98.98474855	0.09462898151	0.9206224665	90.95068401	1.005591734	8.043724256	0.001540328128	-0.0001747697356	-0.001365558392	0	0	0	-879.7153542	0.006142203991	52.4190889738071	
879.3953542	91	1	8	0.01230333078	0.01220497778	98.9784404	0.09518828983	0.9263713063	90.90141975	1.011179701	8.087400553	0.001538672485	-0.0001745567665	-0.001364115718	0	0	0	-879.3953542	0.01220497778	53.0834287038765	
878.7553542	91	1	8	0.02432210514	0.02412793871	98.96581132	0.0963083145	0.9378803607	90.80304635	1.022343666	8.174609984	0.001535440317	-0.0001743051232	-0.001361135193	0	0	0	-878.7553542	0.02412793871	54.3199948725018	
877.4753542	91	1	8	0.0475443665	0.04716585099	98.94050154	0.09855427083	0.9609441869	90.60691732	1.04462478	8.348457905	0.001528970073	-0.0001737663273	-0.001355203746	0	0	0	-877.4753542	0.04716585099	56.8937887710267	
