T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
915.4643155	97	0	3	0	0	99.68387775	0	0.3161222498	97	0	3				0.001618534777		-0.001618534777	-915.4643155	0	16.5828218290575	
915.4443155	97	0	3	0.001206198087	0.001204925589	99.68352242	0	0.3164775793	96.99676298	0	3.003237022				0		0	-915.4443155	0.001204925589	16.6142488989039	
915.4243155	97	0	3	0.002410118527	0.002407576272	99.68316708	0	0.3168329158	96.99352618	0	3.006473821				0		0	-915.4243155	0.002407576272	16.6463432905102	
915.3843155	97	0	3	0.00481086513	0.004805791858	99.68245638	0	0.3175436186	96.98705321	0	3.01294679				0		0	-915.3843155	0.004805791858	16.7235100529067	
915.3043155	97	0	3	0.00957447579	0.009564384398	99.68103485	0	0.3189651511	96.97410986	0	3.025890138				0		0	-915.3043155	0.009564384398	16.8637618691828	
915.2243155	97	0	3	0.01430884489	0.01429377166	99.67961314	0	0.3203868565	96.96116987	0	3.038830125				0		0	-915.2243155	0.01429377166	17.0083393887601	
915.1443155	97	0	3	0.0189920849	0.01897208886	99.67819128	0	0.3218087224	96.94823336	0	3.051766643				0		0	-915.1443155	0.01897208886	17.1751068502705	
915.0643155	97	0	3	0.02363480245	0.02360993147	99.67676925	0	0.3232307546	96.93530026	0	3.064699739				0		0	-915.0643155	0.02360993147	17.3247377721201	
914.9843155	97	0	3	0.02823748282	0.02820778418	99.67534705	0	0.3246529533	96.92237059	0	3.077629413				0		0	-914.9843155	0.02820778418	17.4750847952239	
914.9043155	97	0	3	0.03280064402	0.03276616442	99.67392468	0	0.3260753188	96.90944433	0	3.090555666				0		0	-914.9043155	0.03276616442	17.626072289095	
914.8243155	97	0	3	0.03732479506	0.03728558058	99.67250215	0	0.3274978512	96.8965215	0	3.103478497				0		0	-914.8243155	0.03728558058	17.7777004261639	
914.7443155	97	0	3	0.0418104362	0.04176653234	99.67107945	0	0.3289205507	96.88360209	0	3.116397907				0		0	-914.7443155	0.04176653234	17.9299690324701	
914.6643155	97	0	3	0.04625805923	0.0462095109	99.66965658	0	0.3303434177	96.87068611	0	3.129313894				0		0	-914.6643155	0.0462095109	18.0828779045472	
914.5843155	97	0	3	0.05066814759	0.05061499913	99.66823355	0	0.3317664522	96.85777354	0	3.142226461				0		0	-914.5843155	0.05061499913	18.2364268665359	
