T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
914.2913165	94	5	1	0	0	99.40138411	0.4956759641	0.102939921	94	5	1							0.003039037159	-0.002534315588	-0.0005047215704	-914.2913165	0	17.7736184235988	
914.2713165	94	5	1	0.001154664148	0.001124246312	99.40075158	0.4962009314	0.1030474846	93.99392202	5.005068555	1.001009427							0	0	0	-914.2713165	0.001124246312	17.8057733636021	
914.2513165	94	5	1	0.00230723976	0.002246466036	99.40011903	0.4967259179	0.10315505	93.98784457	5.010136667	1.00201876							0	0	0	-914.2513165	0.002246466036	17.838386567568	
914.2113165	94	5	1	0.004605971621	0.004484676035	99.39885384	0.4977759667	0.1033701899	93.97569109	5.020271731	1.004037178							0	0	0	-914.2113165	0.004484676035	17.9166547090113	
914.1313165	94	5	1	0.009168879422	0.008927531481	99.39632316	0.4998763446	0.1038004982	93.95139007	5.040536988	1.00807294							0	0	0	-914.1313165	0.008927531481	18.0772415887318	
914.0513165	94	5	1	0.01369620805	0.01333585338	99.39379204	0.5019771081	0.1042308509	93.92709684	5.060795835	1.012107327							0	0	0	-914.0513165	0.01333585338	18.2232852920905	
913.9713165	94	5	1	0.01818607614	0.01770780832	99.3912605	0.5040782529	0.1046612462	93.90281148	5.081048202	1.016140316							0	0	0	-913.9713165	0.01770780832	18.374549721705	
913.8913165	94	5	1	0.02263894692	0.02204384604	99.38872853	0.5061797819	0.105091685	93.87853401	5.101294086	1.020171906							0	0	0	-913.8913165	0.02204384604	18.5264383222788	
913.8113165	94	5	1	0.02705527334	0.0263444063	99.38619614	0.5082816966	0.1055221675	93.85426443	5.121533472	1.024202096							0	0	0	-913.8113165	0.0263444063	18.6789566400963	
913.7313165	94	5	1	0.031435501	0.03060992171	99.38366331	0.5103839986	0.1059526942	93.83000278	5.141766343	1.028230881							0	0	0	-913.7313165	0.03060992171	18.8321123523103	
913.6513165	94	5	1	0.0357800648	0.0348408145	99.38113005	0.5124866875	0.1063832652	93.80574908	5.161992666	1.032258257							0	0	0	-913.6513165	0.0348408145	18.9858898633487	
913.5713165	94	5	1	0.04008940314	0.03903751031	99.37859635	0.5145897684	0.1068138815	93.78150332	5.182212458	1.036284226							0	0	0	-913.5713165	0.03903751031	19.1402896334948	
913.4913165	94	5	1	0.04436393693	0.04320041777	99.37606222	0.516693241	0.1072445432	93.75726553	5.202425688	1.040308782							0	0	0	-913.4913165	0.04320041777	19.295326719427	
913.4113165	94	5	1	0.04860408384	0.04732994238	99.37352764	0.5187971069	0.1076752507	93.73303574	5.222632338	1.044331924							0	0	0	-913.4113165	0.04732994238	19.4509933857225	
913.3313165	94	5	1	0.05281025491	0.05142648323	99.37099263	0.5209013674	0.1081060045	93.70881396	5.242832393	1.048353647							0	0	0	-913.3313165	0.05142648323	19.6072896088131	
913.2513165	94	5	1	0.05698285468	0.05549043306	99.36845717	0.5230060242	0.1085368048	93.68460021	5.263025837	1.052373949							0	0	0	-913.2513165	0.05549043306	19.7642154373609	
913.1713165	94	5	1	0.06112228131	0.05952217842	99.36592127	0.5251110788	0.1089676522	93.66039452	5.283212655	1.056392827							0	0	0	-913.1713165	0.05952217842	19.9217707896492	
913.0913165	94	5	1	0.0652289267	0.06352209981	99.36338492	0.5272165326	0.109398547	93.63619689	5.303392831	1.060410279							0	0	0	-913.0913165	0.06352209981	20.0799556061081	
913.0113165	94	5	1	0.06930317663	0.06749057177	99.36084812	0.5293223872	0.1098294896	93.61200735	5.323566348	1.064426301							0	0	0	-913.0113165	0.06749057177	20.23876985906	
912.9313165	94	5	1	0.07334541088	0.07142796301	99.35831088	0.531428644	0.1102604805	93.58782592	5.343733193	1.068440891							0	0	0	-912.9313165	0.07142796301	20.3982135179764	
912.8513165	94	5	1	0.07735600331	0.07533463651	99.35577318	0.5335353047	0.1106915199	93.56365261	5.363893348	1.072454046							0	0	0	-912.8513165	0.07533463651	20.5582865865588	
912.7713165	94	5	1	0.08133532203	0.07921094963	99.35323502	0.5356423706	0.1111226084	93.53948744	5.384046798	1.076465764							0	0	0	-912.7713165	0.07921094963	20.7189889290127	
912.6913165	94	5	1	0.08528372945	0.08305725427	99.35069641	0.5377498435	0.1115537464	93.51533043	5.404193529	1.080476041							0	0	0	-912.6913165	0.08305725427	20.8803205540113	
912.6113165	94	5	1	0.08920158245	0.08687389687	99.34815734	0.5398577246	0.1119849341	93.4911816	5.424333525	1.084484875							0	0	0	-912.6113165	0.08687389687	21.0422814305669	
912.5313165	94	5	1	0.09308923244	0.09066121863	99.34561781	0.5419660157	0.1124161721	93.46704097	5.444466769	1.088492263							0	0	0	-912.5313165	0.09066121863	21.2048714335033	
912.4513165	94	5	1	0.09694702548	0.09441955553	99.34307782	0.5440747182	0.1128474607	93.44290855	5.464593248	1.092498203							0	0	0	-912.4513165	0.09441955553	21.3680905661647	
912.3713165	94	5	1	0.1007753024	0.09814923846	99.34053737	0.5461838336	0.1132788003	93.41878436	5.484712946	1.096502691							0	0	0	-912.3713165	0.09814923846	21.5319387910225	
