T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
909.3298086	91	9	0	0	0	99.07686396	0.9231360352	0	91	9	0				0.003572374529	-0.003572374529		-909.3298086	0	22.6067724132015	
909.3098086	91	9	0	0.000927329748	0.0008840071174	99.07607297	0.923927033	0	90.99285537	9.007144635	0				0	0		-909.3098086	0.0008840071174	22.6417320531536	
909.2898086	91	9	0	0.00185322137	0.001766651399	99.07528192	0.9247180757	0	90.98571141	9.014288588	0				0	0		-909.2898086	0.001766651399	22.6753976896776	
909.2498086	91	9	0	0.003701018313	0.003528164239	99.07369967	0.9263003287	0	90.97142527	9.028574725	0				0	0		-909.2498086	0.003528164239	22.7409280062491	
909.1698086	91	9	0	0.007380429887	0.007035861151	99.07053452	0.9294654761	0	90.94286033	9.057139667	0				0	0		-909.1698086	0.007035861151	22.8967337836922	
909.0898086	91	9	0	0.01103108725	0.01051627354	99.06736854	0.9326314639	0	90.91430532	9.085694683	0				0	0		-909.0898086	0.01051627354	23.0617861038208	
909.0098086	91	9	0	0.01465770463	0.01397389502	99.0642017	0.9357982952	0	90.88576023	9.114239769	0				0	0		-909.0098086	0.01397389502	23.2135720035026	
908.9298086	91	9	0	0.01826050928	0.01740894102	99.06103402	0.9389659774	0	90.85722504	9.142774958	0				0	0		-908.9298086	0.01740894102	23.3658811684841	
908.8498086	91	9	0	0.02183973375	0.02082163208	99.05786549	0.9421345122	0	90.82869976	9.171300235	0				0	0		-908.8498086	0.02082163208	23.5186874690602	
908.7698086	91	9	0	0.02539560754	0.02421218582	99.0546961	0.9453039013	0	90.80018441	9.199815586	0				0	0		-908.7698086	0.02421218582	23.6719909990746	
908.6898086	91	9	0	0.02892835721	0.02758081707	99.05152585	0.9484741466	0	90.771679	9.228320995	0				0	0		-908.6898086	0.02758081707	23.8257916560042	
908.6098086	91	9	0	0.03243820639	0.03092773789	99.04835475	0.9516452498	0	90.74318355	9.256816449	0				0	0		-908.6098086	0.03092773789	23.9800893297699	
908.5298086	91	9	0	0.03592537585	0.03425315764	99.04518279	0.9548172127	0	90.71469807	9.285301932	0				0	0		-908.5298086	0.03425315764	24.1348839747615	
908.4498086	91	9	0	0.03939008352	0.03755728298	99.04200996	0.9579900371	0	90.68622257	9.313777431	0				0	0		-908.4498086	0.03755728298	24.2901755264272	
908.3698086	91	9	0	0.04283254459	0.04084031796	99.03883628	0.9611637248	0	90.65775707	9.34224293	0				0	0		-908.3698086	0.04084031796	24.4459639405157	
908.2898086	91	9	0	0.04625297148	0.04410246401	99.03566172	0.9643382775	0	90.62930158	9.370698416	0				0	0		-908.2898086	0.04410246401	24.6022491403437	
908.2098086	91	9	0	0.04965157394	0.04734392004	99.0324863	0.9675136971	0	90.60085613	9.399143873	0				0	0		-908.2098086	0.04734392004	24.759031058216	
908.1298086	91	9	0	0.05302855907	0.05056488242	99.02931001	0.9706899854	0	90.57242071	9.427579287	0				0	0		-908.1298086	0.05056488242	24.9163096577237	
908.0498086	91	9	0	0.05638413135	0.05376554507	99.02613286	0.9738671441	0	90.54399536	9.456004645	0				0	0		-908.0498086	0.05376554507	25.0740847417583	
907.9698086	91	9	0	0.05971849273	0.05694609949	99.02295482	0.9770451751	0	90.51558007	9.48441993	0				0	0		-907.9698086	0.05694609949	25.2323563333719	
907.8898086	91	9	0	0.0630318426	0.06010673475	99.01977592	0.9802240801	0	90.48717487	9.51282513	0				0	0		-907.8898086	0.06010673475	25.3911244354963	
907.8098086	91	9	0	0.06632437788	0.06324763758	99.01659614	0.9834038611	0	90.45877977	9.541220229	0				0	0		-907.8098086	0.06324763758	25.5503888273576	
907.7298086	91	9	0	0.06959629303	0.06636899241	99.01341548	0.9865845198	0	90.43039479	9.569605214	0				0	0		-907.7298086	0.06636899241	25.7101494577816	
