T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
933.4708328	100	0	0	0	0	100	0	0	100	0	0	0			-933.4708328	0	0.0200000000000955	
933.4508328	100	0	0	1	1	100	0	0							-933.4508328	1	0.0200000000000955	
933.4408328	100	0	0	1	1	100	0	0							-933.4408328	1	NaN	
933.4208328	100	0	0	1	1	100	0	0							-933.4208328	1	NaN	
933.3808328	100	0	0	1	1	100	0	0							-933.3808328	1	NaN	
933.3008328	100	0	0	1	1	100	0	0							-933.3008328	1	NaN	
933.2208328	100	0	0	1	1	100	0	0							-933.2208328	1	NaN	
933.1408328	100	0	0	1	1	100	0	0							-933.1408328	1	NaN	
933.0608328	100	0	0	1	1	100	0	0							-933.0608328	1	NaN	
932.9808328	100	0	0	1	1	100	0	0							-932.9808328	1	NaN	
932.9008328	100	0	0	1	1	100	0	0							-932.9008328	1	NaN	
932.8208328	100	0	0	1	1	100	0	0							-932.8208328	1	NaN	
932.7408328	100	0	0	1	1	100	0	0							-932.7408328	1	NaN	
932.6608328	100	0	0	1	1	100	0	0							-932.6608328	1	NaN	
932.5808328	100	0	0	1	1	100	0	0							-932.5808328	1	NaN	
932.5008328	100	0	0	1	1	100	0	0							-932.5008328	1	NaN	
932.4208328	100	0	0	1	1	100	0	0							-932.4208328	1	NaN	
932.3408328	100	0	0	1	1	100	0	0							-932.3408328	1	NaN	
932.2608328	100	0	0	1	1	100	0	0							-932.2608328	1	NaN	
932.1808328	100	0	0	1	1	100	0	0							-932.1808328	1	NaN	
932.1008328	100	0	0	1	1	100	0	0							-932.1008328	1	NaN	
932.0208328	100	0	0	1	1	100	0	0							-932.0208328	1	NaN	
931.9408328	100	0	0	1	1	100	0	0							-931.9408328	1	NaN	
