T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
927.5798958	99	1	0	0	99.89735283	0.1026471664	99	1			0.001682621614	-0.001682621614	-927.5798958	0	2.630086691845	
927.5698958	99	1	0.001872712318	0.001872050803	99.89717799	0.1028220127	98.99831738	1.001682624			0	0	-927.5698958	0.001872050803	8.05338406008726	
927.5498958	99	1	0.005600101621	0.003732757969	99.89682829	0.1031717113	98.99495228	1.005047717			0	0	-927.5498958	0.003732757969	10.7837452247726	
927.5098958	99	1	0.01298005294	0.007418254599	99.89612886	0.1038711352	98.98822271	1.011777294			0	0	-927.5098958	0.007418254599	10.9358839750313	
927.4298958	99	1	0.02742254234	0.01462720555	99.89472993	0.1052700748	98.97476613	1.025233871			0	0	-927.4298958	0.01462720555	-427.527755956606	
927.3498958	99	1	0.04146656295	0.01443481548	99.89333084	0.1066691643	98.96131264	1.038687363			0	0	-927.3498958	0.01443481548	-420.746624446066	
927.2698958	99	1	0.0551275952	0.01424682731	99.89193164	0.1080683644	98.94786267	1.052137332			0	0	-927.2698958	0.01424682731	-431.449466873493	
927.1898958	99	1	0.0684210289	0.01406383783	99.8905323	0.1094676968	98.93441602	1.065583979			0	0	-927.1898958	0.01406383783	-442.896323918398	
927.1098958	99	1	0.08136125648	0.01388545169	99.88913284	0.1108671617	98.9209727	1.079027303			0	0	-927.1098958	0.01388545169	-454.248132975047	
927.0298958	99	1	0.09396193389	0.01371149603	99.88773324	0.1122667594	98.9075327	1.092467302			0	0	-927.0298958	0.01371149603	-465.742204148235	
926.9498958	99	1	0.1062360282	0.01354180802	99.88633351	0.1136664902	98.89409602	1.105903975			0	0	-926.9498958	0.01354180802	-477.380126018149	
926.8698958	99	1	0.1181958601	0.01337623248	99.88493365	0.1150663542	98.88066268	1.119337321			0	0	-926.8698958	0.01337623248	-489.161573391178	
926.7898958	99	1	0.1298531436	0.01321462166	99.88353365	0.1164663517	98.86723266	1.132767339			0	0	-926.7898958	0.01321462166	-501.08657861777	
926.7098958	99	1	0.1412190223	0.01305683483	99.88213352	0.117866483	98.85380597	1.146194027			0	0	-926.7098958	0.01305683483	-513.155122835117	
926.6298958	99	1	0.1523041042	0.01290273781	99.88073325	0.1192667482	98.84038262	1.159617384			0	0	-926.6298958	0.01290273781	-525.367175148077	
926.5498958	99	1	0.1631184926	0.01275220264	99.87933285	0.1206671477	98.82696259	1.173037409			0	0	-926.5498958	0.01275220264	-537.72277606303	
926.4698958	99	1	0.1736718162	0.01260510722	99.87793232	0.1220676816	98.8135459	1.1864541			0	0	-926.4698958	0.01260510722	-550.221886660856	
926.3898958	99	1	0.1839732561	0.01246133494	99.87653165	0.1234683502	98.80013254	1.199867457			0	0	-926.3898958	0.01246133494	-562.864507238128	
926.3098958	99	1	0.1940315717	0.01232077443	99.87513085	0.1248691537	98.78672252	1.213277477			0	0	-926.3098958	0.01232077443	-575.650663060779	
926.2298958	99	1	0.2038551243	0.01218331923	99.87372991	0.1262700923	98.77331584	1.22668416			0	0	-926.2298958	0.01218331923	-588.580318144959	
926.1498958	99	1	0.2134518992	0.01204886753	99.87232883	0.1276711664	98.75991249	1.240087505			0	0	-926.1498958	0.01204886753	-601.653477119326	
926.0698958	99	1	0.2228295271	0.01191732193	99.87092762	0.1290723761	98.74651249	1.25348751			0	0	-926.0698958	0.01191732193	-614.870161045314	
925.9898958	99	1	0.2319953026	0.0117885892	99.86952628	0.1304737216	98.73311583	1.266884174			0	0	-925.9898958	0.0117885892	-628.230334314256	
925.9098958	99	1	0.2409562032	0.01166258004	99.8681248	0.1318752033	98.7197225	1.280277497			0	0	-925.9098958	0.01166258004	-641.733978808112	
925.8298958	99	1	0.2497189059	0.0115392089	99.86672318	0.1332768212	98.70633252	1.293667476			0	0	-925.8298958	0.0115392089	-655.381125002498	
925.7498958	99	1	0.2582898029	0.01141839378	99.86532142	0.1346785758	98.69294589	1.30705411			0	0	-925.7498958	0.01141839378	-669.17179821725	
925.6698958	99	1	0.266675017	0.01130005605	99.86391953	0.1360804671	98.6795626	1.320437399			0	0	-925.6698958	0.01130005605	-683.105914536045	
925.5898958	99	1	0.2748804154	0.01118412024	99.8625175	0.1374824955	98.66618266	1.333817341			0	0	-925.5898958	0.01118412024	-697.183516438539	
925.5098958	99	1	0.2829116227	0.01107051396	99.86111534	0.1388846611	98.65280606	1.347193935			0	0	-925.5098958	0.01107051396	-711.404638171786	
925.4298958	99	1	0.2907740334	0.01095916767	99.85971304	0.1402869643	98.63943282	1.360567181			0	0	-925.4298958	0.01095916767	-725.769214101609	
925.3498958	99	1	0.2984728233	0.01085001458	99.85831059	0.1416894052	98.62606292	1.373937076			0	0	-925.3498958	0.01085001458	-740.277283378895	
925.2698958	99	1	0.3060129608	0.01074299051	99.85690802	0.1430919841	98.61269638	1.38730362			0	0	-925.2698958	0.01074299051	-754.928781424296	
925.1898958	99	1	0.3133992166	0.01063803374	99.8555053	0.1444947011	98.59933319	1.400666812			0	0	-925.1898958	0.01063803374	-769.723735387639	
925.1098958	99	1	0.3206361738	0.01053508494	99.85410244	0.1458975566	98.58597335	1.41402665			0	0	-925.1098958	0.01053508494	-784.662205513213	
925.0298958	99	1	0.3277282369	0.01043408702	99.85269945	0.1473005508	98.57261687	1.427383134			0	0	-925.0298958	0.01043408702	-799.744097692478	
924.9498958	99	1	0.3346796402	0.01033498502	99.85129632	0.1487036839	98.55926374	1.440736262			0	0	-924.9498958	0.01033498502	-814.969456975714	
924.8698958	99	1	0.3414944561	0.01023772605	99.84989304	0.1501069561	98.54591397	1.454086034			0	0	-924.8698958	0.01023772605	-830.338251489456	
924.7898958	99	1	0.3481766027	0.01014225914	99.84848963	0.1515103677	98.53256755	1.467432448			0	0	-924.7898958	0.01014225914	-845.850525211858	
924.7098958	99	1	0.3547298507	0.01004853522	99.84708608	0.1529139189	98.5192245	1.480775503			0	0	-924.7098958	0.01004853522	-861.506249173039	
924.6298958	99	1	0.3611578308	0.009956506955	99.84568239	0.1543176099	98.5058848	1.494115199			0	0	-924.6298958	0.009956506955	-877.305368613957	
924.5498958	99	1	0.3674640396	0.009866128736	99.84427856	0.155721441	98.49254847	1.507451534			0	0	-924.5498958	0.009866128736	-893.247966590091	
924.4698958	99	1	0.3736518459	0.009777356567	99.84287459	0.1571254124	98.47921549	1.520784507			0	0	-924.4698958	0.009777356567	-909.333992066269	
924.3898958	99	1	0.3797244965	0.009690148001	99.84147048	0.1585295244	98.46588588	1.534114117			0	0	-924.3898958	0.009690148001	-925.56345125925	
924.3098958	99	1	0.3856851214	0.009604462077	99.84006622	0.159933777	98.45255964	1.547440364			0	0	-924.3098958	0.009604462077	-941.936337891166	
924.2298958	99	1	0.3915367395	0.009520259249	99.83866183	0.1613381707	98.43923675	1.560763245			0	0	-924.2298958	0.009520259249	-958.452648432375	
924.1498958	99	1	0.3972822628	0.009437501332	99.83725729	0.1627427056	98.42591724	1.574082761			0	0	-924.1498958	0.009437501332	-975.112392810873	
924.0698958	99	1	0.4029245015	0.00935615144	99.83585262	0.164147382	98.41260109	1.587398911			0	0	-924.0698958	0.00935615144	-991.915563135314	
923.9898958	99	1	0.4084661684	0.009276173932	99.8344478	0.1655522	98.39928831	1.600711692			0	0	-923.9898958	0.009276173932	-1008.86214345511	
923.9098958	99	1	0.4139098827	0.009197534358	99.83304284	0.16695716	98.38597889	1.614021105			0	0	-923.9098958	0.009197534358	-1025.95214133056	
