T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
859.601459	87	3	10	0	0	98.49524773	0.3024999201	1.202252351	87	3	10							0.001551331177	-0.0003640396413	-0.001187291536	0.001551331177	-0.0003640396413	-0.001187291536							-859.601459	0	36.7487972235118	
859.591459	87	3	10	0.0001377424619	0.0001351055894	98.49502794	0.3025446397	1.202427425	86.99844867	3.000364032	10.0011873							0.003102611233	-0.0007280693241	-0.002374541909	0	0	0							-859.591459	0.0001351055894	111.28356834183	
859.571459	87	3	10	0.0004127699207	0.0002698339101	98.49458829	0.3026341504	1.202777564	86.99534617	3.001092078	10.00356176							0.004653678993	-0.001092053672	-0.003561625321	0	0	0							-859.571459	0.0002698339101	148.430632349808	
859.531459	87	3	10	0.0009623833709	0.0005393791231	98.49370894	0.3028131582	1.203477906	86.98914177	3.002548041	10.00831019							0.00775536102	-0.001819927012	-0.005935434008	0	0	0							-859.531459	0.0005393791231	148.487578280359	
859.451459	87	3	10	0.002059832813	0.001077497428	98.49194992	0.3031712852	1.20487879	86.97673548	3.005459432	10.01780509							0.01395684888	-0.003275277583	-0.01068157129	0	0	0							-859.451459	0.001077497428	148.821283082042	
859.291459	87	3	10	0.004247692084	0.00215038328	98.48843065	0.3038879882	1.207681361	86.95193285	3.011280101	10.03678704							0.0263523614	-0.006184403491	-0.02016795791	0	0	0							-859.291459	0.00215038328	149.451883830545	
858.971459	87	3	10	0.008595453114	0.004282429616	98.48138708	0.3053231974	1.213289719	86.90236739	3.022912986	10.07471963							0.05111357501	-0.01199635964	-0.03911721537	0	0	0							-858.971459	0.004282429616	150.826049891077	
858.331459	87	3	10	0.01717201733	0.008485325873	98.46727981	0.3082009236	1.224519271	86.80339532	3.046145385	10.15045929							0.1005170868	-0.02359513143	-0.07692195535	0	0	0							-858.331459	0.008485325873	153.63980968253	
857.051459	87	3	10	0.03388243097	0.01667484379	98.43898381	0.3139859922	1.247030202	86.6060821	3.092476624	10.30144127							0.1988514429	-0.04669253869	-0.1521589042	0	0	0							-857.051459	0.01667484379	159.172610372198	
