T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
920.2866932	95	5	0	0	99.50297334	0.4970266633	95	5			0.003722616759	-0.003722616759	-920.2866932	0	6.00583318094965	
920.2766932	95	5	0.0008482715465	0.0008262284465	99.50259048	0.4974095228	94.99627736	5.003722636			0	0	-920.2766932	0.0008262284465	18.2005471303361	
920.2566932	95	5	0.002540984738	0.001649967515	99.50182459	0.4981754106	94.98883246	5.011167536			0	0	-920.2566932	0.001649967515	24.3139404869788	
920.2166932	95	5	0.005911133923	0.003290490755	99.50029278	0.4997072163	94.97394409	5.026055911			0	0	-920.2166932	0.003290490755	24.4525656587785	
920.1366932	95	5	0.01259105774	0.006543637362	99.49722868	0.5027713175	94.94417246	5.055827542			0	0	-920.1366932	0.006543637362	-1815.11208649577	
920.0566932	95	5	0.01918120084	0.006498940513	99.49416396	0.5058360449	94.9144089	5.085591096			0	0	-920.0566932	0.006498940513	-1919.03617464395	
919.9766932	95	5	0.02568875309	0.00645958583	99.4910986	0.5089014023	94.88465318	5.115346825			0	0	-919.9766932	0.00645958583	-2045.49922912937	
919.8966932	95	5	0.03211524813	0.006420714038	99.4880326	0.5119674012	94.85490519	5.14509481			0	0	-919.8966932	0.006420714038	-2070.25880374109	
919.8166932	95	5	0.03846216197	0.006382295491	99.48496596	0.515034043	94.82516496	5.174835036			0	0	-919.8166932	0.006382295491	-2094.6053637032	
919.7366932	95	5	0.0447309352	0.006344322145	99.48189867	0.5181013291	94.79543251	5.204567486			0	0	-919.7366932	0.006344322145	-2119.08979329244	
919.6566932	95	5	0.05092297418	0.006306786306	99.47883074	0.5211692607	94.76570786	5.234292144			0	0	-919.6566932	0.006306786306	-2143.71537662753	
919.5766932	95	5	0.05703965201	0.006269680418	99.47576216	0.5242378392	94.73599101	5.264008993			0	0	-919.5766932	0.006269680418	-2168.48086873982	
919.4966932	95	5	0.06308230951	0.006232997094	99.47269293	0.5273070658	94.70628198	5.293718018			0	0	-919.4966932	0.006232997094	-2193.38624416127	
919.4166932	95	5	0.06905225612	0.00619672912	99.46962306	0.530376942	94.6765808	5.323419201			0	0	-919.4166932	0.00619672912	-2218.43139438751	
919.3366932	95	5	0.07495077088	0.006160869439	99.46655253	0.5334474689	94.64688747	5.353112527			0	0	-919.3366932	0.006160869439	-2240.28883599586	
919.2566932	95	5	0.08077900436	0.006125307279	99.46348135	0.5365186481	94.61720252	5.382797482			0	0	-919.2566932	0.006125307279	-2269.22441559349	
