T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
914.864625	93	7	0	0	99.29383037	0.7061696265	93	7			0.00365296554	-0.00365296554	0.00365296554	-0.00365296554			-914.864625	0	8.56408782524885	
914.854625	93	7	0.000602151627	0.0005802526084	99.29344174	0.7065582606	92.99634701	7.003652986			0.007305753424	-0.007305753424	0	0			-914.854625	0.0005802526084	25.9036589982083	
914.834625	93	7	0.001804368426	0.001159086232	99.29266426	0.7073357384	92.98904153	7.010958469			0.01095793148	-0.01095793148	0	0			-914.834625	0.001159086232	34.5853965218383	
914.794625	93	7	0.004201096153	0.002313436959	99.29110929	0.7088907089	92.97443212	7.025567877			0.01826113023	-0.01826113023	0	0			-914.794625	0.002313436959	34.7234270158705	
914.714625	93	7	0.008963811179	0.004607911719	99.28799879	0.7120012077	92.94522035	7.054779652			0.03286248981	-0.03286248981	0	0			-914.714625	0.004607911719	35.0101459780656	
914.554625	93	7	0.01836840181	0.009141232261	99.28177556	0.7182244419	92.88682246	7.113177538			0.06204581406	-0.06204581406	0	0			-914.554625	0.009141232261	35.6395266088228	
914.234625	93	7	0.03666750892	0.01795403481	99.26932045	0.7306795515	92.77013478	7.22986522			0.1203319385	-0.1203319385	0	0			-914.234625	0.01795403481	36.9441098145245	
913.594625	93	7	0.07142452235	0.03473006988	99.24437428	0.7556257169	92.53718596	7.462814041			0.2365839913	-0.2365839913	0	0			-913.594625	0.03473006988	39.5346998655957	
912.314625	93	7	0.1343630974	0.06517149447	99.19433584	0.8056641585	92.07302801	7.926971987			0.4677733787	-0.4677733787	0	0			-912.314625	0.06517149447	45.1694965423619	
909.754625	93	7	0.2390138901	0.1159852583	99.09365283	0.906347167	91.15190141	8.84809859			0.9247050996	-0.9247050996	0	0			-909.754625	0.1159852583	-296.751104778109	
907.194625	93	7	0.3220095738	0.1041145669	98.99211487	1.007885132	90.24076674	9.759233261			0.9146740605	-0.9146740605	0	0			-907.194625	0.1041145669	-240.634487246295	
904.634625	93	7	0.3893262278	0.09431562101	98.88966324	1.110336764	89.34009863	10.65990137			0.9041657186	-0.9041657186	0	0			-904.634625	0.09431562101	-288.285471154935	
902.074625	93	7	0.4449394219	0.08608396632	98.78623535	1.213764652	88.45034765	11.54965235			0.8932051201	-0.8932051201	0	0			-902.074625	0.08608396632	-340.042558100901	
899.514625	93	7	0.4915937118	0.0790665335	98.68176424	1.318235761	87.57193406	12.42806594			0.8818226959	-0.8818226959	0	0			-899.514625	0.0790665335	-395.850064889774	
896.954625	93	7	0.5312434468	0.07300945316	98.57617842	1.42382158	86.70524522	13.29475478			0.8700514659	-0.8700514659	0	0			-896.954625	0.07300945316	-455.678447248916	
894.394625	93	7	0.5653172177	0.06772559253	98.46940161	1.530598394	85.8506327	14.1493673			0.8579273875	-0.8579273875	0	0			-894.394625	0.06772559253	-519.517709941931	
