T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
875.5742727	87	7	6	0	0	98.57346254	0.739127441	0.6874100185	87	7	6							0.001990883749	-0.001077004789	-0.0009138789608	-875.5742727	0	28.8677730969351	
875.5642727	87	7	6	0.0001790295027	0.000172161158	98.5731965	0.7392685449	0.6875349562	86.99800911	7.001077003	6.000913887							0	0	0	-875.5642727	0.000172161158	87.3024492258561	
875.5442727	87	7	6	0.0005365663282	0.0003439091716	98.57266424	0.7395509144	0.6877848414	86.99402763	7.00323086	6.00274151							0	0	0	-875.5442727	0.0003439091716	116.464497909956	
875.5042727	87	7	6	0.0012508894	0.0006872740923	98.57159969	0.7401156663	0.6882846471	86.98606577	7.007537985	6.006396249							0	0	0	-875.5042727	0.0006872740923	116.572193018943	
875.4242727	87	7	6	0.002676559477	0.001372628119	98.56947002	0.741245582	0.6892844029	86.97014649	7.016149852	6.013703654							0	0	0	-875.4242727	0.001372628119	-34331.792320398	
875.3442727	87	7	6	0.004097704836	0.001370289913	98.5673396	0.7423760465	0.6902843505	86.95423317	7.024758536	6.021008289							0	0	0	-875.3442727	0.001370289913	-35908.8413813676	
875.2642727	87	7	6	0.005514680995	0.001368154115	98.56520845	0.7435070599	0.6912844908	86.93832581	7.033364028	6.028310161							0	0	0	-875.2642727	0.001368154115	-37513.4353973842	
875.1842727	87	7	6	0.006927506385	0.001366024755	98.56307655	0.7446386237	0.6922848243	86.9224244	7.041966332	6.035609273							0	0	0	-875.1842727	0.001366024755	-37622.9786515504	
875.1042727	87	7	6	0.008336198922	0.001363901378	98.56094391	0.7457707388	0.6932853512	86.90652893	7.050565449	6.042905626							0	0	0	-875.1042727	0.001363901378	-37728.9328475811	
875.0242727	87	7	6	0.009740776419	0.001361783961	98.55881052	0.7469034065	0.6942860719	86.8906394	7.059161379	6.05019922							0	0	0	-875.0242727	0.001361783961	-37835.0469562484	
874.9442727	87	7	6	0.01114125659	0.001359672478	98.55667639	0.7480366277	0.6952869864	86.87475582	7.067754124	6.057490058							0	0	0	-874.9442727	0.001359672478	-37941.3279812378	
874.8642727	87	7	6	0.01253765704	0.001357566907	98.5545415	0.7491704035	0.6962880952	86.85887818	7.076343683	6.064778141							0	0	0	-874.8642727	0.001357566907	-38047.7823878093	
874.7842727	87	7	6	0.0139299953	0.001355467223	98.55240587	0.7503047351	0.6972893983	86.84300647	7.084930059	6.072063469							0	0	0	-874.7842727	0.001355467223	-38154.3992152112	
874.7042727	87	7	6	0.01531828877	0.001353373403	98.55026948	0.7514396233	0.6982908961	86.8271407	7.093513251	6.079346044							0	0	0	-874.7042727	0.001353373403	-38261.1943586996	
874.6242727	87	7	6	0.01670255477	0.001351285424	98.54813234	0.7525750694	0.6992925888	86.81128087	7.102093261	6.086625867							0	0	0	-874.6242727	0.001351285424	-38368.1565335726	
874.5442727	87	7	6	0.01808281053	0.001349203262	98.54599445	0.7537110744	0.7002944766	86.79542697	7.11067009	6.09390294							0	0	0	-874.5442727	0.001349203262	-38475.2836207062	
874.4642727	87	7	6	0.01945907316	0.001347126894	98.5438558	0.7548476394	0.7012965597	86.779579	7.119243738	6.101177262							0	0	0	-874.4642727	0.001347126894	-38582.5826153054	
874.3842727	87	7	6	0.0208313597	0.001345056297	98.5417164	0.7559847654	0.7022988384	86.76373696	7.127814205	6.108448837							0	0	0	-874.3842727	0.001345056297	-38690.0607868389	
874.3042727	87	7	6	0.02219968708	0.001342991449	98.53957623	0.7571224535	0.7033013129	86.74790084	7.136381494	6.115717664							0	0	0	-874.3042727	0.001342991449	-38797.706553999	
874.2242727	87	7	6	0.02356407214	0.001340932326	98.53743531	0.7582607047	0.7043039835	86.73207065	7.144945605	6.122983745							0	0	0	-874.2242727	0.001340932326	-38905.517916881	
874.1442727	87	7	6	0.02492453163	0.001338878906	98.53529363	0.7593995202	0.7053068503	86.71624638	7.153506539	6.130247081							0	0	0	-874.1442727	0.001338878906	-39013.5019872955	
874.0642727	87	7	6	0.02628108219	0.001336831166	98.53315119	0.7605389011	0.7063099137	86.70042803	7.162064296	6.137507674							0	0	0	-874.0642727	0.001336831166	-39121.6567484057	
873.9842727	87	7	6	0.02763374039	0.001334789084	98.53100798	0.7616788483	0.7073131739	86.6846156	7.170618878	6.144765524							0	0	0	-873.9842727	0.001334789084	-39229.979937791	
873.9042727	87	7	6	0.02898252269	0.001332752637	98.52886401	0.762819363	0.708316631	86.66880908	7.179170285	6.152020633							0	0	0	-873.9042727	0.001332752637	-39338.4791948574	
873.8242727	87	7	6	0.03032744548	0.001330721804	98.52671927	0.7639604463	0.7093202854	86.65300848	7.187718519	6.159273002							0	0	0	-873.8242727	0.001330721804	-39447.1522395233	
873.7442727	87	7	6	0.03166852504	0.001328696562	98.52457376	0.7651020991	0.7103241372	86.63721379	7.196263579	6.166522632							0	0	0	-873.7442727	0.001328696562	-39555.9873514723	
873.6642727	87	7	6	0.03300577756	0.001326676889	98.52242749	0.7662443227	0.7113281868	86.62142501	7.204805468	6.173769525							0	0	0	-873.6642727	0.001326676889	-39665.0019000582	
873.5842727	87	7	6	0.03433921915	0.001324662764	98.52028045	0.767387118	0.7123324343	86.60564213	7.213344186	6.181013682							0	0	0	-873.5842727	0.001324662764	-39774.1838269641	
873.5042727	87	7	6	0.03566886584	0.001322654164	98.51813263	0.7685304862	0.71333688	86.58986516	7.221879734	6.188255103							0	0	0	-873.5042727	0.001322654164	-39883.5411398492	
873.4242727	87	7	6	0.03699473355	0.001320651069	98.51598405	0.7696744283	0.7143415241	86.5740941	7.230412113	6.195493791							0	0	0	-873.4242727	0.001320651069	-39993.0714350728	
873.3442727	87	7	6	0.03831683812	0.001318653456	98.51383469	0.7708189454	0.7153463669	86.55832893	7.238941323	6.202729746							0	0	0	-873.3442727	0.001318653456	-40102.7729297986	
873.2642727	87	7	6	0.03963519531	0.001316661305	98.51168455	0.7719640385	0.7163514085	86.54256966	7.247467367	6.20996297							0	0	0	-873.2642727	0.001316661305	-40212.6431491694	
873.1842727	87	7	6	0.04094982079	0.001314674593	98.50953364	0.7731097088	0.7173566493	86.52681629	7.255990244	6.217193464							0	0	0	-873.1842727	0.001314674593	-40322.6802440407	
873.1042727	87	7	6	0.04226073014	0.0013126933	98.50738195	0.7742559574	0.7183620895	86.51106882	7.264509955	6.224421229							0	0	0	-873.1042727	0.0013126933	-40432.902214163	
873.0242727	87	7	6	0.04356793887	0.001310717405	98.50522949	0.7754027852	0.7193677292	86.49532723	7.273026502	6.231646267							0	0	0	-873.0242727	0.001310717405	-40543.2969265473	
872.9442727	87	7	6	0.04487146239	0.001308746887	98.50307624	0.7765501935	0.7203735688	86.47959154	7.281539886	6.238868578							0	0	0	-872.9442727	0.001308746887	-40653.8518798397	
872.8642727	87	7	6	0.04617131602	0.001306781724	98.50092221	0.7776981832	0.7213796085	86.46386173	7.290050107	6.246088165							0	0	0	-872.8642727	0.001306781724	-40764.5857525114	
872.7842727	87	7	6	0.04746751501	0.001304821897	98.4987674	0.7788467555	0.7223858485	86.44813781	7.298557166	6.253305027							0	0	0	-872.7842727	0.001304821897	-40875.4961914319	
872.7042727	87	7	6	0.04876007454	0.001302867384	98.4966118	0.7799959114	0.7233922891	86.43241977	7.307061065	6.260519167							0	0	0	-872.7042727	0.001302867384	-40986.5814881083	
872.6242727	87	7	6	0.05004900967	0.001300918166	98.49445542	0.781145652	0.7243989304	86.41670761	7.315561805	6.267730586							0	0	0	-872.6242727	0.001300918166	-41097.8392199928	
872.5442727	87	7	6	0.05133433541	0.001298974221	98.49229825	0.7822959785	0.7254057728	86.40100133	7.324059385	6.274939285							0	0	0	-872.5442727	0.001298974221	-41209.256943042	
872.4642727	87	7	6	0.05261606667	0.001297035529	98.49014029	0.7834468918	0.7264128165	86.38530093	7.332553808	6.282145266							0	0	0	-872.4642727	0.001297035529	-41320.8642934996	
872.3842727	87	7	6	0.0538942183	0.001295102071	98.48798155	0.784598393	0.7274200617	86.3696064	7.341045075	6.289348529							0	0	0	-872.3842727	0.001295102071	-41432.6377449529	
872.3042727	87	7	6	0.05516880506	0.001293173825	98.48582201	0.7857504834	0.7284275086	86.35391774	7.349533185	6.296549077							0	0	0	-872.3042727	0.001293173825	-41544.5862728161	
872.2242727	87	7	6	0.05643984161	0.001291250773	98.48366168	0.7869031638	0.7294351575	86.33823495	7.358018141	6.303746909							0	0	0	-872.2242727	0.001291250773	-41656.7182402264	
872.1442727	87	7	6	0.05770734257	0.001289332894	98.48150056	0.7880564355	0.7304430087	86.32255803	7.366499943	6.310942028							0	0	0	-872.1442727	0.001289332894	-41769.0101373204	
