T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
905.9088757	91	8	1	0	0	99.07809944	0.8171718633	0.1047287004	91	8	1							0.00309040676	-0.002747906502	-0.0003425002573	-905.9088757	0	12.9849211706316	
905.8988757	91	8	1	0.0003993695206	0.0003826373044	99.07775433	0.8174781833	0.1047674823	90.99690923	8.002748234	1.000342541							0	0	0	-905.8988757	0.0003826373044	39.2838978127738	
905.8788757	91	8	1	0.001196848688	0.0007643139732	99.07706407	0.8180908717	0.1048450568	90.99072926	8.008243297	1.001027447							0	0	0	-905.8788757	0.0007643139732	52.4262566344436	
905.8388757	91	8	1	0.002788404516	0.001526538922	99.07568319	0.8193165896	0.1050002246	90.97837051	8.019232369	1.002397125							0	0	0	-905.8388757	0.001526538922	52.5541898423211	
905.7588757	91	8	1	0.005957593143	0.00304439219	99.07292108	0.8217683004	0.1053106165	90.9536607	8.041203686	1.005135616							0	0	0	-905.7588757	0.00304439219	-7667.47764578482	
905.6788757	91	8	1	0.009105886175	0.00303388528	99.07015827	0.8242206384	0.1056210914	90.92896125	8.063165811	1.007872943							0	0	0	-905.6788757	0.00303388528	-8078.12494195076	
905.5988757	91	8	1	0.01223483928	0.003024467009	99.06739474	0.8266736053	0.10593165	90.90427216	8.085118735	1.010609109							0	0	0	-905.5988757	0.003024467009	-8519.98391649008	
905.5188757	91	8	1	0.0153446289	0.003015105558	99.0646305	0.8291272063	0.1062422931	90.87959341	8.107062475	1.013344115							0	0	0	-905.5188757	0.003015105558	-8569.85341054551	
905.4388757	91	8	1	0.01843542563	0.003005796616	99.06186554	0.8315814432	0.106553021	90.85492502	8.128997018	1.016077961							0	0	0	-905.4388757	0.003005796616	-8618.11481330246	
905.3588757	91	8	1	0.02150739802	0.002996539721	99.05909985	0.8340363175	0.1068638341	90.830267	8.150922354	1.018810644							0	0	0	-905.3588757	0.002996539721	-8666.5033317453	
905.2788757	91	8	1	0.02456071267	0.002987334441	99.05633344	0.8364918312	0.1071747328	90.80561936	8.172838471	1.021542164							0	0	0	-905.2788757	0.002987334441	-8715.02765387241	
905.1988757	91	8	1	0.02759553426	0.002978180343	99.0535663	0.8389479858	0.1074857173	90.78098212	8.194745359	1.024272519							0	0	0	-905.1988757	0.002978180343	-8763.68561400439	
905.1188757	91	8	1	0.03061202553	0.002969077	99.05079843	0.8414047831	0.1077967882	90.75635529	8.216643005	1.027001708							0	0	0	-905.1188757	0.002969077	-8812.47641050023	
905.0388757	91	8	1	0.03361034736	0.002960023987	99.04802983	0.8438622249	0.1081079457	90.73173887	8.238531399	1.029729729							0	0	0	-905.0388757	0.002960023987	-8861.39981180534	
904.9588757	91	8	1	0.03659065878	0.002951020886	99.0452605	0.8463203129	0.1084191902	90.70713289	8.260410531	1.032456582							0	0	0	-904.9588757	0.002951020886	-8910.45659080325	
