T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI	SI				
933.4708328	100	0	0	100	100	0	0	-933.4708328	0	0.0200000000000955	
933.4508328	100	1	1	100		0		-933.4508328	1	0.0200000000000955	
933.4308328	100	1	1	100		0		-933.4308328	1	NaN	
933.3908328	100	1	1	100		0		-933.3908328	1	NaN	
933.3108328	100	1	1	100		0		-933.3108328	1	NaN	
933.1508328	100	1	1	100		0		-933.1508328	1	NaN	
932.8308328	100	1	1	100		0		-932.8308328	1	NaN	
932.1908328	100	1	1	100		0		-932.1908328	1	NaN	
930.9108328	100	1	1	100		0		-930.9108328	1	NaN	
928.3508328	100	1	1	100		0		-928.3508328	1	NaN	
923.2308328	100	1	1	100		0		-923.2308328	1	NaN	
918.1108328	100	1	1	100		0		-918.1108328	1	NaN	
912.9908328	100	1	1	100		0		-912.9908328	1	NaN	
907.8708328	100	1	1	100		0		-907.8708328	1	NaN	
902.7508328	100	1	1	100		0		-902.7508328	1	NaN	
897.6308328	100	1	1	100		0		-897.6308328	1	NaN	
892.5108328	100	1	1	100		0		-892.5108328	1	NaN	
887.3908328	100	1	1	100		0		-887.3908328	1	NaN	
882.2708328	100	1	1	100		0		-882.2708328	1	NaN	
877.1508328	100	1	1	100		0		-877.1508328	1	NaN	
872.0308328	100	1	1	100		0		-872.0308328	1	NaN	
866.9108328	100	1	1	100		0		-866.9108328	1	NaN	
861.7908328	100	1	1	100		0		-861.7908328	1	NaN	
856.6708328	100	1	1	100		0		-856.6708328	1	NaN	
851.5508328	100	1	1	100		0		-851.5508328	1	NaN	
846.4308328	100	1	1	100		0		-846.4308328	1	NaN	
841.3108328	100	1	1	100		0		-841.3108328	1	NaN	
836.1908328	100	1	1	100		0		-836.1908328	1	NaN	
831.0708328	100	1	1	100		0		-831.0708328	1	NaN	
825.9508328	100	1	1	100		0		-825.9508328	1	NaN	
820.8308328	100	1	1	100		0		-820.8308328	1	NaN	
815.7108328	100	1	1	100		0		-815.7108328	1	NaN	
810.5908328	100	1	1	100		0		-810.5908328	1	NaN	
