T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
899.0747566	94	1	5	0	0	99.19342213	0.2424085558	0.5641693103	94	1	5							0.001699859024	-0.0002479645794	-0.001451894444	-899.0747566	0	30.542892174871	
899.0547566	94	1	5	0.0006549732486	0.0006543778034	99.19300688	0.242485455	0.5645076693	93.99660029	1.000495938	5.002903772							0	0	0	-899.0547566	0.0006543778034	30.5838755610342	
899.0347566	94	1	5	0.001309069923	0.001307879892	99.19259166	0.2425623044	0.564846035	93.99320073	1.000991822	5.005807451							0	0	0	-899.0347566	0.001307879892	30.6189038598429	
898.9947566	94	1	5	0.002615399875	0.00261302256	99.19176133	0.2427158792	0.56552279	93.9864019	1.001983532	5.011614569							0	0	0	-898.9947566	0.00261302256	30.6801716388657	
898.9147566	94	1	5	0.005219871851	0.005215128179	99.1901011	0.2430225101	0.5668763923	93.97280557	1.003966622	5.023227809							0	0	0	-898.9147566	0.005215128179	30.8296802800455	
898.8347566	94	1	5	0.00781000172	0.007802905736	99.18844149	0.2433283495	0.5682301607	93.95921117	1.005948867	5.034839967							0	0	0	-898.8347566	0.007802905736	30.9875233774634	
898.7547566	94	1	5	0.01038798985	0.0103785536	99.18678247	0.2436334603	0.5695840678	93.94561861	1.007930515	5.046450879							0	0	0	-898.7547566	0.0103785536	31.1333071353996	
898.6747566	94	1	5	0.01295391739	0.01294215285	99.18512404	0.2439378447	0.570938114	93.93202788	1.009911573	5.058060546							0	0	0	-898.6747566	0.01294215285	31.279460685103	
898.5947566	94	1	5	0.01550786822	0.01549378728	99.1834662	0.2442415048	0.5722922992	93.91843899	1.011892044	5.069668964							0	0	0	-898.5947566	0.01549378728	31.4259632792652	
898.5147566	94	1	5	0.01804992541	0.01803353991	99.18180893	0.2445444427	0.573646623	93.90485194	1.013871934	5.081276128							0	0	0	-898.5147566	0.01803353991	31.5728149347046	
898.4347566	94	1	5	0.02058017132	0.020561493	99.18015225	0.2448466603	0.5750010852	93.89126672	1.015851248	5.092882033							0	0	0	-898.4347566	0.020561493	31.7200156911499	
898.3547566	94	1	5	0.02309868753	0.02307772805	99.17849615	0.2451481597	0.5763556855	93.87768333	1.01782999	5.104486676							0	0	0	-898.3547566	0.02307772805	31.8675655705914	
898.2747566	94	1	5	0.02560555486	0.02558232582	99.17684063	0.245448943	0.5777104237	93.86410178	1.019808165	5.116090051							0	0	0	-898.2747566	0.02558232582	32.0154643835769	
898.1947566	94	1	5	0.02810085342	0.02807536636	99.17518569	0.2457490121	0.5790652996	93.85052207	1.021785777	5.127692153							0	0	0	-898.1947566	0.02807536636	32.1637123061762	
898.1147566	94	1	5	0.03058466258	0.03055692894	99.17353132	0.2460483691	0.5804203128	93.83694419	1.023762832	5.13929298							0	0	0	-898.1147566	0.03055692894	32.3123093567089	
898.0347566	94	1	5	0.033057061	0.03302709216	99.17187752	0.246347016	0.5817754632	93.82336814	1.025739335	5.150892525							0	0	0	-898.0347566	0.03302709216	32.4612553424615	
897.9547566	94	1	5	0.03551812662	0.03548593389	99.17022429	0.2466449547	0.5831307504	93.80979393	1.027715289	5.162490786							0	0	0	-897.9547566	0.03548593389	32.6105503640532	
897.8747566	94	1	5	0.03796793668	0.0379335313	99.16857164	0.2469421873	0.5844861743	93.79622154	1.0296907	5.174087756							0	0	0	-897.8747566	0.0379335313	32.7601945003484	
897.7947566	94	1	5	0.04040656773	0.04036996085	99.16691955	0.2472387157	0.5858417345	93.78265099	1.031665572	5.185683433							0	0	0	-897.7947566	0.04036996085	32.9101875962316	
