T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
917.9323063	97	2	1	0	0	99.29239585	0.6076082131	0.09999593216	97	2	1				0.001963287795	-0.001192418238	-0.0007708695571	-917.9323063	0	11.6791720603588	
917.9123063	97	2	1	0.001708622071	0.001710635541	99.29159159	0.6082709365	0.1001374771	96.99607336	2.002384736	1.0015419				0	0	0	-917.9123063	0.001710635541	11.7039502012118	
917.8923063	97	2	1	0.003413636796	0.003417657181	99.29078756	0.6089333961	0.1002790397	96.99214655	2.004769127	1.003084322				0	0	0	-917.8923063	0.003417657181	11.7305951328974	
917.8523063	97	2	1	0.006811278232	0.006819290962	99.2891803	0.6102574545	0.1005622467	96.98429233	2.009536669	1.006170998				0	0	0	-917.8523063	0.006819290962	11.7971692155803	
917.7723063	97	2	1	0.01354156281	0.01355745661	99.28596954	0.6129012241	0.1011292344	96.968582	2.019064058	1.012353945				0	0	0	-917.7723063	0.01355745661	11.9323314123003	
917.6923063	97	2	1	0.02020524118	0.02022890193	99.28276305	0.6155402581	0.1016966874	96.95286868	2.028584397	1.018546928				0	0	0	-917.6923063	0.02022890193	12.0554045353568	
917.6123063	97	2	1	0.0267989423	0.0268302526	99.27956101	0.618174312	0.1022646748	96.93715247	2.038096948	1.024750584				0	0	0	-917.6123063	0.0268302526	12.1831081089383	
917.5323063	97	2	1	0.03332372107	0.03336256543	99.27636342	0.6208033873	0.1028331962	96.92143338	2.047601716	1.030964908				0	0	0	-917.5323063	0.03336256543	12.3115637467086	
917.4523063	97	2	1	0.03978061145	0.03982687627	99.27317026	0.6234274852	0.1034022512	96.90571139	2.057098709	1.037189897				0	0	0	-917.4523063	0.03982687627	12.4407729981703	
917.3723063	97	2	1	0.04617062687	0.04622420036	99.26998155	0.6260466073	0.1039718395	96.88998652	2.066587932	1.043425548				0	0	0	-917.3723063	0.04622420036	12.5707375302255	
917.2923063	97	2	1	0.05249476073	0.05255553289	99.26679728	0.628660755	0.1045419608	96.87425875	2.076069393	1.049671856				0	0	0	-917.2923063	0.05255553289	12.701458962703	
917.2123063	97	2	1	0.0587539869	0.0588218495	99.26361746	0.6312699299	0.1051126145	96.85852809	2.085543097	1.055928818				0	0	0	-917.2123063	0.0588218495	12.8329389556649	
917.1323063	97	2	1	0.0649492602	0.06502410672	99.26044207	0.6338741334	0.1056838002	96.84279452	2.095009051	1.062196429				0	0	0	-917.1323063	0.06502410672	12.9651791695106	
917.0523063	97	2	1	0.07108151685	0.07116324248	99.25727111	0.6364733674	0.1062555177	96.82705805	2.104467263	1.068474685				0	0	0	-917.0523063	0.07116324248	13.0981812815382	
916.9723063	97	2	1	0.07715167494	0.07724017651	99.2541046	0.6390676334	0.1068277663	96.81131868	2.113917739	1.074763581				0	0	0	-916.9723063	0.07724017651	13.2319469863113	
916.8923063	97	2	1	0.08316063486	0.08325581082	99.25094252	0.6416569333	0.1074005457	96.7955764	2.123360486	1.081063114				0	0	0	-916.8923063	0.08325581082	13.3664779258983	
916.8123063	97	2	1	0.08910927972	0.08921103014	99.24778488	0.6442412687	0.1079738555	96.77983121	2.132795512	1.087373278				0	0	0	-916.8123063	0.08921103014	13.5017758279225	
916.7323063	97	2	1	0.09499847576	0.09510670225	99.24463166	0.6468206416	0.1085476951	96.76408311	2.142222824	1.093694069				0	0	0	-916.7323063	0.09510670225	13.6378423856042	
916.6523063	97	2	1	0.1008290728	0.1009436785	99.24148288	0.6493950539	0.1091220642	96.74833209	2.151642429	1.100025482				0	0	0	-916.6523063	0.1009436785	13.7746792832489	
916.5723063	97	2	1	0.1066019045	0.1067227941	99.23833853	0.6519645074	0.1096969622	96.73257815	2.161054335	1.106367511				0	0	0	-916.5723063	0.1067227941	13.9122883290988	
916.4923063	97	2	1	0.1123177889	0.1124448685	99.23519861	0.6545290041	0.1102723886	96.7168213	2.17045855	1.112720152				0	0	0	-916.4923063	0.1124448685	14.0506711677781	
916.4123063	97	2	1	0.1179775288	0.1181107059	99.23206311	0.6570885462	0.1108483429	96.70106152	2.179855081	1.119083398				0	0	0	-916.4123063	0.1181107059	14.1898294096829	
916.3323063	97	2	1	0.1235819118	0.1237210955	99.22893204	0.6596431357	0.1114248247	96.68529882	2.189243936	1.125457246				0	0	0	-916.3323063	0.1237210955	14.3297651245342	
916.2523063	97	2	1	0.129131711	0.1292768116	99.22580539	0.6621927748	0.1120018334	96.66953319	2.198625124	1.131841688				0	0	0	-916.2523063	0.1292768116	14.4704798522245	
916.1723063	97	2	1	0.1346276853	0.1347786146	99.22268317	0.6647374656	0.1125793686	96.65376463	2.207998653	1.138236719				0	0	0	-916.1723063	0.1347786146	14.6119751143445	
916.0923063	97	2	1	0.1400705795	0.1402272507	99.21956536	0.6672772103	0.1131574295	96.63799313	2.217364531	1.144642334				0	0	0	-916.0923063	0.1402272507	14.7542531506969	
