T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
912.3977036	96	2	2	0	0	99.22347525	0.5735388026	0.2029859515	96	2	2							0.001933809103	-0.000855712611	-0.001078096492	-912.3977036	0	16.6702654953703	
912.3777036	96	2	2	0.001197697996	0.001198732703	99.22285828	0.5739515219	0.2031901937	95.99613233	2.001711386	2.002156287							0	0	0	-912.3777036	0.001198732703	16.6983077485714	
912.3577036	96	2	2	0.002393388906	0.00239545569	99.22224151	0.5743640427	0.2033944438	95.99226454	2.003422556	2.004312901							0	0	0	-912.3577036	0.00239545569	16.7271018723374	
912.3177036	96	2	2	0.004778449628	0.004782572427	99.22100853	0.5751884847	0.2038029805	95.98452852	2.006844244	2.008627236							0	0	0	-912.3177036	0.004782572427	16.7966810994719	
912.2377036	96	2	2	0.009514769191	0.009522964257	99.21854525	0.576834377	0.204620374	95.96905515	2.013683085	2.01726176							0	0	0	-912.2377036	0.009522964257	16.9391113317722	
912.1577036	96	2	2	0.01421620337	0.01422842662	99.21608507	0.5784769385	0.2054379901	95.95357961	2.020518002	2.025902385							0	0	0	-912.1577036	0.01422842662	17.0687693570037	
912.0777036	96	2	2	0.01888089216	0.01889709814	99.2136281	0.5801160245	0.2062558747	95.938102	2.02734852	2.034549484							0	0	0	-912.0777036	0.01889709814	17.2030397369153	
911.9977036	96	2	2	0.02350924922	0.02352939304	99.21117433	0.5817516416	0.2070740267	95.9226223	2.034174658	2.043203041							0	0	0	-911.9977036	0.02352939304	17.3378943229357	
911.9177036	96	2	2	0.02810168211	0.02812571945	99.20872376	0.5833837964	0.2078924451	95.90714053	2.040996429	2.051863039							0	0	0	-911.9177036	0.02812571945	17.4733337827044	
911.8377036	96	2	2	0.03265859237	0.03268647946	99.20627638	0.5850124953	0.2087111286	95.89165669	2.047813851	2.060529461							0	0	0	-911.8377036	0.03268647946	17.6093588963219	
911.7577036	96	2	2	0.0371803756	0.03721206923	99.20383218	0.586637745	0.2095300762	95.87617077	2.05462694	2.06920229							0	0	0	-911.7577036	0.03721206923	17.7459704651272	
911.6777036	96	2	2	0.0416674216	0.04170287909	99.20139116	0.5882595519	0.2103492868	95.86068278	2.061435712	2.077881509							0	0	0	-911.6777036	0.04170287909	17.8831692623058	
911.5977036	96	2	2	0.04612011447	0.04615929367	99.19895332	0.5898779226	0.2111687592	95.84519272	2.068240182	2.086567101							0	0	0	-911.5977036	0.04615929367	18.0209560023915	
911.5177036	96	2	2	0.05053883272	0.05058169201	99.19651864	0.5914928637	0.2119884923	95.82970058	2.075040367	2.095259049							0	0	0	-911.5177036	0.05058169201	18.1593314932232	
911.4377036	96	2	2	0.05492394934	0.05497044761	99.19408713	0.5931043817	0.212808485	95.81420638	2.081836282	2.103957336							0	0	0	-911.4377036	0.05497044761	18.2982965025229	
911.3577036	96	2	2	0.05927583196	0.0593259286	99.19165878	0.5947124833	0.2136287362	95.79871011	2.088627945	2.112661946							0	0	0	-911.3577036	0.0593259286	18.4378517964467	
911.2777036	96	2	2	0.06359484286	0.06364849777	99.18923358	0.5963171749	0.2144492448	95.78321177	2.095415371	2.12137286							0	0	0	-911.2777036	0.06364849777	18.5779981428126	
911.1977036	96	2	2	0.06788133915	0.06793851273	99.18681153	0.5979184631	0.2152700095	95.76771136	2.102198576	2.130090063							0	0	0	-911.1977036	0.06793851273	18.7187363107626	
911.1177036	96	2	2	0.07213567282	0.07219632594	99.18439262	0.5995163546	0.2160910294	95.75220889	2.108977577	2.138813537							0	0	0	-911.1177036	0.07219632594	18.8600670757689	
911.0377036	96	2	2	0.07635819084	0.07642228486	99.18197684	0.6011108558	0.2169123032	95.73670435	2.115752389	2.147543265							0	0	0	-911.0377036	0.07642228486	19.001991219224	
910.9577036	96	2	2	0.08054923524	0.08061673198	99.1795642	0.6027019735	0.2177338298	95.72119774	2.122523028	2.15627923							0	0	0	-910.9577036	0.08061673198	19.1445095117563	
910.8777036	96	2	2	0.08470914321	0.08478000497	99.17715468	0.604289714	0.2185556081	95.70568907	2.129289512	2.165021416							0	0	0	-910.8777036	0.08478000497	19.2876227121266	
910.7977036	96	2	2	0.08883824718	0.08891243671	99.17474828	0.6058740842	0.219377637	95.69017834	2.136051855	2.173769804							0	0	0	-910.7977036	0.08891243671	19.4313316209151	
910.7177036	96	2	2	0.09293687492	0.09301435541	99.17234499	0.6074550904	0.2201999153	95.67466555	2.142810075	2.182524379							0	0	0	-910.7177036	0.09301435541	19.5756369843695	
910.6377036	96	2	2	0.09700534958	0.09708608468	99.16994482	0.6090327393	0.2210224419	95.65915069	2.149564187	2.191285123							0	0	0	-910.6377036	0.09708608468	19.7205396015088	
910.5577036	96	2	2	0.1010439898	0.1011279436	99.16754775	0.6106070376	0.2218452157	95.64363377	2.156314208	2.200052019							0	0	0	-910.5577036	0.1011279436	19.8660402945963	
910.4777036	96	2	2	0.1050531098	0.1051402468	99.16515377	0.6121779917	0.2226682354	95.6281148	2.163060154	2.208825051							0	0	0	-910.4777036	0.1051402468	20.012139725562	
910.3977036	96	2	2	0.1090330195	0.1091233046	99.16276289	0.6137456084	0.2234915	95.61259376	2.16980204	2.2176042							0	0	0	-910.3977036	0.1091233046	20.1588386121111	
910.3177036	96	2	2	0.1129840243	0.113077423	99.1603751	0.6153098941	0.2243150084	95.59707067	2.176539884	2.226389451							0	0	0	-910.3177036	0.113077423	20.3061380263847	
