T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
913.2056561	96	4	0	0	0	98.72216223	1.277837767	0	96	4	0				0.001963265188	-0.001963265189		-913.2056561	0	13.8674281659202	
913.1856561	96	4	0	0.001436763202	0.001441062942	98.72091972	1.279080281	0	95.99607348	4.003926521	0				0	0		-913.1856561	0.001441062942	13.8898604537403	
913.1656561	96	4	0	0.002871213681	0.0028798023	98.71967724	1.28032276	0	95.99214708	4.007852918	0				0	0		-913.1656561	0.0028798023	13.9136679724206	
913.1256561	96	4	0	0.005732354607	0.005749485967	98.71719236	1.282807643	0	95.98429454	4.015705461	0				0	0		-913.1256561	0.005749485967	13.9633805446933	
913.0456561	96	4	0	0.01142469702	0.01145877725	98.71222291	1.287777085	0	95.96859036	4.03140964	0				0	0		-913.0456561	0.01145877725	14.078168407808	
912.9656561	96	4	0	0.01706428478	0.01711509456	98.70725392	1.292746076	0	95.95288753	4.047112475	0				0	0		-912.9656561	0.01711509456	14.1996014415704	
912.8856561	96	4	0	0.02265970224	0.02272704846	98.70228538	1.29771462	0	95.93718604	4.062813963	0				0	0		-912.8856561	0.02272704846	14.3116601042969	
912.8056561	96	4	0	0.02821144239	0.02829513417	98.69731728	1.302682724	0	95.92148588	4.07851412	0				0	0		-912.8056561	0.02829513417	14.4241939813068	
912.7256561	96	4	0	0.03372001295	0.03381986163	98.69234961	1.307650391	0	95.90578706	4.094212938	0				0	0		-912.7256561	0.03381986163	14.5371750327794	
912.6456561	96	4	0	0.03918591374	0.03930173285	98.68738238	1.312617622	0	95.89008959	4.10991041	0				0	0		-912.6456561	0.03930173285	14.6506033806876	
912.5656561	96	4	0	0.04460963692	0.04474124216	98.68241558	1.31758442	0	95.87439347	4.125606531	0				0	0		-912.5656561	0.04474124216	14.7644790548919	
912.4856561	96	4	0	0.04999166713	0.05013887633	98.67744921	1.322550785	0	95.85869871	4.141301292	0				0	0		-912.4856561	0.05013887633	14.8788020551955	
912.4056561	96	4	0	0.05533248168	0.05549511476	98.67248328	1.32751672	0	95.84300531	4.156994687	0				0	0		-912.4056561	0.05549511476	14.9935723855669	
912.3256561	96	4	0	0.06063255063	0.06081042957	98.66751777	1.332482226	0	95.82731329	4.17268671	0				0	0		-912.3256561	0.06081042957	15.1087900410573	
912.2456561	96	4	0	0.06589233695	0.06608528579	98.6625527	1.337447305	0	95.81162265	4.188377354	0				0	0		-912.2456561	0.06608528579	15.224455046871	
912.1656561	96	4	0	0.07111229668	0.07132014142	98.65758804	1.342411958	0	95.79593339	4.204066611	0				0	0		-912.1656561	0.07132014142	15.3405673861852	
912.0856561	96	4	0	0.076292879	0.07651544766	98.65262381	1.347376187	0	95.78024553	4.219754475	0				0	0		-912.0856561	0.07651544766	15.4571270717548	
912.0056561	96	4	0	0.08143452642	0.08167164892	98.64766001	1.352339994	0	95.76455906	4.235440939	0				0	0		-912.0056561	0.08167164892	15.5741340986766	
911.9256561	96	4	0	0.08653767486	0.08678918307	98.64269662	1.35730338	0	95.748874	4.251125997	0				0	0		-911.9256561	0.08678918307	15.6915884612404	
911.8456561	96	4	0	0.09160275379	0.09186848144	98.63773365	1.362266348	0	95.73319036	4.266809642	0				0	0		-911.8456561	0.09186848144	15.8094901803482	
911.7656561	96	4	0	0.09663018636	0.09690996904	98.6327711	1.367228898	0	95.71750813	4.282491867	0				0	0		-911.7656561	0.09690996904	15.927839243197	
911.6856561	96	4	0	0.1016203895	0.1019140646	98.62780897	1.372191033	0	95.70182733	4.298172666	0				0	0		-911.6856561	0.1019140646	16.0466355674409	
911.6056561	96	4	0	0.106573774	0.1068811808	98.62284725	1.377152754	0	95.68614797	4.313852031	0				0	0		-911.6056561	0.1068811808	16.1658791795665	
911.5256561	96	4	0	0.1114907446	0.1118117242	98.61788594	1.382114062	0	95.67047004	4.329529956	0				0	0		-911.5256561	0.1118117242	16.2855701497808	
911.4456561	96	4	0	0.1163717004	0.1167060955	98.61292504	1.38707496	0	95.65479357	4.345206434	0				0	0		-911.4456561	0.1167060955	16.4057083817247	
911.3656561	96	4	0	0.1212170346	0.1215646896	98.60796455	1.392035449	0	95.63911854	4.36088146	0				0	0		-911.3656561	0.1215646896	16.5262940324335	
911.2856561	96	4	0	0.1260271345	0.1263878956	98.60300447	1.396995531	0	95.62344498	4.376555025	0				0	0		-911.2856561	0.1263878956	16.6473267469844	
911.2056561	96	4	0	0.1308023821	0.1311760973	98.59804479	1.401955207	0	95.60777288	4.392227124	0				0	0		-911.2056561	0.1311760973	16.7688067084438	
911.1256561	96	4	0	0.1355431539	0.1359296726	98.59308552	1.406914479	0	95.59210225	4.407897749	0				0	0		-911.1256561	0.1359296726	16.890734070483	
