T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
909.4869339	96	0	4	0	0	99.52984127	0	0.470158735	96	0	4				0.001602318788		-0.001602318788	-909.4869339	0	22.0270550798583	
909.4669339	96	0	4	0.000908525466	0.0009072647923	99.52944251	0	0.4705574914	95.99679541	0	4.00320459				0		0	-909.4669339	0.0009072647923	22.0615068699417	
909.4469339	96	0	4	0.001815634082	0.001813114985	99.52904374	0	0.4709562595	95.99359105	0	4.006408949				0		0	-909.4469339	0.001813114985	22.094539847839	
909.4069339	96	0	4	0.003625961144	0.003620931454	99.52824616	0	0.4717538353	95.98718298	0	4.012817024				0		0	-909.4069339	0.003620931454	22.1586210021442	
909.3269339	96	0	4	0.007230782457	0.007220756974	99.52665086	0	0.47334914	95.97436944	0	4.025630558				0		0	-909.3269339	0.007220756974	22.3101191987171	
909.2469339	96	0	4	0.01080775878	0.01079278058	99.52505535	0	0.4749446462	95.96155942	0	4.038440584				0		0	-909.2469339	0.01079278058	22.4702421755948	
909.1669339	96	0	4	0.01436133283	0.01434143882	99.52345965	0	0.4765403543	95.9487529	0	4.051247102				0		0	-909.1669339	0.01434143882	22.6179764281896	
909.0869339	96	0	4	0.01789172452	0.01786695126	99.52186373	0	0.4781362655	95.93594988	0	4.064050121				0		0	-909.0869339	0.01786695126	22.7662178704447	
909.0069339	96	0	4	0.0213991616	0.02136954528	99.52026762	0	0.47973238	95.92315036	0	4.076849641				0		0	-909.0069339	0.02136954528	22.9149326991073	
908.9269339	96	0	4	0.02488386881	0.02484944527	99.5186713	0	0.4813286981	95.91035434	0	4.089645663				0		0	-908.9269339	0.02484944527	23.0641208789352	
908.8469339	96	0	4	0.02834606797	0.02830687269	99.51707478	0	0.48292522	95.89756181	0	4.102438187				0		0	-908.8469339	0.02830687269	23.2137821951871	
908.7669339	96	0	4	0.03178597802	0.03174204616	99.51547805	0	0.4845219459	95.88477279	0	4.115227214				0		0	-908.7669339	0.03174204616	23.363916514708	
908.6869339	96	0	4	0.03520381507	0.03515518144	99.51388112	0	0.486118876	95.87198726	0	4.128012744				0		0	-908.6869339	0.03515518144	23.5145237051271	
908.6069339	96	0	4	0.03859979247	0.03854649154	99.51228399	0	0.4877160106	95.85920522	0	4.140794778				0		0	-908.6069339	0.03854649154	23.6656035340922	
908.5269339	96	0	4	0.04197412081	0.04191618673	99.51068665	0	0.4893133499	95.84642668	0	4.153573316				0		0	-908.5269339	0.04191618673	23.817155899092	
908.4469339	96	0	4	0.045327008	0.04526447458	99.50908911	0	0.4909108942	95.83365164	0	4.166348359				0		0	-908.4469339	0.04526447458	23.9691806142964	
908.3669339	96	0	4	0.04865865929	0.04859156003	99.50749136	0	0.4925086435	95.82088009	0	4.179119907				0		0	-908.3669339	0.04859156003	24.1216775125122	
908.2869339	96	0	4	0.05196927733	0.0518976454	99.5058934	0	0.4941065983	95.80811204	0	4.19188796				0		0	-908.2869339	0.0518976454	24.2746464348865	
908.2069339	96	0	4	0.0552590622	0.05518293046	99.50429524	0	0.4957047586	95.79534748	0	4.20465252				0		0	-908.2069339	0.05518293046	24.428087193425	
908.1269339	96	0	4	0.05852821145	0.05844761245	99.50269688	0	0.4973031247	95.78258641	0	4.217413587				0		0	-908.1269339	0.05844761245	24.5819996734774	
908.0469339	96	0	4	0.06177692014	0.06169188612	99.5010983	0	0.4989016969	95.76982884	0	4.230171162				0		0	-908.0469339	0.06169188612	24.7363836408286	
907.9669339	96	0	4	0.06500538089	0.0649159438	99.49949952	0	0.5005004753	95.75707476	0	4.242925244				0		0	-907.9669339	0.0649159438	24.891238927368	
