T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
889.0458135	91	6	3	0	0	98.16643045	1.593543052	0.2400264947	91	6	3							0.002173920348	-0.001336666575	-0.0008372537727	-889.0458135	0	32.9569589977887	
889.0258135	91	6	3	0.0006042359023	0.0006065088378	98.16579376	1.594080245	0.2401259986	90.99565204	6.002673412	3.001674544							0	0	0	-889.0258135	0.0006065088378	32.9942646398689	
889.0058135	91	6	3	0.00120779005	0.001212332688	98.16515725	1.594617256	0.2402254964	90.99130385	6.005346752	3.003349397							0	0	0	-889.0058135	0.001212332688	33.025506837764	
888.9658135	91	6	3	0.002413519686	0.002422594539	98.16388467	1.595690878	0.2404244522	90.98260646	6.010693685	3.006699851							0	0	0	-888.9658135	0.002422594539	33.0790104452339	
888.8858135	91	6	3	0.0048188163	0.004836924406	98.1613414	1.597836374	0.2408222262	90.96520796	6.021388102	3.013403934							0	0	0	-888.8858135	0.004836924406	33.2105467024699	
888.8058135	91	6	3	0.007213300033	0.007240390182	98.15880099	1.599979066	0.2412199417	90.94780463	6.032081902	3.020113464							0	0	0	-888.8058135	0.007240390182	33.3494532808673	
888.7258135	91	6	3	0.009598612446	0.009634639664	98.15626324	1.602119239	0.2416175229	90.93039641	6.042775894	3.0268277							0	0	0	-888.7258135	0.009634639664	33.4777369483908	
888.6458135	91	6	3	0.01197480135	0.01201972093	98.15372814	1.604256894	0.2420149701	90.91298327	6.053470086	3.033546648							0	0	0	-888.6458135	0.01201972093	33.6063240518369	
888.5658135	91	6	3	0.01434191577	0.01439568326	98.15119568	1.606392033	0.2424122831	90.89556521	6.064164484	3.040270308							0	0	0	-888.5658135	0.01439568326	33.7352038047839	
888.4858135	91	6	3	0.01670000444	0.01676257564	98.14866588	1.608524657	0.2428094619	90.87814223	6.074859091	3.046998677							0	0	0	-888.4858135	0.01676257564	33.8643759190809	
888.4058135	91	6	3	0.01904911575	0.01912044674	98.14613873	1.610654766	0.2432065063	90.86071433	6.085553912	3.053731755							0	0	0	-888.4058135	0.01912044674	33.9938406834503	
888.3258135	91	6	3	0.02138929774	0.02146934486	98.14361422	1.612782362	0.2436034162	90.84328151	6.09624895	3.06046954							0	0	0	-888.3258135	0.02146934486	34.1235986003641	
888.2458135	91	6	3	0.02372059813	0.02380931796	98.14109236	1.614907445	0.2440001914	90.82584376	6.106944209	3.067212031							0	0	0	-888.2458135	0.02380931796	34.2536499303682	
888.1658135	91	6	3	0.02604306429	0.02614041367	98.13857315	1.617030017	0.2443968318	90.80840108	6.117639695	3.073959228							0	0	0	-888.1658135	0.02614041367	34.3839949777987	
888.0858135	91	6	3	0.02835674325	0.02846267928	98.13605658	1.619150079	0.2447933373	90.79095346	6.12833541	3.080711128							0	0	0	-888.0858135	0.02846267928	34.5146340896194	
888.0058135	91	6	3	0.03066168173	0.03077616175	98.13354266	1.621267631	0.2451897077	90.77350091	6.13903136	3.087467731							0	0	0	-888.0058135	0.03077616175	34.6455675079219	
887.9258135	91	6	3	0.03295792611	0.03308090772	98.13103138	1.623382675	0.245585943	90.75604342	6.149727548	3.094229035							0	0	0	-887.9258135	0.03308090772	34.7767956698643	
887.8458135	91	6	3	0.03524552244	0.03537696348	98.12852275	1.625495211	0.2459820428	90.73858098	6.160423979	3.100995039							0	0	0	-887.8458135	0.03537696348	34.9083189798182	
887.7658135	91	6	3	0.03752451646	0.03766437501	98.12601675	1.627605241	0.2463780073	90.7211136	6.171120656	3.107765742							0	0	0	-887.7658135	0.03766437501	35.0401376612862	
