T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
908.0970631	95	5	0	0	0	98.40562126	1.594378744	0	95	5	0	0.001951187434	-0.001951187434		-908.0970631	0	17.4555229419865	
908.0770631	95	5	0	0.001140729222	0.00114499906	98.40438501	1.595614994	0	94.99609773	5.003902268	0	0	0		-908.0770631	0.00114499906	17.4790035544489	
908.0570631	95	5	0	0.002279931189	0.002288462035	98.40314878	1.596851216	0	94.99219559	5.007804411	0	0	0		-908.0570631	0.002288462035	17.5032664294894	
908.0170631	95	5	0	0.004553462054	0.004570487351	98.4006764	1.599323605	0	94.98439161	5.015608394	0	0	0		-908.0170631	0.004570487351	17.5530505556617	
907.9370631	95	5	0	0.009081425754	0.009115331286	98.39573186	1.604268135	0	94.96878491	5.031215085	0	0	0		-907.9370631	0.009115331286	17.6696939530122	
907.7770631	95	5	0	0.01803552392	0.01810266326	98.38584385	1.614156148	0	94.93757686	5.062423143	0	0	0		-907.7770631	0.01810266326	17.9125897444664	
907.4570631	95	5	0	0.03562292732	0.03575476063	98.36607178	1.633928221	0	94.87518164	5.124818361	0	0	0		-907.4570631	0.03575476063	18.3626699675262	
906.8170631	95	5	0	0.06951669094	0.06977092727	98.32654321	1.673456791	0	94.75047651	5.249523486	0	0	0		-906.8170631	0.06977092727	19.3037278818201	
905.5370631	95	5	0	0.132619055	0.1330925076	98.24754546	1.752454543	0	94.50141839	5.49858161	0	0	0		-905.5370631	0.1330925076	21.2873345155513	
902.9770631	95	5	0	0.2428012271	0.2436257763	98.08976417	1.910235834	0	94.00479267	5.99520733	0	0	0		-902.9770631	0.2436257763	25.4866385802825	
900.4170631	95	5	0	0.3358063447	0.3368884043	97.93222454	2.06777546	0	93.51030418	6.489695815	0	0	0		-900.4170631	0.3368884043	29.9549173132317	
897.8570631	95	5	0	0.4153786673	0.4166450863	97.77487431	2.225125693	0	93.01812044	6.981879562	0	0	0		-897.8570631	0.4166450863	34.7788487334868	
895.2970631	95	5	0	0.4842577876	0.4856503189	97.61766176	2.382338237	0	92.52839495	7.47160505	0	0	0		-895.2970631	0.4856503189	39.9508935071759	
892.7370631	95	5	0	0.54449366	0.5459651671	97.46053587	2.539464134	0	92.04126756	7.958732438	0	0	0		-892.7370631	0.5459651671	45.4614774626907	
890.1770631	95	5	0	0.5976504932	0.5991622789	97.3034462	2.696553798	0	91.55686448	8.44313552	0	0	0		-890.1770631	0.5991622789	51.2988131889185	
887.6170631	95	5	0	0.6449423713	0.6464622537	97.14634297	2.85365703	0	91.07529857	8.924701434	0	0	0		-887.6170631	0.6464622537	57.4488397343208	
885.0570631	95	5	0	0.6873258505	0.6888267483	96.98917698	3.010823022	0	90.59666972	9.403330279	0	0	0		-885.0570631	0.6888267483	63.8952051377744	
882.4970631	95	5	0	0.7255646572	0.7270235312	96.83189962	3.168100384	0	90.12106535	9.878934649	0	0	0		-882.4970631	0.7270235312	70.6192876364419	
879.9370631	95	5	0	0.7602758256	0.7616728746	96.67446284	3.32553716	0	89.64856089	10.35143911	0	0	0		-879.9370631	0.7616728746	77.600257224934	
877.3770631	95	5	0	0.7919632049	0.793281245	96.51681914	3.483180861	0	89.17922039	10.82077961	0	0	0		-877.3770631	0.793281245	84.8151742527532	
874.8170631	95	5	0	0.821042194	0.8222661744	96.35892151	3.641078494	0	88.71309713	11.28690287	0	0	0		-874.8170631	0.8222661744	92.2391260435457	
872.2570631	95	5	0	0.8478582713	0.8489748914	96.2007234	3.7992766	0	88.25023424	11.74976576	0	0	0		-872.2570631	0.8489748914	99.8453963358554	
869.6970631	95	5	0	0.872701063	0.8736984677	96.04217871	3.957821293	0	87.79066536	12.20933464	0	0	0		-869.6970631	0.8736984677	107.605668277623	
867.1370631	95	5	0	0.8958151554	0.8966826883	95.8832417	4.116758299	0	87.3344153	12.6655847	0	0	0		-867.1370631	0.8966826883	115.490251361448	
864.5770631	95	5	0	0.9174084971	0.9181365009	95.723867	4.276133003	0	86.88150068	13.11849932	0	0	0		-864.5770631	0.9181365009	123.468333481885	
862.0170631	95	5	0	0.9376589956	0.9382386477	95.5640095	4.435990496	0	86.43193054	13.56806946	0	0	0		-862.0170631	0.9382386477	131.508251104703	
859.4570631	95	5	0	0.9567197455	0.9571429223	95.40362438	4.596375618	0	85.98570699	14.01429301	0	0	0		-859.4570631	0.9571429223	139.577768113099	
856.8970631	95	5	0	0.9747232079	0.9749823722	95.24266699	4.757333014	0	85.54282578	14.45717422	0	0	0		-856.8970631	0.9749823722	147.644364588575	
854.3370631	95	5	0	0.9917845794	0.9918726855	95.08109282	4.918907179	0	85.10327687	14.89672313	0	0	0		-854.3370631	0.9918726855	155.654939533046	
853.0570631	95	5	0	0.9999933686	0.9999934413	95.00006056	4.999939443	0	84.88474741	15.11525259	0	0	0		-853.0570631	0.9999934413	3047.0511483268	
853.0370631	95	5	0	1	1	94.99999991	5.000000087	0							-853.0370631	1	3049.38478663746	
853.0270631	95	5	0	1	1	94.99999999	5.000000007	0							-853.0270631	1	NaN	
853.0070631	95	5	0	1	1	95	5	0							-853.0070631	1	NaN	
852.9670631	95	5	0	1	1	95	5	0							-852.9670631	1	NaN	
852.8870631	95	5	0	1	1	95	5	0							-852.8870631	1	NaN	
852.7270631	95	5	0	1	1	95	5	0							-852.7270631	1	NaN	
852.4070631	95	5	0	1	1	95	5	0							-852.4070631	1	NaN	
851.7670631	95	5	0	1	1	95	5.000000001	0							-851.7670631	1	NaN	
850.4870631	95	5	0	1	1	95	5.000000004	0							-850.4870631	1	NaN	
847.9270631	95	5	0	1	1	94.99999998	5.000000018	0							-847.9270631	1	NaN	
845.3670631	95	5	0	1	1	94.99999998	5.000000024	0							-845.3670631	1	NaN	
842.8070631	95	5	0	1	1	94.99999998	5.000000024	0							-842.8070631	1	NaN	
840.2470631	95	5	0	1	1	94.99999998	5.000000025	0							-840.2470631	1	NaN	
837.6870631	95	5	0	1	1	94.99999997	5.000000025	0							-837.6870631	1	NaN	
835.1270631	95	5	0	1	1	94.99999997	5.000000025	0							-835.1270631	1	NaN	
832.5670631	95	5	0	1	1	94.99999997	5.000000026	0							-832.5670631	1	NaN	
830.0070631	95	5	0	1	1	94.99999997	5.000000026	0							-830.0070631	1	NaN	
827.4470631	95	5	0	1	1	94.99999997	5.000000026	0							-827.4470631	1	NaN	
824.8870631	95	5	0	1	1	94.99999997	5.000000027	0							-824.8870631	1	NaN	
822.3270631	95	5	0	1	1	94.99999997	5.000000027	0							-822.3270631	1	NaN	
819.7670631	95	5	0	1	1	94.99999997	5.000000028	0							-819.7670631	1	NaN	
817.2070631	95	5	0	1	1	94.99999997	5.000000028	0							-817.2070631	1	NaN	
814.6470631	95	5	0	1	1	94.99999997	5.000000028	0							-814.6470631	1	NaN	
812.0870631	95	5	0	1	1	94.99999997	5.000000029	0							-812.0870631	1	NaN	
809.5270631	95	5	0	1	1	94.99999997	5.000000029	0							-809.5270631	1	NaN	
806.9670631	95	5	0	1	1	94.99999997	5.00000003	0							-806.9670631	1	NaN	
804.4070631	95	5	0	1	1	94.99999997	5.00000003	0							-804.4070631	1	NaN	
801.8470631	95	5	0	1	1	94.99999997	5.00000003	0							-801.8470631	1	NaN	
799.2870631	95	5	0	1	1	94.99999997	5.000000031	0							-799.2870631	1	NaN	
796.7270631	95	5	0	1	1	94.99999997	5.000000031	0							-796.7270631	1	NaN	
794.1670631	95	5	0	1	1	94.99999997	5.000000032	0							-794.1670631	1	NaN	
791.6070631	95	5	0	1	1	94.99999997	5.000000032	0							-791.6070631	1	NaN	
789.0470631	95	5	0	1	1	94.99999997	5.000000033	0							-789.0470631	1	NaN	
786.4870631	95	5	0	1	1	94.99999997	5.000000033	0							-786.4870631	1	NaN	
783.9270631	95	5	0	1	1	94.99999997	5.000000033	0							-783.9270631	1	NaN	
781.3670631	95	5	0	1	1	94.99999997	5.000000034	0							-781.3670631	1	NaN	
778.8070631	95	5	0	1	1	94.99999997	5.000000034	0							-778.8070631	1	NaN	
776.2470631	95	5	0	1	1	94.99999997	5.000000035	0							-776.2470631	1	NaN	
773.6870631	95	5	0	1	1	94.99999996	5.000000035	0							-773.6870631	1	NaN	
771.1270631	95	5	0	1	1	94.99999996	5.000000036	0							-771.1270631	1	NaN	
768.5670631	95	5	0	1	1	94.99999996	5.000000036	0							-768.5670631	1	NaN	
766.0070631	95	5	0	1	1	94.99999996	5.000000037	0							-766.0070631	1	NaN	
763.4470631	95	5	0	1	1	94.99999996	5.000000037	0							-763.4470631	1	NaN	
760.8870631	95	5	0	1	1	94.99999996	5.000000038	0							-760.8870631	1	NaN	
758.3270631	95	5	0	1	1	94.99999996	5.000000038	0							-758.3270631	1	NaN	
755.7670631	95	5	0	1	1	94.99999996	5.000000039	0							-755.7670631	1	NaN	
753.2070631	95	5	0	1	1	94.99999996	5.00000004	0							-753.2070631	1	NaN	
750.6470631	95	5	0	1	1	94.99999996	5.00000004	0							-750.6470631	1	NaN	
748.0870631	95	5	0	1	1	94.99999996	5.000000041	0							-748.0870631	1	NaN	
745.5270631	95	5	0	1	1	94.99999996	5.000000041	0							-745.5270631	1	NaN	
742.9670631	95	5	0	1	1	94.99999996	5.000000042	0							-742.9670631	1	NaN	
740.4070631	95	5	0	1	1	94.99999996	5.000000042	0							-740.4070631	1	NaN	
737.8470631	95	5	0	1	1	94.99999996	5.000000043	0							-737.8470631	1	NaN	
735.2870631	95	5	0	1	1	94.99999996	5.000000044	0							-735.2870631	1	NaN	
732.7270631	95	5	0	1	1	94.99999996	5.000000044	0							-732.7270631	1	NaN	
730.1670631	95	5	0	1	1	94.99999996	5.000000045	0							-730.1670631	1	NaN	
727.6070631	95	5	0	1	1	94.99999995	5.000000046	0							-727.6070631	1	NaN	
725.0470631	95	5	0	1	1	94.99999995	5.000000046	0							-725.0470631	1	NaN	
722.4870631	95	5	0	1	1	94.99999995	5.000000047	0							-722.4870631	1	NaN	
719.9270631	95	5	0	1	1	94.99999995	5.000000048	0							-719.9270631	1	NaN	
717.3670631	95	5	0	1	1	94.99999995	5.000000048	0							-717.3670631	1	NaN	
714.8070631	95	5	0	1	1	94.99999995	5.000000049	0							-714.8070631	1	NaN	
712.2470631	95	5	0	1	1	94.99999995	5.00000005	0							-712.2470631	1	NaN	
709.6870631	95	5	0	1	1	94.99999995	5.00000005	0							-709.6870631	1	NaN	
707.1270631	95	5	0	1	1	94.99999995	5.000000051	0							-707.1270631	1	NaN	
704.5670631	95	5	0	1	1	94.99999995	5.000000052	0							-704.5670631	1	NaN	
702.0070631	95	5	0	1	1	94.99999995	5.000000053	0							-702.0070631	1	NaN	
699.4470631	95	5	0	1	1	94.99999995	5.000000053	0							-699.4470631	1	NaN	
696.8870631	95	5	0	1	1	94.99999995	5.000000054	0							-696.8870631	1	NaN	
694.3270631	95	5	0	1	1	94.99999994	5.000000055	0							-694.3270631	1	NaN	
691.7670631	95	5	0	1	1	94.99999994	5.000000056	0							-691.7670631	1	NaN	
689.2070631	95	5	0	1	1	94.99999994	5.000000057	0							-689.2070631	1	NaN	
686.6470631	95	5	0	1	1	94.99999994	5.000000057	0							-686.6470631	1	NaN	
684.0870631	95	5	0	1	1	94.99999994	5.000000058	0							-684.0870631	1	NaN	
681.5270631	95	5	0	1	1	94.99999994	5.000000059	0							-681.5270631	1	NaN	
678.9670631	95	5	0	1	1	94.99999994	5.00000006	0							-678.9670631	1	NaN	
676.4070631	95	5	0	1	1	94.99999994	5.000000061	0							-676.4070631	1	NaN	
673.8470631	95	5	0	1	1	94.99999994	5.000000062	0							-673.8470631	1	NaN	
671.2870631	95	5	0	1	1	94.99999994	5.000000063	0							-671.2870631	1	NaN	
668.7270631	95	5	0	1	1	94.99999994	5.000000064	0							-668.7270631	1	NaN	
666.1670631	95	5	0	1	1	94.99999994	5.000000065	0							-666.1670631	1	NaN	
663.6070631	95	5	0	1	1	94.99999993	5.000000066	0							-663.6070631	1	NaN	
661.0470631	95	5	0	1	1	94.99999993	5.000000067	0							-661.0470631	1	NaN	
658.4870631	95	5	0	1	1	94.99999993	5.000000068	0							-658.4870631	1	NaN	
655.9270631	95	5	0	1	1	94.99999993	5.000000069	0							-655.9270631	1	NaN	
653.3670631	95	5	0	1	1	94.99999993	5.00000007	0							-653.3670631	1	NaN	
650.8070631	95	5	0	1	1	94.99999993	5.000000071	0							-650.8070631	1	NaN	
648.2470631	95	5	0	1	1	94.99999993	5.000000072	0							-648.2470631	1	NaN	
645.6870631	95	5	0	1	1	94.99999993	5.000000073	0							-645.6870631	1	NaN	
643.1270631	95	5	0	1	1	94.99999993	5.000000075	0							-643.1270631	1	NaN	
640.5670631	95	5	0	1	1	94.99999992	5.000000076	0							-640.5670631	1	NaN	
638.0070631	95	5	0	1	1	94.99999992	5.000000077	0							-638.0070631	1	NaN	
635.4470631	95	5	0	1	1	94.99999992	5.000000078	0							-635.4470631	1	NaN	
632.8870631	95	5	0	1	1	94.99999992	5.000000079	0							-632.8870631	1	NaN	
630.3270631	95	5	0	1	1	94.99999992	5.000000081	0							-630.3270631	1	NaN	
627.7670631	95	5	0	1	1	94.99999992	5.000000082	0							-627.7670631	1	NaN	
625.2070631	95	5	0	1	1	94.99999992	5.000000083	0							-625.2070631	1	NaN	
622.6470631	95	5	0	1	1	94.99999992	5.000000085	0							-622.6470631	1	NaN	
620.0870631	95	5	0	1	1	94.99999991	5.000000086	0							-620.0870631	1	NaN	
617.5270631	95	5	0	1	1	94.99999991	5.000000087	0							-617.5270631	1	NaN	
614.9670631	95	5	0	1	1	94.99999991	5.000000089	0							-614.9670631	1	NaN	
612.4070631	95	5	0	1	1	94.99999991	5.00000009	0							-612.4070631	1	NaN	
609.8470631	95	5	0	1	1	94.99999991	5.000000092	0							-609.8470631	1	NaN	
607.2870631	95	5	0	1	1	94.99999991	5.000000093	0							-607.2870631	1	NaN	
604.7270631	95	5	0	1	1	94.9999999	5.000000095	0							-604.7270631	1	NaN	
602.1670631	95	5	0	1	1	94.9999999	5.000000097	0							-602.1670631	1	NaN	
599.6070631	95	5	0	1	1	94.9999999	5.000000098	0							-599.6070631	1	NaN	
597.0470631	95	5	0	1	1	94.9999999	5.0000001	0							-597.0470631	1	NaN	
594.4870631	95	5	0	1	1	94.9999999	5.000000102	0							-594.4870631	1	NaN	
591.9270631	95	5	0	1	1	94.9999999	5.000000103	0							-591.9270631	1	NaN	
589.3670631	95	5	0	1	1	94.99999989	5.000000105	0							-589.3670631	1	NaN	
586.8070631	95	5	0	1	1	94.99999989	5.000000107	0							-586.8070631	1	NaN	
584.2470631	95	5	0	1	1	94.99999989	5.000000109	0							-584.2470631	1	NaN	
581.6870631	95	5	0	1	1	94.99999989	5.000000111	0							-581.6870631	1	NaN	
579.1270631	95	5	0	1	1	94.99999989	5.000000113	0							-579.1270631	1	NaN	
576.5670631	95	5	0	1	1	94.99999989	5.000000115	0							-576.5670631	1	NaN	
