T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
905.1968234	95	1	4	0	0	99.29857093	0.2572040436	0.4442250261	95	1	4							0.00174078988	-0.0003008026215	-0.001439987258	-905.1968234	0	12.2928011061821	
905.1868234	95	1	4	0.0004051832636	0.0004049414367	99.29835387	0.2572589287	0.4443872021	94.99825936	1.000300795	4.001439845							0	0	0	-905.1868234	0.0004049414367	37.0970567531873	
905.1668234	95	1	4	0.001214559004	0.0008091674347	99.29791982	0.2573686017	0.4447115774	94.99477769	1.000902396	4.004319918							0	0	0	-905.1668234	0.0008091674347	49.5094486777639	
905.1268234	95	1	4	0.002829720243	0.001616047293	99.29705187	0.2575877952	0.4453603397	94.98781491	1.002105404	4.010079689							0	0	0	-905.1268234	0.001616047293	49.6410824723132	
905.0468234	95	1	4	0.006046038908	0.003223268511	99.29531655	0.2580254969	0.4466579578	94.97389037	1.00451086	4.021598769							0	0	0	-905.0468234	0.003223268511	-7707.27879040319	
904.9668234	95	1	4	0.009241295817	0.003212820353	99.29358211	0.2584622034	0.4479556847	94.95996724	1.006915507	4.033117249							0	0	0	-904.9668234	0.003212820353	-8143.84662693129	
904.8868234	95	1	4	0.01241704218	0.003203494734	99.29184852	0.2588979689	0.449253512	94.94604549	1.009319479	4.044635035							0	0	0	-904.8868234	0.003203494734	-8603.74869285992	
904.8068234	95	1	4	0.01557345346	0.00319422349	99.29011576	0.2593327956	0.4505514405	94.93212509	1.011722782	4.056152129							0	0	0	-904.8068234	0.00319422349	-8653.15179768284	
904.7268234	95	1	4	0.01871070119	0.003185004071	99.28838384	0.2597666856	0.4518494702	94.91820605	1.014125419	4.067668528							0	0	0	-904.7268234	0.003185004071	-8701.7341595817	
904.6468234	95	1	4	0.02182895489	0.003175836063	99.28665276	0.2601996407	0.4531476009	94.90428838	1.016527393	4.079184226							0	0	0	-904.6468234	0.003175836063	-8750.46400939399	
904.5668234	95	1	4	0.02492838214	0.003166719042	99.2849225	0.260631663	0.4544458328	94.89037207	1.018928708	4.090699219							0	0	0	-904.5668234	0.003166719042	-8799.33231546428	
904.4868234	95	1	4	0.02800914858	0.003157652584	99.28319308	0.2610627543	0.4557441656	94.87645713	1.021329367	4.102213503							0	0	0	-904.4868234	0.003157652584	-8848.33750386141	
904.4068234	95	1	4	0.03107141793	0.003148636271	99.28146448	0.2614929165	0.4570425993	94.86254355	1.023729373	4.113727072							0	0	0	-904.4068234	0.003148636271	-8897.47992785168	
904.3268234	95	1	4	0.03411535202	0.003139669689	99.27973671	0.2619221516	0.4583411338	94.84863135	1.02612873	4.125239923							0	0	0	-904.3268234	0.003139669689	-8946.75953620418	
904.2468234	95	1	4	0.03714111085	0.003130752429	99.27800977	0.2623504614	0.4596397692	94.83472051	1.028527442	4.136752052							0	0	0	-904.2468234	0.003130752429	-8996.1768384261	
904.1668234	95	1	4	0.04014885256	0.003121884087	99.27628365	0.2627778479	0.4609385053	94.82081104	1.030925511	4.148263453							0	0	0	-904.1668234	0.003121884087	-9045.73087791704	
904.0868234	95	1	4	0.04313873351	0.003113064261	99.27455834	0.2632043129	0.4622373421	94.80690294	1.033322941	4.159774123							0	0	0	-904.0868234	0.003113064261	-9095.42179712294	
904.0068234	95	1	4	0.04611090827	0.003104292556	99.27283386	0.2636298582	0.4635362796	94.79299621	1.035719735	4.171284057							0	0	0	-904.0068234	0.003104292556	-9145.25080652507	
903.9268234	95	1	4	0.04906552965	0.003095568581	99.2711102	0.2640544858	0.4648353176	94.77909085	1.038115896	4.182793251							0	0	0	-903.9268234	0.003095568581	-9195.21659503893	
903.8468234	95	1	4	0.05200274874	0.003086891947	99.26938735	0.2644781975	0.4661344562	94.76518687	1.040511428	4.194301701							0	0	0	-903.8468234	0.003086891947	-9245.31949799962	
903.7668234	95	1	4	0.05492271492	0.003078262272	99.26766531	0.2649009952	0.4674336953	94.75128427	1.042906333	4.205809402							0	0	0	-903.7668234	0.003078262272	-9295.55986782003	
903.6868234	95	1	4	0.05782557589	0.003069679176	99.26594408	0.2653228806	0.4687330349	94.73738303	1.045300616	4.21731635							0	0	0	-903.6868234	0.003069679176	-9345.93764020523	
903.6068234	95	1	4	0.0607114777	0.003061142285	99.26422367	0.2657438556	0.4700324748	94.72348318	1.047694278	4.228822542							0	0	0	-903.6068234	0.003061142285	-9396.45276022731	
903.5268234	95	1	4	0.06358056476	0.003052651227	99.26250406	0.266163922	0.4713320152	94.7095847	1.050087324	4.240327972							0	0	0	-903.5268234	0.003052651227	-9447.10527843932	
903.4468234	95	1	4	0.06643297985	0.003044205636	99.26078526	0.2665830817	0.4726316558	94.69568761	1.052479756	4.251832637							0	0	0	-903.4468234	0.003044205636	-9497.89525839676	
903.3668234	95	1	4	0.06926886419	0.003035805148	99.25906727	0.2670013364	0.4739313968	94.68179189	1.054871578	4.263336533							0	0	0	-903.3668234	0.003035805148	-9548.82229847047	
903.2868234	95	1	4	0.07208835741	0.003027449404	99.25735007	0.267418688	0.475231238	94.66789755	1.057262792	4.274839655							0	0	0	-903.2868234	0.003027449404	-9599.88658359696	
903.2068234	95	1	4	0.0748915976	0.003019138048	99.25563368	0.2678351381	0.4765311795	94.6540046	1.059653402	4.286342							0	0	0	-903.2068234	0.003019138048	-9651.08839021106	
903.1268234	95	1	4	0.07767872134	0.003010870729	99.25391809	0.2682506887	0.4778312212	94.64011303	1.06204341	4.297843564							0	0	0	-903.1268234	0.003010870729	-9702.42803978362	
903.0468234	95	1	4	0.08044986367	0.003002647099	99.2522033	0.2686653414	0.479131363	94.62622284	1.06443282	4.309344342							0	0	0	-903.0468234	0.003002647099	-9753.90474862974	
902.9668234	95	1	4	0.08320515817	0.002994466813	99.2504893	0.269079098	0.4804316049	94.61233403	1.066821635	4.320844331							0	0	0	-902.9668234	0.002994466813	-9805.51897148142	
902.8868234	95	1	4	0.08594473697	0.002986329531	99.24877609	0.2694919604	0.481731947	94.59844662	1.069209857	4.332343526							0	0	0	-902.8868234	0.002986329531	-9857.27060054429	
902.8068234	95	1	4	0.08866873072	0.002978234915	99.24706368	0.2699039301	0.4830323892	94.58456059	1.07159749	4.343841924							0	0	0	-902.8068234	0.002978234915	-9909.15961912062	
902.7268234	95	1	4	0.09137726867	0.002970182632	99.24535206	0.2703150091	0.4843329314	94.57067594	1.073984536	4.355339521							0	0	0	-902.7268234	0.002970182632	-9961.18665397168	
902.6468234	95	1	4	0.09407047866	0.002962172352	99.24364123	0.2707251989	0.4856335736	94.55679269	1.076370999	4.366836312							0	0	0	-902.6468234	0.002962172352	-10013.351174463	
902.5668234	95	1	4	0.09674848713	0.002954203748	99.24193118	0.2711345014	0.4869343159	94.54291082	1.078756881	4.378332295							0	0	0	-902.5668234	0.002954203748	-10065.6533231054	
902.4868234	95	1	4	0.09941141918	0.002946276497	99.24022192	0.2715429183	0.4882351581	94.52903035	1.081142185	4.389827465							0	0	0	-902.4868234	0.002946276497	-10118.0926442559	
902.4068234	95	1	4	0.1020593985	0.002938390278	99.23851345	0.2719504511	0.4895361003	94.51515127	1.083526915	4.401321818							0	0	0	-902.4068234	0.002938390278	-10170.6687455332	
