T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
873.1203266	90	1	9	0	0	98.72235539	0.1889960478	1.088648565	90	1	9				0.001544521883	-0.0001436110989	-0.001400910784				-873.1203266	0	28.0454719036164	
873.1103266	90	1	9	0.0001776275164	0.0001772192281	98.72215652	0.1890056086	1.088837867	89.99845542	1.000143627	9.00140095				0	0	0				-873.1103266	0.0001772192281	84.8090993209934	
873.0903266	90	1	9	0.0005323673861	0.0003540172264	98.72175881	0.1890246875	1.089216498	89.99536653	1.000430841	9.004202625				0	0	0				-873.0903266	0.0003540172264	113.133691087773	
873.0503266	90	1	9	0.001241140831	0.0007075172585	98.72096339	0.1890628184	1.089973788	89.98918908	1.001005268	9.009805653				0	0	0				-873.0503266	0.0007075172585	113.224856321317	
872.9703266	90	1	9	0.002655853994	0.001413196333	98.71937258	0.1891388957	1.091488524	89.97683586	1.002154074	9.021010066				0	0	0				-872.9703266	0.001413196333	113.513888819632	
872.8103266	90	1	9	0.005473994861	0.002819066033	98.71619108	0.1892903431	1.094518573	89.95213618	1.004451494	9.043412327				0	0	0				-872.8103266	0.002819066033	114.1061031859	
872.4903266	90	1	9	0.01106553021	0.005609035621	98.70982858	0.1895902969	1.100581121	89.90276382	1.009045581	9.088190594				0	0	0				-872.4903266	0.005609035621	115.385016732121	
871.8503266	90	1	9	0.0220587571	0.01109140751	98.69710556	0.1901784295	1.112716006	89.80412787	1.018229864	9.177642266				0	0	0				-871.8503266	0.01109140751	118.01079109972	
870.5703266	90	1	9	0.0433433892	0.02171577584	98.67166627	0.1913086624	1.137025066	89.60728555	1.036585914	9.356128538				0	0	0				-870.5703266	0.02171577584	123.184316787829	
