T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
913.0850741	96	3	1	0	0	98.99914595	0.9069803453	0.09387370363	96	3	1				0.002010590503	-0.001403079411	-0.000607511092	-913.0850741	0	7.42208382769189	
913.0750741	96	3	1	0.0006688434648	0.0006701415834	98.99870992	0.9073668961	0.09392318054	95.9979894	3.001403109	1.000607494				0	0	0	-913.0750741	0.0006701415834	22.4223557585083	
913.0550741	96	3	1	0.002004343213	0.001338884872	98.99783781	0.9081400486	0.09402214496	95.99396805	3.004209194	1.001822757				0	0	0	-913.0550741	0.001338884872	29.9341403987846	
913.0150741	96	3	1	0.004666756451	0.002672725599	98.99609426	0.909685672	0.09422006411	95.98592464	3.009821045	1.004254319				0	0	0	-913.0150741	0.002672725599	30.0455312650257	
912.9350741	96	3	1	0.009957442029	0.00532535322	98.99260939	0.9127747222	0.09461588698	95.96983502	3.021043417	1.009121561				0	0	0	-912.9350741	0.00532535322	-3441.16233646904	
912.8550741	96	3	1	0.01519628714	0.005301896011	98.98912738	0.9158609678	0.09501165047	95.95374172	3.032264372	1.013993913				0	0	0	-912.8550741	0.005301896011	-3649.62860678649	
912.7750741	96	3	1	0.02038700802	0.005281175401	98.9856481	0.9189445934	0.09540730496	95.93764467	3.043484443	1.018870889				0	0	0	-912.7750741	0.005281175401	-3876.82476469972	
912.6950741	96	3	1	0.02553023947	0.00526062374	98.98217154	0.9220256086	0.09580284968	95.92154385	3.054703663	1.023752487				0	0	0	-912.6950741	0.00526062374	-3907.89927581544	
912.6150741	96	3	1	0.03062659846	0.005240231447	98.9786977	0.9251040178	0.09619828331	95.90543926	3.065922049	1.028638694				0	0	0	-912.6150741	0.005240231447	-3938.3848826263	
912.5350741	96	3	1	0.03567669163	0.005219996727	98.97522657	0.9281798257	0.09659360451	95.88933089	3.077139616	1.033529499				0	0	0	-912.5350741	0.005219996727	-3968.9960715297	
912.4550741	96	3	1	0.0406811155	0.005199917782	98.97175815	0.9312530368	0.09698881197	95.87321873	3.088356379	1.038424893				0	0	0	-912.4550741	0.005199917782	-3999.72877276179	
912.3750741	96	3	1	0.04564045664	0.005179992829	98.96829244	0.9343236557	0.09738390438	95.85710278	3.099572356	1.043324864				0	0	0	-912.3750741	0.005179992829	-4030.5820035377	
912.2950741	96	3	1	0.05055529187	0.005160220114	98.96482943	0.9373916867	0.09777888043	95.84098304	3.110787561	1.048229401				0	0	0	-912.2950741	0.005160220114	-4061.55603535961	
912.2150741	96	3	1	0.05542618851	0.00514059791	98.96136913	0.9404571344	0.09817373885	95.8248595	3.122002009	1.053138494				0	0	0	-912.2150741	0.00514059791	-4092.65084198846	
912.1350741	96	3	1	0.06025370449	0.005121124515	98.95791152	0.9435200031	0.09856847835	95.80873215	3.133215717	1.058052133				0	0	0	-912.1350741	0.005121124515	-4123.86628928462	
912.0550741	96	3	1	0.06503838862	0.005101798252	98.9544566	0.9465802973	0.09896309767	95.79260099	3.1444287	1.062970306				0	0	0	-912.0550741	0.005101798252	-4155.20255634211	
911.9750741	96	3	1	0.06978078072	0.005082617471	98.95100438	0.9496380214	0.09935759556	95.77646602	3.155640973	1.067893005				0	0	0	-911.9750741	0.005082617471	-4186.659594748	
911.8950741	96	3	1	0.07448141181	0.005063580544	98.94755485	0.9526931796	0.09975197076	95.76032723	3.166852551	1.072820218				0	0	0	-911.8950741	0.005063580544	-4218.23747076343	
911.8150741	96	3	1	0.07914080431	0.00504468587	98.944108	0.9557457763	0.100146222	95.74418462	3.178063449	1.077751935				0	0	0	-911.8150741	0.00504468587	-4249.93610866883	
911.7350741	96	3	1	0.08375947218	0.005025931868	98.94066384	0.9587958157	0.1005403482	95.72803817	3.189273683	1.082688146				0	0	0	-911.7350741	0.005025931868	-4281.75555163817	
911.6550741	96	3	1	0.0883379211	0.005007316984	98.93722235	0.9618433022	0.1009343479	95.71188789	3.200483266	1.087628841				0	0	0	-911.6550741	0.005007316984	-4313.69603790698	
911.5750741	96	3	1	0.09287664866	0.004988839685	98.93378354	0.9648882398	0.1013282201	95.69573377	3.211692215	1.092574011				0	0	0	-911.5750741	0.004988839685	-4345.75734013882	
